epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,25.264329437952142,10.504623857990808,11.879332958590968,25.160084868873767,62.493043962159156,61.70792187218284,61.81738103332838,62.72863918938758
1,28.60322760155815,22.798020393928322,25.570256308794235,28.699275420639548,68.16917084028937,67.96983796561359,68.11663825394419,68.26225791418379
2,48.580968280467445,40.16301923452426,42.057293679477546,48.06709809189815,68.83695047301057,68.52278157407255,68.53491661030226,69.03562351702529
3,51.808569838619924,44.67572639258949,41.75867190590823,51.43645319072287,74.68002225932109,74.41829432877306,74.82133065582755,74.85994811590345
4,56.26043405676127,48.68499271019216,45.11314337565654,55.92166499898609,79.13188647746243,78.8227278418869,79.03415257389581,79.36854797155144
5,65.88759042849193,58.3198627566901,78.17684001776082,65.76278754687164,78.519755147468,78.36545122266368,78.41081087122221,78.59745492325673
6,71.06288258208124,69.3535391171005,72.5888674877142,71.08744458986635,80.91263216471899,80.50788494824099,80.6283632996891,81.11718506753205
7,74.62437395659433,73.9199210580077,75.51010351377612,74.66758779498738,84.47412353923205,84.38246769270155,84.38555480453928,84.62958893587503
8,79.46577629382304,79.26690427672847,79.05360512240651,79.64376619971041,85.64273789649415,85.5734568415644,85.59077522051346,85.79321553780484
9,80.46744574290484,80.16561385224121,81.20028104311513,80.49568721811231,83.75069560378408,83.84631549920078,83.90282856019078,83.8519475009578
10,82.30383973288815,82.26868282898177,82.23448217527735,82.49206334550307,85.53144129104062,85.5549162092957,85.54792545274108,85.63233132427742
11,84.80801335559266,84.81672249573509,85.022585563919,84.8706812689089,86.03227601558152,85.97312683273772,86.07583476173323,86.09513795241426
12,86.58875904284919,86.55889533607723,86.85737833859558,86.62792714544842,87.14524207011685,87.11856270597919,87.13787134162452,87.25615105035939
13,86.81135225375625,86.74027590700702,87.04646268701308,86.85767204687886,86.42181413466889,86.32020760260386,86.27170854425967,86.51836068015947
14,87.81302170283807,87.77873650201798,88.062288385224,87.83685947846071,88.64774624373956,88.73475715792748,88.76863368508074,88.71168130485574
15,88.31385642737897,88.3812974409795,88.71098648065254,88.3236386429455,88.75904284919311,88.75587592389817,88.71095627896835,88.83625933358262
16,87.4234835837507,87.30465021690148,88.34840090723512,87.39575763068224,87.64607679465777,87.64627859298064,87.73374199784874,87.69547385409678
17,89.14858096828047,89.11022293067971,89.16623870783266,89.18797841338836,89.5937673900946,89.64116244771611,89.69932235971197,89.68866168579042
18,89.87200890372844,89.88567314654213,90.15802020262844,89.8812852497429,88.81469115191987,88.93217778541688,89.10282512281307,88.84055060692519
19,89.81636060100166,89.79524086149617,90.80578683881484,89.77421418593842,88.59209794101281,88.6299896714044,88.78121636259637,88.62112785295315
20,90.4284919309961,90.42115538561234,90.8456779292949,90.42005761698586,88.75904284919311,88.78399153944227,88.82946661073923,88.82548762747825
21,91.48580968280467,91.51007453298841,91.57334439228791,91.51616564587117,89.81636060100166,89.81212684181548,89.80260796521962,89.8623042154751
22,90.5954368391764,90.55997310479067,91.21109950833018,90.57122168604536,88.36950473010573,88.41880654081866,88.52888015695248,88.39590488857954
23,91.43016138007792,91.45672226404757,91.63617476973009,91.43309017372808,89.48247078464107,89.4627479354305,89.71307773345191,89.50195663869836
24,91.54145798553144,91.51370916004741,92.14869617000345,91.52118985689783,91.15191986644408,91.22637335750385,91.34973380296323,91.16196974201917
25,91.81969949916528,91.865695395638,92.12829882573821,91.81276861439795,89.7607122982749,89.84153227551633,89.89013210144314,89.8073279626949
26,91.98664440734558,92.02295501805146,92.27143090445192,91.98388946510674,89.70506399554814,89.80721328012694,90.06650155711746,89.71159467686076
27,91.0962715637173,91.1145203966864,91.88508245488671,91.05151776507729,91.54145798553144,91.59760172361666,91.65253347897632,91.56245209613432
28,91.65275459098497,91.65736333208012,92.25923798946592,91.62408722399064,89.53811908736785,89.55546019042461,89.54801396732267,89.62961537370747
29,92.04229271007233,92.0452950858168,92.26859911457548,92.04906508101128,91.81969949916528,91.86600113701164,91.9233972094229,91.85165371499116
30,91.93099610461881,91.92141347512224,92.18797053969071,91.92441828258909,91.04062326099054,91.03666697092596,91.12313709629146,91.06429368126852
31,92.04229271007233,92.04625018292046,92.19915497011712,92.04828015783123,91.0962715637173,91.14905623834805,91.23757103913643,91.12346306765086
32,92.59877573734,92.59677204110989,92.8374520076531,92.60014543231996,92.48747913188647,92.54612103690968,92.5911026506056,92.51221424786615
33,92.59877573734,92.63212861132496,92.82814687540294,92.59599406109378,91.70840289371174,91.74191833642898,91.7783451220853,91.7356841768579
34,92.43183082915971,92.44149562722968,92.72749186688529,92.4223874625336,90.98497495826378,91.02327147024157,91.06007531201128,91.01622904641654
35,92.93266555370062,92.95918511854227,93.19730135700635,92.92082298532347,92.20923761825264,92.22582579836957,92.22033464220965,92.24467255443807
36,93.15525876460768,93.15460861109794,93.38147949825569,93.15304312152,93.60044518642181,93.6496111109862,93.69545151293077,93.62047068590637
37,92.87701725097385,92.85683316124148,93.24405590722274,92.85806039556905,91.26321647189761,91.3297205816036,91.37869107188628,91.29430285842962
38,93.21090706733445,93.22225393621136,93.59189809779986,93.19100446022765,93.65609348914859,93.71568518569771,93.76174432641575,93.68050398828404
39,93.37785197551474,93.37797753605851,93.6662926988568,93.35443899294818,92.93266555370062,92.96335853111593,92.96004766213035,93.00006725585527
