round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,7,res9,brain_tumor,1.0,0,base.2,0.990533
1,7,res9,brain_tumor,1.0,1,base.6,0.983096
1,7,res9,brain_tumor,1.0,2,base.7,0.957881
1,7,res9,brain_tumor,1.0,3,base.11,0.883816
1,7,res9,brain_tumor,1.0,4,base.15,0.748753
1,7,res9,brain_tumor,1.0,5,base.16,0.643474
1,7,res9,brain_tumor,1.0,6,base.17,0.179761
1,7,res9,brain_tumor,1.0,7,base.18,0.179761
1,7,res9,brain_tumor,1.0,8,classifier,0.160660
1,9,res9,brain_tumor,1.0,0,base.2,0.994380
1,9,res9,brain_tumor,1.0,1,base.6,0.985161
1,9,res9,brain_tumor,1.0,2,base.7,0.974467
1,9,res9,brain_tumor,1.0,3,base.11,0.961116
1,9,res9,brain_tumor,1.0,4,base.15,0.909282
1,9,res9,brain_tumor,1.0,5,base.16,0.786412
1,9,res9,brain_tumor,1.0,6,base.17,0.795380
1,9,res9,brain_tumor,1.0,7,base.18,0.795380
1,9,res9,brain_tumor,1.0,8,classifier,0.774733
1,6,res9,brain_tumor,1.0,0,base.2,0.988437
1,6,res9,brain_tumor,1.0,1,base.6,0.976983
1,6,res9,brain_tumor,1.0,2,base.7,0.958248
1,6,res9,brain_tumor,1.0,3,base.11,0.910011
1,6,res9,brain_tumor,1.0,4,base.15,0.838228
1,6,res9,brain_tumor,1.0,5,base.16,0.813758
1,6,res9,brain_tumor,1.0,6,base.17,0.656567
1,6,res9,brain_tumor,1.0,7,base.18,0.656567
1,6,res9,brain_tumor,1.0,8,classifier,0.660249
1,3,res9,brain_tumor,1.0,0,base.2,0.989209
1,3,res9,brain_tumor,1.0,1,base.6,0.975361
1,3,res9,brain_tumor,1.0,2,base.7,0.951160
1,3,res9,brain_tumor,1.0,3,base.11,0.914095
1,3,res9,brain_tumor,1.0,4,base.15,0.842214
1,3,res9,brain_tumor,1.0,5,base.16,0.746479
1,3,res9,brain_tumor,1.0,6,base.17,0.540558
1,3,res9,brain_tumor,1.0,7,base.18,0.540558
1,3,res9,brain_tumor,1.0,8,classifier,0.638065
1,5,res9,brain_tumor,1.0,0,base.2,0.979898
1,5,res9,brain_tumor,1.0,1,base.6,0.968443
1,5,res9,brain_tumor,1.0,2,base.7,0.937929
1,5,res9,brain_tumor,1.0,3,base.11,0.890027
1,5,res9,brain_tumor,1.0,4,base.15,0.816482
1,5,res9,brain_tumor,1.0,5,base.16,0.729099
1,5,res9,brain_tumor,1.0,6,base.17,0.232970
1,5,res9,brain_tumor,1.0,7,base.18,0.232970
1,5,res9,brain_tumor,1.0,8,classifier,0.166470
1,0,res9,brain_tumor,1.0,0,base.2,0.988240
1,0,res9,brain_tumor,1.0,1,base.6,0.982356
1,0,res9,brain_tumor,1.0,2,base.7,0.971020
1,0,res9,brain_tumor,1.0,3,base.11,0.945355
1,0,res9,brain_tumor,1.0,4,base.15,0.880499
1,0,res9,brain_tumor,1.0,5,base.16,0.805920
1,0,res9,brain_tumor,1.0,6,base.17,0.502850
1,0,res9,brain_tumor,1.0,7,base.18,0.502850
1,0,res9,brain_tumor,1.0,8,classifier,0.571977
1,4,res9,brain_tumor,1.0,0,base.2,0.991761
1,4,res9,brain_tumor,1.0,1,base.6,0.982982
1,4,res9,brain_tumor,1.0,2,base.7,0.965808
1,4,res9,brain_tumor,1.0,3,base.11,0.889157
1,4,res9,brain_tumor,1.0,4,base.15,0.754861
1,4,res9,brain_tumor,1.0,5,base.16,0.643506
1,4,res9,brain_tumor,1.0,6,base.17,0.298386
1,4,res9,brain_tumor,1.0,7,base.18,0.298386
1,4,res9,brain_tumor,1.0,8,classifier,0.347272
1,1,res9,brain_tumor,1.0,0,base.2,0.991651
1,1,res9,brain_tumor,1.0,1,base.6,0.975885
1,1,res9,brain_tumor,1.0,2,base.7,0.940559
1,1,res9,brain_tumor,1.0,3,base.11,0.892991
1,1,res9,brain_tumor,1.0,4,base.15,0.839685
1,1,res9,brain_tumor,1.0,5,base.16,0.770249
1,1,res9,brain_tumor,1.0,6,base.17,0.209880
1,1,res9,brain_tumor,1.0,7,base.18,0.209880
1,1,res9,brain_tumor,1.0,8,classifier,0.229824
1,2,res9,brain_tumor,1.0,0,base.2,0.988108
1,2,res9,brain_tumor,1.0,1,base.6,0.970389
1,2,res9,brain_tumor,1.0,2,base.7,0.955726
1,2,res9,brain_tumor,1.0,3,base.11,0.923089
1,2,res9,brain_tumor,1.0,4,base.15,0.878662
1,2,res9,brain_tumor,1.0,5,base.16,0.852073
1,2,res9,brain_tumor,1.0,6,base.17,0.594752
1,2,res9,brain_tumor,1.0,7,base.18,0.594752
1,2,res9,brain_tumor,1.0,8,classifier,0.583878
1,8,res9,brain_tumor,1.0,0,base.2,0.993229
1,8,res9,brain_tumor,1.0,1,base.6,0.987949
1,8,res9,brain_tumor,1.0,2,base.7,0.976502
1,8,res9,brain_tumor,1.0,3,base.11,0.966521
1,8,res9,brain_tumor,1.0,4,base.15,0.943618
1,8,res9,brain_tumor,1.0,5,base.16,0.954669
1,8,res9,brain_tumor,1.0,6,base.17,0.946892
1,8,res9,brain_tumor,1.0,7,base.18,0.946892
1,8,res9,brain_tumor,1.0,8,classifier,0.962986
2,1,res9,brain_tumor,1.0,0,base.2,0.998938
2,1,res9,brain_tumor,1.0,1,base.6,0.995635
2,1,res9,brain_tumor,1.0,2,base.7,0.979766
2,1,res9,brain_tumor,1.0,3,base.11,0.933699
2,1,res9,brain_tumor,1.0,4,base.15,0.856362
2,1,res9,brain_tumor,1.0,5,base.16,0.796254
2,1,res9,brain_tumor,1.0,6,base.17,0.652499
2,1,res9,brain_tumor,1.0,7,base.18,0.652499
2,1,res9,brain_tumor,1.0,8,classifier,0.599118
2,7,res9,brain_tumor,1.0,0,base.2,0.999713
2,7,res9,brain_tumor,1.0,1,base.6,0.996906
2,7,res9,brain_tumor,1.0,2,base.7,0.977503
2,7,res9,brain_tumor,1.0,3,base.11,0.914715
2,7,res9,brain_tumor,1.0,4,base.15,0.813150
2,7,res9,brain_tumor,1.0,5,base.16,0.696327
2,7,res9,brain_tumor,1.0,6,base.17,0.430687
2,7,res9,brain_tumor,1.0,7,base.18,0.430687
2,7,res9,brain_tumor,1.0,8,classifier,0.486324
2,8,res9,brain_tumor,1.0,0,base.2,0.999129
2,8,res9,brain_tumor,1.0,1,base.6,0.996769
2,8,res9,brain_tumor,1.0,2,base.7,0.984562
2,8,res9,brain_tumor,1.0,3,base.11,0.951344
2,8,res9,brain_tumor,1.0,4,base.15,0.901637
2,8,res9,brain_tumor,1.0,5,base.16,0.871181
2,8,res9,brain_tumor,1.0,6,base.17,0.802858
2,8,res9,brain_tumor,1.0,7,base.18,0.802858
2,8,res9,brain_tumor,1.0,8,classifier,0.776292
2,0,res9,brain_tumor,1.0,0,base.2,0.999412
2,0,res9,brain_tumor,1.0,1,base.6,0.996325
2,0,res9,brain_tumor,1.0,2,base.7,0.981317
2,0,res9,brain_tumor,1.0,3,base.11,0.950365
2,0,res9,brain_tumor,1.0,4,base.15,0.893907
2,0,res9,brain_tumor,1.0,5,base.16,0.860736
2,0,res9,brain_tumor,1.0,6,base.17,0.740969
2,0,res9,brain_tumor,1.0,7,base.18,0.740969
2,0,res9,brain_tumor,1.0,8,classifier,0.632549
2,2,res9,brain_tumor,1.0,0,base.2,0.999458
2,2,res9,brain_tumor,1.0,1,base.6,0.997147
2,2,res9,brain_tumor,1.0,2,base.7,0.984543
2,2,res9,brain_tumor,1.0,3,base.11,0.948512
2,2,res9,brain_tumor,1.0,4,base.15,0.876869
