round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,48.6923,43.353,60.1196,49.1539,0,0.717177,0.168476,3.217021,0.707919,0.961068,0.128372,0.003476,0.000816,0.001327,0.000292,0.03459,0.00462,0.053575,0.141176,0.341322,50.6442,35.3448,85.989,13.4194
2,0.00999014,67.1675,67.2151,71.7717,67.3366,0,0.607429,0.146333,3.015012,0.805331,0.640258,0.113892,0.002944,0.000709,0.001243,0.000332,0.023043,0.004099,-0.007812,0.060481,0.252212,40.5788,48.7069,89.2857,12.3259
3,0.00996061,64.0512,63.2204,70.4143,64.4617,0,0.588526,0.169633,3.229444,0.826469,0.442626,0.053975,0.002852,0.000822,0.001332,0.000341,0.01593,0.001943,-0.005356,0.032177,0.153718,40.5594,50.6494,91.2088,13.6216
4,0.00991152,64.2181,63.4816,72.7848,64.6705,0,0.581256,0.183934,3.617865,0.984654,0.370265,0.049407,0.002817,0.000891,0.001492,0.000406,0.013326,0.001778,-0.014297,0.019831,-0.001488,35.6897,54.3103,90.0,10.7244
5,0.00984307,75.0696,75.4844,78.3241,75.2708,0,0.560125,0.163145,3.427743,0.958076,0.342876,0.047701,0.002715,0.000791,0.001414,0.000395,0.01234,0.001717,-0.01897,0.011216,0.030049,29.8268,60.1732,90.0,8.7805
6,0.00975553,69.7273,69.1764,75.3226,70.0478,0,0.532012,0.181587,3.224543,0.857488,0.30546,0.048002,0.002578,0.00088,0.00133,0.000354,0.010994,0.001728,-0.01488,0.009001,-0.014062,29.9138,65.0862,95.0,9.6521
7,0.00964923,75.626,75.7622,78.79,75.8467,0,0.525712,0.187574,3.390764,0.978449,0.277129,0.059087,0.002548,0.000909,0.001398,0.000404,0.009974,0.002127,-0.012595,0.005262,-0.021825,22.3214,71.4286,93.75,7.2709
8,0.00952461,76.5721,76.372,78.5772,76.8961,0,0.527856,0.155963,3.321186,0.732538,0.284853,0.048386,0.002558,0.000756,0.00137,0.000302,0.010252,0.001741,-0.006675,0.006054,-0.006724,29.0517,65.9483,95.0,8.5789
9,0.00938215,77.852,78.1359,81.1341,78.1126,0,0.48007,0.216375,2.751387,0.783321,0.263956,0.056371,0.002327,0.001049,0.001135,0.000323,0.0095,0.002029,0.000753,0.005852,-0.009063,39.8892,58.8608,98.75,13.1121
10,0.00922242,85.5871,85.687,85.8175,85.6729,0,0.437449,0.216554,2.44926,0.684592,0.2432,0.058637,0.00212,0.00105,0.00101,0.000282,0.008753,0.00211,0.012528,0.005733,-0.014632,30.7503,62.931,93.6813,8.6231
