round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,48.8036,42.5903,41.2004,48.873,0,0.216511,0.070668,3.041558,0.216822,0.58967,0.09256,0.004334,0.001414,0.001656,0.000118,0.021223,0.003331,0.616204,0.152426,0.362042,18.1621,53.3708,71.5328,5.6874
2,0.00999014,67.0006,66.9281,69.3135,67.0945,0,0.129455,0.060646,1.779162,0.408892,0.32482,0.079433,0.002591,0.001214,0.000969,0.000223,0.011691,0.002859,0.851429,0.343701,0.267655,13.6103,60.1124,73.7226,4.6747
3,0.00996061,75.1809,75.084,75.407,75.2435,0,0.085066,0.033213,1.759549,0.437279,0.2715,0.053187,0.001703,0.000665,0.000958,0.000238,0.009772,0.001914,0.738756,0.238709,0.067835,24.1695,61.236,85.4054,7.2551
4,0.00991152,74.847,74.7478,75.7968,74.9246,0,0.076413,0.026245,1.601009,0.321959,0.291157,0.060266,0.001529,0.000525,0.000872,0.000175,0.010479,0.002169,0.714208,0.186411,0.056691,14.4025,67.4157,81.8182,4.4802
5,0.00984307,76.4051,76.164,76.9139,76.4886,0,0.075165,0.027804,1.641271,0.346652,0.319482,0.064652,0.001505,0.000557,0.000894,0.000189,0.011498,0.002327,0.629293,0.13109,-0.003196,24.4088,59.375,83.7838,6.4245
6,0.00975553,78.6867,78.5396,78.8947,78.7571,0,0.061027,0.020747,1.612098,0.358334,0.331493,0.054566,0.001222,0.000415,0.000878,0.000195,0.011931,0.001964,0.507013,0.101797,0.052576,15.732,72.9167,88.6486,5.0377
7,0.00964923,79.8553,79.7621,80.0958,79.9141,0,0.060726,0.017321,1.683841,0.345286,0.321627,0.062372,0.001215,0.000347,0.000917,0.000188,0.011576,0.002245,0.452188,0.073935,0.005596,15.3992,69.4656,84.8649,4.7602
8,0.00952461,80.3561,80.2808,80.5496,80.4171,0,0.059267,0.01656,1.743824,0.39585,0.33189,0.062268,0.001186,0.000331,0.000949,0.000216,0.011945,0.002241,0.383347,0.0624,0.016092,22.8971,66.2921,89.1892,7.143
9,0.00938215,81.0796,81.0756,81.7979,81.1372,0,0.062447,0.017145,1.848646,0.419036,0.324627,0.067612,0.00125,0.000343,0.001007,0.000228,0.011684,0.002433,0.365072,0.048601,-0.02656,14.6978,75.5725,90.2703,4.7323
10,0.00922242,82.0812,82.0579,82.4834,82.133,0,0.060617,0.018652,1.735333,0.373139,0.32561,0.059189,0.001213,0.000373,0.000945,0.000203,0.011719,0.00213,0.348736,0.045018,0.002205,15.8108,75.0,90.8108,5.2595
11,0.00904604,82.3595,82.3297,82.6095,82.4128,0,0.059372,0.01565,1.825386,0.409315,0.317707,0.062394,0.001188,0.000313,0.000994,0.000223,0.011435,0.002246,0.270526,0.035071,0.015819,19.092,66.8539,85.9459,5.8209
12,0.00885371,82.3595,82.3185,82.7605,82.4219,1,0.057494,0.012905,1.779839,0.322618,0.302075,0.057165,0.001151,0.000258,0.000969,0.000176,0.010872,0.002057,0.287467,0.030357,-0.019136,15.8398,72.4719,88.3117,4.7501
13,0.0086462,84.1959,84.1947,84.6126,84.2461,0,0.061124,0.015813,1.827234,0.400231,0.289822,0.069308,0.001223,0.000317,0.000995,0.000218,0.010431,0.002494,0.294538,0.022571,-0.045417,15.6668,74.4792,90.146,5.3561
14,0.00842431,83.7507,83.7194,83.9907,83.8037,0,0.055321,0.013905,1.688884,0.378307,0.2899,0.054549,0.001107,0.000278,0.00092,0.000206,0.010434,0.001963,0.259179,0.026954,0.025694,20.947,71.9101,92.8571,5.9299
15,0.00818893,83.7507,83.748,83.9713,83.7969,0,0.059074,0.009588,1.793525,0.242701,0.281356,0.048276,0.001182,0.000192,0.000977,0.000132,0.010126,0.001737,0.256901,0.024496,-0.015447,15.2644,74.4792,89.7436,5.7831
16,0.00794099,84.5854,84.5922,84.8788,84.628,0,0.062048,0.013638,1.896127,0.336831,0.265998,0.051651,0.001242,0.000273,0.001032,0.000183,0.009573,0.001859,0.255339,0.020168,-0.020991,16.113,74.1573,90.2703,5.4591
17,0.00768145,85.0306,84.9871,85.2159,85.0817,0,0.057834,0.013322,1.737702,0.40033,0.258229,0.049512,0.001158,0.000267,0.000946,0.000218,0.009294,0.001782,0.230914,0.020885,-0.012162,17.5762,75.2809,92.8571,5.1577
18,0.00741136,84.6411,84.5764,84.6612,84.6962,0,0.061052,0.014559,1.802214,0.347089,0.269981,0.05312,0.001222,0.000291,0.000981,0.000189,0.009717,0.001912,0.26726,0.01754,-0.027256,13.4052,75.2809,88.6861,4.3433
19,0.00713177,85.754,85.7216,85.9147,85.8022,0,0.05635,0.013489,1.661826,0.367023,0.245594,0.036758,0.001128,0.00027,0.000905,0.0002,0.008839,0.001323,0.243981,0.019205,0.001885,20.2101,71.3483,91.5584,6.0525
20,0.00684378,84.9193,84.8152,85.0092,84.9807,0,0.062543,0.012462,1.894459,0.353731,0.244373,0.044019,0.001252,0.000249,0.001031,0.000193,0.008795,0.001584,0.230895,0.017352,-0.016823,16.1661,76.0417,92.2078,5.0574
21,0.00654854,85.5871,85.5308,85.8054,85.6417,0,0.058279,0.01773,1.729084,0.478818,0.231874,0.061934,0.001167,0.000355,0.000941,0.000261,0.008345,0.002229,0.26229,0.01786,-0.036323,19.7359,72.4719,92.2078,5.6144
22,0.00624721,86.0879,86.0537,86.1923,86.1352,0,0.056422,0.011572,1.608715,0.302261,0.229726,0.043774,0.001129,0.000232,0.000876,0.000165,0.008268,0.001575,0.272415,0.023824,0.006473,22.5449,69.6629,92.2078,5.7871
