epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,24.832962138084632,10.225846024782442,12.51764539808018,24.995883737372758,67.0935412026726,66.89513473430442,67.65702700294426,67.03146571212145
1,42.650334075723826,36.02082216077696,45.045860739774284,41.86431401824049,74.33184855233853,74.33470988298345,74.89580654574807,74.27213626663607
2,63.30734966592427,62.977441925475006,70.50005359094679,63.3463719787311,77.67260579064587,77.65737510069185,78.56355743958329,77.55578983891921
3,71.5478841870824,71.27615177309073,73.46131108149201,71.56171258680621,80.17817371937639,80.18837906523821,80.61284687517862,80.11878435127025
4,77.11581291759465,76.99638038784191,77.76778237494703,77.29737839382106,81.51447661469933,81.55189463485489,81.86153721450626,81.49641304101539
5,78.89755011135857,78.88179208887402,79.48936653453376,79.10501938889672,81.45879732739421,81.473060033098,81.47542199574582,81.58832506564598
6,79.28730512249443,79.0386300429169,79.5468171438712,79.59955174815549,82.34966592427617,82.33862774602694,82.40455171502369,82.49242835140107
7,80.45657015590201,80.4336088020934,80.90715451421974,80.69372962501586,83.184855233853,83.2854148261304,83.62572594399707,83.23235469383128
8,81.57015590200446,81.53575109604947,82.09928225976746,81.83208191883212,83.57461024498886,83.64318149347079,83.73637515224715,83.6791863129305
9,81.9042316258352,81.92523637894932,82.30999702733834,82.11330049996818,84.07572383073497,84.1803302590724,84.2172106723203,84.16436557149912
10,83.9086859688196,83.96968432897476,84.29274087452268,84.14565277016536,83.29621380846325,83.36272532292699,83.33051404952816,83.41884759018234
11,83.74164810690424,83.69951150632689,83.99989990339063,84.00843935785856,83.12917594654789,83.28702743313109,83.52020804286322,83.1584547756803
12,84.18708240534521,84.2052233864477,84.42030786794086,84.42013521661728,83.184855233853,83.15947159490501,83.17449379377297,83.32424702956651
13,83.29621380846325,83.24355521300454,83.65529261150924,83.54687495965342,85.74610244988864,85.82716459978236,85.83080227921968,85.84785721041132
14,84.52115812917594,84.44714372056282,84.66257964544275,84.78329147287018,85.6347438752784,85.71927161764333,85.67222127521129,85.78275223761067
15,84.46547884187082,84.45022668669792,84.71306277846682,84.71004395389295,85.69042316258351,85.76476518862317,85.77435447156346,85.78685206385089
16,84.9109131403118,84.97634688350608,85.30768425891335,85.11671079852977,86.69265033407572,86.78640289917632,86.86110596502338,86.77860269957895
17,84.85523385300668,84.84674095051568,85.08524224050079,85.10182286565133,85.69042316258351,85.77469967326834,85.87680075900303,85.7861523479549
18,85.41202672605792,85.48428342045007,85.85237515324839,85.61158294381055,86.41425389755011,86.54998740983574,86.65898514935408,86.48236136675041
19,85.6347438752784,85.67332432457664,85.83064173634799,85.83905348772703,86.46993318485524,86.55570779265777,86.63583097621787,86.54536981063781
