round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,47.3011,40.9552,36.9019,47.1504,0,0.197978,0.112796,3.463564,0.770552,0.639626,0.156171,0.565844,0.157076,0.226403,35.2848,37.5,72.7848,10.0973
2,0.0099846,65.1085,64.8651,69.7025,65.182,0,0.136005,0.055649,1.679515,0.52152,0.333009,0.084363,0.847249,0.375919,0.294819,24.9176,57.5,82.4176,7.7184
3,0.0099385,75.0139,74.9197,75.5079,75.1331,0,0.084674,0.040997,1.504547,0.450526,0.268104,0.043839,0.798516,0.2693,0.065652,18.4187,67.2956,85.7143,5.3023
4,0.00986199,77.2955,77.3018,77.4729,77.3695,0,0.069425,0.0387,1.467588,0.455413,0.260996,0.042839,0.67443,0.171909,0.050377,12.7463,69.3966,82.1429,3.7413
5,0.00975553,76.7947,76.7173,76.9219,76.9794,0,0.069149,0.026712,1.565749,0.455049,0.279213,0.028751,0.624507,0.119177,-0.015039,19.5718,67.2414,86.8132,6.1749
6,0.00961978,80.5231,80.4974,80.9232,80.6173,0,0.058745,0.025077,1.541667,0.456525,0.278478,0.036184,0.484209,0.093719,0.025383,12.239,73.75,85.989,3.3999
7,0.00945558,81.7474,81.6986,82.0253,81.8392,0,0.064896,0.025634,1.607505,0.462921,0.29111,0.056331,0.534069,0.079933,-0.032204,15.1572,74.8428,90.0,4.7437
8,0.00926394,81.9699,81.8817,82.248,82.0642,0,0.062723,0.022995,1.705415,0.457394,0.288451,0.046474,0.393849,0.061378,-0.016326,15.1569,73.5931,88.75,4.2168
9,0.00904604,83.1386,83.1655,83.8978,83.1724,0,0.061429,0.023519,1.670139,0.455097,0.28027,0.033413,0.352012,0.063107,-0.013161,11.3994,76.1006,87.5,4.3994
10,0.00880323,83.0273,82.9689,83.3249,83.1049,1,0.062427,0.02446,1.742403,0.560378,0.298339,0.062676,0.320493,0.044346,-0.00321,12.0779,77.9221,90.0,3.9824
11,0.008537,82.9716,83.0172,83.496,83.0315,0,0.058042,0.020243,1.688837,0.485169,0.27514,0.031131,0.310369,0.040545,-0.009968,16.4308,71.0692,87.5,4.8809
12,0.00824899,83.9733,84.023,84.7104,84.023,0,0.060275,0.019021,1.720222,0.434657,0.269581,0.043889,0.282857,0.034892,-0.010837,12.8309,76.7296,89.5604,4.2495
13,0.00794099,84.6967,84.7556,84.9114,84.7775,0,0.059166,0.01883,1.690149,0.436935,0.270812,0.047154,0.288137,0.032679,-0.012246,13.2626,77.9874,91.25,4.3004
14,0.00761488,84.7524,84.7767,84.9925,84.836,0,0.058784,0.014637,1.714046,0.358742,0.263651,0.04036,0.264094,0.027528,-0.026117,13.2704,76.7296,90.0,4.1148
15,0.00727268,85.6427,85.7232,85.9103,85.7109,0,0.060596,0.017884,1.789948,0.380584,0.254158,0.049306,0.239739,0.023275,-0.01626,9.5705,78.6164,88.1868,2.9043
16,0.0069165,86.1436,86.2013,86.6666,86.1944,0,0.058324,0.016489,1.692597,0.389267,0.25645,0.035928,0.226814,0.022185,-0.010022,13.2792,79.2208,92.5,4.1215
17,0.00654854,86.1436,86.1716,86.6443,86.2008,0,0.061277,0.017362,1.787422,0.422883,0.248612,0.059398,0.209867,0.01835,-0.015247,21.3536,70.1299,91.4835,6.1614
18,0.00617106,85.9766,86.0074,86.1619,86.0453,0,0.05939,0.019327,1.70781,0.445863,0.234991,0.044059,0.23147,0.02192,-0.00977,10.4641,78.6164,89.0805,3.684
