epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,25.486922648859213,12.066942245733603,28.670452031561094,25.69764349049603,63.55036171396773,63.45597171148639,63.88480027011625,63.716299751826845
1,47.96883695047301,41.588761104875616,37.29632778473838,47.95074418386559,71.17417918753478,71.2829483505718,71.72696710041849,71.25796293506004
2,66.05453533667223,65.85125587940368,67.45643494412478,66.03672607581832,74.90261547022816,74.77947893066543,75.52617558423577,75.08869475095193
3,74.5130773511408,74.43881063492704,75.09901497994188,74.64412509320886,76.62771285475793,76.62185928749109,76.85890045919221,76.77312643712334
4,76.0155815247635,75.97099298795955,76.21421517814683,76.11092435598023,77.8519755147468,77.63833132446877,78.09826834572135,78.02158469343887
5,79.35447968836951,79.27410351416424,79.2891240850045,79.49959597401613,80.189204229271,80.27043757553609,80.39613644949642,80.26167823434433
6,80.30050083472455,80.23938230683447,81.34466086071566,80.35437065340902,80.96828046744574,81.04862711289051,81.09423590239896,81.04478060674079
7,80.57874234835838,80.57477431016213,80.63818526583042,80.68584223800238,81.30217028380635,81.36700471812833,81.35675437440206,81.39716312470738
8,82.47078464106845,82.50094986099523,82.78480986322802,82.5439180431387,81.46911519198665,81.51303891315787,81.51711379183514,81.54293477963532
9,82.69337785197551,82.67902264607184,82.77101450631574,82.77526770226049,82.24819143016137,82.30125244639174,82.31688407742493,82.28762890736922
10,83.13856427378965,83.1804375029122,83.77650915999159,83.17390016987878,81.52476349471341,81.57072097146144,81.58477823467285,81.58875720616126
11,83.86199220923763,83.85174985871382,84.17566206299223,83.92260971872841,81.91430161380077,82.01562965422582,82.12623798081395,81.9626795179136
12,83.1942125765164,83.29489072128366,83.88467885683579,83.24752001963225,83.02726766833611,83.0793044623197,83.06931867669805,83.11557323345858
13,84.41847523650529,84.46005474364229,84.73789253721752,84.48782195307352,83.41680578742348,83.41498690982078,83.38649585410825,83.49920493024587
14,85.42014468558709,85.46193820701593,85.88315610529006,85.47398582027293,83.63939899833055,83.68977357651393,83.72765695752213,83.70913029945235
15,84.91930996104618,84.92057960415845,85.1313814708581,85.00614548781735,81.80300500834724,81.69465083964478,81.79062724042177,81.9123555569532
16,84.80801335559266,84.8459091792782,85.16011820669716,84.88200255264518,84.47412353923205,84.43160900191167,84.46691727737768,84.59435558522924
17,84.58542014468559,84.58922543279117,84.75717258765248,84.69485507747345,84.19588202559822,84.23083327957205,84.26437204529401,84.27814802740427
18,85.7540345019477,85.80363289650343,86.27340741523433,85.80361774148945,84.02893711741793,84.02479645402472,83.98750791349386,84.12776888152482
19,85.64273789649415,85.69605777370883,85.8875762746185,85.72066037184656,84.86366165831942,84.89128897289294,84.93753639831276,84.95912378076198
20,85.25319977740679,85.30094465399222,85.69804740466155,85.33029182696104,84.41847523650529,84.49789624637975,84.5594994774575,84.45876467359842
21,86.31051752921536,86.35486234773109,86.53664956233904,86.37600586949344,85.7540345019477,85.80898892957765,85.85108830947988,85.82215639129525
22,86.14357262103506,86.16706197515576,86.42207970469629,86.21049367515685,85.64273789649415,85.67050178506602,85.74597701541626,85.70107810803387
23,86.75570395102949,86.79286895037285,87.07087995434556,86.82443239323462,85.30884808013356,85.42688121407433,85.60903884685808,85.33174259464538
24,86.0879243183083,86.18446115957494,86.5462838590302,86.14168733547554,84.86366165831942,84.93704453152564,84.97661432775902,84.91992405184004
25,86.19922092376183,86.241999116886,86.43318426978395,86.27535071072668,86.70005564830274,86.72220781437174,86.6997814740385,86.75329597222444
26,86.75570395102949,86.8083401050225,86.96573994922879,86.82611248170065,86.2548692264886,86.27645107212504,86.27069941206885,86.35231134413944
27,86.31051752921536,86.35332895519672,86.45725767503461,86.40766704293777,86.70005564830274,86.72098934517075,86.72408358847365,86.79013697960032
28,87.20089037284363,87.28994817380094,87.46094359039856,87.2587207628253,86.53311074012242,86.6044048257449,86.74419256537401,86.58974097427796
29,87.2565386755704,87.31939104254855,87.76069287416662,87.29853300782307,86.86700055648303,86.94065022207982,87.00186231180173,86.9023073388585
30,87.64607679465777,87.70745750121934,87.92661631429941,87.69467475579077,88.2582081246522,88.29288231883797,88.28432659123924,88.33182809435586
31,87.4234835837507,87.49741029631555,87.66518623989572,87.48244892164823,87.20089037284363,87.23044990645091,87.22595079253685,87.2796892229806
32,87.64607679465777,87.71774556040364,87.86931588770098,87.71435047751007,87.14524207011685,87.17021194138674,87.15110319841234,87.19407765038801
33,87.36783528102393,87.47337173477706,87.63135865005036,87.42520316325727,86.75570395102949,86.77324826971787,86.78368275992754,86.7970407371343
34,87.81302170283807,87.86468717762959,87.93903077964217,87.8944296484378,86.0879243183083,86.12835543285065,86.14230505856122,86.16571417642756
35,86.70005564830274,86.7908000720998,86.98160343038603,86.75367541824257,86.86700055648303,86.93056405159291,86.95659526996631,86.9197576364511
36,87.70172509738453,87.78763845736373,87.87998339442476,87.76209653202733,87.47913188647746,87.49598481030331,87.48122558998139,87.55314532092217
37,87.81302170283807,87.89627920792267,88.02825877641729,87.87064007589703,87.47913188647746,87.54325126690865,87.60521186883369,87.5403502578058
38,88.4251530328325,88.50867449311254,88.66820793127879,88.47120482679904,88.2582081246522,88.25392407986625,88.24486351730621,88.3395519327488
