round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,9,vit_tiny,brain_tumor,1.0,0,base.patch_embed,0.965976
1,9,vit_tiny,brain_tumor,1.0,1,base.blocks.0,0.963014
1,9,vit_tiny,brain_tumor,1.0,2,base.blocks.1,0.960687
1,9,vit_tiny,brain_tumor,1.0,3,base.blocks.2,0.960394
1,9,vit_tiny,brain_tumor,1.0,4,base.blocks.3,0.956656
1,9,vit_tiny,brain_tumor,1.0,5,base.blocks.4,0.952878
1,9,vit_tiny,brain_tumor,1.0,6,base.blocks.5,0.940318
1,9,vit_tiny,brain_tumor,1.0,7,base.blocks.6,0.929758
1,9,vit_tiny,brain_tumor,1.0,8,base.blocks.7,0.929976
1,9,vit_tiny,brain_tumor,1.0,9,base.blocks.8,0.913687
1,9,vit_tiny,brain_tumor,1.0,10,base.blocks.9,0.907899
1,9,vit_tiny,brain_tumor,1.0,11,base.blocks.10,0.907963
1,9,vit_tiny,brain_tumor,1.0,12,base.blocks.11,0.908415
1,9,vit_tiny,brain_tumor,1.0,13,base.norm,0.863557
1,9,vit_tiny,brain_tumor,1.0,14,classifier,0.674963
1,2,vit_tiny,brain_tumor,1.0,0,base.patch_embed,0.957525
1,2,vit_tiny,brain_tumor,1.0,1,base.blocks.0,0.854704
1,2,vit_tiny,brain_tumor,1.0,2,base.blocks.1,0.861939
1,2,vit_tiny,brain_tumor,1.0,3,base.blocks.2,0.877112
1,2,vit_tiny,brain_tumor,1.0,4,base.blocks.3,0.894260
1,2,vit_tiny,brain_tumor,1.0,5,base.blocks.4,0.918116
1,2,vit_tiny,brain_tumor,1.0,6,base.blocks.5,0.927243
1,2,vit_tiny,brain_tumor,1.0,7,base.blocks.6,0.935895
1,2,vit_tiny,brain_tumor,1.0,8,base.blocks.7,0.936993
1,2,vit_tiny,brain_tumor,1.0,9,base.blocks.8,0.946006
1,2,vit_tiny,brain_tumor,1.0,10,base.blocks.9,0.948748
1,2,vit_tiny,brain_tumor,1.0,11,base.blocks.10,0.949726
1,2,vit_tiny,brain_tumor,1.0,12,base.blocks.11,0.949638
1,2,vit_tiny,brain_tumor,1.0,13,base.norm,0.943423
1,2,vit_tiny,brain_tumor,1.0,14,classifier,0.663615
1,0,vit_tiny,brain_tumor,1.0,0,base.patch_embed,0.957084
1,0,vit_tiny,brain_tumor,1.0,1,base.blocks.0,0.953115
1,0,vit_tiny,brain_tumor,1.0,2,base.blocks.1,0.940975
1,0,vit_tiny,brain_tumor,1.0,3,base.blocks.2,0.927832
1,0,vit_tiny,brain_tumor,1.0,4,base.blocks.3,0.908508
1,0,vit_tiny,brain_tumor,1.0,5,base.blocks.4,0.883574
1,0,vit_tiny,brain_tumor,1.0,6,base.blocks.5,0.859041
1,0,vit_tiny,brain_tumor,1.0,7,base.blocks.6,0.836746
1,0,vit_tiny,brain_tumor,1.0,8,base.blocks.7,0.834821
1,0,vit_tiny,brain_tumor,1.0,9,base.blocks.8,0.805197
1,0,vit_tiny,brain_tumor,1.0,10,base.blocks.9,0.794496
1,0,vit_tiny,brain_tumor,1.0,11,base.blocks.10,0.791887
1,0,vit_tiny,brain_tumor,1.0,12,base.blocks.11,0.791696
1,0,vit_tiny,brain_tumor,1.0,13,base.norm,0.742423
1,0,vit_tiny,brain_tumor,1.0,14,classifier,0.688439
1,1,vit_tiny,brain_tumor,1.0,0,base.patch_embed,0.955812
1,1,vit_tiny,brain_tumor,1.0,1,base.blocks.0,0.951338
1,1,vit_tiny,brain_tumor,1.0,2,base.blocks.1,0.939784
1,1,vit_tiny,brain_tumor,1.0,3,base.blocks.2,0.927150
1,1,vit_tiny,brain_tumor,1.0,4,base.blocks.3,0.908763
1,1,vit_tiny,brain_tumor,1.0,5,base.blocks.4,0.885509
1,1,vit_tiny,brain_tumor,1.0,6,base.blocks.5,0.861059
1,1,vit_tiny,brain_tumor,1.0,7,base.blocks.6,0.839160
1,1,vit_tiny,brain_tumor,1.0,8,base.blocks.7,0.837611
1,1,vit_tiny,brain_tumor,1.0,9,base.blocks.8,0.808058
1,1,vit_tiny,brain_tumor,1.0,10,base.blocks.9,0.797637
1,1,vit_tiny,brain_tumor,1.0,11,base.blocks.10,0.795012
1,1,vit_tiny,brain_tumor,1.0,12,base.blocks.11,0.795049
1,1,vit_tiny,brain_tumor,1.0,13,base.norm,0.738811
1,1,vit_tiny,brain_tumor,1.0,14,classifier,0.640587
1,6,vit_tiny,brain_tumor,1.0,0,base.patch_embed,0.957727
1,6,vit_tiny,brain_tumor,1.0,1,base.blocks.0,0.958151
1,6,vit_tiny,brain_tumor,1.0,2,base.blocks.1,0.953313
1,6,vit_tiny,brain_tumor,1.0,3,base.blocks.2,0.946105
1,6,vit_tiny,brain_tumor,1.0,4,base.blocks.3,0.934240
1,6,vit_tiny,brain_tumor,1.0,5,base.blocks.4,0.919728
1,6,vit_tiny,brain_tumor,1.0,6,base.blocks.5,0.901594
1,6,vit_tiny,brain_tumor,1.0,7,base.blocks.6,0.885236
1,6,vit_tiny,brain_tumor,1.0,8,base.blocks.7,0.885449
1,6,vit_tiny,brain_tumor,1.0,9,base.blocks.8,0.863059
1,6,vit_tiny,brain_tumor,1.0,10,base.blocks.9,0.855640
1,6,vit_tiny,brain_tumor,1.0,11,base.blocks.10,0.855115
1,6,vit_tiny,brain_tumor,1.0,12,base.blocks.11,0.856734
1,6,vit_tiny,brain_tumor,1.0,13,base.norm,0.812868
1,6,vit_tiny,brain_tumor,1.0,14,classifier,0.679823
1,5,vit_tiny,brain_tumor,1.0,0,base.patch_embed,0.956509
1,5,vit_tiny,brain_tumor,1.0,1,base.blocks.0,0.958702
1,5,vit_tiny,brain_tumor,1.0,2,base.blocks.1,0.958263
1,5,vit_tiny,brain_tumor,1.0,3,base.blocks.2,0.954352
1,5,vit_tiny,brain_tumor,1.0,4,base.blocks.3,0.944735
1,5,vit_tiny,brain_tumor,1.0,5,base.blocks.4,0.933093
1,5,vit_tiny,brain_tumor,1.0,6,base.blocks.5,0.915886
1,5,vit_tiny,brain_tumor,1.0,7,base.blocks.6,0.900041
1,5,vit_tiny,brain_tumor,1.0,8,base.blocks.7,0.899331
1,5,vit_tiny,brain_tumor,1.0,9,base.blocks.8,0.877688
1,5,vit_tiny,brain_tumor,1.0,10,base.blocks.9,0.869979
1,5,vit_tiny,brain_tumor,1.0,11,base.blocks.10,0.868683
1,5,vit_tiny,brain_tumor,1.0,12,base.blocks.11,0.868852
1,5,vit_tiny,brain_tumor,1.0,13,base.norm,0.801342
1,5,vit_tiny,brain_tumor,1.0,14,classifier,0.662846
1,3,vit_tiny,brain_tumor,1.0,0,base.patch_embed,0.957398
1,3,vit_tiny,brain_tumor,1.0,1,base.blocks.0,0.868384
1,3,vit_tiny,brain_tumor,1.0,2,base.blocks.1,0.861237
1,3,vit_tiny,brain_tumor,1.0,3,base.blocks.2,0.869402
1,3,vit_tiny,brain_tumor,1.0,4,base.blocks.3,0.885701
1,3,vit_tiny,brain_tumor,1.0,5,base.blocks.4,0.909248
1,3,vit_tiny,brain_tumor,1.0,6,base.blocks.5,0.919090
1,3,vit_tiny,brain_tumor,1.0,7,base.blocks.6,0.929273
1,3,vit_tiny,brain_tumor,1.0,8,base.blocks.7,0.930247
1,3,vit_tiny,brain_tumor,1.0,9,base.blocks.8,0.941504
1,3,vit_tiny,brain_tumor,1.0,10,base.blocks.9,0.945015
1,3,vit_tiny,brain_tumor,1.0,11,base.blocks.10,0.946216
1,3,vit_tiny,brain_tumor,1.0,12,base.blocks.11,0.946393
1,3,vit_tiny,brain_tumor,1.0,13,base.norm,0.949101
1,3,vit_tiny,brain_tumor,1.0,14,classifier,0.708440
1,8,vit_tiny,brain_tumor,1.0,0,base.patch_embed,0.959880
1,8,vit_tiny,brain_tumor,1.0,1,base.blocks.0,0.949001
1,8,vit_tiny,brain_tumor,1.0,2,base.blocks.1,0.955942
1,8,vit_tiny,brain_tumor,1.0,3,base.blocks.2,0.961410
1,8,vit_tiny,brain_tumor,1.0,4,base.blocks.3,0.961953
1,8,vit_tiny,brain_tumor,1.0,5,base.blocks.4,0.962835
