round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,26.4329,13.4073,22.066,26.2224,0,0.31533,0.102153,4.255508,0.82426,0.868832,0.116437,0.003218,0.001043,0.001818,0.000352,0.03127,0.004191,0.509635,0.230603,0.45591,27.0109,34.6774,61.6883,9.6106
2,0.00999014,44.0735,42.8171,50.4749,44.1434,0,0.200479,0.112344,0.716815,0.250094,0.33039,0.132094,0.002046,0.001147,0.000306,0.000107,0.011891,0.004754,0.950939,0.709717,0.338054,23.3539,46.3542,69.708,5.6526
3,0.00996061,47.1898,44.8495,59.1506,47.1418,0,0.197744,0.07207,0.864976,0.344517,0.342973,0.070398,0.002018,0.000736,0.00037,0.000147,0.012344,0.002534,0.900733,0.601697,0.21249,37.0355,35.9375,72.973,11.8096
4,0.00991152,66.4441,66.3365,67.621,66.4935,0,0.198424,0.092216,0.867504,0.332942,0.292631,0.05647,0.002025,0.000941,0.000371,0.000142,0.010532,0.002032,0.936408,0.632289,0.153848,17.2635,55.7292,72.9927,5.2943
5,0.00984307,68.0579,67.7827,68.0235,68.1255,0,0.149337,0.057299,0.719138,0.233054,0.297051,0.064847,0.001524,0.000585,0.000307,0.0001,0.010691,0.002334,0.845178,0.521732,0.070534,23.4641,52.0833,75.5474,6.9535
6,0.00975553,65.1085,65.9296,69.7209,65.0924,0,0.15865,0.078354,0.671053,0.244156,0.319915,0.103789,0.001619,0.0008,0.000287,0.000104,0.011514,0.003735,0.922115,0.304513,0.064041,13.9813,67.1875,81.1688,4.6423
7,0.00964923,70.2838,69.7673,70.3832,70.3766,0,0.183187,0.074061,0.704871,0.202947,0.32713,0.096565,0.00187,0.000756,0.000301,8.7e-05,0.011774,0.003475,0.907281,0.289623,0.039197,20.7827,63.5417,84.3243,6.1366
8,0.00952461,71.5637,71.3864,71.4332,71.6382,0,0.138669,0.055602,0.681526,0.191748,0.343878,0.072319,0.001415,0.000567,0.000291,8.2e-05,0.012376,0.002603,0.714575,0.222015,0.070345,22.866,61.4583,84.3243,6.9657
9,0.00938215,71.7307,71.8666,72.499,71.7782,0,0.117105,0.037504,0.630434,0.148702,0.33338,0.079105,0.001195,0.000383,0.000269,6.4e-05,0.011999,0.002847,0.726916,0.239823,0.110097,23.8704,59.8958,83.7662,7.2562
10,0.00922242,73.1219,73.0181,73.4738,73.1842,0,0.118565,0.045685,0.61083,0.13141,0.302061,0.083765,0.00121,0.000466,0.000261,5.6e-05,0.010871,0.003015,0.688036,0.162335,0.017925,24.4316,62.5954,87.027,7.3609
11,0.00904604,72.9549,72.8015,72.9303,73.0149,0,0.098443,0.035331,0.619168,0.150736,0.297659,0.088007,0.001005,0.000361,0.000265,6.4e-05,0.010713,0.003167,0.634349,0.134632,0.01536,21.9746,63.3588,85.3333,6.8088
12,0.00885371,71.6194,71.7144,73.3187,71.6724,0,0.11297,0.051584,0.672364,0.201349,0.300448,0.069507,0.001153,0.000526,0.000287,8.6e-05,0.010813,0.002502,0.541503,0.112288,0.010393,25.195,61.8321,87.027,7.5714
13,0.0086462,73.3445,73.2031,74.0889,73.4161,0,0.105352,0.036825,0.635123,0.149806,0.296605,0.106904,0.001075,0.000376,0.000271,6.4e-05,0.010675,0.003848,0.602105,0.108447,-0.008706,26.1481,64.1221,90.2703,7.5094
14,0.00842431,73.734,73.4629,75.5519,73.7919,0,0.106221,0.033119,0.661299,0.148166,0.305115,0.075315,0.001084,0.000338,0.000283,6.3e-05,0.010981,0.002711,0.473203,0.115739,-0.000351,27.434,60.6742,88.1081,9.4251
15,0.00818893,74.2905,73.8965,73.8515,74.372,0,0.091314,0.026987,0.633175,0.131971,0.2868,0.079795,0.000932,0.000275,0.000271,5.6e-05,0.010322,0.002872,0.48485,0.122175,0.036706,21.5878,66.4122,88.0,8.4622
16,0.00794099,75.1252,75.0437,76.028,75.1969,0,0.088091,0.025013,0.659642,0.136308,0.271146,0.084798,0.000899,0.000255,0.000282,5.8e-05,0.009759,0.003052,0.443233,0.078947,0.054727,23.0412,66.2921,89.3333,7.0391
17,0.00768145,76.906,76.7183,76.6119,76.9702,0,0.089539,0.026819,0.71525,0.13239,0.282554,0.062324,0.000914,0.000274,0.000306,5.7e-05,0.010169,0.002243,0.430725,0.101293,0.016747,22.6491,68.7023,91.3514,6.7452
18,0.00741136,74.2348,74.1458,77.2325,74.2742,0,0.083088,0.01887,0.692297,0.148269,0.260623,0.072192,0.000848,0.000193,0.000296,6.3e-05,0.00938,0.002598,0.387312,0.097524,0.047194,27.7698,64.1221,91.8919,8.3174
19,0.00713177,77.1285,77.1912,77.3017,77.1822,0,0.08613,0.023353,0.718856,0.130192,0.261519,0.061375,0.000879,0.000238,0.000307,5.6e-05,0.009412,0.002209,0.450463,0.107402,0.010722,22.3353,66.8539,89.1892,6.3202
20,0.00684378,78.798,78.7836,78.8385,78.8378,0,0.094249,0.026973,0.815614,0.208897,0.254168,0.078639,0.000962,0.000275,0.000349,8.9e-05,0.009148,0.00283,0.386672,0.105024,0.032622,21.0191,69.7917,90.8108,6.1558
21,0.00654854,79.7997,79.8898,80.1613,79.8389,0,0.082447,0.022213,0.692183,0.126362,0.242992,0.060411,0.000841,0.000227,0.000296,5.4e-05,0.008745,0.002174,0.437656,0.122017,0.056394,16.1342,73.5955,89.7297,5.4079
22,0.00624721,79.5214,79.5477,79.7226,79.558,0,0.086846,0.023578,0.719812,0.14809,0.250615,0.062762,0.000886,0.000241,0.000308,6.3e-05,0.00902,0.002259,0.409962,0.097599,0.054197,25.162,65.6489,90.8108,7.4205
23,0.00594097,79.911,79.7227,79.6962,79.9597,0,0.09336,0.014264,0.729978,0.121986,0.246519,0.060879,0.000953,0.000146,0.000312,5.2e-05,0.008872,0.002191,0.433077,0.100906,0.019633,22.8971,66.2921,89.1892,6.0157
24,0.00563104,81.6917,81.7128,81.7882,81.7287,0,0.083711,0.017104,0.696365,0.1404,0.213352,0.051126,0.000854,0.000175,0.000298,6e-05,0.007679,0.00184,0.450569,0.062301,0.036768,15.8227,73.9583,89.781,5.4333
