epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,14.858096828046744,7.568741916991834,5.5202658820098875,15.258144139048158,55.59265442404006,54.55535102724054,57.127555563924005,55.81014708070883
1,27.100723427935446,13.42429140873271,26.356436510020124,26.287369064913218,62.38174735670562,61.97510146159387,62.03991003945064,62.55942417312122
2,58.59766277128548,58.77658722007394,58.89548431423685,58.72982938552516,68.72565386755703,68.27410639437342,69.57045797246101,68.99738984867776
3,62.82693377851976,62.96712174617175,68.5126900354889,62.798522196048914,68.28046744574291,67.83644503756675,67.87817774894603,68.54223245798711
4,64.83027267668336,64.4690837620226,70.53844847682102,64.76961515865642,71.84195882025598,71.25275175513146,71.54777231785633,72.08957154288123
5,69.33778519755147,69.29433198464415,70.0888344576623,69.3649281380606,74.90261547022816,74.63750167406097,74.99458411650065,75.07883604730014
6,69.00389538119087,69.38540655844061,71.21539376923643,68.96548085134786,74.68002225932109,74.22701615243355,75.01247736813934,74.95517778483519
7,71.56371730662214,71.63621343591899,71.66991225221872,71.67929107127607,76.57206455203116,76.5186897444838,76.4169171779905,76.72461590566603
8,70.78464106844741,70.14822160259332,75.22675653046194,70.70014502609821,76.29382303839732,76.05223267689752,75.90924566751644,76.51004548148569
9,75.73734001112966,75.63632505615227,75.5153299015268,75.90367102689002,75.6816917084029,75.8650418582719,76.19393681980155,75.73658907342869
10,71.84195882025598,72.39280790363964,75.19392010246234,71.76928028816918,78.63105175292154,78.3199619905573,78.49449020593366,78.85408847698972
11,77.96327212020033,77.82269732233725,78.1576580681303,78.06747893859614,79.46577629382304,79.49061201794547,79.47850017458997,79.61140391780322
12,77.46243739565944,77.49632133909583,78.45588686378811,77.50852568706901,80.24485253199778,80.00844944918938,80.10708695017958,80.43225634802221
13,78.79799666110183,78.80146081763971,79.24733863607496,78.86120134619804,80.189204229271,80.30594862186604,80.43559388550467,80.26731756007655
14,79.35447968836951,79.48165787634385,80.19609672812442,79.3996551331063,80.69003895381191,80.63776721871811,80.67145429934479,80.86540235076092
15,78.79799666110183,78.79849711799838,79.23070892580787,78.869360568111,81.02392877017252,81.12779161137588,81.34157928137363,81.11864109698087
16,79.07623817473566,79.27958780125554,80.24144917404878,79.07239480924694,81.41346688925988,81.49680673581021,81.59034011239498,81.53525497910876
17,80.30050083472455,80.2998837983829,81.07630516472668,80.35809059312112,81.13522537562604,81.22367811664786,81.48631389314617,81.23009362623883
18,79.18753478018921,79.24593919925029,80.37445379731341,79.21633885954586,82.80467445742904,82.84392963627143,82.79292242435926,82.92904613475687
19,79.79966611018364,79.85623102905633,80.66625001405914,79.82721292571283,82.02559821925432,81.9639289340905,81.86314422806979,82.18029641281149
20,80.69003895381191,80.69547011091349,81.09008103065139,80.7632696541231,84.02893711741793,84.0071903561192,83.99028778974298,84.14489008569737
21,81.02392877017252,81.09760181334778,81.82450171026737,81.05932467791584,81.96994991652755,82.11561717674472,82.33653162254198,82.02485500963141
22,79.57707289927657,79.88899989440425,80.98378803271254,79.59917541003311,83.36115748469672,83.36735910516838,83.3214500111824,83.47864585564079
23,80.80133555926544,80.9067756592581,81.2177678519748,80.85900925468896,80.91263216471899,81.06532876696212,81.21130939013709,81.02667863976988
24,80.30050083472455,80.56861197849838,81.5182090548196,80.31720450461907,82.52643294379521,82.54333886925427,82.58646083822075,82.61226199198062
25,81.63606010016694,81.7532390768896,82.29845102738699,81.67875553914578,83.41680578742348,83.38158278660059,83.36948578187113,83.53836945787126
26,81.85865331107401,81.93437622925266,82.53182985836851,81.90549009326948,83.1942125765164,83.33086231550526,83.52602855450868,83.24435698163335
27,80.91263216471899,81.08294884230472,82.65331917235544,80.89640293225045,82.58208124652198,82.70120968338438,82.69591474950347,82.7113347185415
28,81.19087367835282,81.43689831783263,82.48732053282369,81.21262100316075,82.35948803561492,82.37551732913315,82.3285917030599,82.50501538490053
29,81.35781858653311,81.3814451773107,82.17323994583936,81.40061951851676,82.08124652198107,82.2602934795803,82.39825602165838,82.19258236135703
30,82.41513633834168,82.54908690375579,82.58892608728907,82.51718192118733,84.75236505286588,84.88628950368893,84.93494123138493,84.84357255198408
31,82.35948803561492,82.6809382715948,83.9370151519936,82.35191403982166,83.41680578742348,83.39844046327687,83.33042920966658,83.57875987710047
32,83.13856427378965,83.32074378102348,83.84693012260666,83.19449806420343,83.41680578742348,83.43395517815186,83.50138871116106,83.51357215883046
33,83.24986087924319,83.2910914438575,84.54350019231183,83.25528740319628,84.52977184195882,84.61544577447589,84.72524198227522,84.60772796312483
34,82.24819143016137,82.45210545021399,83.31076367621442,82.2690109747828,85.30884808013356,85.18833126499442,85.17775506568717,85.45363830607464
35,84.02893711741793,84.00598647507474,84.26333875169001,84.09688838928926,85.14190317195326,85.08423078544341,85.06615918636268,85.2592692664798
36,83.63939899833055,83.72242126032424,84.51631436571307,83.65875936841286,84.02893711741793,84.11815915543745,84.23404033244984,84.12343849849736
37,82.63772954924875,82.80245299147076,84.30285195014893,82.62391912373126,84.80801335559266,84.77639032124324,84.74962951405539,84.94115018302895
38,84.19588202559822,84.29935871622212,84.8992928581679,84.21908305187647,83.75069560378408,83.89526102793789,84.12163033516724,83.81165710071453
39,83.69504730105731,83.91201500972382,85.32154926622731,83.67531059233116,85.42014468558709,85.49864315080194,85.5014906576932,85.51431142181279
