epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,24.832962138084632,9.946476360392506,6.208240534521158,25.0,42.42761692650334,40.7796916603052,43.71247391801042,42.35065281660444
1,25.222717149220493,10.071142730102267,6.305679287305123,25.0,39.42093541202672,38.29464321733783,45.96707542390015,39.18748705877054
2,25.278396436525615,10.201953676843951,12.569754464285715,25.05694760820046,54.84409799554566,53.7388774110224,55.502459686283224,54.75367099984366
3,33.4075723830735,22.6814299099711,25.30090629113805,33.37833828639241,54.78841870824054,54.465433332049784,56.3839054544941,54.70379703492527
4,40.200445434298445,28.929548871568926,30.240652196124795,40.32561501263402,62.41648106904232,62.383172989184324,64.13865195592139,62.37609142496966
5,46.0467706013363,38.04380860505046,61.96251671492765,46.21347835255654,70.48997772828508,70.65218450416796,71.17214088974886,70.42203519683873
6,52.2271714922049,46.8714005757818,68.82613539898132,52.35823483112492,69.71046770601336,69.6867994904299,69.7882437025355,69.69176716286533
7,65.92427616926503,64.9345701473106,75.14829842729327,66.04156718458431,73.99777282850779,73.87185102708071,74.09204084034948,73.93194790607971
8,74.66592427616926,74.09797700964936,78.89806129564974,74.7584673156749,73.71937639198218,73.603684756792,74.40954068904666,73.59448586614842
9,71.10244988864143,70.99255391151547,79.50306726164168,71.17017320060592,81.73719376391982,81.75857434089507,81.95428551324736,81.73082161880464
10,83.57461024498886,83.52485726198356,85.31592324356293,83.65869150440892,82.34966592427617,82.32958639805813,82.49586512856254,82.32306689626354
11,86.19153674832963,86.1811443419291,86.96721523309336,86.28036002178987,83.68596881959911,83.58590846868371,83.71776478884554,83.67861956370447
12,87.24944320712696,87.13998932064018,87.87415996784769,87.27669905472035,82.6837416481069,82.4652747763139,82.56916202857587,82.64249137685705
13,86.52561247216035,86.4379346182756,87.73953497390517,86.5663087626842,85.74610244988864,85.74002553633747,85.78444854592419,85.72643978497521
14,90.47884187082406,90.48337621110043,90.67317034866869,90.51151466790152,86.52561247216035,86.45130700949602,86.79889987071402,86.54829063731829
15,90.92427616926503,90.91251791300856,91.15410901031123,90.96911919229595,86.35857461024499,86.29469437666606,86.28314040259761,86.32957771813118
16,91.87082405345211,91.86604714875837,92.02302256255048,91.9001189408215,88.69710467706014,88.64212940738992,88.64338254444968,88.69003659495705
17,93.98663697104676,93.98647093348481,93.99451267228142,93.99748687039161,86.74832962138085,86.74805573132245,86.79605077299584,86.75520959481985
18,92.76169265033407,92.76895820500872,92.85701187658127,92.78914762066992,89.69933184855235,89.67394391230876,89.67163555454259,89.67923938823621
19,93.0957683741648,93.08957242829322,93.12806752679928,93.11064280703046,89.97772828507794,89.93945151978056,90.26217886640175,89.97880809396428
20,93.70824053452115,93.70628140909938,93.83711718314991,93.7354903281412,86.74832962138085,86.72173315262846,86.93030923391679,86.763961960816
21,93.70824053452115,93.70690736162757,93.85620864036943,93.73730554407489,87.97327394209354,88.01542334789342,88.22841580272708,87.94830861645879
22,94.09799554565701,94.08877643657745,94.10389070588963,94.11440227298755,90.64587973273942,90.63483269792383,90.79412204122207,90.63548852748873
23,94.59910913140311,94.58808816931217,94.66854471614987,94.62306723034716,88.02895322939867,88.02506856557042,88.1438881913463,88.0521603958231
24,93.48552338530067,93.4748351771928,93.57324284242081,93.51337384830703,89.92204899777283,89.82670005361089,89.83009434029286,89.90444682105112
25,94.82182628062361,94.80244315271602,94.81194449049315,94.83508093731075,90.20044543429844,90.15327186237114,90.24708186659585,90.23151091920121
26,94.48775055679288,94.48678645025687,94.53501055403228,94.51373596697383,90.8685968819599,90.80666570532551,90.79784671158923,90.85379419363403
27,94.76614699331849,94.7487790722254,94.80333702894838,94.78981525220631,93.31848552338529,93.28488389483765,93.26952251589465,93.3155876501225
28,95.43429844097996,95.41637482427785,95.42351072768821,95.44682238053421,91.815144766147,91.80053376622114,92.14546260455789,91.84500325248992
29,94.93318485523386,94.91454303071067,95.04133777435317,94.96259886704496,93.48552338530067,93.44150986670643,93.47074072017165,93.48803246838993
30,95.48997772828508,95.47369571347964,95.48564695059264,95.5051082938413,92.53897550111358,92.50788835744848,92.68157650596255,92.5603791626784
31,95.10022271714922,95.07248710205442,95.16340180199772,95.1263819484114,93.20712694877506,93.17624135929826,93.20630726787213,93.2129250688417
32,95.21158129175946,95.18640672934686,95.25599469273686,95.23205993647672,92.48329621380846,92.41682959468751,92.48440406341656,92.48974149367454
33,95.15590200445433,95.11943084982828,95.243434214002,95.1806283046786,93.0957683741648,93.06161344071036,93.05051890163068,93.09543958337679
34,95.54565701559021,95.52995444925752,95.53722014133798,95.55620112906817,92.98440979955457,92.96171073118164,92.95376464657802,92.9793549710781
35,95.8240534521158,95.80838944249203,95.86939291492249,95.84345482258725,92.0935412026726,92.05101549039907,92.06507764963358,92.09719609382205
36,95.21158129175946,95.19075354471023,95.20459141192887,95.22483923554535,93.0400890868597,93.00292669998099,92.9858352867906,93.04663409550014
37,95.87973273942093,95.8671008400952,95.8852162464168,95.89604393948605,93.42984409799554,93.42361752164818,93.50901797999673,93.43043923112427
38,95.8240534521158,95.80889121194832,95.8433396785802,95.83999012782685,92.42761692650335,92.38108491825187,92.38339915401666,92.44061409040496
39,95.0445434298441,95.01325914704604,95.05312155674464,95.06132760328,93.20712694877506,93.18003182323848,93.21603921108178,93.22980105294712
40,95.43429844097996,95.41033420112615,95.4374527478535,95.44701096108184,94.04231625835189,94.01838998789859,94.11462782290886,94.06124903548209
41,95.26726057906458,95.2491699993051,95.29611765519606,95.28110149006163,93.65256124721604,93.61414219834302,93.6829172706061,93.66288722718002
42,95.43429844097996,95.41726036985474,95.46312826232759,95.44955423644981,93.37416481069042,93.34264149385707,93.44718830117516,93.37988153355793
43,95.65701559020044,95.64313015043233,95.67943700227013,95.67117096201628,93.8195991091314,93.78683109034127,93.84453796187158,93.83109614731825
44,95.37861915367483,95.35848537995207,95.42739791195393,95.39526039502198,92.70601336302894,92.68618409160561,92.84435827367817,92.73450586203424
45,95.7683741648107,95.75511966910103,95.8054971044313,95.78653483723795,94.26503340757239,94.24733478596073,94.2507971793739,94.2712313231132
46,95.8240534521158,95.80449660785233,95.84540336899101,95.83552890566223,93.31848552338529,93.26110211274566,93.2609758142726,93.31026801480947
47,95.8240534521158,95.80587554051256,95.86559851568256,95.83815504958369,94.93318485523386,94.91888463401804,94.99274871587177,94.94346315844048
48,95.60133630289532,95.58831379877049,95.65210175256269,95.61535321606534,93.76391982182628,93.76307428824559,93.7849287080122,93.76925491015558
49,95.43429844097996,95.415115658234,95.45817861462939,95.45044803299106,94.93318485523386,94.90165280504623,94.95236523881226,94.94730203316496
