epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,24.832962138084632,9.946476360392506,6.208240534521158,25.0,46.770601336302896,46.343976886134065,46.425171091731706,46.77147875478405
1,25.222717149220493,10.071142730102267,6.305679287305123,25.0,46.71492204899777,42.66678247129313,51.501547555166695,46.55113267914031
2,25.222717149220493,10.071142730102267,6.305679287305123,25.0,52.895322939866375,51.11876330505986,52.49834508822521,52.81966238175298
3,41.53674832962138,27.840507482312393,20.953950750647067,41.771887744070156,61.08017817371938,59.86661144707415,60.19758803024933,60.99728877651533
4,43.70824053452116,33.5803926986988,57.25136418685518,43.911411465365,64.42093541202672,64.3731789613604,64.51860953908731,64.41012996057998
5,52.44988864142539,45.9986415859113,63.176469363347664,52.70539005226017,70.43429844097996,70.17209782998775,70.2767109582314,70.32627669254266
6,72.16035634743875,71.92906529722168,76.7685351117265,72.28528918145368,74.55456570155901,74.38219672594506,74.48647883888452,74.59674089109484
7,68.0400890868597,66.3448233808532,74.30564459404842,68.22480561503245,77.17149220489978,77.18961828821416,77.4794957219843,77.1731823389898
8,78.73051224944321,78.47241548199581,81.79026644433345,78.82344351076063,78.2293986636971,77.99064978388192,78.30408650621345,78.196809504337
9,85.02227171492206,85.01245350097548,86.20914844060991,85.05875766783578,80.45657015590201,80.51519007527213,81.13734809633914,80.47675349595545
10,85.24498886414253,85.26332796225476,86.34954170328307,85.31935834896211,83.184855233853,82.92413084379142,83.01355685645868,83.20012568706963
11,84.79955456570156,84.73906383278558,86.00428972469602,84.86778985573163,83.85300668151447,83.91093834756104,84.25328383232934,83.86345586228764
12,90.47884187082406,90.49084284775802,90.68000461437352,90.52262172871801,85.6347438752784,85.5939782565511,85.70843004710927,85.61649691583459
13,90.25612472160356,90.34050143228808,90.64266989339708,90.28397240257574,85.07795100222717,84.86402431303327,85.06613241607394,85.04008114082083
14,90.70155902004454,90.74357337067076,91.15577091083196,90.72155220123497,84.1314031180401,83.94356275397682,84.11910230835127,84.07677958069064
15,90.31180400890868,90.29306274226379,90.85973531419428,90.30630708647021,88.36302895322939,88.32334381159815,88.34891229248171,88.37488817529612
16,92.03786191536749,92.0082948510368,92.14252602549521,92.05627517721523,88.75278396436525,88.70080449381386,88.81029506539639,88.76985127621298
17,92.37193763919822,92.37332488394321,92.43014433356257,92.38779026789284,86.97104677060133,86.95885949749038,86.96585722502044,86.9785741888499
18,92.0935412026726,92.13783705240165,92.26932461806139,92.10742281995998,89.75501113585747,89.70510075835875,89.71189256418641,89.75798423235545
