round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,28.0311,23.2917,23.0531,28.7512,0,0.00344,0.000102,0.060798,0.001572,0.018752,0.003486,0.49585,0.070135,0.286746,8.3841,20.9945,29.3785,2.5171
2,0.0099846,31.4794,22.817,38.0749,30.8066,0,0.004201,6.4e-05,0.061078,0.001524,0.01822,0.002348,0.6562,0.090345,0.139643,13.2888,19.6721,32.9609,3.6196
3,0.0099385,35.7063,29.3006,36.4699,34.9366,0,0.004484,0.000106,0.059856,0.003246,0.016883,0.002625,0.724148,0.091157,0.103754,15.9777,24.0223,40.0,4.5119
4,0.00986199,34.0378,30.1928,39.9876,34.9902,0,0.004685,7.7e-05,0.0605,0.000989,0.0156,0.001632,0.744603,0.103329,0.154368,13.1875,26.257,39.4444,3.8517
5,0.00975553,34.8165,30.5078,47.1681,35.9832,0,0.004769,9.5e-05,0.060399,0.002312,0.017509,0.001918,0.74886,0.087171,0.056035,14.2265,25.0,39.2265,4.311
6,0.00961978,41.713,35.4797,40.4744,41.6036,0,0.004791,9.6e-05,0.060388,0.00289,0.01756,0.002348,0.75515,0.124433,0.174017,18.8889,23.8889,42.7778,5.5969
7,0.00945558,37.3749,32.6042,38.6447,36.9131,0,0.004846,0.000114,0.062115,0.003319,0.018024,0.001475,0.76218,0.183096,0.25802,10.9404,30.7263,41.6667,3.6721
8,0.00926394,41.7686,35.5822,39.6244,41.4095,0,0.004807,0.000133,0.059702,0.00262,0.017211,0.001925,0.766205,0.158308,0.219321,10.3631,34.6369,45.0,3.2643
9,0.00904604,41.713,35.7125,39.6776,41.3607,0,0.004818,0.000105,0.05946,0.002563,0.016239,0.002475,0.768423,0.158436,0.21887,18.0358,32.2404,50.2762,5.037
10,0.00880323,42.6585,39.596,41.5804,42.461,0,0.004853,0.000118,0.059291,0.002556,0.01676,0.00169,0.768583,0.15001,0.236908,8.2486,38.4181,46.6667,2.9295
11,0.008537,44.1602,39.4353,42.5735,43.8309,0,0.004883,7.3e-05,0.059566,0.002509,0.016114,0.002766,0.759164,0.147226,0.277067,16.946,32.7778,49.7238,4.5685
12,0.00824899,44.327,37.612,40.8443,44.0962,0,0.004874,0.00022,0.059941,0.003476,0.016319,0.002673,0.762099,0.157921,0.274136,14.1527,33.3333,47.486,3.949
13,0.00794099,45.6618,40.233,43.4095,45.3086,0,0.00478,0.000211,0.057504,0.004427,0.01558,0.002674,0.778339,0.166535,0.274224,14.1521,35.0282,49.1803,4.1266
14,0.00761488,46.7186,40.0508,47.5158,46.4159,0,0.004877,0.000133,0.058648,0.002313,0.015995,0.00148,0.768166,0.169586,0.388528,11.8297,41.2429,53.0726,3.3391
15,0.00727268,47.6085,42.0443,49.7661,47.3015,0,0.004951,0.000148,0.058383,0.003191,0.015466,0.001565,0.773468,0.175402,0.406413,15.7845,37.2881,53.0726,4.66
16,0.0069165,47.6085,44.93,45.5575,47.5231,0,0.004828,0.000186,0.056651,0.003636,0.014899,0.002029,0.773483,0.157098,0.38643,13.5499,37.2881,50.838,3.8011
17,0.00654854,48.4983,45.8973,46.4751,48.4708,0,0.004786,0.000239,0.055992,0.005555,0.013989,0.002577,0.776507,0.158508,0.400513,15.7006,39.548,55.2486,4.5611
18,0.00617106,50.1112,48.9804,48.8392,50.151,0,0.004806,0.000212,0.056506,0.004902,0.013481,0.002078,0.780658,0.175162,0.463604,18.3895,35.7542,54.1436,5.0632
19,0.00578639,51.1123,50.2443,50.4419,51.1482,0,0.004644,0.000171,0.052131,0.003687,0.01222,0.001688,0.788128,0.16975,0.329377,12.0621,42.9379,55.0,3.8311
20,0.0053969,52.5584,52.012,52.31,52.8387,0,0.00486,0.000223,0.055383,0.003664,0.012146,0.001035,0.789112,0.16172,0.377714,13.5727,43.3333,56.9061,4.0558
21,0.005005,54.6719,53.1623,53.8596,54.8067,0,0.005058,0.000236,0.057571,0.004563,0.012899,0.002276,0.789779,0.167436,0.382644,9.4734,46.3277,55.8011,3.1489
22,0.0046131,55.7286,54.9972,54.7629,55.8876,0,0.005114,0.00017,0.055188,0.004169,0.011978,0.001649,0.812034,0.175258,0.419097,9.7455,45.8101,55.5556,2.4877
23,0.00422361,56.1179,54.4215,54.4972,56.1886,0,0.005359,0.000174,0.056923,0.003204,0.012755,0.002698,0.811255,0.182751,0.34877,16.4308,42.4581,58.8889,6.4399
24,0.00383894,58.5651,56.8843,58.7089,58.6404,0,0.005137,0.000436,0.049956,0.004377,0.010738,0.00224,0.838345,0.168551,0.419017,20.5562,39.6648,60.221,6.0842
25,0.00346146,58.6763,58.2222,58.733,58.8474,0,0.00536,0.000236,0.05197,0.004605,0.010369,0.001471,0.837615,0.161277,0.438527,17.1795,45.2514,62.4309,5.0112
26,0.0030935,60.6229,59.7236,59.6694,60.8321,0,0.005777,0.000406,0.054071,0.005755,0.010693,0.001664,0.858078,0.192736,0.446348,10.7741,46.4481,57.2222,3.3181
27,0.00273732,59.733,59.5739,60.2369,59.7892,0,0.006161,0.000739,0.054,0.007436,0.010698,0.00295,0.879305,0.225859,0.520858,20.1002,40.5556,60.6557,5.5046
28,0.00239512,60.5117,59.4917,61.6142,60.4098,0,0.006726,0.000429,0.054297,0.004077,0.011344,0.002572,0.899301,0.25201,0.529687,11.2837,48.6034,59.887,3.3009
