epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,23.97107897664071,10.314112743152045,11.765280430630318,25.17198857736241,24.304783092324804,22.60825254253009,24.630468864527888,24.629288144635936
1,28.03114571746385,23.291724354746425,23.053148461882152,28.751186992680616,26.028921023359285,24.95499996628352,25.883294794117145,25.904671328314947
2,31.47942157953281,22.817023883717173,38.074937264520216,30.806557394540867,30.978865406006673,28.399259851901483,30.59671504574053,30.412980342067762
3,35.706340378198,29.30063409739349,36.46989049201874,34.93664158766606,31.4238042269188,31.03846247977596,33.68884858686396,31.827362067948517
4,34.093437152391544,30.27104757134267,40.07978453514509,35.04178417472518,31.47942157953281,31.02470242290003,33.971159884143695,31.925398894351943
5,34.76084538375973,30.465304934859155,47.13073359063116,35.92533283945623,34.03781979977753,32.86117704913121,33.67463099582448,34.25387774672982
6,41.71301446051168,35.479735285676824,40.47441748002337,41.60364064093732,35.15016685205784,33.32524723567178,35.56986333072453,34.733991660570155
7,37.37486095661847,32.60424310327787,38.64467081360592,36.91309580446574,37.708565072302555,36.25197226827076,36.39060563166845,37.626445638023114
8,41.768631813125694,35.582159194926376,39.624400952057584,41.40948312216917,40.48943270300334,37.94917108230595,38.57614997278565,40.252841973411755
9,41.71301446051168,35.7124771459982,39.677645687429425,41.36072654613121,42.04671857619577,40.27361500054874,40.330971813982465,41.96430243932775
10,42.65850945494994,39.595961020636246,41.58039759970609,42.461010168028814,40.767519466073416,38.69454348179842,39.329096557346496,40.66070023258555
11,44.16017797552836,39.435346580629506,42.5735279486624,43.83089427971988,43.65962180200222,40.401698368077824,41.575923268226056,43.61709264467791
12,44.32703003337041,37.612043707946604,40.84430136297301,44.09622229301242,44.32703003337041,42.11873141055964,42.75478569229178,44.11528977672151
13,45.66184649610678,40.23297631071586,43.409459377492475,45.30863393052087,45.383759733036705,42.037430103434616,43.84814322751549,45.251368351934104
14,46.71857619577308,40.05079109364309,47.51582974911778,46.41586610000009,46.49610678531702,43.135417718899696,44.52370888983668,46.27901906834481
15,47.60845383759733,42.04433894309919,49.766147398628945,47.30150805888043,45.272525027808676,43.45430334058169,42.993824883637025,45.21983642224825
16,47.60845383759733,44.92995656944483,45.55748714390223,47.52314706992996,46.440489432703004,44.10634290573531,44.38382040292749,46.40164175084626
17,48.49833147942158,45.89727338211641,46.47513851608199,48.47075455309977,48.60956618464961,47.719233820561584,47.39441535638751,48.69502531012332
18,50.111234705228036,48.9803709452595,48.83923559719563,50.15098711731909,48.9432703003337,48.4551150702905,48.249401805126645,49.042054723301085
19,51.11234705228031,50.24426528225487,50.44189550032353,51.148246799204436,50.88987764182424,50.20059789657403,50.30358571234114,51.16598642767302
20,52.55839822024472,52.012019564755775,52.309967338142904,52.8387025261122,51.00111234705228,49.664180043944896,49.460324382294324,51.23231945198016
21,54.67185761957731,53.16230890376779,53.85955723671907,54.80672474434294,51.50166852057843,50.757018693055144,50.429304745286544,51.71623669186306
22,55.72858731924361,54.99715830070983,54.76292987290117,55.887626951182035,52.05784204671857,50.525101999486346,50.66497405392282,52.25854426176061
23,56.117908787541715,54.42153853133209,54.49723929346232,56.1886446216598,51.11234705228031,49.77391948802304,50.33932632008131,51.30962915101892
24,58.5650723025584,56.884336909099666,58.70891767300013,58.640402887422226,55.172413793103445,54.70153365029014,54.90320490246666,55.32271712909761
25,58.676307007786434,58.22215358752209,58.733040901847986,58.84743672413044,52.1134593993326,50.704618002935106,50.44866616970881,52.33792500377464
26,60.62291434927698,59.72356698630753,59.66942433710635,60.83211256140615,53.559510567296996,53.57182626429411,53.6563638132949,53.596604135860645
27,59.733036707452726,59.57385107945128,60.23688068834374,59.78919544227187,55.39488320355951,55.16251126674876,55.65183914965962,55.433743124483236
28,60.51167964404895,59.49172249427086,61.61415619128048,60.409827558231285,56.284760845383765,56.45685138440603,58.1438566175015,56.329098559020764
29,58.45383759733037,57.449145824184086,60.506996955211264,58.385132803573136,60.40044493882091,59.634580885928656,59.26822630366888,60.3156876782265
30,64.23804226918799,63.45334052639643,63.11601578101262,64.18043812725564,59.899888765294776,59.247439019520385,58.99938834912398,59.931106200107884
31,63.68186874304783,63.1953476247144,63.77037370440723,63.809509682966514,62.45828698553949,61.95860758266378,61.719706119162645,62.369094733384465
32,65.7397107897664,65.53763226790298,65.60273467579832,65.72063539817374,61.679644048943274,59.85068315269214,59.5727069253994,61.35389721551009
33,67.07452725250278,64.77617275776693,64.90518784362442,66.65702032855441,63.793103448275865,60.92334461748577,62.21139330452531,63.154619473405084
34,65.57285873192436,62.01993326419417,63.51043001089729,64.89510851223307,65.12791991101223,61.008414559116744,62.19907075325569,64.41219900756427
35,66.01779755283648,61.38903861461774,62.69087539904872,65.23070842119483,66.51835372636262,61.19397186657075,62.73416962384945,65.74771862915021
36,67.29699666295885,61.82179923074005,63.94697836872668,66.51318624363506,67.07452725250278,61.463871054173794,63.041993200844345,66.42013105851392
37,67.46384872080088,61.685894207062915,62.75445467855113,66.76520744191275,67.07452725250278,61.567070815975256,61.9154187495755,66.37202915292839
38,67.853170189099,62.59286459190181,63.379907906257614,67.14887022643859,67.68631813125695,63.19260966809277,64.00185441731982,66.99208363195545
39,67.90878754171301,63.34489073420997,64.0069021581032,67.21618093616658,66.79644048943271,62.65635666172897,62.744896050136376,66.09646551835779
