round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,25.1947,10.0622,6.2987,25.0,0,0.2088,0.013968,2.206516,0.133847,0.884945,0.048301,0.510484,0.045014,0.127923,30.4273,23.1638,53.5912,9.2945
2,0.0099846,49.1657,41.742,38.9851,48.5066,0,0.206471,0.019022,2.206985,0.213037,0.772402,0.063431,0.612894,0.26982,0.208329,15.5509,38.5475,54.0984,4.7324
3,0.0099385,57.0634,51.3348,51.2299,56.1561,0,0.183722,0.013224,1.772893,0.132259,0.587208,0.025233,0.643106,0.298851,0.287064,11.0466,50.2793,61.326,3.2284
4,0.00986199,60.7341,53.6286,53.8965,59.8619,0,0.182364,0.008698,1.629603,0.061678,0.486516,0.019095,0.661462,0.279306,0.157454,8.5487,55.9322,64.4809,2.5507
5,0.00975553,64.238,57.9816,59.9641,63.4319,0,0.169213,0.009341,1.429695,0.101659,0.437627,0.017637,0.678455,0.218952,0.127358,12.2362,57.377,69.6133,3.2911
6,0.00961978,65.0723,58.47,59.9744,64.3068,0,0.176781,0.00952,1.533681,0.11529,0.407247,0.016235,0.627824,0.153172,0.072936,11.915,55.3073,67.2222,3.5462
7,0.00945558,67.6307,61.6943,64.4187,66.8202,0,0.184582,0.016729,1.598627,0.147391,0.398881,0.023597,0.566578,0.125297,0.052643,10.6874,58.7571,69.4444,3.3377
8,0.00926394,69.9666,67.8481,68.0049,69.4033,0,0.180171,0.011729,1.588189,0.1056,0.38645,0.016981,0.582894,0.116795,0.077864,12.4554,57.377,69.8324,3.9726
9,0.00904604,70.4116,67.6285,68.6244,69.8021,0,0.183738,0.012086,1.665034,0.073802,0.371371,0.019801,0.547429,0.095568,0.052332,7.8531,62.1469,70.0,2.5044
10,0.00880323,71.3014,68.9505,70.0026,70.7149,0,0.19312,0.014382,1.767423,0.105666,0.367462,0.018605,0.503833,0.078347,0.02725,9.5491,63.1285,72.6776,3.0018
11,0.008537,73.5261,71.2008,72.3678,72.9424,0,0.192211,0.012052,1.811,0.12663,0.355019,0.019841,0.535651,0.07251,0.026019,18.451,55.8659,74.3169,4.6686
12,0.00824899,75.3059,73.6307,74.5085,74.7719,0,0.189113,0.01016,1.847575,0.115382,0.348925,0.015599,0.509272,0.063027,0.090436,9.8886,64.9718,74.8603,2.757
13,0.00794099,76.8632,76.0427,76.1789,76.489,0,0.196665,0.009055,1.989799,0.144331,0.336912,0.017049,0.476749,0.062359,0.080111,8.3952,65.9218,74.3169,2.505
14,0.00761488,78.1424,77.4572,77.6191,77.7778,0,0.204939,0.015383,2.208903,0.158036,0.321571,0.010739,0.444704,0.049305,0.027849,12.6239,64.9718,77.5956,3.6137
15,0.00727268,80.9232,80.5672,81.004,80.6155,0,0.199463,0.008034,2.162461,0.120389,0.316341,0.013601,0.473676,0.059689,0.15515,14.4061,65.9218,80.3279,3.8683
16,0.0069165,83.3704,83.1256,83.23,83.1557,0,0.212461,0.013034,2.382739,0.104086,0.299291,0.010052,0.410189,0.042275,0.051779,7.2222,69.4444,76.6667,2.5195
17,0.00654854,83.871,83.574,83.8722,83.6939,0,0.228538,0.011572,2.546804,0.131365,0.281588,0.017663,0.387782,0.039704,0.025545,12.6377,68.9266,81.5642,3.2927
