round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,24.9166,11.58,31.0777,25.9346,0,0.132622,0.014197,2.308775,0.108413,0.656068,0.045219,0.001981,0.000212,0.000901,4.2e-05,0.014483,0.000998,0.821008,0.474364,0.736754,43.8626,24.2938,68.1564,14.932
2,0.00999014,44.9944,41.8688,74.1586,45.3601,0,0.122493,0.018425,1.651644,0.082653,0.379948,0.038095,0.00183,0.000275,0.000645,3.2e-05,0.008388,0.000841,0.790375,0.306755,0.438438,41.4773,34.0782,75.5556,11.7391
3,0.00996061,56.5072,54.921,77.9173,56.8582,0,0.106811,0.01938,1.372564,0.148461,0.298577,0.047272,0.001596,0.00029,0.000536,5.8e-05,0.006591,0.001044,0.742161,0.252776,0.35727,48.8997,24.581,73.4807,13.6062
4,0.00991152,52.6696,49.9833,76.5637,52.7889,0,0.10791,0.015143,1.332169,0.138784,0.280669,0.028263,0.001612,0.000226,0.00052,5.4e-05,0.006196,0.000624,0.693818,0.203581,0.261177,24.9699,40.2235,65.1934,9.2995
5,0.00984307,53.2814,50.79,77.6377,53.8463,0,0.102432,0.010757,1.22565,0.045855,0.257684,0.035124,0.00153,0.000161,0.000478,1.8e-05,0.005689,0.000775,0.682205,0.193423,0.24067,38.3789,25.5556,63.9344,11.2385
6,0.00975553,62.2358,56.1379,63.1957,62.3472,0,0.100259,0.009235,1.186895,0.051037,0.247277,0.023902,0.001498,0.000138,0.000463,2e-05,0.005459,0.000528,0.654034,0.166669,0.212322,43.2977,24.8588,68.1564,14.555
7,0.00964923,66.7964,62.3665,76.9546,66.6535,0,0.099711,0.012992,1.157817,0.078236,0.244801,0.031342,0.00149,0.000194,0.000452,3.1e-05,0.005404,0.000692,0.61172,0.136352,0.212216,58.4051,22.9508,81.3559,18.2385
8,0.00952461,66.9077,66.0039,79.9351,66.905,0,0.097411,0.009695,1.138776,0.073523,0.24794,0.028893,0.001455,0.000145,0.000444,2.9e-05,0.005473,0.000638,0.610627,0.129665,0.299016,50.6252,22.5989,73.224,15.9409
9,0.00938215,81.9244,81.8407,83.0079,81.5774,0,0.097217,0.016486,1.171618,0.15988,0.228605,0.023425,0.001452,0.000246,0.000457,6.2e-05,0.005047,0.000517,0.556917,0.111113,0.097301,37.7049,42.623,80.3279,13.4556
10,0.00922242,83.426,83.3041,84.1873,83.1066,0,0.096416,0.011792,1.111579,0.078786,0.220827,0.040546,0.00144,0.000176,0.000434,3.1e-05,0.004875,0.000895,0.547443,0.099946,0.18495,52.2505,31.6384,83.8889,18.399
11,0.00904604,83.8154,83.5888,84.053,83.4827,0,0.095993,0.008049,1.144609,0.064081,0.212928,0.02979,0.001434,0.00012,0.000447,2.5e-05,0.004701,0.000658,0.563583,0.086821,0.18432,43.9335,24.0223,67.9558,15.7091
12,0.00885371,82.5918,82.2625,83.0832,82.1833,0,0.090665,0.008085,1.141383,0.084903,0.210798,0.029178,0.001355,0.000121,0.000446,3.3e-05,0.004653,0.000644,0.524854,0.089484,0.134152,36.1938,44.1341,80.3279,11.504
