round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
10,0,vim_tiny,brain_tumor,1000.0,0,base.patch_embed,0.999695
10,0,vim_tiny,brain_tumor,1000.0,1,base.layers.0.mixer,0.967655
10,0,vim_tiny,brain_tumor,1000.0,2,base.layers.1.mixer,0.970262
10,0,vim_tiny,brain_tumor,1000.0,3,base.layers.2.mixer,0.860236
10,0,vim_tiny,brain_tumor,1000.0,4,base.layers.3.mixer,0.936930
10,0,vim_tiny,brain_tumor,1000.0,5,base.layers.4.mixer,0.913577
10,0,vim_tiny,brain_tumor,1000.0,6,base.layers.5.mixer,0.932483
10,0,vim_tiny,brain_tumor,1000.0,7,base.layers.6.mixer,0.924278
10,0,vim_tiny,brain_tumor,1000.0,8,base.layers.7.mixer,0.900854
10,0,vim_tiny,brain_tumor,1000.0,9,base.layers.8.mixer,0.947251
10,0,vim_tiny,brain_tumor,1000.0,10,base.layers.9.mixer,0.992642
10,0,vim_tiny,brain_tumor,1000.0,11,base.layers.10.mixer,0.894991
10,0,vim_tiny,brain_tumor,1000.0,12,base.layers.11.mixer,0.962385
10,0,vim_tiny,brain_tumor,1000.0,13,classifier,0.813800
10,6,vim_tiny,brain_tumor,1000.0,0,base.patch_embed,0.998978
10,6,vim_tiny,brain_tumor,1000.0,1,base.layers.0.mixer,0.992729
10,6,vim_tiny,brain_tumor,1000.0,2,base.layers.1.mixer,0.971702
10,6,vim_tiny,brain_tumor,1000.0,3,base.layers.2.mixer,0.968672
10,6,vim_tiny,brain_tumor,1000.0,4,base.layers.3.mixer,0.975163
10,6,vim_tiny,brain_tumor,1000.0,5,base.layers.4.mixer,0.882922
10,6,vim_tiny,brain_tumor,1000.0,6,base.layers.5.mixer,0.944575
10,6,vim_tiny,brain_tumor,1000.0,7,base.layers.6.mixer,0.985809
10,6,vim_tiny,brain_tumor,1000.0,8,base.layers.7.mixer,0.958838
10,6,vim_tiny,brain_tumor,1000.0,9,base.layers.8.mixer,0.959029
10,6,vim_tiny,brain_tumor,1000.0,10,base.layers.9.mixer,0.994757
10,6,vim_tiny,brain_tumor,1000.0,11,base.layers.10.mixer,0.928535
10,6,vim_tiny,brain_tumor,1000.0,12,base.layers.11.mixer,0.966422
10,6,vim_tiny,brain_tumor,1000.0,13,classifier,0.871901
10,5,vim_tiny,brain_tumor,1000.0,0,base.patch_embed,0.999384
10,5,vim_tiny,brain_tumor,1000.0,1,base.layers.0.mixer,0.994143
10,5,vim_tiny,brain_tumor,1000.0,2,base.layers.1.mixer,0.980348
10,5,vim_tiny,brain_tumor,1000.0,3,base.layers.2.mixer,0.970652
10,5,vim_tiny,brain_tumor,1000.0,4,base.layers.3.mixer,0.987695
10,5,vim_tiny,brain_tumor,1000.0,5,base.layers.4.mixer,0.945097
10,5,vim_tiny,brain_tumor,1000.0,6,base.layers.5.mixer,0.954370
10,5,vim_tiny,brain_tumor,1000.0,7,base.layers.6.mixer,0.988950
10,5,vim_tiny,brain_tumor,1000.0,8,base.layers.7.mixer,0.926200
10,5,vim_tiny,brain_tumor,1000.0,9,base.layers.8.mixer,0.922335
10,5,vim_tiny,brain_tumor,1000.0,10,base.layers.9.mixer,0.998004
10,5,vim_tiny,brain_tumor,1000.0,11,base.layers.10.mixer,0.928777
10,5,vim_tiny,brain_tumor,1000.0,12,base.layers.11.mixer,0.981977
10,5,vim_tiny,brain_tumor,1000.0,13,classifier,0.890377
10,1,vim_tiny,brain_tumor,1000.0,0,base.patch_embed,0.999527
10,1,vim_tiny,brain_tumor,1000.0,1,base.layers.0.mixer,0.993824
10,1,vim_tiny,brain_tumor,1000.0,2,base.layers.1.mixer,0.975820
10,1,vim_tiny,brain_tumor,1000.0,3,base.layers.2.mixer,0.983537
10,1,vim_tiny,brain_tumor,1000.0,4,base.layers.3.mixer,0.975040
10,1,vim_tiny,brain_tumor,1000.0,5,base.layers.4.mixer,0.988061
10,1,vim_tiny,brain_tumor,1000.0,6,base.layers.5.mixer,0.922082
10,1,vim_tiny,brain_tumor,1000.0,7,base.layers.6.mixer,0.979770
10,1,vim_tiny,brain_tumor,1000.0,8,base.layers.7.mixer,0.963226
10,1,vim_tiny,brain_tumor,1000.0,9,base.layers.8.mixer,0.946136
10,1,vim_tiny,brain_tumor,1000.0,10,base.layers.9.mixer,0.995346
10,1,vim_tiny,brain_tumor,1000.0,11,base.layers.10.mixer,0.899821
10,1,vim_tiny,brain_tumor,1000.0,12,base.layers.11.mixer,0.759288
10,1,vim_tiny,brain_tumor,1000.0,13,classifier,0.884755
10,8,vim_tiny,brain_tumor,1000.0,0,base.patch_embed,0.999478
10,8,vim_tiny,brain_tumor,1000.0,1,base.layers.0.mixer,0.992362
10,8,vim_tiny,brain_tumor,1000.0,2,base.layers.1.mixer,0.973389
10,8,vim_tiny,brain_tumor,1000.0,3,base.layers.2.mixer,0.969196
10,8,vim_tiny,brain_tumor,1000.0,4,base.layers.3.mixer,0.985710
10,8,vim_tiny,brain_tumor,1000.0,5,base.layers.4.mixer,0.967386
10,8,vim_tiny,brain_tumor,1000.0,6,base.layers.5.mixer,0.972689
10,8,vim_tiny,brain_tumor,1000.0,7,base.layers.6.mixer,0.981701
10,8,vim_tiny,brain_tumor,1000.0,8,base.layers.7.mixer,0.954300
10,8,vim_tiny,brain_tumor,1000.0,9,base.layers.8.mixer,0.959749
10,8,vim_tiny,brain_tumor,1000.0,10,base.layers.9.mixer,0.994251
10,8,vim_tiny,brain_tumor,1000.0,11,base.layers.10.mixer,0.885020
10,8,vim_tiny,brain_tumor,1000.0,12,base.layers.11.mixer,0.946276
10,8,vim_tiny,brain_tumor,1000.0,13,classifier,0.886738
20,9,vim_tiny,brain_tumor,1000.0,0,base.patch_embed,0.999720
20,9,vim_tiny,brain_tumor,1000.0,1,base.layers.0.mixer,0.992343
20,9,vim_tiny,brain_tumor,1000.0,2,base.layers.1.mixer,0.964908
20,9,vim_tiny,brain_tumor,1000.0,3,base.layers.2.mixer,0.986645
20,9,vim_tiny,brain_tumor,1000.0,4,base.layers.3.mixer,0.975998
20,9,vim_tiny,brain_tumor,1000.0,5,base.layers.4.mixer,0.970622
20,9,vim_tiny,brain_tumor,1000.0,6,base.layers.5.mixer,0.951812
20,9,vim_tiny,brain_tumor,1000.0,7,base.layers.6.mixer,0.968993
20,9,vim_tiny,brain_tumor,1000.0,8,base.layers.7.mixer,0.932987
20,9,vim_tiny,brain_tumor,1000.0,9,base.layers.8.mixer,0.940080
20,9,vim_tiny,brain_tumor,1000.0,10,base.layers.9.mixer,0.990707
20,9,vim_tiny,brain_tumor,1000.0,11,base.layers.10.mixer,0.857942
20,9,vim_tiny,brain_tumor,1000.0,12,base.layers.11.mixer,0.888086
20,9,vim_tiny,brain_tumor,1000.0,13,classifier,0.824151
20,8,vim_tiny,brain_tumor,1000.0,0,base.patch_embed,0.999926
20,8,vim_tiny,brain_tumor,1000.0,1,base.layers.0.mixer,0.996487
20,8,vim_tiny,brain_tumor,1000.0,2,base.layers.1.mixer,0.986665
20,8,vim_tiny,brain_tumor,1000.0,3,base.layers.2.mixer,0.994901
20,8,vim_tiny,brain_tumor,1000.0,4,base.layers.3.mixer,0.995024
20,8,vim_tiny,brain_tumor,1000.0,5,base.layers.4.mixer,0.991632
20,8,vim_tiny,brain_tumor,1000.0,6,base.layers.5.mixer,0.960702
20,8,vim_tiny,brain_tumor,1000.0,7,base.layers.6.mixer,0.985247
20,8,vim_tiny,brain_tumor,1000.0,8,base.layers.7.mixer,0.946815
20,8,vim_tiny,brain_tumor,1000.0,9,base.layers.8.mixer,0.959886
20,8,vim_tiny,brain_tumor,1000.0,10,base.layers.9.mixer,0.996972
20,8,vim_tiny,brain_tumor,1000.0,11,base.layers.10.mixer,0.927854
20,8,vim_tiny,brain_tumor,1000.0,12,base.layers.11.mixer,0.963064
20,8,vim_tiny,brain_tumor,1000.0,13,classifier,0.891659
20,5,vim_tiny,brain_tumor,1000.0,0,base.patch_embed,0.999429
20,5,vim_tiny,brain_tumor,1000.0,1,base.layers.0.mixer,0.994465
20,5,vim_tiny,brain_tumor,1000.0,2,base.layers.1.mixer,0.976440
20,5,vim_tiny,brain_tumor,1000.0,3,base.layers.2.mixer,0.978858
20,5,vim_tiny,brain_tumor,1000.0,4,base.layers.3.mixer,0.951812
20,5,vim_tiny,brain_tumor,1000.0,5,base.layers.4.mixer,0.975561
20,5,vim_tiny,brain_tumor,1000.0,6,base.layers.5.mixer,0.952999
20,5,vim_tiny,brain_tumor,1000.0,7,base.layers.6.mixer,0.972567
20,5,vim_tiny,brain_tumor,1000.0,8,base.layers.7.mixer,0.897304
20,5,vim_tiny,brain_tumor,1000.0,9,base.layers.8.mixer,0.971505
20,5,vim_tiny,brain_tumor,1000.0,10,base.layers.9.mixer,0.994956
20,5,vim_tiny,brain_tumor,1000.0,11,base.layers.10.mixer,0.880727
20,5,vim_tiny,brain_tumor,1000.0,12,base.layers.11.mixer,0.951611
20,5,vim_tiny,brain_tumor,1000.0,13,classifier,0.824277
20,7,vim_tiny,brain_tumor,1000.0,0,base.patch_embed,0.999979
20,7,vim_tiny,brain_tumor,1000.0,1,base.layers.0.mixer,0.996195
20,7,vim_tiny,brain_tumor,1000.0,2,base.layers.1.mixer,0.976001
20,7,vim_tiny,brain_tumor,1000.0,3,base.layers.2.mixer,0.969728
20,7,vim_tiny,brain_tumor,1000.0,4,base.layers.3.mixer,0.921980
20,7,vim_tiny,brain_tumor,1000.0,5,base.layers.4.mixer,0.952339
20,7,vim_tiny,brain_tumor,1000.0,6,base.layers.5.mixer,0.975237
20,7,vim_tiny,brain_tumor,1000.0,7,base.layers.6.mixer,0.946869
20,7,vim_tiny,brain_tumor,1000.0,8,base.layers.7.mixer,0.937497
20,7,vim_tiny,brain_tumor,1000.0,9,base.layers.8.mixer,0.906915
20,7,vim_tiny,brain_tumor,1000.0,10,base.layers.9.mixer,0.995193
20,7,vim_tiny,brain_tumor,1000.0,11,base.layers.10.mixer,0.892578
20,7,vim_tiny,brain_tumor,1000.0,12,base.layers.11.mixer,0.965704
20,7,vim_tiny,brain_tumor,1000.0,13,classifier,0.837452
20,4,vim_tiny,brain_tumor,1000.0,0,base.patch_embed,0.999732
20,4,vim_tiny,brain_tumor,1000.0,1,base.layers.0.mixer,0.990506
20,4,vim_tiny,brain_tumor,1000.0,2,base.layers.1.mixer,0.992636
20,4,vim_tiny,brain_tumor,1000.0,3,base.layers.2.mixer,0.983778
20,4,vim_tiny,brain_tumor,1000.0,4,base.layers.3.mixer,0.996122
20,4,vim_tiny,brain_tumor,1000.0,5,base.layers.4.mixer,0.989586
20,4,vim_tiny,brain_tumor,1000.0,6,base.layers.5.mixer,0.969073
20,4,vim_tiny,brain_tumor,1000.0,7,base.layers.6.mixer,0.983576
20,4,vim_tiny,brain_tumor,1000.0,8,base.layers.7.mixer,0.968759
20,4,vim_tiny,brain_tumor,1000.0,9,base.layers.8.mixer,0.968127
20,4,vim_tiny,brain_tumor,1000.0,10,base.layers.9.mixer,0.995387
20,4,vim_tiny,brain_tumor,1000.0,11,base.layers.10.mixer,0.928168
20,4,vim_tiny,brain_tumor,1000.0,12,base.layers.11.mixer,0.861819
20,4,vim_tiny,brain_tumor,1000.0,13,classifier,0.895197
30,2,vim_tiny,brain_tumor,1000.0,0,base.patch_embed,0.999926
30,2,vim_tiny,brain_tumor,1000.0,1,base.layers.0.mixer,0.988980
30,2,vim_tiny,brain_tumor,1000.0,2,base.layers.1.mixer,0.966206
30,2,vim_tiny,brain_tumor,1000.0,3,base.layers.2.mixer,0.960283
30,2,vim_tiny,brain_tumor,1000.0,4,base.layers.3.mixer,0.985171
30,2,vim_tiny,brain_tumor,1000.0,5,base.layers.4.mixer,0.970571
30,2,vim_tiny,brain_tumor,1000.0,6,base.layers.5.mixer,0.982064
30,2,vim_tiny,brain_tumor,1000.0,7,base.layers.6.mixer,0.962732
30,2,vim_tiny,brain_tumor,1000.0,8,base.layers.7.mixer,0.959900
30,2,vim_tiny,brain_tumor,1000.0,9,base.layers.8.mixer,0.941678
30,2,vim_tiny,brain_tumor,1000.0,10,base.layers.9.mixer,0.990111
30,2,vim_tiny,brain_tumor,1000.0,11,base.layers.10.mixer,0.890933
30,2,vim_tiny,brain_tumor,1000.0,12,base.layers.11.mixer,0.882496
30,2,vim_tiny,brain_tumor,1000.0,13,classifier,0.830415
30,5,vim_tiny,brain_tumor,1000.0,0,base.patch_embed,0.999476
30,5,vim_tiny,brain_tumor,1000.0,1,base.layers.0.mixer,0.996217
30,5,vim_tiny,brain_tumor,1000.0,2,base.layers.1.mixer,0.995085
30,5,vim_tiny,brain_tumor,1000.0,3,base.layers.2.mixer,0.993726
30,5,vim_tiny,brain_tumor,1000.0,4,base.layers.3.mixer,0.991981
30,5,vim_tiny,brain_tumor,1000.0,5,base.layers.4.mixer,0.939618
30,5,vim_tiny,brain_tumor,1000.0,6,base.layers.5.mixer,0.970857
30,5,vim_tiny,brain_tumor,1000.0,7,base.layers.6.mixer,0.984721
30,5,vim_tiny,brain_tumor,1000.0,8,base.layers.7.mixer,0.971303
30,5,vim_tiny,brain_tumor,1000.0,9,base.layers.8.mixer,0.947345
30,5,vim_tiny,brain_tumor,1000.0,10,base.layers.9.mixer,0.993893
30,5,vim_tiny,brain_tumor,1000.0,11,base.layers.10.mixer,0.927190
30,5,vim_tiny,brain_tumor,1000.0,12,base.layers.11.mixer,0.974292
30,5,vim_tiny,brain_tumor,1000.0,13,classifier,0.924512
30,6,vim_tiny,brain_tumor,1000.0,0,base.patch_embed,0.999695
30,6,vim_tiny,brain_tumor,1000.0,1,base.layers.0.mixer,0.993783
30,6,vim_tiny,brain_tumor,1000.0,2,base.layers.1.mixer,0.993773
30,6,vim_tiny,brain_tumor,1000.0,3,base.layers.2.mixer,0.991313
30,6,vim_tiny,brain_tumor,1000.0,4,base.layers.3.mixer,0.990844
30,6,vim_tiny,brain_tumor,1000.0,5,base.layers.4.mixer,0.987945
30,6,vim_tiny,brain_tumor,1000.0,6,base.layers.5.mixer,0.960067
30,6,vim_tiny,brain_tumor,1000.0,7,base.layers.6.mixer,0.983591
30,6,vim_tiny,brain_tumor,1000.0,8,base.layers.7.mixer,0.965992
30,6,vim_tiny,brain_tumor,1000.0,9,base.layers.8.mixer,0.942173
30,6,vim_tiny,brain_tumor,1000.0,10,base.layers.9.mixer,0.994631
30,6,vim_tiny,brain_tumor,1000.0,11,base.layers.10.mixer,0.925848
30,6,vim_tiny,brain_tumor,1000.0,12,base.layers.11.mixer,0.934170
30,6,vim_tiny,brain_tumor,1000.0,13,classifier,0.874243
30,7,vim_tiny,brain_tumor,1000.0,0,base.patch_embed,0.999909
30,7,vim_tiny,brain_tumor,1000.0,1,base.layers.0.mixer,0.995073
30,7,vim_tiny,brain_tumor,1000.0,2,base.layers.1.mixer,0.986033
30,7,vim_tiny,brain_tumor,1000.0,3,base.layers.2.mixer,0.955369
30,7,vim_tiny,brain_tumor,1000.0,4,base.layers.3.mixer,0.964032
30,7,vim_tiny,brain_tumor,1000.0,5,base.layers.4.mixer,0.978221
30,7,vim_tiny,brain_tumor,1000.0,6,base.layers.5.mixer,0.869814
30,7,vim_tiny,brain_tumor,1000.0,7,base.layers.6.mixer,0.968584
30,7,vim_tiny,brain_tumor,1000.0,8,base.layers.7.mixer,0.968107
30,7,vim_tiny,brain_tumor,1000.0,9,base.layers.8.mixer,0.931981
