round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,50.3337,42.505,63.4657,49.1439,0,0.273157,0.048021,3.396398,0.309861,0.820389,0.177161,0.681766,0.436964,0.395787,19.837,42.4581,62.2951,6.0209
2,0.00999014,67.6307,67.3762,67.7296,67.3549,0,0.111499,0.023956,1.719158,0.101725,0.372112,0.049218,0.921399,0.545525,0.71866,31.9443,38.5475,70.4918,8.3765
3,0.00996061,73.0812,72.6121,73.7978,72.6053,0,0.094289,0.019688,1.625069,0.077624,0.193886,0.020836,0.861265,0.365665,0.163807,18.5792,55.1913,73.7705,5.8449
4,0.00991152,74.9166,74.5037,75.0939,74.4969,0,0.082538,0.018758,1.57596,0.12275,0.222651,0.028496,0.775969,0.223276,0.150703,15.6425,61.4525,77.095,4.5351
5,0.00984307,76.6963,76.2137,77.4627,76.2439,0,0.074946,0.008907,1.595328,0.136445,0.198466,0.017079,0.742143,0.176051,0.051797,13.7866,66.1017,79.8883,4.6269
6,0.00975553,78.921,78.6201,79.129,78.6204,0,0.074159,0.011615,1.646575,0.107645,0.221837,0.028994,0.674854,0.145731,0.062995,7.8121,67.5978,75.4098,2.2072
7,0.00964923,80.6452,80.4296,80.706,80.423,0,0.073404,0.012408,1.689433,0.124067,0.220146,0.032587,0.63607,0.108882,0.038747,7.6503,71.5847,79.235,2.7214
8,0.00952461,80.5339,80.335,80.7309,80.2614,0,0.066102,0.009102,1.769782,0.145759,0.246582,0.014537,0.508263,0.083956,0.078989,11.5204,68.9266,80.4469,3.3736
9,0.00938215,81.8131,81.656,81.8804,81.6164,0,0.063858,0.009011,1.787676,0.141994,0.239855,0.031958,0.44229,0.072695,0.039056,12.8492,68.1564,81.0056,4.0456
10,0.00922242,82.5918,82.395,82.771,82.3848,0,0.063592,0.003941,1.873554,0.118665,0.233532,0.011711,0.395754,0.060289,0.030063,9.1229,71.7514,80.8743,2.989
11,0.00904604,81.98,81.784,82.3165,81.695,1,0.065592,0.007053,1.895269,0.181058,0.236161,0.021571,0.370806,0.054652,0.011441,9.4972,70.3911,79.8883,2.6382
12,0.00885371,82.703,82.4982,82.9014,82.4437,0,0.067253,0.007147,1.967548,0.169537,0.238388,0.013904,0.366274,0.043422,-0.013676,8.4335,72.6776,81.1111,3.1019
13,0.0086462,83.3704,83.2367,83.7095,83.1335,0,0.065787,0.004617,1.988002,0.148945,0.23889,0.020703,0.30257,0.038455,0.012704,9.4972,73.743,83.2402,3.3199
14,0.00842431,82.3137,82.1275,82.5412,82.0205,0,0.065133,0.006628,1.973345,0.23163,0.240659,0.032956,0.30856,0.03362,-0.031546,32.4022,48.6034,81.0056,8.9802
15,0.00818893,83.426,83.254,83.6473,83.1875,0,0.065977,0.005116,2.002966,0.147455,0.242225,0.017764,0.280318,0.031333,-0.022489,12.8492,70.9497,83.7989,3.3117
16,0.00794099,84.9277,84.7756,85.2468,84.6863,0,0.065435,0.007495,2.03837,0.245636,0.232095,0.014295,0.243787,0.024136,0.018213,7.7567,74.0113,81.768,2.7741
17,0.00768145,84.5384,84.3868,84.8704,84.2987,0,0.065151,0.008706,2.017372,0.242965,0.231676,0.018337,0.219139,0.021084,-0.021394,10.9016,75.6906,86.5922,2.9019
18,0.00741136,85.2614,85.1325,85.4526,85.0566,0,0.065824,0.007744,1.989801,0.198452,0.227504,0.027945,0.241787,0.019712,-0.009594,19.0751,66.4804,85.5556,4.906
19,0.00713177,85.0945,84.9768,85.4637,84.8646,0,0.070869,0.007935,2.159489,0.27268,0.24026,0.027925,0.236003,0.016817,-0.017219,13.8889,72.2222,86.1111,4.0813
20,0.00684378,85.5395,85.3466,85.7914,85.3212,0,0.062033,0.005897,1.908168,0.174894,0.23141,0.014323,0.220957,0.024581,0.04649,8.5792,76.6667,85.2459,2.9139
21,0.00654854,85.9844,85.8389,86.0713,85.7995,0,0.067399,0.006784,2.034424,0.150451,0.230863,0.02879,0.218526,0.015039,0.009497,12.0738,72.6257,84.6995,3.9214
22,0.00624721,86.2625,86.1956,86.4496,86.1291,0,0.066857,0.008278,2.035849,0.229978,0.219935,0.025791,0.218733,0.017493,0.001905,6.7519,77.4011,84.153,2.0667
23,0.00594097,87.1524,86.9904,87.1262,86.9688,0,0.063721,0.009734,1.896935,0.314309,0.20483,0.025244,0.237505,0.018575,-0.002482,7.8633,76.8362,84.6995,2.8338
24,0.00563104,87.1524,87.0727,87.279,86.9856,0,0.06233,0.007422,1.899893,0.282851,0.200238,0.015296,0.21261,0.014362,0.024603,17.3184,68.1564,85.4749,4.6595
25,0.00531864,87.5973,87.5056,87.7507,87.4254,0,0.070534,0.015601,2.092614,0.483806,0.217025,0.037205,0.221677,0.013242,-0.02072,13.4426,73.224,86.6667,4.4711
26,0.005005,87.1524,87.0426,87.4205,86.966,0,0.060799,0.008232,1.780895,0.274141,0.197852,0.015269,0.237354,0.018859,0.016178,9.1784,78.5311,87.7095,2.5136
27,0.00469136,87.0968,86.9374,87.1635,86.8806,0,0.06719,0.006596,2.027953,0.220445,0.194846,0.018799,0.208448,0.014111,-0.024031,7.5678,78.7709,86.3388,2.8558
28,0.00437896,87.7642,87.6185,87.7742,87.5769,0,0.064308,0.011926,1.894119,0.387268,0.186902,0.019658,0.217289,0.016404,0.009452,12.1608,79.096,91.2568,3.3346
29,0.00406903,87.931,87.8364,87.9471,87.8049,0,0.063166,0.008061,1.867386,0.275843,0.192406,0.024193,0.221194,0.015434,-0.014634,12.0493,73.743,85.7923,3.5536
30,0.00376279,87.7642,87.6597,87.7922,87.6096,0,0.066724,0.007897,1.966291,0.273979,0.188833,0.019907,0.236069,0.013274,-0.004835,11.3399,73.743,85.0829,3.2507
31,0.00346146,88.2647,88.1349,88.3135,88.0856,0,0.059764,0.008429,1.732551,0.344947,0.177805,0.021319,0.235408,0.022951,0.003117,12.5347,76.5363,89.071,3.7209
32,0.00316622,87.4861,87.3681,87.5246,87.316,0,0.069901,0.013738,2.027929,0.446549,0.194358,0.046514,0.21883,0.012894,-0.035633,8.4544,78.2123,86.6667,2.3878
33,0.00287823,88.7653,88.697,88.8574,88.6418,0,0.055739,0.010052,1.527336,0.389628,0.159968,0.021541,0.326404,0.032601,0.0299,10.0306,77.4011,87.4317,3.3087
34,0.00259864,88.3204,88.1845,88.284,88.1673,0,0.068135,0.013767,1.970743,0.440605,0.184098,0.041328,0.241551,0.016902,-0.018675,11.142,76.8362,87.9781,3.2877
35,0.00232855,88.3204,88.221,88.3677,88.1747,0,0.057133,0.009382,1.595886,0.340084,0.168321,0.018017,0.273154,0.030657,0.159668,7.8212,81.0056,88.8268,2.6578
36,0.00206901,88.7097,88.6305,88.7783,88.5845,0,0.055459,0.011424,1.496434,0.443834,0.141985,0.030781,0.329908,0.026321,0.026685,9.9565,79.661,89.6175,3.2343
37,0.00182107,88.9321,88.8104,88.9153,88.7719,0,0.066225,0.024745,1.828428,0.7639,0.180396,0.078194,0.286958,0.026038,-0.014288,17.0502,74.0113,91.0615,4.587
38,0.00158569,89.0434,88.9501,89.018,88.9135,0,0.048855,0.006685,1.25988,0.246071,0.143169,0.023985,0.394073,0.051076,0.205423,9.41,79.661,89.071,2.6916
39,0.0013638,88.7097,88.6281,88.7113,88.588,0,0.059296,0.013131,1.609516,0.456145,0.144672,0.055564,0.312277,0.026057,-0.024957,11.6884,76.8362,88.5246,3.146
40,0.00115629,89.099,88.9997,89.0774,88.9677,0,0.056991,0.010951,1.542914,0.429941,0.141374,0.022723,0.320777,0.030547,0.0011,11.3564,80.4469,91.8033,3.2152
41,0.00096396,89.0434,88.9604,89.0469,88.9215,0,0.054557,0.012363,1.430751,0.470515,0.135351,0.034938,0.351615,0.030844,-0.005924,11.9516,78.2123,90.1639,4.0498
42,0.00078758,89.2659,89.1642,89.2073,89.1557,0,0.048646,0.009639,1.229971,0.365181,0.115875,0.027194,0.413282,0.043267,0.016064,11.3686,79.8883,91.2568,3.7307
43,0.00062785,89.3771,89.2838,89.3245,89.2692,0,0.051319,0.008498,1.300391,0.364056,0.114118,0.016235,0.404827,0.038089,0.032782,11.9394,78.7709,90.7104,3.697
44,0.00048539,88.9878,88.8692,89.0094,88.8385,0,0.061614,0.016983,1.603217,0.554419,0.152784,0.069314,0.353917,0.031174,0.015827,10.4067,79.096,89.5028,4.139
45,0.00036077,89.8776,89.8024,89.9534,89.7919,0,0.050565,0.013496,1.219392,0.512118,0.128062,0.032955,0.438324,0.061147,0.075435,10.7013,80.5556,91.2568,3.4347
46,0.00025447,89.7664,89.6968,89.8031,89.6531,0,0.048305,0.012475,1.145177,0.527448,0.110288,0.036122,0.477208,0.064317,0.060706,10.6922,81.1111,91.8033,2.9751
47,0.00016693,89.4327,89.362,89.4924,89.3161,0,0.057155,0.015683,1.481715,0.603405,0.117268,0.030071,0.363545,0.035537,-0.039563,11.1694,78.3333,89.5028,2.8152
48,9.848e-05,89.5439,89.4832,89.596,89.4322,0,0.049216,0.014118,1.190715,0.58886,0.118299,0.034996,0.470115,0.064779,0.129379,11.0532,78.2123,89.2655,3.2463
49,4.939e-05,89.099,88.9957,89.0943,88.9929,0,0.044213,0.008655,0.963501,0.348254,0.08975,0.024549,0.566425,0.081787,0.101435,7.7343,84.4444,92.1788,2.5691
50,1.986e-05,88.7653,88.6488,88.722,88.6195,0,0.053108,0.020311,1.259713,0.611448,0.119337,0.088277,0.435887,0.049964,-0.018838,10.8099,80.4469,91.2568,3.2616
