round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,vim_tiny,brain_tumor,1000.0,0,base.patch_embed,0.998962
1,0,1,vim_tiny,brain_tumor,1000.0,1,base.layers.0.mixer,0.894271
1,0,1,vim_tiny,brain_tumor,1000.0,2,base.layers.1.mixer,0.888102
1,0,1,vim_tiny,brain_tumor,1000.0,3,base.layers.2.mixer,0.971322
1,0,1,vim_tiny,brain_tumor,1000.0,4,base.layers.3.mixer,0.982536
1,0,1,vim_tiny,brain_tumor,1000.0,5,base.layers.4.mixer,0.964425
1,0,1,vim_tiny,brain_tumor,1000.0,6,base.layers.5.mixer,0.888152
1,0,1,vim_tiny,brain_tumor,1000.0,7,base.layers.6.mixer,0.960343
1,0,1,vim_tiny,brain_tumor,1000.0,8,base.layers.7.mixer,0.964812
1,0,1,vim_tiny,brain_tumor,1000.0,9,base.layers.8.mixer,0.953836
1,0,1,vim_tiny,brain_tumor,1000.0,10,base.layers.9.mixer,0.980881
1,0,1,vim_tiny,brain_tumor,1000.0,11,base.layers.10.mixer,0.970158
1,0,1,vim_tiny,brain_tumor,1000.0,12,base.layers.11.mixer,0.969739
1,0,1,vim_tiny,brain_tumor,1000.0,13,classifier,0.823131
1,0,2,vim_tiny,brain_tumor,1000.0,0,base.patch_embed,0.999431
1,0,2,vim_tiny,brain_tumor,1000.0,1,base.layers.0.mixer,0.765099
1,0,2,vim_tiny,brain_tumor,1000.0,2,base.layers.1.mixer,0.879132
1,0,2,vim_tiny,brain_tumor,1000.0,3,base.layers.2.mixer,0.974641
1,0,2,vim_tiny,brain_tumor,1000.0,4,base.layers.3.mixer,0.973297
1,0,2,vim_tiny,brain_tumor,1000.0,5,base.layers.4.mixer,0.968571
1,0,2,vim_tiny,brain_tumor,1000.0,6,base.layers.5.mixer,0.964657
1,0,2,vim_tiny,brain_tumor,1000.0,7,base.layers.6.mixer,0.968990
1,0,2,vim_tiny,brain_tumor,1000.0,8,base.layers.7.mixer,0.973520
1,0,2,vim_tiny,brain_tumor,1000.0,9,base.layers.8.mixer,0.960587
1,0,2,vim_tiny,brain_tumor,1000.0,10,base.layers.9.mixer,0.988200
1,0,2,vim_tiny,brain_tumor,1000.0,11,base.layers.10.mixer,0.986980
1,0,2,vim_tiny,brain_tumor,1000.0,12,base.layers.11.mixer,0.981936
1,0,2,vim_tiny,brain_tumor,1000.0,13,classifier,0.943161
1,0,3,vim_tiny,brain_tumor,1000.0,0,base.patch_embed,0.999323
1,0,3,vim_tiny,brain_tumor,1000.0,1,base.layers.0.mixer,0.913519
1,0,3,vim_tiny,brain_tumor,1000.0,2,base.layers.1.mixer,0.949791
1,0,3,vim_tiny,brain_tumor,1000.0,3,base.layers.2.mixer,0.979471
1,0,3,vim_tiny,brain_tumor,1000.0,4,base.layers.3.mixer,0.983508
1,0,3,vim_tiny,brain_tumor,1000.0,5,base.layers.4.mixer,0.955712
1,0,3,vim_tiny,brain_tumor,1000.0,6,base.layers.5.mixer,0.972735
1,0,3,vim_tiny,brain_tumor,1000.0,7,base.layers.6.mixer,0.975074
1,0,3,vim_tiny,brain_tumor,1000.0,8,base.layers.7.mixer,0.975259
1,0,3,vim_tiny,brain_tumor,1000.0,9,base.layers.8.mixer,0.965989
1,0,3,vim_tiny,brain_tumor,1000.0,10,base.layers.9.mixer,0.983826
1,0,3,vim_tiny,brain_tumor,1000.0,11,base.layers.10.mixer,0.980083
1,0,3,vim_tiny,brain_tumor,1000.0,12,base.layers.11.mixer,0.982354
1,0,3,vim_tiny,brain_tumor,1000.0,13,classifier,0.894785
1,0,4,vim_tiny,brain_tumor,1000.0,0,base.patch_embed,0.999569
1,0,4,vim_tiny,brain_tumor,1000.0,1,base.layers.0.mixer,0.975315
1,0,4,vim_tiny,brain_tumor,1000.0,2,base.layers.1.mixer,0.975639
1,0,4,vim_tiny,brain_tumor,1000.0,3,base.layers.2.mixer,0.973739
1,0,4,vim_tiny,brain_tumor,1000.0,4,base.layers.3.mixer,0.994609
1,0,4,vim_tiny,brain_tumor,1000.0,5,base.layers.4.mixer,0.945399
1,0,4,vim_tiny,brain_tumor,1000.0,6,base.layers.5.mixer,0.991779
1,0,4,vim_tiny,brain_tumor,1000.0,7,base.layers.6.mixer,0.976868
1,0,4,vim_tiny,brain_tumor,1000.0,8,base.layers.7.mixer,0.983830
1,0,4,vim_tiny,brain_tumor,1000.0,9,base.layers.8.mixer,0.979567
1,0,4,vim_tiny,brain_tumor,1000.0,10,base.layers.9.mixer,0.988291
1,0,4,vim_tiny,brain_tumor,1000.0,11,base.layers.10.mixer,0.989165
1,0,4,vim_tiny,brain_tumor,1000.0,12,base.layers.11.mixer,0.988806
1,0,4,vim_tiny,brain_tumor,1000.0,13,classifier,0.841807
1,0,5,vim_tiny,brain_tumor,1000.0,0,base.patch_embed,0.998798
1,0,5,vim_tiny,brain_tumor,1000.0,1,base.layers.0.mixer,0.977899
1,0,5,vim_tiny,brain_tumor,1000.0,2,base.layers.1.mixer,0.980147
1,0,5,vim_tiny,brain_tumor,1000.0,3,base.layers.2.mixer,0.963992
1,0,5,vim_tiny,brain_tumor,1000.0,4,base.layers.3.mixer,0.972942
1,0,5,vim_tiny,brain_tumor,1000.0,5,base.layers.4.mixer,0.930500
1,0,5,vim_tiny,brain_tumor,1000.0,6,base.layers.5.mixer,0.965758
