round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,38.4744,26.4903,31.2854,37.9002,0,0.238843,0.052507,2.951954,0.288944,0.684474,0.113536,0.004781,0.001051,0.001607,0.000157,0.024635,0.004086,0.68126,0.369727,0.429188,19.3789,43.2584,62.6374,6.2886
2,0.00999014,69.265,68.9816,70.6144,69.355,0,0.122636,0.021971,1.893519,0.070757,0.309593,0.030113,0.002455,0.00044,0.001031,3.9e-05,0.011143,0.001084,0.915501,0.463066,0.397391,20.2247,51.6854,71.9101,5.4193
3,0.00996061,75.0557,74.8351,75.9077,75.1363,0,0.08818,0.011865,1.743542,0.109453,0.229086,0.03901,0.001765,0.000237,0.000949,6e-05,0.008245,0.001404,0.831296,0.291635,0.148355,28.9691,43.5028,72.4719,7.9056
4,0.00991152,78.3964,78.1845,78.8157,78.4454,0,0.081142,0.008603,1.71597,0.091877,0.213992,0.021298,0.001624,0.000172,0.000934,5e-05,0.007702,0.000767,0.762288,0.201558,0.083808,12.3627,66.8508,79.2135,3.927
5,0.00984307,78.9532,78.8658,79.0535,78.9964,0,0.074086,0.007491,1.767457,0.142877,0.241612,0.03102,0.001483,0.00015,0.000962,7.8e-05,0.008696,0.001116,0.688051,0.143439,0.040622,9.8246,64.0884,73.913,2.8731
6,0.00975553,80.6793,80.5757,80.7598,80.7191,0,0.063816,0.00453,1.742465,0.061308,0.240632,0.02422,0.001277,9.1e-05,0.000949,3.3e-05,0.008661,0.000872,0.572054,0.120806,0.114884,11.236,66.8539,78.0899,3.6803
7,0.00964923,81.2918,81.1163,81.3527,81.3241,0,0.064653,0.005642,1.87886,0.085222,0.238533,0.023117,0.001294,0.000113,0.001023,4.6e-05,0.008585,0.000832,0.500817,0.092476,0.034906,13.6863,63.8418,77.5281,3.9812
8,0.00952461,81.8486,81.7489,81.9331,81.8938,0,0.062643,0.007143,1.931668,0.135179,0.251669,0.027029,0.001254,0.000143,0.001052,7.4e-05,0.009058,0.000973,0.398788,0.077694,0.089636,12.329,65.7609,78.0899,3.445
9,0.00938215,82.0156,81.8759,82.069,82.0514,0,0.067572,0.00912,2.067016,0.10226,0.24808,0.026198,0.001353,0.000183,0.001125,5.6e-05,0.008929,0.000943,0.365529,0.058977,0.025309,12.5309,69.4915,82.0225,4.3187
10,0.00922242,82.9621,82.7419,83.1401,82.9892,1,0.060429,0.004091,1.971057,0.13986,0.243234,0.01516,0.00121,8.2e-05,0.001073,7.6e-05,0.008754,0.000546,0.297003,0.048583,0.135563,8.5888,71.1864,79.7753,3.2349
