round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,50.0,42.5429,64.3141,48.8017,0,0.262572,0.045872,3.21142,0.288761,0.776962,0.168212,0.680731,0.434805,0.393407,18.7441,42.4581,61.2022,5.9112
2,0.00999014,66.0734,65.9535,66.733,65.8843,0,0.119175,0.033357,1.732117,0.101251,0.348608,0.030867,0.907733,0.461613,0.640068,17.3184,48.0447,65.3631,4.3841
3,0.00996061,73.3037,72.94,74.019,72.8428,0,0.090032,0.015649,1.59691,0.057803,0.200532,0.018479,0.865942,0.38758,0.13963,13.485,56.9061,70.3911,4.5713
4,0.00991152,74.2492,73.7629,74.7269,73.7649,0,0.082826,0.019789,1.522941,0.088235,0.229596,0.03136,0.800494,0.235584,0.145602,16.7018,60.8939,77.5956,5.4634
5,0.00984307,76.1958,75.8151,76.553,75.7979,0,0.074755,0.012851,1.544051,0.09853,0.205127,0.02057,0.75407,0.195242,0.046042,10.6145,68.7151,79.3296,3.3794
6,0.00975553,78.921,78.6763,79.0708,78.6502,0,0.07082,0.007809,1.603643,0.091413,0.225191,0.022212,0.676361,0.151457,0.09425,17.8435,58.6592,76.5027,4.6937
7,0.00964923,80.2002,80.0433,80.315,79.9804,0,0.064978,0.007277,1.624893,0.088052,0.245039,0.024122,0.585632,0.118948,0.144937,16.3934,62.8415,79.235,4.9721
8,0.00952461,80.089,79.8696,80.1893,79.8211,0,0.067854,0.010729,1.741908,0.141789,0.238078,0.023192,0.544849,0.090633,0.006412,13.4078,68.1564,81.5642,4.823
9,0.00938215,80.7564,80.4944,80.6606,80.5024,0,0.065433,0.005478,1.800537,0.1294,0.230257,0.023532,0.475547,0.078241,0.01978,7.9096,70.6215,78.5311,2.4297
10,0.00922242,81.535,81.3991,81.9335,81.3204,0,0.063237,0.00786,1.802887,0.117484,0.237576,0.016033,0.419309,0.061723,0.0237,15.245,68.3616,83.6066,4.0786
11,0.00904604,82.4249,82.2529,82.5572,82.2012,1,0.063045,0.007887,1.822666,0.179378,0.242551,0.026968,0.378375,0.049003,0.00299,12.9609,67.0391,80.0,3.5386
12,0.00885371,82.7586,82.5519,82.851,82.5148,0,0.062311,0.006436,1.859735,0.179645,0.246101,0.017991,0.331105,0.042763,0.045163,10.7076,72.6257,83.3333,2.9075
13,0.0086462,82.8142,82.5725,83.185,82.4991,0,0.064716,0.004029,1.944323,0.121395,0.242152,0.027231,0.327331,0.037598,-0.016896,10.1552,72.067,82.2222,3.5205
14,0.00842431,84.3159,84.1152,84.356,84.0859,0,0.064847,0.006747,1.952501,0.189742,0.234587,0.030181,0.313653,0.030136,-0.000684,7.3743,72.6257,80.0,2.1265
15,0.00818893,83.426,83.1856,83.745,83.1187,0,0.059407,0.006271,1.85774,0.200537,0.225166,0.016728,0.248789,0.03035,0.017224,10.4833,70.3911,80.8743,2.8891
16,0.00794099,84.3715,84.2006,84.5384,84.1488,0,0.069533,0.010233,2.117505,0.272305,0.232135,0.020307,0.25308,0.024373,-0.035454,10.0559,73.743,83.7989,2.9731
17,0.00768145,85.8176,85.6976,86.0088,85.6498,0,0.057182,0.003503,1.77419,0.142905,0.219856,0.017821,0.241217,0.026687,0.090947,10.932,74.8603,85.7923,2.8867
18,0.00741136,86.0957,85.9328,86.2294,85.8989,0,0.06614,0.006893,2.051771,0.249997,0.229626,0.013631,0.222393,0.012843,-0.013005,10.8645,72.3757,83.2402,3.4687
19,0.00713177,85.2058,85.0161,85.2505,84.994,0,0.069494,0.007981,2.134903,0.254932,0.229675,0.030197,0.235822,0.019503,-0.005961,11.5395,72.067,83.6066,3.2137
20,0.00684378,86.5406,86.3621,86.7201,86.3787,0,0.063164,0.007738,1.96241,0.245225,0.224434,0.009925,0.197876,0.016942,0.010892,9.2927,74.8603,84.153,2.6403
21,0.00654854,86.1513,85.9362,86.1889,85.9307,0,0.060583,0.006253,1.823039,0.220616,0.219204,0.015336,0.223341,0.016241,0.043769,10.9049,74.0113,84.9162,3.0117
22,0.00624721,86.0957,85.9357,86.0787,85.9203,0,0.060269,0.007647,1.85028,0.292084,0.203274,0.017876,0.206843,0.010958,0.013077,11.867,76.1111,87.9781,3.1113
23,0.00594097,86.2069,86.0032,86.338,85.9732,0,0.066279,0.008007,2.048738,0.268046,0.213728,0.016501,0.225388,0.013717,0.01801,6.7889,76.2712,83.0601,2.2127
24,0.00563104,86.485,86.327,86.6345,86.2731,0,0.06254,0.006717,1.943271,0.236997,0.19439,0.02165,0.20752,0.011366,0.004646,9.775,75.1412,84.9162,3.036
25,0.00531864,86.5962,86.4273,86.7534,86.3698,0,0.06042,0.007284,1.831023,0.223913,0.195475,0.02255,0.216557,0.015107,-0.015836,10.0776,77.9006,87.9781,3.2741
26,0.005005,87.3749,87.2454,87.4404,87.1827,0,0.066016,0.009619,2.016404,0.334867,0.200954,0.026823,0.223022,0.012635,-0.038758,5.3644,80.1105,85.4749,1.5485
27,0.00469136,87.4305,87.2788,87.5852,87.2123,0,0.066683,0.012346,1.973238,0.389108,0.193175,0.030938,0.218555,0.017054,-0.029484,8.3542,78.5311,86.8852,2.4812
28,0.00437896,88.4316,88.3215,88.5812,88.2742,0,0.057281,0.008192,1.702215,0.290438,0.175705,0.016148,0.244601,0.020373,0.052386,11.1235,77.4011,88.5246,3.121
29,0.00406903,88.1535,88.0542,88.1989,88.0015,0,0.065826,0.0147,1.924684,0.429691,0.196352,0.049135,0.222495,0.011959,-0.021465,8.6852,77.6536,86.3388,2.3153
30,0.00376279,88.1535,88.0485,88.1944,87.9934,0,0.059199,0.01277,1.727539,0.458688,0.177892,0.03509,0.246124,0.017146,0.014105,9.7659,78.2123,87.9781,2.9027
31,0.00346146,88.0423,87.9377,88.185,87.8744,0,0.061498,0.00936,1.791774,0.332945,0.182848,0.024582,0.244885,0.014556,0.008665,10.6952,74.8603,85.5556,3.3117
32,0.00316622,87.931,87.8263,88.1094,87.7495,0,0.059203,0.010582,1.72617,0.419205,0.162358,0.02546,0.245096,0.02171,0.039608,8.3356,79.096,87.4317,2.8973
33,0.00287823,88.2647,88.1312,88.3343,88.0995,0,0.064098,0.015839,1.8354,0.529042,0.181434,0.03761,0.246266,0.021147,-0.011683,10.3766,77.4011,87.7778,2.7299
34,0.00259864,87.4305,87.3137,87.4857,87.2533,0,0.060437,0.011805,1.73751,0.373676,0.17667,0.046694,0.240551,0.018314,0.026891,11.142,76.8362,87.9781,3.4821
35,0.00232855,88.6541,88.562,88.7371,88.5053,0,0.051109,0.007277,1.387542,0.317225,0.149558,0.014206,0.323251,0.035357,0.098733,11.4174,77.6536,89.071,3.531
36,0.00206901,88.3204,88.1967,88.3415,88.1544,0,0.064865,0.015232,1.841582,0.490022,0.174616,0.044966,0.258351,0.017828,-0.012196,11.1732,77.6536,88.8268,3.3692
37,0.00182107,88.2647,88.1528,88.3007,88.1248,0,0.053992,0.015496,1.471655,0.516964,0.157157,0.038462,0.314277,0.035053,0.050879,10.7855,81.5642,92.3497,3.3095
38,0.00158569,88.4872,88.3385,88.5196,88.2895,0,0.05329,0.010387,1.44888,0.356498,0.15298,0.040346,0.318162,0.02687,0.073021,14.1741,76.5363,90.7104,3.6846
39,0.0013638,88.9878,88.8888,89.0202,88.8398,0,0.064524,0.017154,1.830378,0.557551,0.176038,0.052698,0.282218,0.020448,-0.002064,17.1529,76.8362,93.9891,4.6163
40,0.00115629,89.3771,89.2948,89.4542,89.2497,0,0.047043,0.008198,1.191731,0.346583,0.136088,0.014315,0.426471,0.057574,0.185854,8.6241,80.4469,89.071,2.7523
41,0.00096396,88.9878,88.866,88.9846,88.8469,0,0.051851,0.011538,1.360713,0.447416,0.125748,0.029668,0.367617,0.031492,0.01085,15.6425,72.6257,88.2682,4.3755
42,0.00078758,88.6541,88.5274,88.6676,88.4869,0,0.047428,0.012349,1.195387,0.532192,0.105279,0.024087,0.438621,0.054151,0.069765,13.0323,78.7709,91.8033,3.9104
