round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,vit_tiny,brain_tumor,1000.0,0,base.patch_embed,0.999989
1,0,1,vit_tiny,brain_tumor,1000.0,1,base.blocks.0,0.994292
1,0,1,vit_tiny,brain_tumor,1000.0,2,base.blocks.1,0.996192
1,0,1,vit_tiny,brain_tumor,1000.0,3,base.blocks.2,0.996038
1,0,1,vit_tiny,brain_tumor,1000.0,4,base.blocks.3,0.996138
1,0,1,vit_tiny,brain_tumor,1000.0,5,base.blocks.4,0.996235
1,0,1,vit_tiny,brain_tumor,1000.0,6,base.blocks.5,0.996254
1,0,1,vit_tiny,brain_tumor,1000.0,7,base.blocks.6,0.996360
1,0,1,vit_tiny,brain_tumor,1000.0,8,base.blocks.7,0.996331
1,0,1,vit_tiny,brain_tumor,1000.0,9,base.blocks.8,0.996361
1,0,1,vit_tiny,brain_tumor,1000.0,10,base.blocks.9,0.996428
1,0,1,vit_tiny,brain_tumor,1000.0,11,base.blocks.10,0.996359
1,0,1,vit_tiny,brain_tumor,1000.0,12,base.blocks.11,0.996415
1,0,1,vit_tiny,brain_tumor,1000.0,13,base.norm,0.996839
1,0,1,vit_tiny,brain_tumor,1000.0,14,classifier,0.995969
1,0,2,vit_tiny,brain_tumor,1000.0,0,base.patch_embed,0.999991
1,0,2,vit_tiny,brain_tumor,1000.0,1,base.blocks.0,0.953236
1,0,2,vit_tiny,brain_tumor,1000.0,2,base.blocks.1,0.942921
1,0,2,vit_tiny,brain_tumor,1000.0,3,base.blocks.2,0.941494
1,0,2,vit_tiny,brain_tumor,1000.0,4,base.blocks.3,0.940420
1,0,2,vit_tiny,brain_tumor,1000.0,5,base.blocks.4,0.939495
1,0,2,vit_tiny,brain_tumor,1000.0,6,base.blocks.5,0.938487
1,0,2,vit_tiny,brain_tumor,1000.0,7,base.blocks.6,0.937981
1,0,2,vit_tiny,brain_tumor,1000.0,8,base.blocks.7,0.937229
1,0,2,vit_tiny,brain_tumor,1000.0,9,base.blocks.8,0.936965
1,0,2,vit_tiny,brain_tumor,1000.0,10,base.blocks.9,0.936596
1,0,2,vit_tiny,brain_tumor,1000.0,11,base.blocks.10,0.936567
1,0,2,vit_tiny,brain_tumor,1000.0,12,base.blocks.11,0.936472
1,0,2,vit_tiny,brain_tumor,1000.0,13,base.norm,0.940317
1,0,2,vit_tiny,brain_tumor,1000.0,14,classifier,0.954607
1,0,3,vit_tiny,brain_tumor,1000.0,0,base.patch_embed,0.999976
1,0,3,vit_tiny,brain_tumor,1000.0,1,base.blocks.0,0.989855
