round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,26.1958,12.4505,11.3226,26.0497,0,0.343184,0.085773,2.867309,0.371984,0.827805,0.135678,0.676711,0.464628,0.611586,25.1336,25.1397,50.2732,6.9644
2,0.00999014,48.6096,43.2662,54.7575,47.5508,0,0.20214,0.053903,0.740619,0.081727,0.332457,0.062969,0.986926,0.885174,0.737577,17.5141,28.8136,46.3277,5.379
3,0.00996061,55.9511,51.7351,57.0083,55.3424,0,0.147196,0.019705,0.865864,0.087608,0.353998,0.06109,0.956915,0.840852,0.718764,15.3005,45.3552,60.6557,4.7191
4,0.00991152,65.2948,65.0306,65.8472,65.0617,0,0.157566,0.043212,0.803636,0.060987,0.331385,0.066367,0.960369,0.799717,0.710601,20.178,47.7778,67.9558,5.8438
5,0.00984307,68.4093,67.6891,68.2846,68.0909,0,0.130729,0.036795,0.688478,0.069103,0.234133,0.04303,0.936299,0.659055,0.425715,16.3277,53.6723,70.0,4.1774
6,0.00975553,68.8543,69.0742,69.6878,68.8574,0,0.126114,0.019791,0.748898,0.061222,0.223061,0.025304,0.940385,0.598354,0.409713,18.9454,51.1111,70.0565,5.4082
7,0.00964923,72.4694,71.9836,72.2651,72.2855,0,0.131059,0.030904,0.72534,0.067798,0.223001,0.028554,0.932425,0.519055,0.106978,16.5574,60.1093,76.6667,5.6985
8,0.00952461,74.0823,72.6691,73.4489,73.6337,0,0.116288,0.023671,0.735982,0.05848,0.221913,0.033526,0.915207,0.465095,0.125186,19.2845,54.7486,74.0331,6.7351
9,0.00938215,75.9733,75.0911,75.3171,75.6772,0,0.111509,0.021753,0.748918,0.036235,0.227143,0.035144,0.888291,0.380189,0.090785,26.8927,53.1073,80.0,6.948
10,0.00922242,77.7531,76.8748,76.8916,77.4569,0,0.119419,0.018406,0.725828,0.060721,0.187572,0.01999,0.90551,0.365411,0.115423,20.2048,63.1285,83.3333,5.0737
11,0.00904604,77.5306,76.5149,76.8965,77.1939,0,0.09015,0.013821,0.67678,0.045653,0.220193,0.033947,0.860587,0.262674,0.139847,17.0067,60.8939,77.9006,6.0471
12,0.00885371,78.2536,77.3214,77.334,77.917,0,0.104497,0.024516,0.713709,0.069118,0.201547,0.031293,0.832612,0.209994,0.051756,10.5199,68.7151,79.235,3.4491
13,0.0086462,79.0323,78.5999,78.5074,78.8098,0,0.09062,0.011622,0.676307,0.052434,0.20974,0.031182,0.832687,0.22144,0.098116,16.7232,63.2768,80.0,4.098
14,0.00842431,79.1435,78.5018,78.3842,78.8386,0,0.082407,0.009912,0.697572,0.062633,0.197618,0.029935,0.826804,0.198527,0.094129,15.4341,65.9218,81.3559,4.2455
