epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,16.407119021134594,8.292791113282505,6.06717507866336,15.271727998907625,31.31256952169077,26.928041068576686,23.70585037906335,32.27355732752001
1,35.53948832035595,28.41868195907881,27.95595708639187,36.45745222229099,39.76640711902114,38.062139265391814,38.426404344753415,39.560355514118896
2,51.61290322580645,43.36296689477292,43.92814041139482,50.35297383683772,34.705228031145715,32.37323930689441,36.64656390751498,35.308275651909625
3,37.37486095661847,25.68627001107026,19.937542994077628,38.20145035175672,39.71078976640712,39.30131705876098,41.04547865922798,39.37870915919234
4,49.66629588431591,48.36838064400874,57.28291770408953,48.74469927998421,43.270300333704114,42.17725822851939,42.14800636242346,42.87414513840103
5,53.33704115684094,51.37780366684499,54.85966791991868,52.35483766104709,45.99555061179088,41.53906758948843,44.130424869383475,45.353835879665226
6,53.9488320355951,45.81878327280734,41.556669674302185,52.84749814268793,47.71968854282536,46.98792413458178,47.3561218732131,47.27131380655969
7,57.95328142380423,56.74373075887507,58.945619150543635,57.19198005565757,46.273637374860954,46.21060343433728,46.914822349135136,46.32598987873927
8,59.45494994438265,58.947069390419394,58.87554166725004,59.190342720779455,48.99888765294772,48.69898118650031,51.47220658284862,48.73385068428039
9,58.06451612903226,57.64052280929024,64.00836158244371,57.667881887985686,51.94660734149055,49.24660926697088,49.268210040676806,51.31218743783998
10,56.67408231368187,49.153509275843916,54.98362946931058,55.70442664013766,50.27808676307007,49.413744216090386,49.53822615670427,49.95790844447015
11,61.23470522803115,60.107183401931344,61.99140383314254,60.595397977482456,51.61290322580645,50.23266528798247,50.56462206588406,51.354867390328906
12,61.345939933259174,59.068609589049835,62.16614027625319,60.76786785372049,48.9432703003337,49.56387603067423,52.3788351497793,48.632933183817265
13,59.566184649610676,59.329164640572664,63.13361840452772,59.03991281332755,54.06006674082313,51.61742766298354,52.90427765143336,53.5702554742585
14,58.342602892102335,53.32079016211786,58.35749336899364,57.52458630658646,54.61624026696329,52.02124940621145,55.72815451213782,53.84045440468732
15,56.117908787541715,52.25215331958584,57.70100909577821,55.10798707434398,50.834260289210235,49.513088858520625,53.04052859504228,50.32585389474742
16,54.39377085650723,50.59918709533536,55.39260503979315,53.454086237793184,55.22803114571746,54.264783587953204,55.5502942895726,54.66583217157539
17,60.28921023359288,58.8570636840385,61.64005016241185,59.550235941612264,54.83870967741935,54.570823684040704,55.22191516420263,54.506662581962594
18,62.569521690767516,61.57058055431281,63.06348785772129,61.99539825191114,51.724137931034484,50.94405886188267,51.82741223482601,51.57636465999686
19,60.90100111234705,59.6473160145805,62.27831107294066,60.38685393372869,56.729699666295886,55.825042672132,56.93235046410599,56.22058939813637
20,59.733036707452726,57.67104304778519,60.66993117249325,58.96293263549162,56.84093437152391,55.4132404432236,56.71758236225571,56.300683750735516
21,60.3448275862069,58.30486382702054,61.59496243260823,59.61979612465578,56.451612903225815,54.943823499424724,55.205020731526,56.067763143373384
22,63.570634037819794,61.70993265793474,64.56977707318707,63.010950363253784,55.56173526140156,52.75734685532507,54.38893067303301,54.84838496828668
23,58.73192436040044,54.875887266581344,60.06455952539805,57.77554145724716,58.28698553948832,58.038539501863504,58.940735038244085,57.94420511988568
24,61.846496106785324,61.29376378550897,62.924666424527054,61.373129223498815,56.117908787541715,56.595366873830386,59.34705577789921,56.26294583347307
25,62.40266963292548,62.99792385147731,66.68118904188182,62.332609978905204,57.8420467185762,56.596767261128775,57.147802395908144,57.402955850681316
26,62.79199110122357,61.28578199172707,63.24979724351585,62.155361727668755,59.34371523915461,59.091914436396166,60.045340624272725,58.95162415018979
27,62.903225806451616,62.35404797931615,64.42353879352187,62.308285428246876,59.288097886540605,57.96144308375458,58.369174409799705,58.90046374577891
28,63.62625139043382,62.426299902152735,63.96622096501889,63.076611650243834,58.2313681868743,56.61259362101703,58.397771894927544,57.710099055934606
29,60.45606229143493,57.53227091196664,61.4884100676981,59.6999440189116,59.899888765294776,59.8138413994278,60.56777868117391,59.577583727453096
30,65.01668520578421,65.06757033092872,66.80498859398048,64.62638550003435,56.7853170189099,55.690714910635684,55.82741936560579,56.453978742393716
31,65.68409343715238,64.58227396762443,66.07823861857928,65.18161742766185,58.509454949944384,58.07256918762816,59.35350729883868,58.39002789938306
32,61.957730812013345,60.515623640095995,63.24787929022124,61.43640445794598,62.40266963292548,62.76316742195669,63.706523636510795,62.43230557752758
33,65.23915461624027,65.60601097327678,66.82708736046486,65.13845697388335,60.78976640711902,60.57293422850473,60.748316171804554,60.55746469594614
34,65.79532814238043,65.60949471171824,66.51765161112209,65.41644779575925,60.567296996662954,60.497426183886716,60.97002296274796,60.46416832227808
35,66.29588431590656,66.38367046349889,66.9686778258621,66.14725785157304,63.90433815350389,63.49922991965177,63.598740040435864,63.79315116337793
36,67.96440489432703,67.53153689106203,67.86531660205401,67.74973584097462,66.51835372636262,66.33191140922118,66.50614990669006,66.3381235258985
37,68.63181312569522,68.41134440728761,68.58364854611342,68.4667397929013,66.40711902113459,66.18788618026993,66.68424666215282,66.19037727397988
38,67.29699666295885,67.0643214856099,67.62066821541514,67.08172757104701,67.24137931034483,66.76063016396756,66.91455342066018,67.04367540487772
39,66.85205784204672,66.36027966979614,66.63345822736417,66.6291369415205,66.40711902113459,65.56725278936348,65.7164006437015,66.21468299274518
