round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,1,res9,cifar10,0.1,0,base.2,0.970940
1,1,res9,cifar10,0.1,1,base.6,0.952228
1,1,res9,cifar10,0.1,2,base.7,0.906362
1,1,res9,cifar10,0.1,3,base.11,0.874223
1,1,res9,cifar10,0.1,4,base.15,0.849333
1,1,res9,cifar10,0.1,5,base.16,0.830507
1,1,res9,cifar10,0.1,6,base.17,0.616104
1,1,res9,cifar10,0.1,7,base.18,0.616104
1,1,res9,cifar10,0.1,8,classifier,0.570219
1,0,res9,cifar10,0.1,0,base.2,0.985141
1,0,res9,cifar10,0.1,1,base.6,0.964078
1,0,res9,cifar10,0.1,2,base.7,0.936759
1,0,res9,cifar10,0.1,3,base.11,0.912604
1,0,res9,cifar10,0.1,4,base.15,0.886223
1,0,res9,cifar10,0.1,5,base.16,0.866484
1,0,res9,cifar10,0.1,6,base.17,0.689698
1,0,res9,cifar10,0.1,7,base.18,0.689698
1,0,res9,cifar10,0.1,8,classifier,0.439614
1,4,res9,cifar10,0.1,0,base.2,0.982257
1,4,res9,cifar10,0.1,1,base.6,0.966970
1,4,res9,cifar10,0.1,2,base.7,0.960763
1,4,res9,cifar10,0.1,3,base.11,0.934894
1,4,res9,cifar10,0.1,4,base.15,0.896958
1,4,res9,cifar10,0.1,5,base.16,0.860502
1,4,res9,cifar10,0.1,6,base.17,0.628172
1,4,res9,cifar10,0.1,7,base.18,0.628172
1,4,res9,cifar10,0.1,8,classifier,0.498995
1,9,res9,cifar10,0.1,0,base.2,0.970457
1,9,res9,cifar10,0.1,1,base.6,0.946412
1,9,res9,cifar10,0.1,2,base.7,0.904339
1,9,res9,cifar10,0.1,3,base.11,0.879275
1,9,res9,cifar10,0.1,4,base.15,0.862652
1,9,res9,cifar10,0.1,5,base.16,0.847873
1,9,res9,cifar10,0.1,6,base.17,0.690437
1,9,res9,cifar10,0.1,7,base.18,0.690437
1,9,res9,cifar10,0.1,8,classifier,0.491133
1,6,res9,cifar10,0.1,0,base.2,0.971601
1,6,res9,cifar10,0.1,1,base.6,0.924147
1,6,res9,cifar10,0.1,2,base.7,0.853718
1,6,res9,cifar10,0.1,3,base.11,0.815544
1,6,res9,cifar10,0.1,4,base.15,0.777321
1,6,res9,cifar10,0.1,5,base.16,0.752152
1,6,res9,cifar10,0.1,6,base.17,0.609330
1,6,res9,cifar10,0.1,7,base.18,0.609330
1,6,res9,cifar10,0.1,8,classifier,0.570743
1,5,res9,cifar10,0.1,0,base.2,0.972100
1,5,res9,cifar10,0.1,1,base.6,0.945070
1,5,res9,cifar10,0.1,2,base.7,0.884497
1,5,res9,cifar10,0.1,3,base.11,0.837766
1,5,res9,cifar10,0.1,4,base.15,0.791797
1,5,res9,cifar10,0.1,5,base.16,0.765575
1,5,res9,cifar10,0.1,6,base.17,0.554039
1,5,res9,cifar10,0.1,7,base.18,0.554039
1,5,res9,cifar10,0.1,8,classifier,0.439567
1,8,res9,cifar10,0.1,0,base.2,0.977885
1,8,res9,cifar10,0.1,1,base.6,0.965813
1,8,res9,cifar10,0.1,2,base.7,0.943087
1,8,res9,cifar10,0.1,3,base.11,0.909531
1,8,res9,cifar10,0.1,4,base.15,0.862716
1,8,res9,cifar10,0.1,5,base.16,0.843475
1,8,res9,cifar10,0.1,6,base.17,0.576619
1,8,res9,cifar10,0.1,7,base.18,0.576619
1,8,res9,cifar10,0.1,8,classifier,0.545316
1,2,res9,cifar10,0.1,0,base.2,0.977287
1,2,res9,cifar10,0.1,1,base.6,0.941004
1,2,res9,cifar10,0.1,2,base.7,0.892043
