round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,8.4836,1.564,0.8484,10.0,0,0.125763,0.090586,1.755876,0.971689,0.949712,0.39302,0.001879,0.001353,0.000685,0.000379,0.01326,0.005487,0.340149,0.050941,-0.055097,72.6619,0.0,72.6619,19.5804
2,0.00999014,13.1597,8.4018,17.1879,14.8982,0,0.123557,0.076523,1.264711,0.708778,1.045729,0.520841,0.001846,0.001143,0.000494,0.000277,0.0146,0.007272,0.437829,0.153553,0.020577,72.6619,0.0,72.6619,19.0536
3,0.00996061,13.8277,5.9267,4.1308,15.7845,0,0.112465,0.062782,1.015913,0.60071,0.945264,0.394688,0.00168,0.000938,0.000397,0.000234,0.013198,0.005511,0.197332,0.05455,-0.04188,71.223,0.0,71.223,19.6528
4,0.00991152,16.2993,9.5754,12.021,17.9086,0,0.124313,0.065028,1.044077,0.558586,0.981791,0.464004,0.001857,0.000972,0.000408,0.000218,0.013708,0.006478,0.240689,0.065008,-0.017714,74.8201,0.0,74.8201,19.9645
5,0.00984307,13.5605,6.5379,29.5086,15.4735,0,0.117787,0.058412,1.077937,0.583058,0.929985,0.405089,0.00176,0.000873,0.000421,0.000228,0.012984,0.005656,0.160778,0.037063,-0.051733,79.1367,0.0,79.1367,20.1231
6,0.00975553,15.8985,8.9532,34.8856,17.7944,0,0.122177,0.057596,1.121064,0.56327,0.945193,0.446032,0.001825,0.00086,0.000438,0.00022,0.013197,0.006227,0.212101,0.055854,-0.029893,74.5455,0.0,74.5455,20.7784
7,0.00964923,19.9733,13.405,26.8386,21.8032,0,0.126514,0.062685,1.111643,0.580918,0.907389,0.400909,0.00189,0.000937,0.000434,0.000227,0.012669,0.005597,0.172945,0.034019,-0.054929,79.1367,0.0,79.1367,20.3062
8,0.00952461,18.7041,11.7632,23.8562,20.6324,0,0.133363,0.063762,1.124494,0.554013,0.954506,0.432393,0.001992,0.000953,0.000439,0.000216,0.013327,0.006037,0.196522,0.048281,-0.02224,79.1367,0.0,79.1367,20.7607
9,0.00938215,23.9813,18.2719,32.2592,25.6681,0,0.125936,0.060603,1.071403,0.539734,0.904995,0.394593,0.001882,0.000905,0.000418,0.000211,0.012635,0.005509,0.141748,0.022925,-0.049352,74.8201,0.0,74.8201,21.2037
10,0.00922242,22.4449,17.8926,28.8311,24.1207,0,0.136863,0.065636,1.12742,0.554053,0.935903,0.427574,0.002045,0.000981,0.00044,0.000216,0.013067,0.00597,0.182493,0.046395,-0.021423,70.0,0.0,70.0,19.8235
11,0.00904604,26.4529,19.5736,32.1258,28.0833,0,0.133672,0.06434,1.091631,0.556702,0.893052,0.397127,0.001997,0.000961,0.000426,0.000217,0.012469,0.005545,0.128017,0.017784,-0.050211,53.4173,25.0,78.4173,13.6376
12,0.00885371,22.5785,17.9661,40.2199,24.4549,0,0.141903,0.065594,1.149121,0.542539,0.930006,0.422489,0.00212,0.00098,0.000449,0.000212,0.012985,0.005899,0.161412,0.041708,-0.021899,65.1978,12.5,77.6978,17.4941
13,0.0086462,28.7241,23.1006,38.3954,30.2747,0,0.13882,0.064665,1.083466,0.519297,0.889511,0.389646,0.002074,0.000966,0.000423,0.000203,0.012419,0.00544,0.121441,0.013412,-0.05673,78.4173,0.0,78.4173,20.9227
14,0.00842431,30.5945,26.6771,35.6586,31.9965,0,0.140694,0.062844,1.117498,0.524623,0.915162,0.414248,0.002102,0.000939,0.000436,0.000205,0.012777,0.005784,0.114783,0.030182,-0.026841,65.9173,12.5,78.4173,18.092
15,0.00818893,33.5337,28.8059,36.2037,34.8693,0,0.133523,0.060697,1.069528,0.515371,0.868418,0.375614,0.001995,0.000907,0.000417,0.000201,0.012125,0.005244,0.09832,0.008178,-0.054784,37.0455,37.5,74.5455,10.1326
16,0.00794099,33.1329,30.366,39.6181,34.5077,0,0.143583,0.064231,1.120051,0.529916,0.913958,0.409812,0.002145,0.00096,0.000437,0.000207,0.01276,0.005722,0.146725,0.027472,-0.021286,29.3939,50.0,79.3939,9.8725
17,0.00768145,31.5297,27.4403,35.3934,33.0539,0,0.139481,0.063917,1.065053,0.507399,0.866666,0.373397,0.002084,0.000955,0.000416,0.000198,0.0121,0.005213,0.080344,0.002533,-0.059594,29.1367,50.0,79.1367,8.547
18,0.00741136,34.2685,32.907,43.4228,35.5772,0,0.148453,0.065729,1.136133,0.52579,0.912582,0.419214,0.002218,0.000982,0.000443,0.000205,0.012741,0.005853,0.142454,0.026463,-0.020685,29.1367,50.0,79.1367,8.2137
19,0.00713177,36.9405,31.9601,44.9209,38.0472,0,0.1453,0.066286,1.101193,0.523303,0.859675,0.367513,0.002171,0.00099,0.00043,0.000204,0.012003,0.005131,0.084864,-0.001554,-0.061779,30.2203,48.9164,79.1367,8.4326
20,0.00684378,35.4041,33.6777,42.9453,36.7049,0,0.150302,0.066711,1.115032,0.516134,0.90116,0.407843,0.002246,0.000997,0.000435,0.000201,0.012582,0.005694,0.134584,0.024797,-0.025667,21.8663,59.3458,81.2121,7.2999
21,0.00654854,36.9405,33.1322,44.5228,38.1338,0,0.145499,0.064007,1.077118,0.502955,0.866598,0.374045,0.002174,0.000956,0.00042,0.000196,0.012099,0.005222,0.077906,0.000349,-0.058723,15.6818,62.5,78.1818,4.7636
22,0.00624721,37.3413,34.6798,42.0468,38.6034,0,0.150529,0.066151,1.130628,0.52136,0.878475,0.39712,0.002249,0.000988,0.000441,0.000204,0.012265,0.005545,0.090032,0.003239,-0.044846,20.0926,55.665,75.7576,5.1521
23,0.00594097,39.7462,35.9165,52.97,40.7588,0,0.15224,0.066364,1.09861,0.502412,0.876635,0.377634,0.002275,0.000991,0.000429,0.000196,0.012239,0.005272,0.090834,-0.002693,-0.050707,25.7857,52.6316,78.4173,8.7364
24,0.00563104,38.5438,37.0832,44.4454,39.8799,0,0.154184,0.066288,1.110382,0.511227,0.874408,0.390197,0.002304,0.00099,0.000433,0.0002,0.012208,0.005448,0.104219,0.008164,-0.03344,22.5914,58.6207,81.2121,6.7447
25,0.00531864,41.149,37.8463,45.4504,42.2158,0,0.154626,0.068186,1.117458,0.527308,0.869567,0.369641,0.00231,0.001019,0.000436,0.000206,0.012141,0.005161,0.070667,-0.004906,-0.049309,17.481,61.6099,79.0909,5.5273
26,0.005005,43.7542,40.5998,44.8076,44.8475,0,0.159924,0.068163,1.126283,0.505172,0.882955,0.394568,0.002389,0.001018,0.00044,0.000197,0.012328,0.005509,0.07221,0.011115,-0.04012,29.0909,50.0,79.0909,9.5318
27,0.00469136,40.2138,36.2622,46.0932,41.2272,0,0.161516,0.072123,1.126116,0.521541,0.862487,0.379439,0.002413,0.001078,0.00044,0.000204,0.012042,0.005298,0.062345,-0.006845,-0.054655,20.2418,61.5764,81.8182,6.6276
28,0.00437896,42.5518,41.0855,45.8561,43.6767,0,0.16549,0.070872,1.150156,0.52241,0.876529,0.389264,0.002472,0.001059,0.000449,0.000204,0.012238,0.005435,0.078295,0.003223,-0.039899,23.7764,53.202,76.9784,6.9456
29,0.00406903,43.0862,40.0394,54.7229,44.0679,0,0.166446,0.073311,1.138591,0.522327,0.887071,0.38685,0.002487,0.001095,0.000444,0.000204,0.012385,0.005401,0.06874,-0.002211,-0.043856,26.7495,54.5455,81.295,8.3454
30,0.00376279,44.0214,41.5668,45.3616,45.2062,0,0.169457,0.074024,1.16458,0.537942,0.889799,0.396627,0.002532,0.001106,0.000455,0.00021,0.012423,0.005538,0.0787,0.007836,-0.037216,20.6598,58.1281,78.7879,6.8645
31,0.00346146,42.7522,38.4922,47.4798,43.6881,0,0.169663,0.07395,1.154751,0.521946,0.861771,0.38207,0.002535,0.001105,0.000451,0.000204,0.012032,0.005334,0.06503,-0.006123,-0.047321,27.9745,52.6316,80.6061,8.1479
32,0.00316622,36.6065,35.1745,51.6445,37.9895,0,0.174519,0.074407,1.191427,0.543942,0.891632,0.405761,0.002607,0.001112,0.000465,0.000212,0.012449,0.005665,0.085364,0.013261,-0.027681,26.6152,54.6798,81.295,6.7774
33,0.00287823,44.155,40.9796,51.9009,45.204,0,0.168333,0.073872,1.14352,0.525147,0.859029,0.370435,0.002515,0.001104,0.000446,0.000205,0.011994,0.005172,0.03515,-0.010754,-0.057339,44.3182,37.5,81.8182,12.5648
34,0.00259864,43.8878,41.8847,46.9626,45.1296,0,0.178951,0.076583,1.220817,0.544643,0.897309,0.409225,0.002674,0.001144,0.000477,0.000213,0.012528,0.005714,0.091359,0.018209,-0.022505,15.2594,63.1579,78.4173,5.644
35,0.00232855,43.0862,40.1416,58.9255,44.2929,0,0.173859,0.076904,1.160952,0.536902,0.843013,0.370197,0.002598,0.001149,0.000453,0.00021,0.01177,0.005169,0.032516,-0.013284,-0.062367,27.944,52.6316,80.5755,7.4388
36,0.00206901,41.6166,39.4841,47.1354,42.8343,0,0.184912,0.078657,1.210937,0.542643,0.895583,0.401794,0.002763,0.001175,0.000473,0.000212,0.012504,0.00561,0.088298,0.015548,-0.020438,29.697,50.0,79.697,9.8851
37,0.00182107,45.0234,42.6092,53.4238,46.1628,0,0.175845,0.076448,1.162831,0.531415,0.8442,0.358116,0.002627,0.001142,0.000454,0.000207,0.011787,0.005,0.025953,-0.016578,-0.064558,18.0529,61.0837,79.1367,6.0075
38,0.00158569,40.7482,38.8784,45.7788,42.1799,0,0.181789,0.077828,1.20123,0.540608,0.881833,0.404715,0.002716,0.001163,0.000469,0.000211,0.012312,0.005651,0.052584,0.004851,-0.030263,42.3561,37.5,79.8561,12.6673
39,0.0013638,45.157,42.9307,55.9187,46.24,0,0.178765,0.077957,1.184494,0.525841,0.847315,0.368151,0.002671,0.001165,0.000462,0.000205,0.01183,0.00514,0.038963,-0.008805,-0.059558,25.0663,52.6316,77.6978,7.27
40,0.00115629,42.819,41.0825,51.4152,43.9472,0,0.188797,0.079872,1.231149,0.54503,0.901226,0.406326,0.002821,0.001193,0.000481,0.000213,0.012583,0.005673,0.070814,0.01118,-0.024369,19.5144,62.5,82.0144,6.2465
41,0.00096396,46.493,43.5917,52.2453,47.5194,0,0.18484,0.079694,1.201962,0.539816,0.852791,0.369822,0.002762,0.001191,0.000469,0.000211,0.011906,0.005163,0.029716,-0.01032,-0.059462,33.2071,47.3684,80.5755,9.9446
42,0.00078758,43.7542,41.616,47.9793,45.096,0,0.193099,0.081871,1.25425,0.557496,0.902797,0.404104,0.002885,0.001223,0.00049,0.000218,0.012605,0.005642,0.071105,0.00604,-0.022551,39.423,41.8719,81.295,9.7071
