round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,res9,cifar10,0.3,0,base.2,0.997145
1,0,1,res9,cifar10,0.3,1,base.6,0.965026
1,0,1,res9,cifar10,0.3,2,base.7,0.890263
1,0,1,res9,cifar10,0.3,3,base.11,0.753228
1,0,1,res9,cifar10,0.3,4,base.15,0.737782
1,0,1,res9,cifar10,0.3,5,base.16,0.579783
1,0,1,res9,cifar10,0.3,6,base.17,0.579783
1,0,1,res9,cifar10,0.3,7,base.18,0.579783
1,0,1,res9,cifar10,0.3,8,classifier,0.506111
1,0,2,res9,cifar10,0.3,0,base.2,0.993260
1,0,2,res9,cifar10,0.3,1,base.6,0.922091
1,0,2,res9,cifar10,0.3,2,base.7,0.782835
1,0,2,res9,cifar10,0.3,3,base.11,0.735595
1,0,2,res9,cifar10,0.3,4,base.15,0.745678
1,0,2,res9,cifar10,0.3,5,base.16,0.758719
1,0,2,res9,cifar10,0.3,6,base.17,0.758719
1,0,2,res9,cifar10,0.3,7,base.18,0.758719
1,0,2,res9,cifar10,0.3,8,classifier,0.629062
1,0,3,res9,cifar10,0.3,0,base.2,0.991540
1,0,3,res9,cifar10,0.3,1,base.6,0.952874
1,0,3,res9,cifar10,0.3,2,base.7,0.845707
1,0,3,res9,cifar10,0.3,3,base.11,0.673854
1,0,3,res9,cifar10,0.3,4,base.15,0.503436
1,0,3,res9,cifar10,0.3,5,base.16,0.403993
1,0,3,res9,cifar10,0.3,6,base.17,0.403993
1,0,3,res9,cifar10,0.3,7,base.18,0.403993
1,0,3,res9,cifar10,0.3,8,classifier,0.325385
1,0,4,res9,cifar10,0.3,0,base.2,0.977904
1,0,4,res9,cifar10,0.3,1,base.6,0.892215
1,0,4,res9,cifar10,0.3,2,base.7,0.850684
1,0,4,res9,cifar10,0.3,3,base.11,0.886319
1,0,4,res9,cifar10,0.3,4,base.15,0.938793
1,0,4,res9,cifar10,0.3,5,base.16,0.934487
1,0,4,res9,cifar10,0.3,6,base.17,0.934487
1,0,4,res9,cifar10,0.3,7,base.18,0.934487
1,0,4,res9,cifar10,0.3,8,classifier,0.854681
1,0,5,res9,cifar10,0.3,0,base.2,0.994200
1,0,5,res9,cifar10,0.3,1,base.6,0.976245
1,0,5,res9,cifar10,0.3,2,base.7,0.926516
1,0,5,res9,cifar10,0.3,3,base.11,0.853331
1,0,5,res9,cifar10,0.3,4,base.15,0.858231
1,0,5,res9,cifar10,0.3,5,base.16,0.848763
1,0,5,res9,cifar10,0.3,6,base.17,0.848763
1,0,5,res9,cifar10,0.3,7,base.18,0.848763
1,0,5,res9,cifar10,0.3,8,classifier,0.755416
1,0,6,res9,cifar10,0.3,0,base.2,0.984593
1,0,6,res9,cifar10,0.3,1,base.6,0.941817
1,0,6,res9,cifar10,0.3,2,base.7,0.871346
1,0,6,res9,cifar10,0.3,3,base.11,0.809514
1,0,6,res9,cifar10,0.3,4,base.15,0.796433
1,0,6,res9,cifar10,0.3,5,base.16,0.704518
1,0,6,res9,cifar10,0.3,6,base.17,0.704518
1,0,6,res9,cifar10,0.3,7,base.18,0.704518
1,0,6,res9,cifar10,0.3,8,classifier,0.562380
1,0,7,res9,cifar10,0.3,0,base.2,0.992236
1,0,7,res9,cifar10,0.3,1,base.6,0.921026
1,0,7,res9,cifar10,0.3,2,base.7,0.761593
1,0,7,res9,cifar10,0.3,3,base.11,0.576701
1,0,7,res9,cifar10,0.3,4,base.15,0.641291
1,0,7,res9,cifar10,0.3,5,base.16,0.707829
1,0,7,res9,cifar10,0.3,6,base.17,0.707829
1,0,7,res9,cifar10,0.3,7,base.18,0.707829
1,0,7,res9,cifar10,0.3,8,classifier,0.670012
1,0,8,res9,cifar10,0.3,0,base.2,0.988106
