epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,10.420841683366733,2.286906229259505,1.7617264919621227,9.878317680685994,49.96659986639946,48.93403517246443,51.293410124154505,50.02491770176392
1,11.75684702738811,4.72207297743054,7.71392833863105,11.788201663201663,51.503006012024045,50.760717325447594,51.71388767622356,51.26170322326365
2,17.034068136272545,10.473191154726864,11.765281661902224,16.713059412686277,51.703406813627254,49.20002611548294,55.93153003503502,51.39574184829237
3,18.43687374749499,10.719645400537093,18.119763042581276,18.040591593763235,52.77221108884436,51.45480988795526,54.59789388959454,52.705463395997874
4,18.37007348029392,12.44536426915395,24.48865631847587,18.436513785394382,55.11022044088176,53.81404029640352,55.65808751545466,54.956603777246436
5,21.108884435537743,14.93446146298717,26.418464917748885,20.97629944611769,55.243820975283896,53.56686950651148,55.860394800376355,55.12953967218741
6,24.649298597194388,19.57731447860729,40.946047296667366,24.59575918197831,57.98263193052772,56.90120134112491,58.585059171883216,57.87334764153967
7,27.321309285237138,22.271415809682136,37.284446170422825,26.975444682014356,54.776219104876425,54.47825353634879,56.65145035524412,54.47112051552947
8,27.054108216432866,20.94640709866921,39.57712341068998,26.527910122825688,54.04141616566466,53.610477413119874,54.20091701737151,54.11632899391336
9,28.45691382765531,22.942172310959524,42.050914966687436,28.153838808719005,60.05344021376086,59.41001915541895,60.762887910199716,59.89754168589766
10,29.72611890447562,25.13488363974269,37.417497820899236,29.45654943128603,56.71342685370742,56.19987879202553,57.39672556525092,56.83272727462023
11,32.99933199732799,29.371148867131154,38.16427930939766,32.884487773146745,55.91182364729459,54.6123396855246,57.241230732495616,55.87767610470345
12,33.66733466933868,29.758030906519227,39.198555742700265,33.38821333072837,56.71342685370742,55.502871380662164,57.59270951024655,56.98150952561383
13,34.20173680694723,30.662180492337125,39.809330360862525,34.169424802349745,59.519038076152306,59.48344471321266,59.77120398925325,59.635667594872885
14,35.80494321977288,32.96978530892811,43.47596474049051,35.65753862948865,58.249832999332,58.284090192149066,59.78904396433607,58.086271959788895
15,36.539746158984634,33.526493007836216,43.70401004722196,36.82972920005413,60.78824315297261,60.03485430948166,61.31937211507584,60.81354405947129
16,38.81095524382098,36.38959047783112,43.35381478070573,38.572709865200956,58.517034068136276,58.09429019063553,59.564553026924585,58.61221773799322
17,40.94856379425518,38.72470215746087,44.829452427858776,41.08025019927224,59.45223780895124,59.02438499949736,60.3634824028099,59.48563430049315
18,39.74615898463594,37.478518391106945,46.34675465049501,39.5360095458793,59.65263861055444,59.41887725508834,61.52122799099429,59.747159924536405
19,42.418169672678694,40.646914475997065,45.75659917163196,42.66181942663211,57.71543086172345,57.00850046552578,60.30515851819167,58.10226104246499
20,44.956579826319306,42.679193150568324,50.22193958120249,45.28253518723795,58.4502338009352,57.65650233144062,60.325866318261376,58.58587681437746
21,46.158984635938545,44.100118045901496,49.46589093205532,46.242202297605346,61.857047428189716,61.4326099880862,62.75344763677661,61.829458881034626
22,44.82297929191717,42.707616986530375,48.68153334870495,44.743893081681996,61.523046092184366,61.68342664232041,63.06181987716551,61.6988871544064
23,48.49699398797595,46.73104766753678,55.043333614989045,48.62766431167705,62.19104876419506,62.303825636540445,63.55275051416498,62.17909510075016
24,47.82899131596526,46.34404841839974,52.45101626567074,47.76954455378847,60.25384101536406,60.19174683160296,61.671296348775094,60.30648142779882
25,49.899799599198396,47.85941773670513,50.91154923843961,49.928097128212166,61.32264529058116,60.37933390383735,62.864873398942954,61.244786481824654
26,50.43420173680695,49.00954307549882,54.806438641742396,50.39064570280074,61.18904475617902,61.04998260787667,62.785053214561245,61.35179209507889
27,51.503006012024045,50.78253234493386,54.56644248644979,51.540414521491165,62.725450901803605,63.06272501496557,64.59668092927625,62.56627384966353
28,49.83299933199733,48.17015672670188,53.92451405493557,49.71890156024551,63.99465597862392,63.43799491235871,65.40677933566022,63.99310002587659
29,51.235804943219776,49.52659459545685,54.48147421584305,51.35316239132861,62.59185036740147,62.38528465787174,63.07942101405537,62.567137051159186
30,50.9686038744155,49.75888167805945,54.4665476351047,50.94352739202716,61.05544422177689,60.78758335960931,62.94629489778877,61.03996066661187
31,52.438209752839015,51.851363858404085,56.43606633256254,52.534241663870084,65.79826319305278,65.406823301429,66.69401311217615,66.03649564109885
32,52.104208416833664,50.330437526526914,56.37547210472079,52.030414619774355,65.39746158984636,65.03215074506623,66.3285838663415,65.38625542564534
33,52.83901135604543,51.87769978045852,55.841323022416255,52.952657118336845,65.26386105544421,65.09210333547747,65.33106100522977,65.41125235052913
34,53.90781563126252,52.6693328151435,55.52903835944374,54.04879950615441,61.12224448897795,60.74332859952555,63.410234748121574,61.305176700999084
35,52.104208416833664,51.21780030419296,56.390651148522565,52.33861139882842,63.126252505010015,63.07173795671205,63.561996034999716,63.31628776456927
36,53.84101536406145,52.60528462688014,57.21128044230629,54.01475395983682,64.32865731462925,63.88472353066892,66.0467203741197,64.248030471677
37,51.1690046760187,50.35314642013879,58.30082418069544,50.92301372054132,64.72945891783567,64.82953423815655,66.18554876486945,64.9413753985265
38,53.50701402805611,52.776438668324175,56.84847575166544,53.75319066275475,68.00267201068804,67.78025317410889,68.18519513223401,67.92260467634539
39,53.64061456245825,52.62923199517324,57.130281415853865,53.72242099709974,64.59585838343354,64.22092823387688,65.44253011004176,64.50500615807914
40,53.3066132264529,53.692608045082224,59.7503693724995,53.03730889006671,65.93186372745491,65.8805085991408,66.96729469295603,65.85479766933682
41,55.51102204408818,55.355385651906694,59.87555966263398,55.3577832050306,63.52705410821643,63.31628298643379,65.1427775551655,63.82659194697623
42,54.44221776887107,52.84936593990916,56.774733054375545,54.57379633785918,67.20106880427522,67.0142679121452,67.5438973391148,67.47919817975816
43,55.444221776887105,54.42191075771123,57.738489658624225,55.73681468514532,62.525050100200396,62.50720703446142,64.7234965346716,62.930876184724625
44,55.64462257849031,54.4954501188508,57.68223391778625,55.93203788709389,64.2618570474282,64.1950350838397,65.73632381176935,64.21713576053509
45,55.845023380093515,55.81207224434006,59.03037656670813,55.78237904202676,66.06546426185704,65.66367003088496,67.59172311851556,66.12043267352959
46,57.047428189712754,56.444798965344035,59.04058324059942,57.203035637927236,67.13426853707415,67.00487641382303,67.6198473967152,67.24207129918076
47,56.1122244488978,55.65398169427286,59.48841788479615,56.202471128414,63.727454909819635,63.63936406767293,65.1783447287006,63.89979833639228
48,54.97661990647963,54.265064759741556,58.55069958862723,55.027333776019645,62.32464929859719,62.39511029976798,64.0941192098397,62.35113313968509
49,56.24582498329993,55.9341995006567,59.96366973359739,56.14209193581422,66.8002672010688,66.4306421151069,67.47200174714261,66.78379526289004
