round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,12.9593,5.7325,6.8601,12.4579,0,1.435195,0.285633,3.314449,0.958175,1.036013,0.200661,0.006956,0.001384,0.001367,0.000395,0.023582,0.004568,-0.065519,0.074901,0.063324,26.2462,52.5773,78.8235,7.9415
2,0.00999014,18.9713,14.188,18.6132,18.9199,0,1.332104,0.298688,2.628841,0.803762,0.90753,0.105666,0.006456,0.001448,0.001084,0.000331,0.020658,0.002405,-0.0661,0.037746,-0.010605,38.3193,42.8571,81.1765,13.0299
3,0.00996061,22.8457,18.5225,25.0302,22.8859,0,1.263796,0.283792,2.389943,0.793661,0.893054,0.088561,0.006125,0.001375,0.000986,0.000327,0.020328,0.002016,-0.061774,0.030167,-0.027339,40.6723,42.8571,83.5294,11.0147
4,0.00991152,29.5925,26.6985,38.5125,29.8626,0,1.20693,0.263983,2.257872,0.762822,0.912027,0.083428,0.005849,0.001279,0.000931,0.000315,0.02076,0.001899,-0.059105,0.019482,-0.033253,35.6303,51.4286,87.0588,10.1564
5,0.00984307,32.0641,28.5164,35.7805,32.3425,0,1.138066,0.250009,2.238719,0.744159,0.935204,0.086358,0.005515,0.001212,0.000923,0.000307,0.021288,0.001966,-0.062257,0.015889,-0.042307,33.6552,52.1472,85.8025,9.3503
6,0.00975553,35.7381,34.2418,41.3407,36.1232,0,1.139615,0.24675,2.23728,0.806415,0.963141,0.089899,0.005523,0.001196,0.000923,0.000333,0.021924,0.002046,-0.060609,0.016172,-0.047542,39.1597,51.4286,90.5882,11.7237
7,0.00964923,36.6065,36.01,38.7956,36.9573,0,1.134151,0.237747,2.256347,0.818316,0.961116,0.079152,0.005497,0.001152,0.000931,0.000337,0.021877,0.001802,-0.062664,0.011577,-0.04884,27.7016,62.8866,90.5882,9.1196
8,0.00952461,40.147,39.8622,42.9575,40.3557,0,1.107916,0.252748,2.250695,0.800013,0.962477,0.106025,0.005369,0.001225,0.000928,0.00033,0.021908,0.002413,-0.067767,0.009929,-0.055297,29.9057,61.859,91.7647,9.3284
9,0.00938215,37.2077,35.8481,39.9001,37.555,0,1.120802,0.230289,2.287179,0.859831,0.955947,0.088865,0.005432,0.001116,0.000943,0.000355,0.02176,0.002023,-0.066111,0.005729,-0.058007,28.8472,64.094,92.9412,8.4053
10,0.00922242,39.813,38.5468,43.0015,40.2467,0,1.110576,0.236207,2.285628,0.853886,0.95487,0.104572,0.005382,0.001145,0.000943,0.000352,0.021735,0.00238,-0.069405,0.006516,-0.057906,25.0774,63.1579,88.2353,9.4305
