round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,1,vig_tiny,cifar10,0.1,0,_vig_stem,0.891531
1,1,vig_tiny,cifar10,0.1,1,_vig_blocks.0,0.886835
1,1,vig_tiny,cifar10,0.1,2,_vig_blocks.1,0.871311
1,1,vig_tiny,cifar10,0.1,3,_vig_blocks.2,0.828267
1,1,vig_tiny,cifar10,0.1,4,_vig_blocks.3,0.805308
1,1,vig_tiny,cifar10,0.1,5,_vig_blocks.4,0.783472
1,1,vig_tiny,cifar10,0.1,6,_vig_blocks.5,0.788664
1,1,vig_tiny,cifar10,0.1,7,_vig_blocks.6,0.697753
1,1,vig_tiny,cifar10,0.1,8,_vig_blocks.7,0.696459
1,1,vig_tiny,cifar10,0.1,9,_vig_blocks.8,0.676678
1,1,vig_tiny,cifar10,0.1,10,_vig_blocks.9,0.623328
1,1,vig_tiny,cifar10,0.1,11,_vig_blocks.10,0.649638
1,1,vig_tiny,cifar10,0.1,12,_vig_blocks.11,0.625620
1,1,vig_tiny,cifar10,0.1,13,classifier,0.585732
1,0,vig_tiny,cifar10,0.1,0,_vig_stem,0.808795
1,0,vig_tiny,cifar10,0.1,1,_vig_blocks.0,0.778277
1,0,vig_tiny,cifar10,0.1,2,_vig_blocks.1,0.762381
1,0,vig_tiny,cifar10,0.1,3,_vig_blocks.2,0.719150
1,0,vig_tiny,cifar10,0.1,4,_vig_blocks.3,0.710473
1,0,vig_tiny,cifar10,0.1,5,_vig_blocks.4,0.689628
1,0,vig_tiny,cifar10,0.1,6,_vig_blocks.5,0.698203
1,0,vig_tiny,cifar10,0.1,7,_vig_blocks.6,0.604084
1,0,vig_tiny,cifar10,0.1,8,_vig_blocks.7,0.608485
1,0,vig_tiny,cifar10,0.1,9,_vig_blocks.8,0.597867
1,0,vig_tiny,cifar10,0.1,10,_vig_blocks.9,0.549024
1,0,vig_tiny,cifar10,0.1,11,_vig_blocks.10,0.582893
1,0,vig_tiny,cifar10,0.1,12,_vig_blocks.11,0.569353
1,0,vig_tiny,cifar10,0.1,13,classifier,0.155397
1,4,vig_tiny,cifar10,0.1,0,_vig_stem,0.961460
1,4,vig_tiny,cifar10,0.1,1,_vig_blocks.0,0.946035
1,4,vig_tiny,cifar10,0.1,2,_vig_blocks.1,0.923786
1,4,vig_tiny,cifar10,0.1,3,_vig_blocks.2,0.891241
1,4,vig_tiny,cifar10,0.1,4,_vig_blocks.3,0.836668
1,4,vig_tiny,cifar10,0.1,5,_vig_blocks.4,0.803996
1,4,vig_tiny,cifar10,0.1,6,_vig_blocks.5,0.809472
1,4,vig_tiny,cifar10,0.1,7,_vig_blocks.6,0.743810
1,4,vig_tiny,cifar10,0.1,8,_vig_blocks.7,0.728055
1,4,vig_tiny,cifar10,0.1,9,_vig_blocks.8,0.718514
1,4,vig_tiny,cifar10,0.1,10,_vig_blocks.9,0.674928
1,4,vig_tiny,cifar10,0.1,11,_vig_blocks.10,0.689703
1,4,vig_tiny,cifar10,0.1,12,_vig_blocks.11,0.652223
1,4,vig_tiny,cifar10,0.1,13,classifier,0.621964
1,9,vig_tiny,cifar10,0.1,0,_vig_stem,0.923137
1,9,vig_tiny,cifar10,0.1,1,_vig_blocks.0,0.889585
1,9,vig_tiny,cifar10,0.1,2,_vig_blocks.1,0.869470
1,9,vig_tiny,cifar10,0.1,3,_vig_blocks.2,0.832284
1,9,vig_tiny,cifar10,0.1,4,_vig_blocks.3,0.803374
1,9,vig_tiny,cifar10,0.1,5,_vig_blocks.4,0.780554
1,9,vig_tiny,cifar10,0.1,6,_vig_blocks.5,0.785856
1,9,vig_tiny,cifar10,0.1,7,_vig_blocks.6,0.689584
1,9,vig_tiny,cifar10,0.1,8,_vig_blocks.7,0.684392
1,9,vig_tiny,cifar10,0.1,9,_vig_blocks.8,0.670006
1,9,vig_tiny,cifar10,0.1,10,_vig_blocks.9,0.619163
1,9,vig_tiny,cifar10,0.1,11,_vig_blocks.10,0.650060
1,9,vig_tiny,cifar10,0.1,12,_vig_blocks.11,0.627614
1,9,vig_tiny,cifar10,0.1,13,classifier,0.373602
1,6,vig_tiny,cifar10,0.1,0,_vig_stem,0.853452
1,6,vig_tiny,cifar10,0.1,1,_vig_blocks.0,0.830688
1,6,vig_tiny,cifar10,0.1,2,_vig_blocks.1,0.823960
1,6,vig_tiny,cifar10,0.1,3,_vig_blocks.2,0.779202
1,6,vig_tiny,cifar10,0.1,4,_vig_blocks.3,0.760551
1,6,vig_tiny,cifar10,0.1,5,_vig_blocks.4,0.733711
1,6,vig_tiny,cifar10,0.1,6,_vig_blocks.5,0.743993
1,6,vig_tiny,cifar10,0.1,7,_vig_blocks.6,0.650545
1,6,vig_tiny,cifar10,0.1,8,_vig_blocks.7,0.644525
1,6,vig_tiny,cifar10,0.1,9,_vig_blocks.8,0.628944
1,6,vig_tiny,cifar10,0.1,10,_vig_blocks.9,0.582011
1,6,vig_tiny,cifar10,0.1,11,_vig_blocks.10,0.612959
1,6,vig_tiny,cifar10,0.1,12,_vig_blocks.11,0.596474
1,6,vig_tiny,cifar10,0.1,13,classifier,0.161933
1,5,vig_tiny,cifar10,0.1,0,_vig_stem,0.867953
1,5,vig_tiny,cifar10,0.1,1,_vig_blocks.0,0.867032
1,5,vig_tiny,cifar10,0.1,2,_vig_blocks.1,0.831842
1,5,vig_tiny,cifar10,0.1,3,_vig_blocks.2,0.790788
1,5,vig_tiny,cifar10,0.1,4,_vig_blocks.3,0.746601
1,5,vig_tiny,cifar10,0.1,5,_vig_blocks.4,0.716390
1,5,vig_tiny,cifar10,0.1,6,_vig_blocks.5,0.720244
1,5,vig_tiny,cifar10,0.1,7,_vig_blocks.6,0.644650
1,5,vig_tiny,cifar10,0.1,8,_vig_blocks.7,0.632386
1,5,vig_tiny,cifar10,0.1,9,_vig_blocks.8,0.616351
1,5,vig_tiny,cifar10,0.1,10,_vig_blocks.9,0.563949
1,5,vig_tiny,cifar10,0.1,11,_vig_blocks.10,0.580957
1,5,vig_tiny,cifar10,0.1,12,_vig_blocks.11,0.550827
1,5,vig_tiny,cifar10,0.1,13,classifier,0.311510
1,8,vig_tiny,cifar10,0.1,0,_vig_stem,0.965899
1,8,vig_tiny,cifar10,0.1,1,_vig_blocks.0,0.947855
1,8,vig_tiny,cifar10,0.1,2,_vig_blocks.1,0.917764
