round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,vig_tiny,cifar10,1000.0,0,_vig_stem,0.437881
1,0,1,vig_tiny,cifar10,1000.0,1,_vig_blocks.0,0.522346
1,0,1,vig_tiny,cifar10,1000.0,2,_vig_blocks.1,0.603218
1,0,1,vig_tiny,cifar10,1000.0,3,_vig_blocks.2,0.598815
1,0,1,vig_tiny,cifar10,1000.0,4,_vig_blocks.3,0.627954
1,0,1,vig_tiny,cifar10,1000.0,5,_vig_blocks.4,0.634226
1,0,1,vig_tiny,cifar10,1000.0,6,_vig_blocks.5,0.664122
1,0,1,vig_tiny,cifar10,1000.0,7,_vig_blocks.6,0.632999
1,0,1,vig_tiny,cifar10,1000.0,8,_vig_blocks.7,0.641951
1,0,1,vig_tiny,cifar10,1000.0,9,_vig_blocks.8,0.670588
1,0,1,vig_tiny,cifar10,1000.0,10,_vig_blocks.9,0.681842
1,0,1,vig_tiny,cifar10,1000.0,11,_vig_blocks.10,0.705737
1,0,1,vig_tiny,cifar10,1000.0,12,_vig_blocks.11,0.691442
1,0,1,vig_tiny,cifar10,1000.0,13,classifier,0.490435
1,0,2,vig_tiny,cifar10,1000.0,0,_vig_stem,0.935403
1,0,2,vig_tiny,cifar10,1000.0,1,_vig_blocks.0,0.859133
1,0,2,vig_tiny,cifar10,1000.0,2,_vig_blocks.1,0.801131
1,0,2,vig_tiny,cifar10,1000.0,3,_vig_blocks.2,0.778518
1,0,2,vig_tiny,cifar10,1000.0,4,_vig_blocks.3,0.783375
1,0,2,vig_tiny,cifar10,1000.0,5,_vig_blocks.4,0.772555
1,0,2,vig_tiny,cifar10,1000.0,6,_vig_blocks.5,0.751550
1,0,2,vig_tiny,cifar10,1000.0,7,_vig_blocks.6,0.770976
1,0,2,vig_tiny,cifar10,1000.0,8,_vig_blocks.7,0.761971
1,0,2,vig_tiny,cifar10,1000.0,9,_vig_blocks.8,0.736827
1,0,2,vig_tiny,cifar10,1000.0,10,_vig_blocks.9,0.704846
1,0,2,vig_tiny,cifar10,1000.0,11,_vig_blocks.10,0.654898
1,0,2,vig_tiny,cifar10,1000.0,12,_vig_blocks.11,0.655478
1,0,2,vig_tiny,cifar10,1000.0,13,classifier,0.490788
1,0,3,vig_tiny,cifar10,1000.0,0,_vig_stem,0.903162
1,0,3,vig_tiny,cifar10,1000.0,1,_vig_blocks.0,0.738797
1,0,3,vig_tiny,cifar10,1000.0,2,_vig_blocks.1,0.607608
1,0,3,vig_tiny,cifar10,1000.0,3,_vig_blocks.2,0.561131
1,0,3,vig_tiny,cifar10,1000.0,4,_vig_blocks.3,0.547872
1,0,3,vig_tiny,cifar10,1000.0,5,_vig_blocks.4,0.517497
1,0,3,vig_tiny,cifar10,1000.0,6,_vig_blocks.5,0.489551
1,0,3,vig_tiny,cifar10,1000.0,7,_vig_blocks.6,0.479509
1,0,3,vig_tiny,cifar10,1000.0,8,_vig_blocks.7,0.450820
1,0,3,vig_tiny,cifar10,1000.0,9,_vig_blocks.8,0.458560
1,0,3,vig_tiny,cifar10,1000.0,10,_vig_blocks.9,0.444743
1,0,3,vig_tiny,cifar10,1000.0,11,_vig_blocks.10,0.434286
1,0,3,vig_tiny,cifar10,1000.0,12,_vig_blocks.11,0.451530
1,0,3,vig_tiny,cifar10,1000.0,13,classifier,0.379426
1,0,4,vig_tiny,cifar10,1000.0,0,_vig_stem,0.923620
1,0,4,vig_tiny,cifar10,1000.0,1,_vig_blocks.0,0.894612
1,0,4,vig_tiny,cifar10,1000.0,2,_vig_blocks.1,0.884512
1,0,4,vig_tiny,cifar10,1000.0,3,_vig_blocks.2,0.849742
1,0,4,vig_tiny,cifar10,1000.0,4,_vig_blocks.3,0.870723
1,0,4,vig_tiny,cifar10,1000.0,5,_vig_blocks.4,0.872557
1,0,4,vig_tiny,cifar10,1000.0,6,_vig_blocks.5,0.861135
1,0,4,vig_tiny,cifar10,1000.0,7,_vig_blocks.6,0.850201
1,0,4,vig_tiny,cifar10,1000.0,8,_vig_blocks.7,0.834592
1,0,4,vig_tiny,cifar10,1000.0,9,_vig_blocks.8,0.835728
1,0,4,vig_tiny,cifar10,1000.0,10,_vig_blocks.9,0.824777
1,0,4,vig_tiny,cifar10,1000.0,11,_vig_blocks.10,0.826870
1,0,4,vig_tiny,cifar10,1000.0,12,_vig_blocks.11,0.810170
1,0,4,vig_tiny,cifar10,1000.0,13,classifier,0.389777
1,0,5,vig_tiny,cifar10,1000.0,0,_vig_stem,0.931176
1,0,5,vig_tiny,cifar10,1000.0,1,_vig_blocks.0,0.891782
1,0,5,vig_tiny,cifar10,1000.0,2,_vig_blocks.1,0.844499
1,0,5,vig_tiny,cifar10,1000.0,3,_vig_blocks.2,0.831201
1,0,5,vig_tiny,cifar10,1000.0,4,_vig_blocks.3,0.824450
1,0,5,vig_tiny,cifar10,1000.0,5,_vig_blocks.4,0.801392
1,0,5,vig_tiny,cifar10,1000.0,6,_vig_blocks.5,0.795334
1,0,5,vig_tiny,cifar10,1000.0,7,_vig_blocks.6,0.783999
1,0,5,vig_tiny,cifar10,1000.0,8,_vig_blocks.7,0.784379
1,0,5,vig_tiny,cifar10,1000.0,9,_vig_blocks.8,0.779979
1,0,5,vig_tiny,cifar10,1000.0,10,_vig_blocks.9,0.757760
1,0,5,vig_tiny,cifar10,1000.0,11,_vig_blocks.10,0.733816
1,0,5,vig_tiny,cifar10,1000.0,12,_vig_blocks.11,0.746647
1,0,5,vig_tiny,cifar10,1000.0,13,classifier,0.368606
1,0,6,vig_tiny,cifar10,1000.0,0,_vig_stem,0.807464
1,0,6,vig_tiny,cifar10,1000.0,1,_vig_blocks.0,0.802144
