round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,vim_tiny,cifar10,0.03,0,base.patch_embed,0.988724
1,0,vim_tiny,cifar10,0.03,1,base.layers.0.mixer,0.897827
1,0,vim_tiny,cifar10,0.03,2,base.layers.1.mixer,0.926360
1,0,vim_tiny,cifar10,0.03,3,base.layers.2.mixer,0.974604
1,0,vim_tiny,cifar10,0.03,4,base.layers.3.mixer,0.981476
1,0,vim_tiny,cifar10,0.03,5,base.layers.4.mixer,0.929000
1,0,vim_tiny,cifar10,0.03,6,base.layers.5.mixer,0.987132
1,0,vim_tiny,cifar10,0.03,7,base.layers.6.mixer,0.953255
1,0,vim_tiny,cifar10,0.03,8,base.layers.7.mixer,0.954289
1,0,vim_tiny,cifar10,0.03,9,base.layers.8.mixer,0.985279
1,0,vim_tiny,cifar10,0.03,10,base.layers.9.mixer,0.989861
1,0,vim_tiny,cifar10,0.03,11,base.layers.10.mixer,0.984077
1,0,vim_tiny,cifar10,0.03,12,base.layers.11.mixer,0.987082
1,0,vim_tiny,cifar10,0.03,13,classifier,0.482522
1,4,vim_tiny,cifar10,0.03,0,base.patch_embed,0.942003
1,4,vim_tiny,cifar10,0.03,1,base.layers.0.mixer,0.956265
1,4,vim_tiny,cifar10,0.03,2,base.layers.1.mixer,0.967247
1,4,vim_tiny,cifar10,0.03,3,base.layers.2.mixer,0.983863
1,4,vim_tiny,cifar10,0.03,4,base.layers.3.mixer,0.946965
1,4,vim_tiny,cifar10,0.03,5,base.layers.4.mixer,0.882462
1,4,vim_tiny,cifar10,0.03,6,base.layers.5.mixer,0.968892
1,4,vim_tiny,cifar10,0.03,7,base.layers.6.mixer,0.729113
1,4,vim_tiny,cifar10,0.03,8,base.layers.7.mixer,0.974206
1,4,vim_tiny,cifar10,0.03,9,base.layers.8.mixer,0.972070
1,4,vim_tiny,cifar10,0.03,10,base.layers.9.mixer,0.737531
1,4,vim_tiny,cifar10,0.03,11,base.layers.10.mixer,0.968630
1,4,vim_tiny,cifar10,0.03,12,base.layers.11.mixer,0.966788
1,4,vim_tiny,cifar10,0.03,13,classifier,0.425347
1,1,vim_tiny,cifar10,0.03,0,base.patch_embed,0.999551
1,1,vim_tiny,cifar10,0.03,1,base.layers.0.mixer,0.904618
1,1,vim_tiny,cifar10,0.03,2,base.layers.1.mixer,0.953015
1,1,vim_tiny,cifar10,0.03,3,base.layers.2.mixer,0.947491
1,1,vim_tiny,cifar10,0.03,4,base.layers.3.mixer,0.940829
1,1,vim_tiny,cifar10,0.03,5,base.layers.4.mixer,0.919892
1,1,vim_tiny,cifar10,0.03,6,base.layers.5.mixer,0.944142
