epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,8.617234468937877,3.845731934614184,7.787384734093323,8.788166225666224,42.35136940547763,40.60919446365121,42.242056660943085,42.57193580242097
1,16.76686706746827,9.530442339770136,9.304037227352143,17.187859877999607,42.55177020708083,40.840013443742194,43.03708454059982,43.192096050472024
2,16.76686706746827,8.021633556408542,5.551051862527272,16.60606060606061,47.69539078156313,46.28964383629157,47.83518828577743,47.59266348525809
3,21.175684702738813,17.072960188554354,29.045775036969584,21.382618256080736,49.766199064796254,48.4168026499091,49.547799384242396,49.51885954452021
4,19.7060788243153,12.507623905348158,25.402957092253832,19.51267851081284,48.96459585838343,47.05270395138126,48.855721335069845,48.869462215198716
5,22.177688710754843,18.093413361722938,32.403038029748046,22.61746638532015,49.23179692718771,48.65208969001813,49.19829066618667,49.268304092844936
6,22.31128924515698,16.527407160786126,38.67939280148799,22.22985804821668,52.438209752839015,51.22215289787808,53.02594155165381,52.34040824953655
7,26.853707414829657,22.75202282535326,34.2249402767891,27.30525684553565,53.106212424849694,52.87823511141114,53.85130318441321,53.00151119746387
8,26.853707414829657,21.75979427216194,32.62176617186734,26.861324469627295,54.642618570474276,53.94060374024623,54.750579021343256,54.47383740766023
9,28.189712758851037,24.34319644869619,35.92735167766419,28.44267209812763,53.84101536406145,53.499690228310904,54.76172968543028,53.93020470935404
10,29.72611890447562,26.663083145902018,34.178786831999936,29.947665795576572,54.97661990647963,54.60850137715057,55.88276692677988,54.73961740227139
11,30.527722110888444,27.38356044231497,37.55763398710059,30.699796987315697,52.57181028724115,52.714717516385136,53.76255789345032,52.65743118666977
12,32.598530394121575,30.394970933856317,38.489253832134864,32.80920083641415,54.70941883767535,54.83088178110778,55.36236837778945,54.751683888410284
13,32.46492985971944,29.70608945065944,35.71941867942306,32.6112857225644,56.71342685370742,56.67199464390716,57.488306351572064,56.821785947323455
14,33.60053440213761,30.483478427526027,37.97269409711211,33.899970775501515,55.11022044088176,55.1663701256439,55.61477934641918,55.05505017001606
15,34.2685370741483,31.720566680596047,39.31655432256924,34.37763487552213,55.64462257849031,55.004499615205575,55.14893013804979,55.65812761389147
16,35.73814295257181,34.057255243302876,40.64203239946742,35.863463532065325,56.57982631930528,55.88798352052082,56.12231837565016,56.54285188102649
17,34.66933867735471,32.495166557523504,40.02871681582184,34.779628526768136,54.70941883767535,54.395129934739586,54.62754348565836,54.56394390402972
18,35.136940547762194,33.461772125353626,39.67960876942767,35.24451904779101,55.64462257849031,55.747798500066516,56.61029136394997,55.68290231990303
19,34.535738142952574,32.590219536702236,38.83416045532586,34.63457531782558,56.446225784903135,56.35257207858705,57.240375598966175,56.51949567108294
20,34.535738142952574,32.54604487671774,38.31933946510574,34.4717039372918,56.51302605210421,55.76759844457997,56.19025574671767,56.395225643500964
21,35.60454241816967,33.90601184531321,40.824970329608234,35.607124241078246,55.377421509686044,54.682727057755784,55.936327048867184,55.378994789016836
22,36.80694722778891,35.772667049216324,40.32145422904516,36.82461263660846,56.51302605210421,56.53826995134443,57.03805943080229,56.60400221088372
23,37.40814963259853,35.41238515013252,42.533977931706914,37.3994541837529,57.91583166332666,57.533302736498285,57.815746350599504,58.114170092596204
24,38.476953907815634,37.43703437370659,41.58825144023157,38.52698608620332,56.379425517702074,56.4366210460612,57.12961451747404,56.5155987561443
25,38.276553106212425,36.48684596982309,43.161497591500556,38.36507064243327,56.78022712090849,56.56888518910047,57.06673125635157,56.93209086800661
26,37.94255177020708,36.85616728059088,41.61986217741022,37.947817043603756,56.57982631930528,56.19034954051213,56.20877479559234,56.536826489475835
27,38.34335337341349,37.58142074290892,41.89904992380253,38.345602290325274,58.04943219772879,57.90018005390275,58.044445600080586,58.09893415991111
28,37.94255177020708,36.88226926551317,41.66506240496502,38.01623582372312,56.91382765531062,56.99761204403189,57.50300575855275,57.01461302411006
29,38.142952571810284,36.947954383494334,41.32456298399472,38.160807458792895,55.71142284569138,55.906358595717144,56.421758288245826,55.87367516786499
30,38.7441549766199,37.247386668034075,42.3916129087562,38.73131055288525,54.90981963927856,54.93051736200678,55.460093521990096,54.884473199629355
31,37.20774883099532,36.02589699041877,41.18471345253239,37.281795773946556,54.575818303273216,54.68527803340645,55.7709287745656,54.6270968423243
32,36.67334669338677,35.643881871962336,39.865330280352936,36.66524275604044,55.978623914495664,55.85312704282372,55.98488857028483,56.12192601374624
33,37.675350701402806,36.74268754344116,40.76509547965203,37.67942340606722,55.577822311289246,55.35620218991778,56.0486336691569,55.604226711312386
34,39.34535738142952,38.613429778462525,41.86106426466944,39.321931498863925,56.446225784903135,56.328752495898925,56.327740537230156,56.5303518292803
35,38.34335337341349,37.48235401702798,40.57196000351725,38.342330290646416,56.51302605210421,56.61322130396476,56.83603530798722,56.54977401702782
36,37.40814963259853,36.495090955780505,40.10639289090246,37.39669425540259,55.577822311289246,55.61085252742197,56.08140065527174,55.567031925465734
37,38.20975283901136,37.31646653800598,40.950386720129295,38.20257206493468,55.177020708082836,55.16237750559717,55.67555317043773,55.28357114303575
38,38.476953907815634,37.616003132128256,40.64419493262566,38.46476804571915,56.312625250501,56.115378753724556,56.59132799412772,56.30460081234104
39,38.41015364061457,37.536375629219286,40.193062621190364,38.328307085021315,56.64662658650634,56.76714358160906,57.41689387744459,56.69218443057586
40,38.142952571810284,37.58385672295096,40.15918451436941,38.125961930975464,54.90981963927856,54.898608265371294,55.12339585990891,55.073300479228294
41,38.61055444221777,37.77203235221931,40.12755037898987,38.468585002933544,55.177020708082836,55.24333777578329,55.95807206354223,55.228597016583635
42,38.142952571810284,37.46651919527423,40.17213696215642,38.18336544645779,55.51102204408818,55.59819093199516,55.85708625014115,55.590836639360056
43,38.7441549766199,38.12000792634544,40.71292110855868,38.74739290781198,55.978623914495664,56.02971440037642,56.8226811431529,56.05128960838959
44,38.61055444221777,38.15943545180927,40.4137112638918,38.544178087224964,57.51503006012024,57.425895673932374,57.57586598826112,57.63450037013021
45,39.879759519038075,39.44552789562537,41.57580356208427,39.84559947451518,55.91182364729459,55.82167005696817,56.24864798314335,55.89289283684785
46,38.34335337341349,37.68647591027051,39.9821580665089,38.21232315647383,57.24782899131596,57.26817073061956,57.47526315370364,57.25485167598755
47,38.94455577822311,38.5446710944362,40.37725244826393,38.87659586234457,56.64662658650634,56.53463927537319,57.385333342883804,56.78205234229312
48,38.00935203740815,37.46617822297759,39.723988591084975,37.95517059228647,56.446225784903135,56.08103471802699,56.186932189839624,56.39495021920482
49,38.61055444221777,38.06719438164379,39.41455506434698,38.53002329514897,55.177020708082836,55.18268312856884,55.57032463654517,55.131350329180165
