round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,vim_tiny,cifar10,1.0,0,base.patch_embed,0.927171
1,0,1,vim_tiny,cifar10,1.0,1,base.layers.0.mixer,0.801341
1,0,1,vim_tiny,cifar10,1.0,2,base.layers.1.mixer,0.921111
1,0,1,vim_tiny,cifar10,1.0,3,base.layers.2.mixer,0.868066
1,0,1,vim_tiny,cifar10,1.0,4,base.layers.3.mixer,0.777596
1,0,1,vim_tiny,cifar10,1.0,5,base.layers.4.mixer,0.837285
1,0,1,vim_tiny,cifar10,1.0,6,base.layers.5.mixer,0.863647
1,0,1,vim_tiny,cifar10,1.0,7,base.layers.6.mixer,0.845000
1,0,1,vim_tiny,cifar10,1.0,8,base.layers.7.mixer,0.810242
1,0,1,vim_tiny,cifar10,1.0,9,base.layers.8.mixer,0.950580
1,0,1,vim_tiny,cifar10,1.0,10,base.layers.9.mixer,0.803400
1,0,1,vim_tiny,cifar10,1.0,11,base.layers.10.mixer,0.911816
1,0,1,vim_tiny,cifar10,1.0,12,base.layers.11.mixer,0.939682
1,0,1,vim_tiny,cifar10,1.0,13,classifier,0.672883
1,0,2,vim_tiny,cifar10,1.0,0,base.patch_embed,0.989945
1,0,2,vim_tiny,cifar10,1.0,1,base.layers.0.mixer,0.958797
1,0,2,vim_tiny,cifar10,1.0,2,base.layers.1.mixer,0.958517
1,0,2,vim_tiny,cifar10,1.0,3,base.layers.2.mixer,0.908540
1,0,2,vim_tiny,cifar10,1.0,4,base.layers.3.mixer,0.859447
1,0,2,vim_tiny,cifar10,1.0,5,base.layers.4.mixer,0.903559
1,0,2,vim_tiny,cifar10,1.0,6,base.layers.5.mixer,0.946501
1,0,2,vim_tiny,cifar10,1.0,7,base.layers.6.mixer,0.847017
1,0,2,vim_tiny,cifar10,1.0,8,base.layers.7.mixer,0.654969
1,0,2,vim_tiny,cifar10,1.0,9,base.layers.8.mixer,0.961105
1,0,2,vim_tiny,cifar10,1.0,10,base.layers.9.mixer,0.954467
1,0,2,vim_tiny,cifar10,1.0,11,base.layers.10.mixer,0.975702
1,0,2,vim_tiny,cifar10,1.0,12,base.layers.11.mixer,0.943698
1,0,2,vim_tiny,cifar10,1.0,13,classifier,0.911619
1,0,3,vim_tiny,cifar10,1.0,0,base.patch_embed,0.895069
1,0,3,vim_tiny,cifar10,1.0,1,base.layers.0.mixer,0.827106
1,0,3,vim_tiny,cifar10,1.0,2,base.layers.1.mixer,0.931111
1,0,3,vim_tiny,cifar10,1.0,3,base.layers.2.mixer,0.732631
1,0,3,vim_tiny,cifar10,1.0,4,base.layers.3.mixer,0.581875
1,0,3,vim_tiny,cifar10,1.0,5,base.layers.4.mixer,0.585198
1,0,3,vim_tiny,cifar10,1.0,6,base.layers.5.mixer,0.827351
1,0,3,vim_tiny,cifar10,1.0,7,base.layers.6.mixer,0.768236
1,0,3,vim_tiny,cifar10,1.0,8,base.layers.7.mixer,0.782164
1,0,3,vim_tiny,cifar10,1.0,9,base.layers.8.mixer,0.935507
1,0,3,vim_tiny,cifar10,1.0,10,base.layers.9.mixer,0.587100
1,0,3,vim_tiny,cifar10,1.0,11,base.layers.10.mixer,0.925666
1,0,3,vim_tiny,cifar10,1.0,12,base.layers.11.mixer,0.930810
1,0,3,vim_tiny,cifar10,1.0,13,classifier,0.853486
1,0,4,vim_tiny,cifar10,1.0,0,base.patch_embed,0.997769
1,0,4,vim_tiny,cifar10,1.0,1,base.layers.0.mixer,0.861484
1,0,4,vim_tiny,cifar10,1.0,2,base.layers.1.mixer,0.931646
1,0,4,vim_tiny,cifar10,1.0,3,base.layers.2.mixer,0.910530
1,0,4,vim_tiny,cifar10,1.0,4,base.layers.3.mixer,0.829937
1,0,4,vim_tiny,cifar10,1.0,5,base.layers.4.mixer,0.959917
1,0,4,vim_tiny,cifar10,1.0,6,base.layers.5.mixer,0.948306
1,0,4,vim_tiny,cifar10,1.0,7,base.layers.6.mixer,0.863084
1,0,4,vim_tiny,cifar10,1.0,8,base.layers.7.mixer,0.847640
1,0,4,vim_tiny,cifar10,1.0,9,base.layers.8.mixer,0.975085
1,0,4,vim_tiny,cifar10,1.0,10,base.layers.9.mixer,0.955201
1,0,4,vim_tiny,cifar10,1.0,11,base.layers.10.mixer,0.963355
1,0,4,vim_tiny,cifar10,1.0,12,base.layers.11.mixer,0.989839
1,0,4,vim_tiny,cifar10,1.0,13,classifier,0.780945
1,0,5,vim_tiny,cifar10,1.0,0,base.patch_embed,0.984662
1,0,5,vim_tiny,cifar10,1.0,1,base.layers.0.mixer,0.863078
1,0,5,vim_tiny,cifar10,1.0,2,base.layers.1.mixer,0.970977
1,0,5,vim_tiny,cifar10,1.0,3,base.layers.2.mixer,0.915250
1,0,5,vim_tiny,cifar10,1.0,4,base.layers.3.mixer,0.791561
1,0,5,vim_tiny,cifar10,1.0,5,base.layers.4.mixer,0.885176
1,0,5,vim_tiny,cifar10,1.0,6,base.layers.5.mixer,0.878886
1,0,5,vim_tiny,cifar10,1.0,7,base.layers.6.mixer,0.969595
