round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,21.5765,15.7669,15.5257,20.9652,0,0.19929,0.038264,2.280193,0.09939,0.612623,0.06498,0.003989,0.000766,0.001242,5.4e-05,0.013945,0.001479,0.745043,0.386342,0.427474,9.6842,14.0,23.6842,2.4201
2,0.00999014,25.6513,21.2972,21.7127,24.8671,0,0.158748,0.01628,0.91167,0.0633,0.347622,0.037062,0.003178,0.000326,0.000496,3.4e-05,0.007913,0.000844,0.98349,0.321595,0.223874,9.9218,17.1053,27.027,3.0194
3,0.00996061,25.2505,23.1489,26.4225,24.8061,0,0.145916,0.025019,0.910216,0.035714,0.351429,0.027647,0.002921,0.000501,0.000496,1.9e-05,0.007999,0.000629,0.976666,0.224503,0.060965,10.3333,14.6667,25.0,3.4421
4,0.00991152,25.7849,22.9757,23.6445,25.2535,0,0.151386,0.02829,0.952511,0.04351,0.382131,0.022135,0.00303,0.000566,0.000519,2.4e-05,0.008698,0.000504,0.974212,0.167353,0.01914,11.7027,16.0,27.7027,3.5165
5,0.00984307,28.3233,26.4183,27.9884,27.7401,0,0.144357,0.019967,0.977107,0.039735,0.396704,0.017199,0.002889,0.0004,0.000532,2.2e-05,0.00903,0.000391,0.970246,0.142005,0.008144,9.8684,17.7632,27.6316,3.0364
6,0.00975553,28.4569,25.8666,27.6265,27.5865,0,0.12688,0.016645,1.003353,0.029876,0.407385,0.024917,0.00254,0.000333,0.000546,1.6e-05,0.009273,0.000567,0.958878,0.131176,-0.015336,10.9825,15.3333,26.3158,3.5598
7,0.00964923,27.7889,26.486,26.6762,27.2935,0,0.132963,0.023325,1.071768,0.052537,0.428797,0.023235,0.002661,0.000467,0.000584,2.9e-05,0.009761,0.000529,0.95318,0.118275,-0.013569,8.1081,20.2703,28.3784,2.5068
8,0.00952461,28.9245,27.0346,28.2981,28.3366,0,0.117758,0.013228,1.172528,0.046607,0.451652,0.020809,0.002357,0.000265,0.000638,2.5e-05,0.010281,0.000474,0.940423,0.13766,-0.00299,9.7387,20.6667,30.4054,3.0864
9,0.00938215,30.1937,28.8851,29.804,29.618,0,0.113763,0.012065,1.33186,0.052819,0.486004,0.014433,0.002277,0.000241,0.000725,2.9e-05,0.011063,0.000329,0.916383,0.163993,0.007714,14.2719,15.3333,29.6053,3.6784
10,0.00922242,32.5317,31.5951,31.8517,32.1115,0,0.105986,0.012561,1.386753,0.046604,0.506812,0.02065,0.002121,0.000251,0.000755,2.5e-05,0.011536,0.00047,0.890833,0.125936,0.011699,9.4908,22.2973,31.7881,3.2236
