round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,vit_tiny,cifar10,0.03,0,base.patch_embed,0.998738
1,0,vit_tiny,cifar10,0.03,1,base.blocks.0,0.998377
1,0,vit_tiny,cifar10,0.03,2,base.blocks.1,0.998169
1,0,vit_tiny,cifar10,0.03,3,base.blocks.2,0.997628
1,0,vit_tiny,cifar10,0.03,4,base.blocks.3,0.996706
1,0,vit_tiny,cifar10,0.03,5,base.blocks.4,0.995706
1,0,vit_tiny,cifar10,0.03,6,base.blocks.5,0.994015
1,0,vit_tiny,cifar10,0.03,7,base.blocks.6,0.992804
1,0,vit_tiny,cifar10,0.03,8,base.blocks.7,0.992023
1,0,vit_tiny,cifar10,0.03,9,base.blocks.8,0.990679
1,0,vit_tiny,cifar10,0.03,10,base.blocks.9,0.989040
1,0,vit_tiny,cifar10,0.03,11,base.blocks.10,0.987407
1,0,vit_tiny,cifar10,0.03,12,base.blocks.11,0.984875
1,0,vit_tiny,cifar10,0.03,13,base.norm,0.959149
1,0,vit_tiny,cifar10,0.03,14,classifier,0.474812
1,4,vit_tiny,cifar10,0.03,0,base.patch_embed,0.994829
1,4,vit_tiny,cifar10,0.03,1,base.blocks.0,0.990364
1,4,vit_tiny,cifar10,0.03,2,base.blocks.1,0.984821
1,4,vit_tiny,cifar10,0.03,3,base.blocks.2,0.977939
1,4,vit_tiny,cifar10,0.03,4,base.blocks.3,0.971249
1,4,vit_tiny,cifar10,0.03,5,base.blocks.4,0.963998
1,4,vit_tiny,cifar10,0.03,6,base.blocks.5,0.953438
1,4,vit_tiny,cifar10,0.03,7,base.blocks.6,0.944261
1,4,vit_tiny,cifar10,0.03,8,base.blocks.7,0.938141
1,4,vit_tiny,cifar10,0.03,9,base.blocks.8,0.932049
1,4,vit_tiny,cifar10,0.03,10,base.blocks.9,0.921986
1,4,vit_tiny,cifar10,0.03,11,base.blocks.10,0.913549
1,4,vit_tiny,cifar10,0.03,12,base.blocks.11,0.905008
1,4,vit_tiny,cifar10,0.03,13,base.norm,0.894975
1,4,vit_tiny,cifar10,0.03,14,classifier,0.492864
1,1,vit_tiny,cifar10,0.03,0,base.patch_embed,0.993619
1,1,vit_tiny,cifar10,0.03,1,base.blocks.0,0.992411
1,1,vit_tiny,cifar10,0.03,2,base.blocks.1,0.991583
1,1,vit_tiny,cifar10,0.03,3,base.blocks.2,0.990947
1,1,vit_tiny,cifar10,0.03,4,base.blocks.3,0.989627
1,1,vit_tiny,cifar10,0.03,5,base.blocks.4,0.987908
1,1,vit_tiny,cifar10,0.03,6,base.blocks.5,0.986509
1,1,vit_tiny,cifar10,0.03,7,base.blocks.6,0.985598
1,1,vit_tiny,cifar10,0.03,8,base.blocks.7,0.984914
1,1,vit_tiny,cifar10,0.03,9,base.blocks.8,0.984701
1,1,vit_tiny,cifar10,0.03,10,base.blocks.9,0.984259
1,1,vit_tiny,cifar10,0.03,11,base.blocks.10,0.985202
1,1,vit_tiny,cifar10,0.03,12,base.blocks.11,0.984493
1,1,vit_tiny,cifar10,0.03,13,base.norm,0.966789
1,1,vit_tiny,cifar10,0.03,14,classifier,0.651681
1,6,vit_tiny,cifar10,0.03,0,base.patch_embed,0.955093
1,6,vit_tiny,cifar10,0.03,1,base.blocks.0,0.944846
1,6,vit_tiny,cifar10,0.03,2,base.blocks.1,0.931641
1,6,vit_tiny,cifar10,0.03,3,base.blocks.2,0.918634
1,6,vit_tiny,cifar10,0.03,4,base.blocks.3,0.901452
1,6,vit_tiny,cifar10,0.03,5,base.blocks.4,0.888046
1,6,vit_tiny,cifar10,0.03,6,base.blocks.5,0.876684
1,6,vit_tiny,cifar10,0.03,7,base.blocks.6,0.867685
1,6,vit_tiny,cifar10,0.03,8,base.blocks.7,0.860644
1,6,vit_tiny,cifar10,0.03,9,base.blocks.8,0.853380
1,6,vit_tiny,cifar10,0.03,10,base.blocks.9,0.846121
1,6,vit_tiny,cifar10,0.03,11,base.blocks.10,0.841537
1,6,vit_tiny,cifar10,0.03,12,base.blocks.11,0.836281
1,6,vit_tiny,cifar10,0.03,13,base.norm,0.857578
1,6,vit_tiny,cifar10,0.03,14,classifier,0.693942
1,3,vit_tiny,cifar10,0.03,0,base.patch_embed,0.979884
1,3,vit_tiny,cifar10,0.03,1,base.blocks.0,0.970570
1,3,vit_tiny,cifar10,0.03,2,base.blocks.1,0.966483
1,3,vit_tiny,cifar10,0.03,3,base.blocks.2,0.961877
1,3,vit_tiny,cifar10,0.03,4,base.blocks.3,0.958031
1,3,vit_tiny,cifar10,0.03,5,base.blocks.4,0.955395
1,3,vit_tiny,cifar10,0.03,6,base.blocks.5,0.950707
1,3,vit_tiny,cifar10,0.03,7,base.blocks.6,0.948399
1,3,vit_tiny,cifar10,0.03,8,base.blocks.7,0.949733
1,3,vit_tiny,cifar10,0.03,9,base.blocks.8,0.950534
1,3,vit_tiny,cifar10,0.03,10,base.blocks.9,0.949145
