round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,vit_tiny,cifar10,0.03,0,base.patch_embed,0.892066
1,0,1,vit_tiny,cifar10,0.03,1,base.blocks.0,0.892759
1,0,1,vit_tiny,cifar10,0.03,2,base.blocks.1,0.893950
1,0,1,vit_tiny,cifar10,0.03,3,base.blocks.2,0.888691
1,0,1,vit_tiny,cifar10,0.03,4,base.blocks.3,0.888759
1,0,1,vit_tiny,cifar10,0.03,5,base.blocks.4,0.893144
1,0,1,vit_tiny,cifar10,0.03,6,base.blocks.5,0.890438
1,0,1,vit_tiny,cifar10,0.03,7,base.blocks.6,0.891642
1,0,1,vit_tiny,cifar10,0.03,8,base.blocks.7,0.892637
1,0,1,vit_tiny,cifar10,0.03,9,base.blocks.8,0.894034
1,0,1,vit_tiny,cifar10,0.03,10,base.blocks.9,0.893710
1,0,1,vit_tiny,cifar10,0.03,11,base.blocks.10,0.892883
1,0,1,vit_tiny,cifar10,0.03,12,base.blocks.11,0.887575
1,0,1,vit_tiny,cifar10,0.03,13,base.norm,0.885251
1,0,1,vit_tiny,cifar10,0.03,14,classifier,0.642207
1,0,2,vit_tiny,cifar10,0.03,0,base.patch_embed,0.966161
1,0,2,vit_tiny,cifar10,0.03,1,base.blocks.0,0.965152
1,0,2,vit_tiny,cifar10,0.03,2,base.blocks.1,0.963119
1,0,2,vit_tiny,cifar10,0.03,3,base.blocks.2,0.961146
1,0,2,vit_tiny,cifar10,0.03,4,base.blocks.3,0.959506
1,0,2,vit_tiny,cifar10,0.03,5,base.blocks.4,0.957603
1,0,2,vit_tiny,cifar10,0.03,6,base.blocks.5,0.957240
1,0,2,vit_tiny,cifar10,0.03,7,base.blocks.6,0.955812
1,0,2,vit_tiny,cifar10,0.03,8,base.blocks.7,0.954692
1,0,2,vit_tiny,cifar10,0.03,9,base.blocks.8,0.954686
1,0,2,vit_tiny,cifar10,0.03,10,base.blocks.9,0.953453
1,0,2,vit_tiny,cifar10,0.03,11,base.blocks.10,0.953550
1,0,2,vit_tiny,cifar10,0.03,12,base.blocks.11,0.954482
1,0,2,vit_tiny,cifar10,0.03,13,base.norm,0.936195
1,0,2,vit_tiny,cifar10,0.03,14,classifier,0.506160
1,0,3,vit_tiny,cifar10,0.03,0,base.patch_embed,0.991047
1,0,3,vit_tiny,cifar10,0.03,1,base.blocks.0,0.991346
1,0,3,vit_tiny,cifar10,0.03,2,base.blocks.1,0.990016
1,0,3,vit_tiny,cifar10,0.03,3,base.blocks.2,0.989151
1,0,3,vit_tiny,cifar10,0.03,4,base.blocks.3,0.987782
1,0,3,vit_tiny,cifar10,0.03,5,base.blocks.4,0.985530
1,0,3,vit_tiny,cifar10,0.03,6,base.blocks.5,0.984996
1,0,3,vit_tiny,cifar10,0.03,7,base.blocks.6,0.983978
1,0,3,vit_tiny,cifar10,0.03,8,base.blocks.7,0.983061
1,0,3,vit_tiny,cifar10,0.03,9,base.blocks.8,0.982332
1,0,3,vit_tiny,cifar10,0.03,10,base.blocks.9,0.981060
1,0,3,vit_tiny,cifar10,0.03,11,base.blocks.10,0.980938
1,0,3,vit_tiny,cifar10,0.03,12,base.blocks.11,0.981041
1,0,3,vit_tiny,cifar10,0.03,13,base.norm,0.967323
1,0,3,vit_tiny,cifar10,0.03,14,classifier,0.738907
1,0,4,vit_tiny,cifar10,0.03,0,base.patch_embed,0.987933
1,0,4,vit_tiny,cifar10,0.03,1,base.blocks.0,0.987430
1,0,4,vit_tiny,cifar10,0.03,2,base.blocks.1,0.986824
1,0,4,vit_tiny,cifar10,0.03,3,base.blocks.2,0.985225
1,0,4,vit_tiny,cifar10,0.03,4,base.blocks.3,0.984718
1,0,4,vit_tiny,cifar10,0.03,5,base.blocks.4,0.983096
1,0,4,vit_tiny,cifar10,0.03,6,base.blocks.5,0.982760
1,0,4,vit_tiny,cifar10,0.03,7,base.blocks.6,0.981950
1,0,4,vit_tiny,cifar10,0.03,8,base.blocks.7,0.980759
