round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,20.5745,12.888,10.6515,20.4939,0,0.183321,0.089508,3.512693,0.455336,0.747042,0.094436,0.001871,0.000914,0.001501,0.000195,0.017005,0.00215,0.242322,0.031614,0.068689,48.0291,40.2062,88.2353,13.6659
2,0.00999014,13.8945,7.3061,8.3526,13.7569,0,0.190263,0.119072,1.726909,0.306457,1.0314,0.217753,0.001942,0.001215,0.000738,0.000131,0.023477,0.004957,0.546861,0.142164,0.179437,37.27,47.4359,84.7059,10.982
3,0.00996061,21.8437,13.8759,19.4279,22.1968,0,0.197939,0.11393,1.174777,0.29416,1.239455,0.332968,0.00202,0.001163,0.000502,0.000126,0.028213,0.007579,0.759581,0.102958,0.11215,31.9306,55.1282,87.0588,8.9521
4,0.00991152,17.9025,10.9471,19.3107,17.4481,0,0.178853,0.109838,0.995553,0.296787,1.108938,0.268294,0.001825,0.001121,0.000425,0.000127,0.025242,0.006107,0.700508,0.067138,0.024276,36.3025,54.2857,90.5882,11.7648
5,0.00984307,23.4469,16.0469,18.4782,24.0777,0,0.149941,0.072799,0.955645,0.247407,1.233465,0.365517,0.00153,0.000743,0.000408,0.000106,0.028077,0.00832,0.732368,0.101846,0.044526,33.9496,54.2857,88.2353,10.1246
6,0.00975553,21.1757,13.2021,14.7758,21.1033,0,0.188505,0.102098,0.894977,0.221171,1.14067,0.274422,0.001924,0.001042,0.000382,9.5e-05,0.025965,0.006247,0.750241,0.085188,-0.000379,42.1908,48.3974,90.5882,12.5512
7,0.00964923,23.9145,18.508,20.3407,24.3649,0,0.174842,0.088303,0.92997,0.245382,1.243685,0.336888,0.001784,0.000901,0.000397,0.000105,0.028309,0.007668,0.76439,0.108374,-0.004103,35.1261,54.2857,89.4118,11.5165
8,0.00952461,21.9105,12.8047,26.7126,21.9017,0,0.16802,0.071937,0.878185,0.232448,1.175057,0.237073,0.001715,0.000734,0.000375,9.9e-05,0.026747,0.005396,0.522373,0.09409,-0.040291,42.9412,50.0,92.9412,13.25
9,0.00938215,27.3881,24.1939,26.9353,27.7616,0,0.107356,0.028856,0.917957,0.213534,1.130643,0.197982,0.001096,0.000295,0.000392,9.1e-05,0.025736,0.004507,0.333866,0.0253,-0.052449,33.8872,56.701,90.5882,9.9812
10,0.00922242,28.8577,24.9908,31.9165,28.8525,0,0.100661,0.022185,0.940528,0.19803,1.042858,0.143684,0.001027,0.000226,0.000402,8.5e-05,0.023738,0.003271,0.183961,-0.002468,-0.066636,30.3514,59.0604,89.4118,9.8529
11,0.00904604,27.9225,23.6886,27.9349,28.2804,0,0.111335,0.02532,0.966462,0.201116,1.013747,0.152633,0.001136,0.000258,0.000413,8.6e-05,0.023075,0.003474,0.155488,-0.018914,-0.072995,28.8348,60.5769,89.4118,9.3086
12,0.00885371,28.3233,23.8483,30.3594,28.4912,0,0.109687,0.021942,0.982693,0.187937,0.965916,0.145719,0.001119,0.000224,0.00042,8e-05,0.021987,0.003317,0.167634,-0.022524,-0.07488,35.0339,56.7308,91.7647,9.4441
13,0.0086462,28.5905,24.8919,28.5696,28.8687,0,0.124545,0.033695,1.017256,0.195246,0.946269,0.154942,0.001271,0.000344,0.000435,8.3e-05,0.02154,0.003527,0.155292,-0.023498,-0.070749,35.1395,55.4487,90.5882,10.5622
14,0.00842431,29.7929,27.5077,31.2052,29.9667,0,0.124349,0.03304,0.991481,0.172445,0.906471,0.143128,0.001269,0.000337,0.000424,7.4e-05,0.020634,0.003258,0.115943,-0.030114,-0.073594,27.8472,63.9175,91.7647,9.4721
15,0.00818893,30.1937,27.1314,30.4742,30.3483,0,0.13763,0.044427,1.022527,0.159955,0.861457,0.153528,0.001405,0.000453,0.000437,6.8e-05,0.019609,0.003495,0.070081,-0.034315,-0.079338,30.2262,61.5385,91.7647,9.4827
16,0.00794099,29.4589,27.2507,30.6323,29.573,0,0.146663,0.048961,1.046346,0.174487,0.868641,0.16279,0.001497,0.0005,0.000447,7.5e-05,0.019773,0.003706,0.024113,-0.032951,-0.073597,26.8062,63.7821,90.5882,8.6244
17,0.00768145,29.6593,27.8117,30.1223,29.799,0,0.151636,0.050778,1.071842,0.154296,0.837371,0.160723,0.001548,0.000518,0.000458,6.6e-05,0.019061,0.003658,0.039882,-0.038933,-0.079203,35.46,55.1282,90.5882,10.8587
18,0.00741136,29.5925,27.5419,30.022,29.5829,0,0.159175,0.061358,1.062948,0.145895,0.826349,0.154997,0.001625,0.000626,0.000454,6.2e-05,0.01881,0.003528,0.017322,-0.044076,-0.075263,24.3071,62.7517,87.0588,7.6751
19,0.00713177,31.4629,29.5019,30.6305,31.5677,0,0.167893,0.066026,1.08234,0.154854,0.789565,0.150514,0.001714,0.000674,0.000462,6.6e-05,0.017973,0.003426,0.000897,-0.050149,-0.079953,28.0063,63.7584,91.7647,9.3047
20,0.00684378,30.5277,29.6417,32.2058,30.625,0,0.171871,0.070619,1.121704,0.156804,0.777694,0.140177,0.001754,0.000721,0.000479,6.7e-05,0.017702,0.003191,0.019067,-0.039816,-0.081876,29.2647,62.5,91.7647,9.8543
21,0.00654854,30.2605,28.5356,31.0162,30.2157,0,0.177109,0.076783,1.104143,0.170225,0.768142,0.151504,0.001808,0.000784,0.000472,7.3e-05,0.017485,0.003449,0.003148,-0.04553,-0.075564,32.2689,57.1429,89.4118,10.2361
22,0.00624721,31.1289,30.9463,34.3078,31.2994,0,0.179955,0.074863,1.108921,0.15611,0.751589,0.129408,0.001837,0.000764,0.000474,6.7e-05,0.017108,0.002946,0.005385,-0.044882,-0.077127,29.0498,61.5385,90.5882,10.3021
23,0.00594097,30.4609,28.7597,31.7558,30.4851,0,0.189523,0.08353,1.135532,0.177155,0.74653,0.136964,0.001934,0.000853,0.000485,7.6e-05,0.016993,0.003118,-0.004007,-0.041939,-0.07567,38.6555,54.2857,92.9412,11.7182
