epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,11.831550802139038,6.153436176915048,8.148335750076683,11.492597671771247,36.096256684491976,35.009448738131425,35.733536303691174,35.96945222682591
1,21.79144385026738,16.0257566883881,15.101485025405035,21.98646725879792,38.168449197860966,37.766292250620474,39.1069209136742,38.18177141888548
2,23.1951871657754,17.21114456742718,22.616769466177512,23.537050114885265,38.23529411764706,37.823180431914736,38.9083337451184,38.25001297660364
3,23.796791443850267,21.59804070528852,25.462403472638112,23.979445621958835,41.17647058823529,40.3070594626503,40.09317615206424,41.30598248873241
4,25.40106951871658,21.662283564108495,28.784004823420815,25.43759229364101,39.3716577540107,39.24597988572568,39.60547819559234,39.411483518604214
5,28.208556149732622,26.194293430003825,26.355694449484318,28.169996288375078,41.77807486631016,41.68015993458042,42.29064506656493,41.937309481169905
6,27.00534759358289,24.491718376872264,26.118752219314835,27.20843325929168,43.64973262032086,43.410043644302434,44.1275131985967,43.67728527089879
7,29.411764705882355,27.230992518337395,29.480964747882364,29.42783606564752,43.04812834224599,43.01878111671685,43.734313594499135,43.077741192127746
8,28.74331550802139,26.624897334249514,27.073031143534465,28.834270617613512,42.513368983957214,42.382504895102635,44.98656879664387,42.757712485713135
9,29.344919786096256,27.889670705762377,31.16068519933008,29.53883641914127,43.44919786096257,43.2321591055924,44.38882495092205,43.54171373992129
10,29.211229946524064,26.780889672176162,28.913318027950286,29.45410722017778,44.85294117647059,44.744745739906136,46.28807250888071,44.788789798039524
11,31.283422459893046,29.22792161538424,29.701593556828342,31.406021914941824,45.32085561497326,45.45205690470254,46.589398254047794,45.31762315840094
12,31.885026737967912,30.514292728939264,32.26293738067451,32.04893576501736,43.44919786096257,43.38424480243778,45.830502628608755,43.53120513646152
13,32.018716577540104,29.994781761958144,33.03088431862,32.25302874755363,45.588235294117645,45.685697412528,46.59358503654814,45.612065831850146
14,33.02139037433155,31.187582546852838,34.59658818228946,33.04764698837043,46.99197860962567,47.10110766698613,48.009184994128304,47.20759994672675
15,33.9572192513369,32.195911933916754,35.119527431091,34.19891647696591,47.45989304812834,47.23325154781467,47.83977309941403,47.68074559431773
16,36.096256684491976,34.158133550785195,37.69629082924057,36.30941877325201,47.860962566844925,47.44886378177484,47.92728909033654,47.95044658858256
17,36.898395721925134,35.5834986247751,38.14333837656708,37.150626543823755,48.26203208556149,47.91385166021276,48.50721851261511,48.242124561092496
18,35.360962566844925,33.3166021548237,35.27110410987428,35.43472873551715,46.524064171122994,46.277686833566825,48.50847319040184,46.63383717617158
19,35.093582887700535,33.192895311730254,35.95976195993814,35.11853176446571,47.92780748663101,47.65081833574429,49.18315745443218,47.88973528762418
20,35.49465240641711,33.348263344155114,35.483340625380755,35.51654251913864,48.663101604278076,48.286975030559795,49.37673098484695,48.70031407608778
21,36.36363636363637,34.64329940111305,37.76861011670296,36.550297023530575,49.26470588235294,49.28171912654771,50.88998350301277,49.33190818069457
22,36.63101604278075,34.73415924016882,39.23900777382722,36.68691973865356,47.99465240641711,47.660202619261774,49.1254000759977,48.05704738553417
23,37.36631016042781,36.00916861818519,38.69030645946573,37.54661447159936,48.663101604278076,48.64693979151163,49.86368921865868,48.8129717610176
24,39.037433155080215,38.24403444950178,40.229076231396455,39.204502767103996,48.26203208556149,48.04888819605655,48.84663877751825,48.49489322423315
25,37.83422459893048,36.5139413275971,40.08615310963465,38.11397238705948,48.462566844919785,48.10157719534365,48.85259040330556,48.47994639861731
26,37.4331550802139,35.918430752752585,38.26421877480356,37.45158241021008,50.13368983957219,49.90197783249032,50.415902383817354,50.13300461845331
27,39.50534759358289,38.62868096135902,40.28534157822872,39.70100338380826,46.4572192513369,46.451432127949445,48.135774981942035,46.495471113780624
28,39.57219251336899,38.75869045008894,40.639841768191005,39.70993938382158,49.59893048128342,49.505718587020716,50.10564187986628,49.642610489013514
29,39.3048128342246,38.90333158085166,40.010318907637824,39.358784865539334,47.72727272727273,47.841015308850174,49.174068942519554,47.81312190982415
30,38.56951871657754,37.500165584523614,40.01416107625555,38.628515023812135,48.529411764705884,48.272564005541,49.572771118992414,48.70922324309815
31,39.839572192513366,39.17993217808898,40.14649951103192,40.0278535078796,49.86631016042781,49.84833426860359,50.32204720425836,49.98643409305139
32,41.24331550802139,40.67229643807288,41.488019937352774,41.32826519696543,48.99732620320856,48.84055778907243,49.273700798297455,48.98918408841191
33,40.50802139037433,39.83925134066543,40.785141207960315,40.545562883592915,51.93850267379679,51.80321910126771,52.38923407671108,52.01093705782017
34,41.57754010695187,40.88140533224488,41.85986658711396,41.596412346596345,49.86631016042781,50.01492885072379,51.126460283428585,49.89224553488423
35,39.57219251336899,39.25768710379844,41.065872511391134,39.65005473273646,49.398395721925134,48.979357603788934,49.53488087164284,49.44195118875115
36,40.70855614973262,39.98102469019708,41.27686362421756,40.83002339115385,48.529411764705884,48.311027429273636,48.50813884757953,48.456468264729594
37,41.57754010695187,40.98555254098141,42.06822806643519,41.46559924656832,48.462566844919785,48.37058448211965,49.346474666651936,48.578968029766195
38,41.31016042780749,41.00597732028106,42.725684321422264,41.314127017174464,49.06417112299465,48.96781926443368,49.72330249973826,49.15689279372552
39,40.909090909090914,40.34227783134009,41.79274944335571,40.94357300193049,50.26737967914438,50.303893769417094,51.18621860001797,50.3544321428164
40,41.1096256684492,40.337209182139205,41.7080985248444,41.07436049002015,50.93582887700535,50.90697484752912,51.39259872010543,50.964700977412015
41,41.31016042780749,40.9059192259857,42.703060952297456,41.25662808164293,47.92780748663101,47.52699288598827,49.51609845171977,47.90261075017866
42,39.57219251336899,38.665771838360094,40.81666201054778,39.45961826391438,49.19786096256685,49.17585019659351,49.46325364206204,49.188143639872195
43,41.57754010695187,41.07851181993909,42.147214546853526,41.46542993670326,49.398395721925134,49.291202859175,50.338626917575645,49.39930646258751
44,40.64171122994652,40.05942890116964,41.518089171942364,40.5636286799934,50.534759358288774,50.316182417615174,50.88764971761446,50.44362749999115
45,41.44385026737968,40.62821152929016,41.94072191706072,41.28687551605149,49.465240641711226,49.39943979927778,50.71776273197751,49.52589933913297
46,40.909090909090914,40.29511010242744,41.57267686105868,40.914650916142804,50.26737967914438,50.02877124833993,50.50566104157739,50.27055354737888
47,42.31283422459893,41.47546249541431,43.39961503587919,42.11437170284291,50.0,49.942800984068896,51.04243268619653,50.09526910155204
48,41.17647058823529,40.822274633555075,42.29606550577394,41.24975146370037,50.534759358288774,50.44363334755604,51.995998918245355,50.565849349300926
49,41.24331550802139,40.665635186248394,41.79432418765073,41.17136856625372,50.80213903743316,50.3430379332699,51.060554935837764,50.66836862031094
