round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,11.2375,3.9174,3.8167,11.4898,0,0.094409,0.066968,1.145284,0.775163,1.542129,0.642798,0.001411,0.001001,0.000447,0.000303,0.021531,0.008975,0.17379,-0.008721,-0.059756,100.0,0.0,100.0,31.0233
2,0.00999014,11.8395,4.6626,3.2918,13.1773,0,0.115335,0.072583,1.104539,0.631828,1.655265,0.709574,0.001723,0.001084,0.000431,0.000247,0.02311,0.009907,0.167003,0.02212,-0.027196,100.0,0.0,100.0,30.2095
3,0.00996061,14.9164,7.0235,5.0589,16.0619,0,0.135705,0.060732,0.94535,0.468065,1.679432,0.818432,0.002027,0.000907,0.000369,0.000183,0.023448,0.011427,0.070332,0.005482,-0.027832,100.0,0.0,100.0,30.4366
4,0.00991152,12.9097,5.3494,4.0733,14.1515,0,0.146662,0.059458,0.879056,0.445078,1.649676,0.742483,0.002191,0.000888,0.000343,0.000174,0.023032,0.010366,0.046111,0.009767,-0.053495,100.0,0.0,100.0,31.1231
5,0.00984307,14.8495,7.947,13.2146,16.0927,0,0.147744,0.059958,0.847544,0.42707,1.643178,0.707509,0.002207,0.000896,0.000331,0.000167,0.022942,0.009878,0.026263,0.008869,-0.052903,100.0,0.0,100.0,30.2451
6,0.00975553,12.9097,5.5787,3.9423,14.186,0,0.153402,0.060762,0.84551,0.409808,1.660612,0.707852,0.002292,0.000908,0.00033,0.00016,0.023185,0.009883,0.032325,0.010791,-0.055802,100.0,0.0,100.0,30.9882
7,0.00964923,17.7926,10.8241,15.1773,18.9333,0,0.155019,0.060714,0.818557,0.385218,1.638418,0.683206,0.002316,0.000907,0.00032,0.00015,0.022875,0.009539,0.01453,0.007543,-0.06032,100.0,0.0,100.0,30.1985
8,0.00952461,13.0435,5.6693,13.9426,14.3849,0,0.160341,0.060904,0.855303,0.382391,1.683261,0.718668,0.002396,0.00091,0.000334,0.000149,0.023501,0.010034,0.03169,0.040711,-0.05563,100.0,0.0,100.0,30.0024
9,0.00938215,23.1438,16.1061,14.3114,23.7862,0,0.15697,0.060457,0.780904,0.340626,1.624493,0.655443,0.002345,0.000903,0.000305,0.000133,0.022681,0.009151,0.005816,0.004094,-0.064649,100.0,0.0,100.0,30.0532
10,0.00922242,12.9766,5.1519,14.3358,14.3012,0,0.16346,0.059698,0.828602,0.354215,1.661304,0.689037,0.002442,0.000892,0.000323,0.000138,0.023195,0.00962,0.027751,0.032386,-0.060254,100.0,0.0,100.0,29.8705
11,0.00904604,20.602,14.0912,14.1126,21.3361,0,0.160235,0.062308,0.792721,0.350791,1.619655,0.643706,0.002394,0.000931,0.000309,0.000137,0.022613,0.008987,-0.010331,-0.006152,-0.071406,100.0,0.0,100.0,30.34
12,0.00885371,13.9799,7.3301,26.3832,15.3289,0,0.161716,0.057773,0.83784,0.340672,1.672561,0.700048,0.002416,0.000863,0.000327,0.000133,0.023352,0.009774,0.027682,0.038746,-0.062899,100.0,0.0,100.0,29.7482
13,0.0086462,20.0,13.2249,14.0304,20.6931,0,0.15573,0.0581,0.802984,0.356303,1.600051,0.615477,0.002327,0.000868,0.000313,0.000139,0.02234,0.008593,-0.011963,-0.010717,-0.075027,100.0,0.0,100.0,29.6534
14,0.00842431,14.7157,7.5038,6.7746,15.9809,0,0.174184,0.06384,0.85959,0.350568,1.695799,0.729994,0.002602,0.000954,0.000336,0.000137,0.023676,0.010192,0.054942,0.038083,-0.053126,100.0,0.0,100.0,29.9564
15,0.00818893,19.2642,11.8329,24.065,19.9646,0,0.168265,0.062953,0.792274,0.356888,1.6032,0.604343,0.002514,0.000941,0.000309,0.000139,0.022384,0.008438,-0.014444,-0.012844,-0.075381,100.0,0.0,100.0,30.2453
16,0.00794099,18.3278,12.3262,20.1661,19.4099,0,0.440871,0.233002,1.208042,0.46866,1.694501,0.730339,0.006587,0.003481,0.000472,0.000183,0.023658,0.010197,0.695044,0.39223,-0.05802,100.0,0.0,100.0,29.8972
17,0.00768145,20.4682,12.9716,14.7739,20.8374,0,0.15273,0.058727,0.764392,0.329069,1.617918,0.6359,0.002282,0.000877,0.000298,0.000128,0.022589,0.008878,0.046144,0.01849,-0.069919,100.0,0.0,100.0,29.8535
18,0.00741136,19.8662,12.5806,21.9469,20.7895,0,0.163716,0.062965,0.770904,0.330162,1.671639,0.697412,0.002446,0.000941,0.000301,0.000129,0.023339,0.009737,0.101553,0.041899,-0.058034,100.0,0.0,100.0,29.9056
19,0.00713177,19.1304,12.0751,15.8938,19.8386,0,0.156638,0.060767,0.738853,0.336879,1.608759,0.627445,0.00234,0.000908,0.000288,0.000131,0.022461,0.00876,0.030383,0.006077,-0.072008,100.0,0.0,100.0,30.2727
20,0.00684378,20.1338,12.6208,12.0665,21.0814,0,0.166081,0.064375,0.773035,0.339533,1.668832,0.707828,0.002481,0.000962,0.000302,0.000133,0.0233,0.009883,0.099656,0.034367,-0.058007,100.0,0.0,100.0,30.7996
21,0.00654854,18.5953,10.5621,8.5518,19.2731,0,0.154964,0.060781,0.750386,0.335351,1.610955,0.635041,0.002315,0.000908,0.000293,0.000131,0.022492,0.008866,0.030638,-0.000405,-0.074062,100.0,0.0,100.0,30.9234
22,0.00624721,18.8629,11.7409,14.0821,19.9998,0,0.169459,0.066561,0.795052,0.338996,1.697304,0.731619,0.002532,0.000994,0.00031,0.000132,0.023697,0.010215,0.109342,0.050792,-0.053702,100.0,0.0,100.0,31.0881
23,0.00594097,18.6622,10.396,8.416,19.315,0,0.155833,0.061083,0.756381,0.33155,1.593992,0.62777,0.002328,0.000913,0.000295,0.000129,0.022255,0.008765,0.023998,0.01223,-0.077377,100.0,0.0,100.0,30.3336
24,0.00563104,21.6722,14.1643,12.2625,22.477,0,0.167041,0.063369,0.79596,0.347241,1.708755,0.749162,0.002496,0.000947,0.000311,0.000136,0.023857,0.01046,0.096078,0.048666,-0.05284,100.0,0.0,100.0,30.3007
25,0.00531864,19.5318,11.3071,9.1894,20.1935,0,0.152734,0.059754,0.769186,0.34866,1.58735,0.618763,0.002282,0.000893,0.0003,0.000136,0.022162,0.008639,0.029389,0.000232,-0.077978,100.0,0.0,100.0,31.0343
26,0.005005,20.9365,13.5309,12.2368,21.8291,0,0.16844,0.06524,0.814423,0.344085,1.711661,0.751253,0.002517,0.000975,0.000318,0.000134,0.023898,0.010489,0.094625,0.031185,-0.049394,100.0,0.0,100.0,30.5685
27,0.00469136,19.8662,10.94,8.6841,20.4578,0,0.152954,0.06066,0.772936,0.345426,1.593897,0.627233,0.002285,0.000906,0.000302,0.000135,0.022254,0.008757,0.022646,-0.005064,-0.078936,100.0,0.0,100.0,29.8512
