round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,15.6981,8.0649,6.2596,15.3926,0,0.534191,0.357383,2.045421,0.567423,0.903837,0.224783,0.007981,0.005339,0.000798,0.000221,0.012619,0.003138,0.963709,0.467033,0.133834,32.6838,34.8837,67.5676,9.4664
2,0.00999014,15.3641,9.6845,10.8841,15.7693,0,0.128811,0.062378,1.224144,0.364553,0.877506,0.261365,0.001924,0.000932,0.000478,0.000142,0.012252,0.003649,0.73579,0.247527,0.129641,30.2948,37.2727,67.5676,9.4417
3,0.00996061,20.1737,11.7895,20.8048,19.8854,0,0.120014,0.0609,0.971872,0.291924,0.775211,0.196463,0.001793,0.00091,0.000379,0.000114,0.010823,0.002743,0.640086,0.156347,0.048503,39.7435,35.9322,75.6757,10.8432
4,0.00991152,24.3821,18.7197,35.5869,24.8,0,0.112588,0.055904,0.903914,0.24596,0.783011,0.237739,0.001682,0.000835,0.000353,9.6e-05,0.010932,0.003319,0.624712,0.122476,0.034973,41.0811,40.0,81.0811,12.1286
5,0.00984307,24.3821,18.5598,31.5438,24.1678,0,0.119176,0.057918,0.901576,0.244616,0.763446,0.228901,0.001781,0.000865,0.000352,9.5e-05,0.010659,0.003196,0.612099,0.09335,0.013303,46.5231,29.1525,75.6757,12.0803
6,0.00975553,26.6533,19.9611,37.2648,26.4475,0,0.115651,0.052771,0.889377,0.240583,0.758409,0.246934,0.001728,0.000788,0.000347,9.4e-05,0.010589,0.003448,0.564819,0.078282,5.9e-05,34.1923,44.186,78.3784,10.764
7,0.00964923,29.3921,24.132,38.7298,29.2406,0,0.112037,0.04956,0.873362,0.221262,0.752293,0.225828,0.001674,0.00074,0.000341,8.6e-05,0.010503,0.003153,0.548816,0.066007,-0.004851,31.8668,46.5116,78.3784,9.7399
8,0.00952461,30.3941,25.901,41.9224,30.2276,0,0.110242,0.047012,0.865261,0.202447,0.755756,0.225438,0.001647,0.000702,0.000338,7.9e-05,0.010552,0.003148,0.513831,0.05718,0.007355,34.1923,44.186,78.3784,11.2258
9,0.00938215,31.8637,28.5178,41.9504,31.7056,0,0.11324,0.052657,0.895076,0.225451,0.734007,0.223945,0.001692,0.000787,0.000349,8.8e-05,0.010248,0.003127,0.486172,0.042467,-0.018719,40.1966,38.1818,78.3784,13.1998
10,0.00922242,31.2625,27.1318,42.7849,31.0271,0,0.115364,0.046137,0.908777,0.212423,0.746281,0.221766,0.001724,0.000689,0.000355,8.3e-05,0.010419,0.003096,0.470289,0.047711,-0.011833,32.3784,46.0,78.3784,8.6449
11,0.00904604,36.0053,33.5126,42.6371,36.0414,0,0.115325,0.044233,0.916592,0.212917,0.744988,0.209246,0.001723,0.000661,0.000358,8.3e-05,0.010401,0.002921,0.426695,0.042258,-0.003106,33.8575,41.8182,75.6757,10.7647
12,0.00885371,33.6005,29.6563,45.5066,33.3393,0,0.115032,0.043429,0.934761,0.217728,0.725113,0.227559,0.001719,0.000649,0.000365,8.5e-05,0.010124,0.003177,0.418572,0.032791,-0.009207,35.7143,41.4286,77.1429,12.1536
13,0.0086462,36.0053,33.4073,44.6832,35.7656,0,0.116299,0.043675,0.943396,0.205505,0.737708,0.229807,0.001738,0.000653,0.000368,8e-05,0.0103,0.003209,0.386348,0.033908,-0.010391,29.312,46.3636,75.6757,10.0964
