epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,9.084836339345358,2.7525485146098854,2.0036745130612466,10.13057264373054,21.175684702738813,20.719982758175888,22.444461450544402,20.93223892326134
1,15.364061456245825,8.692980189038073,16.802907492492064,15.609154308540813,23.91449565798263,22.84390461815792,24.859801864006705,23.522060261468212
2,25.250501002004004,18.735621200326737,25.533194193504656,24.92304128095101,25.250501002004004,24.08218178530535,26.73331867145815,24.81089675683522
3,25.58450233800935,21.649963194427276,35.7618084397795,25.263026508038962,28.0561122244489,26.92531286527986,28.439977128111316,27.6005174756155
4,31.062124248496993,28.489768961656903,36.85654538345363,30.492816338450364,27.521710086840343,25.84653340596163,28.58091631843743,27.133787065039666
5,30.794923179692717,25.80918614955781,33.8849684678202,30.29554049258602,28.99131596526386,27.933799941496485,29.310132239614173,28.45549541650031
6,32.79893119572478,30.062381156799013,39.420157062059346,32.28850292093522,27.85571142284569,26.48739902867005,27.407792436382262,27.494039830632843
7,36.4061456245825,33.924279815864374,43.91141948379808,35.88655936564628,31.730126920507683,30.861137453007935,31.803759665731885,31.34182273935607
8,38.276553106212425,36.728117106821514,44.22801023494537,37.66218131546329,34.936539746158985,34.498352497066115,34.700833938437015,34.544327781556206
9,40.480961923847694,39.81126809179801,44.20147396238831,39.88220283849695,34.335337341349366,33.237145654308485,34.24315824305989,33.709994407189846
10,42.35136940547763,41.134238238285846,47.4392239080386,41.66741789380056,35.27054108216433,34.170716568695646,34.85277010627533,34.84090058823095
11,42.15096860387442,40.75941829421953,47.72371060087804,41.61873584884909,37.00734802939212,36.109945226857036,37.65530193622092,36.26822054418461
12,46.82698730794923,46.314045559988806,50.9487779447136,46.255945465526175,37.20774883099532,36.60523135964368,37.519223828277894,36.78309405280207
13,45.89178356713427,45.24886739251979,50.30998851347841,45.65238724340275,37.07414829659319,36.717825695157714,37.48810782757672,36.64191937330112
14,48.76419505678023,48.17825980454943,52.16260306385326,48.30197836461963,37.80895123580494,36.68914889283458,38.15857572405889,37.06673325367684
15,50.835003340013365,49.21356528019364,51.55979839003002,49.96586387663006,40.41416165664663,39.626869197630995,40.09726266915473,39.855152783724215
16,49.69939879759519,48.504820656595285,50.97926240192253,49.0706822884564,36.27254509018036,35.67644860866601,36.677154029446704,35.89574374672281
17,50.835003340013365,49.67892027097693,53.699129951981675,50.30371986606706,40.34736138944556,39.923636755780365,41.06957079976506,39.956948894446015
18,52.638610554442224,52.01843281909384,54.86138420236605,52.08331609628948,41.81696726786907,40.790576982766545,41.37221961765965,41.202722783722834
19,54.50901803607214,53.50638220863735,55.663115129076935,53.984239224598554,40.6813627254509,39.86629865245558,41.7505150867305,40.19432542999128
20,53.77421509686039,52.73230045668924,54.78651483773852,53.33559214770295,41.21576486305945,40.11482611636049,41.58696559557719,40.39339941339573
21,56.1122244488978,55.25021461670503,57.50559649771409,55.43412164660839,40.74816299265197,38.622281911997305,40.272391427792456,39.94991718666704
22,54.776219104876425,53.269106059446905,57.366283698106415,54.24721767090534,41.21576486305945,39.74962081413892,40.53610572278501,40.4654865906884
23,55.11022044088176,53.714612194072345,56.03899364546996,54.53866857819416,40.61456245824983,40.117309430896256,42.343811093388176,40.244765542052086
24,56.045424181696724,55.17739506197405,56.283737645010554,55.441142106019406,41.5497661990648,40.500359343309846,41.6894630621574,40.85264750625237
25,56.980627922511694,55.8343832398067,56.69467581638027,56.3732420621749,42.952571810287246,42.73463471041116,44.3025880419824,42.611767124250406
26,58.04943219772879,57.50443553109539,58.714426443488364,57.4993834249508,41.81696726786907,41.406277202162656,42.62714876424945,41.196072178330354
27,57.91583166332666,57.69657726374058,60.18407233482074,57.197326072787355,42.618570474281896,41.61596289133699,43.481792215470335,41.778778650838014
