round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,vig_tiny,cifar10,0.03,0,_vig_stem,0.561369
1,0,1,vig_tiny,cifar10,0.03,1,_vig_blocks.0,0.619121
1,0,1,vig_tiny,cifar10,0.03,2,_vig_blocks.1,0.619047
1,0,1,vig_tiny,cifar10,0.03,3,_vig_blocks.2,0.610632
1,0,1,vig_tiny,cifar10,0.03,4,_vig_blocks.3,0.610674
1,0,1,vig_tiny,cifar10,0.03,5,_vig_blocks.4,0.636983
1,0,1,vig_tiny,cifar10,0.03,6,_vig_blocks.5,0.634530
1,0,1,vig_tiny,cifar10,0.03,7,_vig_blocks.6,0.627449
1,0,1,vig_tiny,cifar10,0.03,8,_vig_blocks.7,0.630170
1,0,1,vig_tiny,cifar10,0.03,9,_vig_blocks.8,0.610119
1,0,1,vig_tiny,cifar10,0.03,10,_vig_blocks.9,0.605298
1,0,1,vig_tiny,cifar10,0.03,11,_vig_blocks.10,0.598880
1,0,1,vig_tiny,cifar10,0.03,12,_vig_blocks.11,0.612107
1,0,1,vig_tiny,cifar10,0.03,13,classifier,0.410111
1,0,2,vig_tiny,cifar10,0.03,0,_vig_stem,0.893489
1,0,2,vig_tiny,cifar10,0.03,1,_vig_blocks.0,0.885006
1,0,2,vig_tiny,cifar10,0.03,2,_vig_blocks.1,0.899041
1,0,2,vig_tiny,cifar10,0.03,3,_vig_blocks.2,0.896105
1,0,2,vig_tiny,cifar10,0.03,4,_vig_blocks.3,0.886304
1,0,2,vig_tiny,cifar10,0.03,5,_vig_blocks.4,0.878652
1,0,2,vig_tiny,cifar10,0.03,6,_vig_blocks.5,0.871555
1,0,2,vig_tiny,cifar10,0.03,7,_vig_blocks.6,0.878925
1,0,2,vig_tiny,cifar10,0.03,8,_vig_blocks.7,0.874441
1,0,2,vig_tiny,cifar10,0.03,9,_vig_blocks.8,0.869001
1,0,2,vig_tiny,cifar10,0.03,10,_vig_blocks.9,0.864087
1,0,2,vig_tiny,cifar10,0.03,11,_vig_blocks.10,0.855720
1,0,2,vig_tiny,cifar10,0.03,12,_vig_blocks.11,0.854066
1,0,2,vig_tiny,cifar10,0.03,13,classifier,0.801401
1,0,3,vig_tiny,cifar10,0.03,0,_vig_stem,0.875160
1,0,3,vig_tiny,cifar10,0.03,1,_vig_blocks.0,0.865847
1,0,3,vig_tiny,cifar10,0.03,2,_vig_blocks.1,0.850837
1,0,3,vig_tiny,cifar10,0.03,3,_vig_blocks.2,0.844604
1,0,3,vig_tiny,cifar10,0.03,4,_vig_blocks.3,0.829183
1,0,3,vig_tiny,cifar10,0.03,5,_vig_blocks.4,0.788736
1,0,3,vig_tiny,cifar10,0.03,6,_vig_blocks.5,0.781648
1,0,3,vig_tiny,cifar10,0.03,7,_vig_blocks.6,0.789485
1,0,3,vig_tiny,cifar10,0.03,8,_vig_blocks.7,0.793363
1,0,3,vig_tiny,cifar10,0.03,9,_vig_blocks.8,0.794758
1,0,3,vig_tiny,cifar10,0.03,10,_vig_blocks.9,0.789207
1,0,3,vig_tiny,cifar10,0.03,11,_vig_blocks.10,0.784619
1,0,3,vig_tiny,cifar10,0.03,12,_vig_blocks.11,0.774507
1,0,3,vig_tiny,cifar10,0.03,13,classifier,0.642706
1,0,4,vig_tiny,cifar10,0.03,0,_vig_stem,0.851300
1,0,4,vig_tiny,cifar10,0.03,1,_vig_blocks.0,0.830026
1,0,4,vig_tiny,cifar10,0.03,2,_vig_blocks.1,0.847413
1,0,4,vig_tiny,cifar10,0.03,3,_vig_blocks.2,0.846054
1,0,4,vig_tiny,cifar10,0.03,4,_vig_blocks.3,0.824261
1,0,4,vig_tiny,cifar10,0.03,5,_vig_blocks.4,0.801163
1,0,4,vig_tiny,cifar10,0.03,6,_vig_blocks.5,0.791465
1,0,4,vig_tiny,cifar10,0.03,7,_vig_blocks.6,0.792609
1,0,4,vig_tiny,cifar10,0.03,8,_vig_blocks.7,0.794422
1,0,4,vig_tiny,cifar10,0.03,9,_vig_blocks.8,0.795207
1,0,4,vig_tiny,cifar10,0.03,10,_vig_blocks.9,0.798273
1,0,4,vig_tiny,cifar10,0.03,11,_vig_blocks.10,0.805335
1,0,4,vig_tiny,cifar10,0.03,12,_vig_blocks.11,0.791914
1,0,4,vig_tiny,cifar10,0.03,13,classifier,0.763608
1,0,5,vig_tiny,cifar10,0.03,0,_vig_stem,0.420196
1,0,5,vig_tiny,cifar10,0.03,1,_vig_blocks.0,0.449778
1,0,5,vig_tiny,cifar10,0.03,2,_vig_blocks.1,0.441141
1,0,5,vig_tiny,cifar10,0.03,3,_vig_blocks.2,0.468102
1,0,5,vig_tiny,cifar10,0.03,4,_vig_blocks.3,0.475510
1,0,5,vig_tiny,cifar10,0.03,5,_vig_blocks.4,0.492031
1,0,5,vig_tiny,cifar10,0.03,6,_vig_blocks.5,0.491303
1,0,5,vig_tiny,cifar10,0.03,7,_vig_blocks.6,0.484611
1,0,5,vig_tiny,cifar10,0.03,8,_vig_blocks.7,0.472836
1,0,5,vig_tiny,cifar10,0.03,9,_vig_blocks.8,0.478837
1,0,5,vig_tiny,cifar10,0.03,10,_vig_blocks.9,0.489472
1,0,5,vig_tiny,cifar10,0.03,11,_vig_blocks.10,0.480167
1,0,5,vig_tiny,cifar10,0.03,12,_vig_blocks.11,0.501942
1,0,5,vig_tiny,cifar10,0.03,13,classifier,0.429890
1,0,6,vig_tiny,cifar10,0.03,0,_vig_stem,0.742856
1,0,6,vig_tiny,cifar10,0.03,1,_vig_blocks.0,0.831854
1,0,6,vig_tiny,cifar10,0.03,2,_vig_blocks.1,0.831595
1,0,6,vig_tiny,cifar10,0.03,3,_vig_blocks.2,0.857575
1,0,6,vig_tiny,cifar10,0.03,4,_vig_blocks.3,0.852683
1,0,6,vig_tiny,cifar10,0.03,5,_vig_blocks.4,0.849640
1,0,6,vig_tiny,cifar10,0.03,6,_vig_blocks.5,0.863702
1,0,6,vig_tiny,cifar10,0.03,7,_vig_blocks.6,0.870789
1,0,6,vig_tiny,cifar10,0.03,8,_vig_blocks.7,0.866302
1,0,6,vig_tiny,cifar10,0.03,9,_vig_blocks.8,0.872916
1,0,6,vig_tiny,cifar10,0.03,10,_vig_blocks.9,0.873370
1,0,6,vig_tiny,cifar10,0.03,11,_vig_blocks.10,0.868883
1,0,6,vig_tiny,cifar10,0.03,12,_vig_blocks.11,0.868688
1,0,6,vig_tiny,cifar10,0.03,13,classifier,0.775707
1,0,7,vig_tiny,cifar10,0.03,0,_vig_stem,0.350840
1,0,7,vig_tiny,cifar10,0.03,1,_vig_blocks.0,0.343865
1,0,7,vig_tiny,cifar10,0.03,2,_vig_blocks.1,0.334355
1,0,7,vig_tiny,cifar10,0.03,3,_vig_blocks.2,0.339889
1,0,7,vig_tiny,cifar10,0.03,4,_vig_blocks.3,0.342556
1,0,7,vig_tiny,cifar10,0.03,5,_vig_blocks.4,0.360733
1,0,7,vig_tiny,cifar10,0.03,6,_vig_blocks.5,0.362134
1,0,7,vig_tiny,cifar10,0.03,7,_vig_blocks.6,0.367314
1,0,7,vig_tiny,cifar10,0.03,8,_vig_blocks.7,0.357813
1,0,7,vig_tiny,cifar10,0.03,9,_vig_blocks.8,0.359844
1,0,7,vig_tiny,cifar10,0.03,10,_vig_blocks.9,0.356938
1,0,7,vig_tiny,cifar10,0.03,11,_vig_blocks.10,0.341149
1,0,7,vig_tiny,cifar10,0.03,12,_vig_blocks.11,0.334933
1,0,7,vig_tiny,cifar10,0.03,13,classifier,0.055146
1,0,8,vig_tiny,cifar10,0.03,0,_vig_stem,0.324191
1,0,8,vig_tiny,cifar10,0.03,1,_vig_blocks.0,0.304987
1,0,8,vig_tiny,cifar10,0.03,2,_vig_blocks.1,0.284829
1,0,8,vig_tiny,cifar10,0.03,3,_vig_blocks.2,0.272531
1,0,8,vig_tiny,cifar10,0.03,4,_vig_blocks.3,0.256796
1,0,8,vig_tiny,cifar10,0.03,5,_vig_blocks.4,0.253141
1,0,8,vig_tiny,cifar10,0.03,6,_vig_blocks.5,0.250637
1,0,8,vig_tiny,cifar10,0.03,7,_vig_blocks.6,0.243276
1,0,8,vig_tiny,cifar10,0.03,8,_vig_blocks.7,0.237741
1,0,8,vig_tiny,cifar10,0.03,9,_vig_blocks.8,0.231896
1,0,8,vig_tiny,cifar10,0.03,10,_vig_blocks.9,0.223017
1,0,8,vig_tiny,cifar10,0.03,11,_vig_blocks.10,0.209263
1,0,8,vig_tiny,cifar10,0.03,12,_vig_blocks.11,0.199062
1,0,8,vig_tiny,cifar10,0.03,13,classifier,0.197581
1,0,9,vig_tiny,cifar10,0.03,0,_vig_stem,0.285932
1,0,9,vig_tiny,cifar10,0.03,1,_vig_blocks.0,0.329061
1,0,9,vig_tiny,cifar10,0.03,2,_vig_blocks.1,0.334261
1,0,9,vig_tiny,cifar10,0.03,3,_vig_blocks.2,0.352201
1,0,9,vig_tiny,cifar10,0.03,4,_vig_blocks.3,0.363063
1,0,9,vig_tiny,cifar10,0.03,5,_vig_blocks.4,0.372012
1,0,9,vig_tiny,cifar10,0.03,6,_vig_blocks.5,0.353855
1,0,9,vig_tiny,cifar10,0.03,7,_vig_blocks.6,0.360115
1,0,9,vig_tiny,cifar10,0.03,8,_vig_blocks.7,0.366257
1,0,9,vig_tiny,cifar10,0.03,9,_vig_blocks.8,0.365841
1,0,9,vig_tiny,cifar10,0.03,10,_vig_blocks.9,0.358151
1,0,9,vig_tiny,cifar10,0.03,11,_vig_blocks.10,0.328358
1,0,9,vig_tiny,cifar10,0.03,12,_vig_blocks.11,0.328048
1,0,9,vig_tiny,cifar10,0.03,13,classifier,0.267620
1,1,2,vig_tiny,cifar10,0.03,0,_vig_stem,0.461603
1,1,2,vig_tiny,cifar10,0.03,1,_vig_blocks.0,0.434561
1,1,2,vig_tiny,cifar10,0.03,2,_vig_blocks.1,0.448984
1,1,2,vig_tiny,cifar10,0.03,3,_vig_blocks.2,0.427647
1,1,2,vig_tiny,cifar10,0.03,4,_vig_blocks.3,0.405215
1,1,2,vig_tiny,cifar10,0.03,5,_vig_blocks.4,0.420567
1,1,2,vig_tiny,cifar10,0.03,6,_vig_blocks.5,0.410532
1,1,2,vig_tiny,cifar10,0.03,7,_vig_blocks.6,0.415985
1,1,2,vig_tiny,cifar10,0.03,8,_vig_blocks.7,0.425259
1,1,2,vig_tiny,cifar10,0.03,9,_vig_blocks.8,0.401221
1,1,2,vig_tiny,cifar10,0.03,10,_vig_blocks.9,0.380373
1,1,2,vig_tiny,cifar10,0.03,11,_vig_blocks.10,0.348526
1,1,2,vig_tiny,cifar10,0.03,12,_vig_blocks.11,0.345661
1,1,2,vig_tiny,cifar10,0.03,13,classifier,0.167080
1,1,3,vig_tiny,cifar10,0.03,0,_vig_stem,0.417109
1,1,3,vig_tiny,cifar10,0.03,1,_vig_blocks.0,0.444303
1,1,3,vig_tiny,cifar10,0.03,2,_vig_blocks.1,0.418024
1,1,3,vig_tiny,cifar10,0.03,3,_vig_blocks.2,0.402821
1,1,3,vig_tiny,cifar10,0.03,4,_vig_blocks.3,0.380156
1,1,3,vig_tiny,cifar10,0.03,5,_vig_blocks.4,0.367827
1,1,3,vig_tiny,cifar10,0.03,6,_vig_blocks.5,0.352226
1,1,3,vig_tiny,cifar10,0.03,7,_vig_blocks.6,0.351085
