round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,11.6232,4.5113,4.0495,12.2249,0,1.060905,0.509242,3.16877,1.813135,0.920218,0.451279,0.005142,0.002468,0.001307,0.000748,0.020947,0.010272,-0.038247,0.052461,0.078439,68.254,0.0,68.254,22.2581
2,0.00999014,15.8985,7.8985,7.8867,16.3182,0,0.990746,0.477951,2.398675,1.426918,0.770273,0.36244,0.004802,0.002316,0.000989,0.000588,0.017533,0.00825,-0.026655,0.022465,0.011582,74.5455,0.0,74.5455,21.7047
3,0.00996061,23.0461,14.3245,18.7039,24.1545,0,0.934757,0.44784,2.148824,1.272377,0.745887,0.334947,0.00453,0.00217,0.000886,0.000525,0.016978,0.007624,-0.038005,0.026371,-0.012095,58.7121,12.5,71.2121,18.5219
4,0.00991152,23.3133,16.4897,26.4009,24.8497,0,0.900252,0.425854,2.052937,1.201823,0.757568,0.337395,0.004363,0.002064,0.000847,0.000496,0.017244,0.00768,-0.026607,0.021883,-0.015414,80.5755,0.0,80.5755,22.431
5,0.00984307,27.5217,21.1814,31.1927,28.685,0,0.891679,0.426907,2.066885,1.215483,0.744747,0.326549,0.004321,0.002069,0.000852,0.000501,0.016952,0.007433,-0.024641,0.014981,-0.018112,78.1818,0.0,78.1818,21.1838
6,0.00975553,36.0721,32.934,41.9658,37.2892,0,0.875627,0.408683,2.058833,1.204067,0.734047,0.320832,0.004244,0.001981,0.000849,0.000497,0.016709,0.007303,-0.029326,0.014768,-0.023403,76.259,0.0,76.259,22.6698
7,0.00964923,33.5337,31.1378,42.0679,34.7608,0,0.869101,0.403641,2.070758,1.208845,0.726246,0.316813,0.004212,0.001956,0.000854,0.000499,0.016531,0.007211,-0.021219,0.011541,-0.024402,67.3561,12.5,79.8561,20.8426
8,0.00952461,37.3413,35.0498,42.331,38.3315,0,0.869776,0.396087,2.115838,1.226216,0.700633,0.302431,0.004215,0.00192,0.000873,0.000506,0.015948,0.006884,-0.029001,0.012875,-0.021474,59.6212,12.5,72.1212,18.9157
9,0.00938215,38.477,36.5278,45.0433,39.373,0,0.864638,0.387583,2.178762,1.274824,0.692905,0.300671,0.00419,0.001878,0.000899,0.000526,0.015772,0.006844,-0.036051,0.005406,-0.030397,55.9258,21.0526,76.9784,16.7388
10,0.00922242,39.2118,37.6582,46.3882,40.1066,0,0.878139,0.395375,2.217725,1.286805,0.682077,0.293987,0.004256,0.001916,0.000915,0.000531,0.015526,0.006692,-0.033572,0.008417,-0.035454,44.4529,36.8421,81.295,14.3489
11,0.00904604,41.9506,40.0973,47.8933,42.6263,0,0.873076,0.393872,2.232637,1.294309,0.663676,0.286029,0.004231,0.001909,0.000921,0.000534,0.015107,0.006511,-0.034345,0.004519,-0.032963,26.5353,46.798,73.3333,10.0072
12,0.00885371,42.6186,41.647,46.7599,43.5992,0,0.881588,0.396422,2.272772,1.314791,0.656036,0.282058,0.004273,0.001921,0.000937,0.000542,0.014933,0.00642,-0.030703,0.006091,-0.029943,31.7683,47.3684,79.1367,11.2904
13,0.0086462,41.6834,40.4748,47.6337,42.5761,0,0.895766,0.398308,2.28174,1.31051,0.631544,0.273485,0.004341,0.00193,0.000941,0.00054,0.014376,0.006225,-0.033401,0.001002,-0.034876,51.8743,31.5789,83.4532,15.8432
14,0.00842431,44.0214,42.9049,49.3741,44.9646,0,0.899423,0.401748,2.332956,1.312027,0.620976,0.26575,0.004359,0.001947,0.000962,0.000541,0.014135,0.006049,-0.033454,0.00374,-0.032066,35.5926,42.1053,77.6978,11.3807
15,0.00818893,46.2926,45.5316,52.1682,47.0542,0,0.894084,0.39677,2.368023,1.334722,0.609712,0.261548,0.004333,0.001923,0.000977,0.00055,0.013879,0.005954,-0.032244,0.006799,-0.032445,31.295,50.0,81.295,8.5471
16,0.00794099,46.5598,45.732,51.2464,47.2962,0,0.903515,0.400503,2.364948,1.340139,0.602759,0.259494,0.004379,0.001941,0.000975,0.000553,0.01372,0.005907,-0.045569,0.001707,-0.041545,49.716,31.5789,81.295,13.7016
17,0.00768145,44.5558,43.62,50.1465,45.5414,0,0.924661,0.416034,2.398185,1.345015,0.596731,0.256025,0.004481,0.002016,0.000989,0.000555,0.013583,0.005828,-0.032045,0.000179,-0.035239,30.6061,50.0,80.6061,11.1692
18,0.00741136,45.2906,44.7024,50.8373,46.1239,0,0.901975,0.401976,2.412694,1.361784,0.578548,0.247392,0.004371,0.001948,0.000995,0.000562,0.013169,0.005631,-0.042725,0.001172,-0.038673,47.2089,31.5789,78.7879,13.9002
19,0.00713177,44.5558,43.8627,51.3626,45.5707,0,0.931472,0.417281,2.469826,1.373174,0.572022,0.248301,0.004514,0.002022,0.001019,0.000566,0.013021,0.005652,-0.026388,0.002299,-0.033132,32.4877,47.3684,79.8561,10.2354
20,0.00684378,47.8958,47.0869,51.8213,48.5601,0,0.911386,0.404203,2.38988,1.330493,0.559342,0.239212,0.004417,0.001959,0.000986,0.000549,0.012732,0.005445,-0.037997,-0.000215,-0.042243,33.2071,47.3684,80.5755,11.6317
21,0.00654854,46.0922,46.0955,51.6952,46.9785,0,0.935071,0.418099,2.456251,1.346453,0.563214,0.240383,0.004532,0.002026,0.001013,0.000555,0.01282,0.005472,-0.025684,0.003221,-0.026106,42.2946,36.8421,79.1367,13.4267
22,0.00624721,45.6914,44.8831,50.9362,46.1623,0,0.922723,0.408778,2.450994,1.390609,0.549742,0.234914,0.004472,0.001981,0.001011,0.000573,0.012514,0.005347,-0.036379,0.000416,-0.030869,36.312,42.1053,78.4173,10.7335
23,0.00594097,43.2866,42.2729,50.7445,44.146,0,0.925441,0.407189,2.414261,1.319232,0.544087,0.232472,0.004485,0.001973,0.000996,0.000544,0.012385,0.005292,-0.03741,0.001012,-0.041811,38.6975,36.8421,75.5396,11.1251
24,0.00563104,46.2258,44.8508,51.6143,46.7958,0,0.913479,0.409006,2.508702,1.383016,0.528055,0.226132,0.004427,0.001982,0.001035,0.00057,0.01202,0.005147,-0.037605,0.001935,-0.034095,46.6111,36.8421,83.4532,13.042
25,0.00531864,49.165,48.6174,52.8159,50.0143,0,0.92021,0.411325,2.477046,1.341031,0.528173,0.223885,0.00446,0.001993,0.001022,0.000553,0.012023,0.005096,-0.038276,0.000106,-0.035414,63.1579,36.8421,100.0,16.187
26,0.005005,47.495,47.2782,51.5189,48.1035,0,0.909086,0.40738,2.485905,1.331839,0.509537,0.22002,0.004406,0.001974,0.001025,0.000549,0.011598,0.005008,-0.038913,0.001162,-0.037844,45.3947,42.1053,87.5,13.4363
27,0.00469136,47.8958,47.8971,52.281,48.6424,0,0.911964,0.407908,2.448726,1.313417,0.505622,0.216214,0.00442,0.001977,0.00101,0.000542,0.011509,0.004922,-0.040201,-0.001784,-0.040343,50.6579,36.8421,87.5,15.29
28,0.00437896,47.829,47.6278,52.5616,48.3411,0,0.929019,0.408182,2.48964,1.317213,0.511029,0.218814,0.004502,0.001978,0.001027,0.000543,0.011632,0.004981,-0.042384,0.000891,-0.03777,32.9346,47.3684,80.303,10.8469
29,0.00406903,48.831,48.8591,53.1509,49.3721,0,0.935146,0.416058,2.514072,1.33691,0.508715,0.22022,0.004532,0.002016,0.001037,0.000551,0.01158,0.005013,-0.026817,0.002429,-0.033343,40.1316,47.3684,87.5,10.6508
30,0.00376279,47.2946,46.7987,52.4742,47.9196,0,0.91988,0.406317,2.489282,1.335104,0.494937,0.210894,0.004458,0.001969,0.001027,0.000551,0.011266,0.004801,-0.045994,0.000204,-0.040434,40.1316,47.3684,87.5,11.9571
31,0.00346146,52.9058,52.4605,53.5697,53.3835,0,0.180707,0.095392,0.251864,0.143237,1.364724,0.653543,0.000876,0.000462,0.000104,5.9e-05,0.031065,0.014876,0.14675,0.179193,-0.038491,57.8947,42.1053,100.0,14.9841
32,0.00316622,52.6386,52.2133,53.3761,53.083,0,0.169844,0.089081,0.238014,0.131061,1.311393,0.621008,0.000823,0.000432,9.8e-05,5.4e-05,0.029851,0.014136,0.153391,0.159188,-0.044625,34.8684,52.6316,87.5,9.0376
33,0.00287823,52.3714,52.1348,53.1616,52.8888,0,0.171406,0.08965,0.244106,0.133238,1.310968,0.619836,0.000831,0.000434,0.000101,5.5e-05,0.029841,0.014109,0.149281,0.15311,-0.047116,33.429,52.6316,86.0606,9.6629
34,0.00259864,52.3046,52.0351,52.9677,52.8072,0,0.165943,0.086306,0.23998,0.131605,1.284902,0.604261,0.000804,0.000418,9.9e-05,5.4e-05,0.029248,0.013755,0.153235,0.165575,-0.051509,40.1316,47.3684,87.5,11.3635
35,0.00232855,52.3046,51.9943,52.8744,52.7054,0,0.167668,0.086697,0.243878,0.134679,1.285372,0.604203,0.000813,0.00042,0.000101,5.6e-05,0.029258,0.013753,0.148123,0.162612,-0.053454,34.8684,52.6316,87.5,10.2573
36,0.00206901,52.6386,52.3937,53.1235,53.0239,0,0.165579,0.085474,0.257626,0.142971,1.287623,0.598339,0.000802,0.000414,0.000106,5.9e-05,0.02931,0.01362,0.150307,0.173229,-0.04943,34.8684,52.6316,87.5,9.77
37,0.00182107,51.169,50.948,51.6738,51.5987,0,0.166615,0.086202,0.260176,0.143842,1.279731,0.5965,0.000807,0.000418,0.000107,5.9e-05,0.02913,0.013578,0.150501,0.174998,-0.050168,31.0048,52.6316,83.6364,8.3126
38,0.00158569,51.837,51.6891,52.3821,52.2503,0,0.164476,0.084864,0.264591,0.146232,1.284613,0.595413,0.000797,0.000411,0.000109,6e-05,0.029241,0.013553,0.146677,0.188007,-0.050353,36.2679,47.3684,83.6364,9.9103
39,0.0013638,50.501,50.3858,51.2381,51.0095,0,0.166213,0.084822,0.266552,0.144772,1.27122,0.587148,0.000806,0.000411,0.00011,6e-05,0.028936,0.013365,0.143838,0.18479,-0.052427,35.3654,47.3684,82.7338,9.6652
40,0.00115629,50.835,50.7087,51.2816,51.315,0,0.164019,0.083747,0.258673,0.138554,1.280073,0.582434,0.000795,0.000406,0.000107,5.7e-05,0.029138,0.013258,0.143068,0.151005,-0.051936,25.7416,57.8947,83.6364,7.4817
41,0.00096396,50.835,50.8314,51.6363,51.3126,0,0.16618,0.084029,0.262043,0.14059,1.271277,0.582821,0.000805,0.000407,0.000108,5.8e-05,0.028938,0.013267,0.141243,0.151351,-0.05345,34.8684,52.6316,87.5,10.2538
