epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,10.955243820975284,1.9747140276941602,1.0955243820975284,10.0,57.11422845691383,55.74835636841817,57.524133989807844,56.628000279956225
1,11.623246492985972,4.5099847920708145,4.046693071374761,12.224886942278246,60.72144288577155,59.14384770578509,61.84914564396509,60.290052800502394
2,15.965263861055446,7.922662627417454,7.901891939853833,16.38575008670866,63.19305277221109,62.826106108126275,63.81417763573193,62.968543087569486
3,23.04609218436874,14.324329068262928,18.705121177910744,24.1544974377566,64.12825651302605,63.48789977592991,66.12372786435363,64.48708780066107
4,23.31329325317301,16.554808799778957,26.524001789467867,24.8375984846246,66.1990647962592,66.05294759030153,68.06994552841446,66.52984473786059
5,27.45490981963928,21.039741263144208,30.872276619270682,28.64340051932131,67.53507014028057,66.19793038088424,66.96381727336961,66.78712112957321
6,36.27254509018036,33.106658668822355,42.33625632557415,37.4849291897773,66.53306613226452,66.02511659302606,67.49840402637217,66.79715550231128
7,33.60053440213761,31.20737961696362,42.16081317646945,34.827432202714654,64.66265865063461,64.20707692075098,66.54240314410858,64.71595159103326
8,37.60855043420174,35.2625941476142,42.51226525037244,38.585460613594044,68.87107548430194,67.83196738342366,70.08193050522642,68.2056360029214
9,38.5437541750167,36.58318247438498,45.23462983503997,39.43358990951046,69.40547762191048,68.88442591514581,69.96378154949596,69.2232651726642
10,39.078156312625254,37.52219963824452,46.12400212943291,39.96030413152121,66.39946559786239,65.19939997858594,67.7318846935408,65.87860931593471
11,42.08416833667334,40.19773505749271,47.9325091509908,42.75449921675632,72.41148964595858,72.25898090920163,72.99626562652773,72.62434270058942
12,42.618570474281896,41.63323940522133,46.729634221854624,43.60017035047587,72.21108884435537,72.11774318447632,72.51989997663331,72.51121402616022
13,41.5497661990648,40.33934168501894,47.46792786669366,42.44770629580234,70.14028056112225,70.02605410457672,70.90519597236312,70.04417488690754
14,44.02137608550434,42.925183769791076,49.42960126003966,44.94972806964572,69.27187708750834,69.6614586690463,71.79766845194044,69.50005530096416
15,46.158984635938545,45.32972735684811,52.02986132668684,46.92664890252863,70.875083500334,70.950987172373,72.19737644473612,70.86243141116981
16,46.559786239144955,45.727274846739604,51.247327348708374,47.29531703582766,70.0066800267201,70.232717861945,73.19918088940742,70.63337192581466
17,44.62257849031396,43.672471875455756,50.11780992113817,45.60197491894043,71.5430861723447,71.19781825816027,72.08613047949622,71.29914001344103
18,45.15698062792251,44.637337848109524,50.67188992325602,45.97211766934834,70.34068136272545,70.46847574568406,72.26598740467118,70.6703992883378
19,44.7561790247161,44.13883792725245,51.64884273616569,45.7601355671288,73.74749498997996,73.24738591529709,74.11963408979749,73.48091297621178
20,47.69539078156313,46.89253393835255,51.660329148861386,48.36128996754618,69.93987975951904,69.81620772659367,72.07712711181192,69.85470463945677
21,46.158984635938545,46.16362020313628,51.735431905320276,47.026467011688425,71.00868403473613,70.82033467633926,72.07227190706982,70.72536228879315
22,45.62458249832999,44.83145717020797,50.9010824000286,46.08851650312208,68.26987307949231,68.5853509719379,71.91268401212561,68.75046251217755
23,43.35337341349366,42.331277546110094,50.67408552669059,44.2204117065704,71.47628590514363,71.36411653368265,72.52734321906205,71.43675741171202
