round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,vim_tiny,cifar10,0.03,0,base.patch_embed,0.998111
1,0,1,vim_tiny,cifar10,0.03,1,base.layers.0.mixer,0.808228
1,0,1,vim_tiny,cifar10,0.03,2,base.layers.1.mixer,0.982560
1,0,1,vim_tiny,cifar10,0.03,3,base.layers.2.mixer,0.969357
1,0,1,vim_tiny,cifar10,0.03,4,base.layers.3.mixer,0.950480
1,0,1,vim_tiny,cifar10,0.03,5,base.layers.4.mixer,0.850550
1,0,1,vim_tiny,cifar10,0.03,6,base.layers.5.mixer,0.925692
1,0,1,vim_tiny,cifar10,0.03,7,base.layers.6.mixer,0.891219
1,0,1,vim_tiny,cifar10,0.03,8,base.layers.7.mixer,0.989793
1,0,1,vim_tiny,cifar10,0.03,9,base.layers.8.mixer,0.985718
1,0,1,vim_tiny,cifar10,0.03,10,base.layers.9.mixer,0.986751
1,0,1,vim_tiny,cifar10,0.03,11,base.layers.10.mixer,0.987553
1,0,1,vim_tiny,cifar10,0.03,12,base.layers.11.mixer,0.991260
1,0,1,vim_tiny,cifar10,0.03,13,classifier,0.100023
1,0,2,vim_tiny,cifar10,0.03,0,base.patch_embed,0.998511
1,0,2,vim_tiny,cifar10,0.03,1,base.layers.0.mixer,0.876477
1,0,2,vim_tiny,cifar10,0.03,2,base.layers.1.mixer,0.935042
1,0,2,vim_tiny,cifar10,0.03,3,base.layers.2.mixer,0.915745
1,0,2,vim_tiny,cifar10,0.03,4,base.layers.3.mixer,0.946373
1,0,2,vim_tiny,cifar10,0.03,5,base.layers.4.mixer,0.952742
1,0,2,vim_tiny,cifar10,0.03,6,base.layers.5.mixer,0.919087
1,0,2,vim_tiny,cifar10,0.03,7,base.layers.6.mixer,0.934980
1,0,2,vim_tiny,cifar10,0.03,8,base.layers.7.mixer,0.992765
1,0,2,vim_tiny,cifar10,0.03,9,base.layers.8.mixer,0.992764
1,0,2,vim_tiny,cifar10,0.03,10,base.layers.9.mixer,0.985385
1,0,2,vim_tiny,cifar10,0.03,11,base.layers.10.mixer,0.986822
1,0,2,vim_tiny,cifar10,0.03,12,base.layers.11.mixer,0.995820
1,0,2,vim_tiny,cifar10,0.03,13,classifier,0.291614
1,0,3,vim_tiny,cifar10,0.03,0,base.patch_embed,0.999505
1,0,3,vim_tiny,cifar10,0.03,1,base.layers.0.mixer,0.831011
1,0,3,vim_tiny,cifar10,0.03,2,base.layers.1.mixer,0.953571
1,0,3,vim_tiny,cifar10,0.03,3,base.layers.2.mixer,0.977593
1,0,3,vim_tiny,cifar10,0.03,4,base.layers.3.mixer,0.948135
1,0,3,vim_tiny,cifar10,0.03,5,base.layers.4.mixer,0.977926
1,0,3,vim_tiny,cifar10,0.03,6,base.layers.5.mixer,0.991023
1,0,3,vim_tiny,cifar10,0.03,7,base.layers.6.mixer,0.968756
1,0,3,vim_tiny,cifar10,0.03,8,base.layers.7.mixer,0.993710
1,0,3,vim_tiny,cifar10,0.03,9,base.layers.8.mixer,0.972718
1,0,3,vim_tiny,cifar10,0.03,10,base.layers.9.mixer,0.981798
1,0,3,vim_tiny,cifar10,0.03,11,base.layers.10.mixer,0.973332
1,0,3,vim_tiny,cifar10,0.03,12,base.layers.11.mixer,0.991100
1,0,3,vim_tiny,cifar10,0.03,13,classifier,0.077923
1,0,4,vim_tiny,cifar10,0.03,0,base.patch_embed,0.980685
1,0,4,vim_tiny,cifar10,0.03,1,base.layers.0.mixer,0.945302
1,0,4,vim_tiny,cifar10,0.03,2,base.layers.1.mixer,0.903652
1,0,4,vim_tiny,cifar10,0.03,3,base.layers.2.mixer,0.928958
1,0,4,vim_tiny,cifar10,0.03,4,base.layers.3.mixer,0.928907
1,0,4,vim_tiny,cifar10,0.03,5,base.layers.4.mixer,0.820166
1,0,4,vim_tiny,cifar10,0.03,6,base.layers.5.mixer,0.987445
1,0,4,vim_tiny,cifar10,0.03,7,base.layers.6.mixer,0.958833
1,0,4,vim_tiny,cifar10,0.03,8,base.layers.7.mixer,0.978882
1,0,4,vim_tiny,cifar10,0.03,9,base.layers.8.mixer,0.947948
1,0,4,vim_tiny,cifar10,0.03,10,base.layers.9.mixer,0.973466
1,0,4,vim_tiny,cifar10,0.03,11,base.layers.10.mixer,0.908149
1,0,4,vim_tiny,cifar10,0.03,12,base.layers.11.mixer,0.945367
1,0,4,vim_tiny,cifar10,0.03,13,classifier,0.626296
1,0,5,vim_tiny,cifar10,0.03,0,base.patch_embed,0.999545
1,0,5,vim_tiny,cifar10,0.03,1,base.layers.0.mixer,0.943093
1,0,5,vim_tiny,cifar10,0.03,2,base.layers.1.mixer,0.880026
1,0,5,vim_tiny,cifar10,0.03,3,base.layers.2.mixer,0.932995
1,0,5,vim_tiny,cifar10,0.03,4,base.layers.3.mixer,0.950721
1,0,5,vim_tiny,cifar10,0.03,5,base.layers.4.mixer,0.900483
1,0,5,vim_tiny,cifar10,0.03,6,base.layers.5.mixer,0.940021
1,0,5,vim_tiny,cifar10,0.03,7,base.layers.6.mixer,0.929023
1,0,5,vim_tiny,cifar10,0.03,8,base.layers.7.mixer,0.968118
1,0,5,vim_tiny,cifar10,0.03,9,base.layers.8.mixer,0.970446
1,0,5,vim_tiny,cifar10,0.03,10,base.layers.9.mixer,0.978087
1,0,5,vim_tiny,cifar10,0.03,11,base.layers.10.mixer,0.981220
1,0,5,vim_tiny,cifar10,0.03,12,base.layers.11.mixer,0.972901
1,0,5,vim_tiny,cifar10,0.03,13,classifier,0.342476
1,0,6,vim_tiny,cifar10,0.03,0,base.patch_embed,0.983399
1,0,6,vim_tiny,cifar10,0.03,1,base.layers.0.mixer,0.956237
1,0,6,vim_tiny,cifar10,0.03,2,base.layers.1.mixer,0.967331
1,0,6,vim_tiny,cifar10,0.03,3,base.layers.2.mixer,0.969013
1,0,6,vim_tiny,cifar10,0.03,4,base.layers.3.mixer,0.949558
1,0,6,vim_tiny,cifar10,0.03,5,base.layers.4.mixer,0.866266
1,0,6,vim_tiny,cifar10,0.03,6,base.layers.5.mixer,0.989032
1,0,6,vim_tiny,cifar10,0.03,7,base.layers.6.mixer,0.973522
1,0,6,vim_tiny,cifar10,0.03,8,base.layers.7.mixer,0.984931
1,0,6,vim_tiny,cifar10,0.03,9,base.layers.8.mixer,0.974235
1,0,6,vim_tiny,cifar10,0.03,10,base.layers.9.mixer,0.986842
1,0,6,vim_tiny,cifar10,0.03,11,base.layers.10.mixer,0.970683
1,0,6,vim_tiny,cifar10,0.03,12,base.layers.11.mixer,0.989946
1,0,6,vim_tiny,cifar10,0.03,13,classifier,0.653839
1,0,7,vim_tiny,cifar10,0.03,0,base.patch_embed,0.975547
1,0,7,vim_tiny,cifar10,0.03,1,base.layers.0.mixer,0.855021
1,0,7,vim_tiny,cifar10,0.03,2,base.layers.1.mixer,0.943177
1,0,7,vim_tiny,cifar10,0.03,3,base.layers.2.mixer,0.927983
1,0,7,vim_tiny,cifar10,0.03,4,base.layers.3.mixer,0.747490
1,0,7,vim_tiny,cifar10,0.03,5,base.layers.4.mixer,0.844344
1,0,7,vim_tiny,cifar10,0.03,6,base.layers.5.mixer,0.954926
1,0,7,vim_tiny,cifar10,0.03,7,base.layers.6.mixer,0.962635
1,0,7,vim_tiny,cifar10,0.03,8,base.layers.7.mixer,0.981685
1,0,7,vim_tiny,cifar10,0.03,9,base.layers.8.mixer,0.956447
1,0,7,vim_tiny,cifar10,0.03,10,base.layers.9.mixer,0.989458
1,0,7,vim_tiny,cifar10,0.03,11,base.layers.10.mixer,0.969650
1,0,7,vim_tiny,cifar10,0.03,12,base.layers.11.mixer,0.970233
1,0,7,vim_tiny,cifar10,0.03,13,classifier,0.714749
1,0,8,vim_tiny,cifar10,0.03,0,base.patch_embed,0.997321
1,0,8,vim_tiny,cifar10,0.03,1,base.layers.0.mixer,0.960182
1,0,8,vim_tiny,cifar10,0.03,2,base.layers.1.mixer,0.906693
1,0,8,vim_tiny,cifar10,0.03,3,base.layers.2.mixer,0.962962
1,0,8,vim_tiny,cifar10,0.03,4,base.layers.3.mixer,0.944378
1,0,8,vim_tiny,cifar10,0.03,5,base.layers.4.mixer,0.908621
1,0,8,vim_tiny,cifar10,0.03,6,base.layers.5.mixer,0.928102
1,0,8,vim_tiny,cifar10,0.03,7,base.layers.6.mixer,0.948841
1,0,8,vim_tiny,cifar10,0.03,8,base.layers.7.mixer,0.984276
1,0,8,vim_tiny,cifar10,0.03,9,base.layers.8.mixer,0.976206
1,0,8,vim_tiny,cifar10,0.03,10,base.layers.9.mixer,0.964398
1,0,8,vim_tiny,cifar10,0.03,11,base.layers.10.mixer,0.978050
1,0,8,vim_tiny,cifar10,0.03,12,base.layers.11.mixer,0.955254
1,0,8,vim_tiny,cifar10,0.03,13,classifier,0.417708
1,0,9,vim_tiny,cifar10,0.03,0,base.patch_embed,0.992278
1,0,9,vim_tiny,cifar10,0.03,1,base.layers.0.mixer,0.935188
1,0,9,vim_tiny,cifar10,0.03,2,base.layers.1.mixer,0.927901
1,0,9,vim_tiny,cifar10,0.03,3,base.layers.2.mixer,0.953556
1,0,9,vim_tiny,cifar10,0.03,4,base.layers.3.mixer,0.947766
1,0,9,vim_tiny,cifar10,0.03,5,base.layers.4.mixer,0.933158
1,0,9,vim_tiny,cifar10,0.03,6,base.layers.5.mixer,0.986811
1,0,9,vim_tiny,cifar10,0.03,7,base.layers.6.mixer,0.975088
1,0,9,vim_tiny,cifar10,0.03,8,base.layers.7.mixer,0.991616
1,0,9,vim_tiny,cifar10,0.03,9,base.layers.8.mixer,0.979409
1,0,9,vim_tiny,cifar10,0.03,10,base.layers.9.mixer,0.983552
1,0,9,vim_tiny,cifar10,0.03,11,base.layers.10.mixer,0.975985
1,0,9,vim_tiny,cifar10,0.03,12,base.layers.11.mixer,0.987564
1,0,9,vim_tiny,cifar10,0.03,13,classifier,0.750247
1,1,2,vim_tiny,cifar10,0.03,0,base.patch_embed,0.999679
1,1,2,vim_tiny,cifar10,0.03,1,base.layers.0.mixer,0.959242
1,1,2,vim_tiny,cifar10,0.03,2,base.layers.1.mixer,0.931368
1,1,2,vim_tiny,cifar10,0.03,3,base.layers.2.mixer,0.935953
1,1,2,vim_tiny,cifar10,0.03,4,base.layers.3.mixer,0.967010
1,1,2,vim_tiny,cifar10,0.03,5,base.layers.4.mixer,0.909197
1,1,2,vim_tiny,cifar10,0.03,6,base.layers.5.mixer,0.980699
1,1,2,vim_tiny,cifar10,0.03,7,base.layers.6.mixer,0.986392
1,1,2,vim_tiny,cifar10,0.03,8,base.layers.7.mixer,0.995799
1,1,2,vim_tiny,cifar10,0.03,9,base.layers.8.mixer,0.975731
1,1,2,vim_tiny,cifar10,0.03,10,base.layers.9.mixer,0.982899
1,1,2,vim_tiny,cifar10,0.03,11,base.layers.10.mixer,0.990169
1,1,2,vim_tiny,cifar10,0.03,12,base.layers.11.mixer,0.994658
1,1,2,vim_tiny,cifar10,0.03,13,classifier,0.510755
1,1,3,vim_tiny,cifar10,0.03,0,base.patch_embed,0.999469
1,1,3,vim_tiny,cifar10,0.03,1,base.layers.0.mixer,0.940562
1,1,3,vim_tiny,cifar10,0.03,2,base.layers.1.mixer,0.929771
1,1,3,vim_tiny,cifar10,0.03,3,base.layers.2.mixer,0.947726
