round,client_id,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,vim_tiny,cifar10,0.1,0,base.patch_embed,0.996941
1,0,vim_tiny,cifar10,0.1,1,base.layers.0.mixer,0.989126
1,0,vim_tiny,cifar10,0.1,2,base.layers.1.mixer,0.973005
1,0,vim_tiny,cifar10,0.1,3,base.layers.2.mixer,0.988165
1,0,vim_tiny,cifar10,0.1,4,base.layers.3.mixer,0.950728
1,0,vim_tiny,cifar10,0.1,5,base.layers.4.mixer,0.946547
1,0,vim_tiny,cifar10,0.1,6,base.layers.5.mixer,0.934023
1,0,vim_tiny,cifar10,0.1,7,base.layers.6.mixer,0.930894
1,0,vim_tiny,cifar10,0.1,8,base.layers.7.mixer,0.930486
1,0,vim_tiny,cifar10,0.1,9,base.layers.8.mixer,0.931741
1,0,vim_tiny,cifar10,0.1,10,base.layers.9.mixer,0.953006
1,0,vim_tiny,cifar10,0.1,11,base.layers.10.mixer,0.935833
1,0,vim_tiny,cifar10,0.1,12,base.layers.11.mixer,0.944555
1,0,vim_tiny,cifar10,0.1,13,classifier,0.352980
1,4,vim_tiny,cifar10,0.1,0,base.patch_embed,0.999038
1,4,vim_tiny,cifar10,0.1,1,base.layers.0.mixer,0.985359
1,4,vim_tiny,cifar10,0.1,2,base.layers.1.mixer,0.946949
1,4,vim_tiny,cifar10,0.1,3,base.layers.2.mixer,0.974883
1,4,vim_tiny,cifar10,0.1,4,base.layers.3.mixer,0.986738
1,4,vim_tiny,cifar10,0.1,5,base.layers.4.mixer,0.947421
1,4,vim_tiny,cifar10,0.1,6,base.layers.5.mixer,0.959215
1,4,vim_tiny,cifar10,0.1,7,base.layers.6.mixer,0.931737
1,4,vim_tiny,cifar10,0.1,8,base.layers.7.mixer,0.922200
1,4,vim_tiny,cifar10,0.1,9,base.layers.8.mixer,0.949639
1,4,vim_tiny,cifar10,0.1,10,base.layers.9.mixer,0.960802
1,4,vim_tiny,cifar10,0.1,11,base.layers.10.mixer,0.950322
1,4,vim_tiny,cifar10,0.1,12,base.layers.11.mixer,0.961924
1,4,vim_tiny,cifar10,0.1,13,classifier,0.615570
1,1,vim_tiny,cifar10,0.1,0,base.patch_embed,0.998692
1,1,vim_tiny,cifar10,0.1,1,base.layers.0.mixer,0.974687
1,1,vim_tiny,cifar10,0.1,2,base.layers.1.mixer,0.917062
1,1,vim_tiny,cifar10,0.1,3,base.layers.2.mixer,0.973915
1,1,vim_tiny,cifar10,0.1,4,base.layers.3.mixer,0.978428
1,1,vim_tiny,cifar10,0.1,5,base.layers.4.mixer,0.955815
1,1,vim_tiny,cifar10,0.1,6,base.layers.5.mixer,0.947611
1,1,vim_tiny,cifar10,0.1,7,base.layers.6.mixer,0.956340
1,1,vim_tiny,cifar10,0.1,8,base.layers.7.mixer,0.928748
1,1,vim_tiny,cifar10,0.1,9,base.layers.8.mixer,0.925469
1,1,vim_tiny,cifar10,0.1,10,base.layers.9.mixer,0.908802
1,1,vim_tiny,cifar10,0.1,11,base.layers.10.mixer,0.916399
1,1,vim_tiny,cifar10,0.1,12,base.layers.11.mixer,0.939482
