round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,13.9613,7.3402,7.2157,15.1919,0,0.149207,0.11942,2.050254,0.881512,0.637095,0.268562,0.002987,0.00239,0.001116,0.00048,0.014502,0.006113,0.397215,0.091031,0.046692,69.7842,0.0,69.7842,17.9656
2,0.00999014,14.4289,6.8336,15.7828,14.8535,0,0.139556,0.10572,1.190658,0.578978,0.809439,0.33119,0.002793,0.002116,0.000648,0.000315,0.018425,0.007539,0.512214,0.059497,0.043863,66.9065,0.0,66.9065,19.3818
3,0.00996061,13.9613,10.7724,14.8577,15.053,0,0.155028,0.110323,1.18094,0.529013,1.057328,0.521343,0.003103,0.002208,0.000643,0.000288,0.024068,0.011867,0.5687,0.162713,0.141511,65.4676,0.0,65.4676,17.0717
4,0.00991152,19.2385,15.5427,24.2178,19.5071,0,0.155287,0.112599,0.996187,0.566991,0.903347,0.439685,0.003108,0.002254,0.000542,0.000309,0.020562,0.010008,0.658176,0.073348,0.009963,38.3094,25.0,63.3094,11.8115
5,0.00984307,15.7649,10.8062,21.9581,17.3369,0,0.132879,0.08674,1.052951,0.487625,0.971654,0.462456,0.00266,0.001736,0.000573,0.000265,0.022117,0.010527,0.558133,0.124248,0.04565,69.0647,0.0,69.0647,20.4691
6,0.00975553,22.7789,19.6495,26.487,22.7896,0,0.133034,0.101432,1.024347,0.538894,0.876197,0.379593,0.002663,0.00203,0.000558,0.000293,0.019944,0.008641,0.637088,0.065563,-0.028308,55.8453,12.5,68.3453,14.7676
7,0.00964923,20.3741,14.9537,22.1494,21.6852,0,0.113068,0.086221,1.103983,0.515305,0.902503,0.399883,0.002263,0.001726,0.000601,0.000281,0.020543,0.009102,0.506923,0.115439,0.006217,31.5032,36.8421,68.3453,11.5563
8,0.00952461,23.9145,20.8521,33.4396,24.4877,0,0.123889,0.105481,1.046561,0.544545,0.835154,0.360319,0.00248,0.002111,0.00057,0.000296,0.01901,0.008202,0.625203,0.052647,-0.048791,33.0036,37.5,70.5036,9.1955
9,0.00938215,22.3781,18.2274,26.6902,23.9721,0,0.098369,0.063203,1.094965,0.522697,0.836883,0.356336,0.001969,0.001265,0.000596,0.000285,0.01905,0.008111,0.5355,0.08391,-0.022844,46.9424,25.0,71.9424,11.5877
10,0.00922242,26.5865,24.0205,31.183,27.3271,0,0.0941,0.057604,1.113338,0.560227,0.800084,0.330859,0.001884,0.001153,0.000606,0.000305,0.018212,0.007531,0.491408,0.042197,-0.043797,46.223,25.0,71.223,12.6487
11,0.00904604,26.3861,22.3277,34.6082,27.7486,0,0.080036,0.041252,1.135677,0.537801,0.75709,0.322104,0.001602,0.000826,0.000618,0.000293,0.017233,0.007332,0.354761,0.05007,-0.038987,48.3813,25.0,73.3813,12.7833
12,0.00885371,26.9205,23.2644,30.767,27.9955,0,0.091273,0.046027,1.135456,0.548198,0.717358,0.296311,0.001827,0.000921,0.000618,0.000298,0.016329,0.006745,0.279524,0.024887,-0.047308,43.4848,25.0,68.4848,13.5878
13,0.0086462,27.2545,23.8833,30.9325,28.6745,0,0.084682,0.039397,1.19014,0.564044,0.672136,0.282725,0.001695,0.000789,0.000648,0.000307,0.0153,0.006436,0.252446,0.034384,-0.042894,47.6619,25.0,72.6619,12.9567
14,0.00842431,28.7909,25.9901,31.0622,29.9702,0,0.094283,0.04474,1.225444,0.58984,0.657592,0.277157,0.001887,0.000896,0.000667,0.000321,0.014968,0.006309,0.146952,0.015128,-0.045977,45.5036,25.0,70.5036,13.5791
15,0.00818893,30.5945,28.3584,36.0328,31.7605,0,0.095466,0.044166,1.258877,0.585905,0.641799,0.270556,0.001911,0.000884,0.000685,0.000319,0.014609,0.006159,0.225496,0.029148,-0.043256,30.1259,37.5,67.6259,8.9786
16,0.00794099,29.7261,26.9186,36.577,30.7888,0,0.095884,0.048113,1.298562,0.651009,0.606216,0.256233,0.001919,0.000963,0.000707,0.000354,0.013799,0.005833,0.126435,0.012947,-0.047404,35.1003,36.8421,71.9424,11.8403
17,0.00768145,30.8617,28.9561,37.7943,31.7944,0,0.102158,0.052604,1.296488,0.618521,0.584155,0.24614,0.002045,0.001053,0.000706,0.000337,0.013297,0.005603,0.150065,0.020699,-0.046833,37.978,36.8421,74.8201,10.2322
18,0.00741136,30.5277,28.6906,34.1449,31.5699,0,0.099528,0.050069,1.297639,0.621788,0.573835,0.243443,0.001992,0.001002,0.000707,0.000339,0.013062,0.005541,0.108289,0.009973,-0.041346,32.9421,36.8421,69.7842,10.1573
19,0.00713177,32.3981,30.4927,36.4078,33.263,0,0.107066,0.054678,1.370672,0.646598,0.560328,0.234973,0.002143,0.001094,0.000746,0.000352,0.012755,0.005349,0.10821,0.01378,-0.043286,44.68,31.5789,76.259,13.2569
20,0.00684378,32.7989,30.8654,38.0163,33.8161,0,0.102402,0.054091,1.364882,0.658451,0.542892,0.231342,0.00205,0.001083,0.000743,0.000359,0.012358,0.005266,0.121517,0.009705,-0.0539,37.978,36.8421,74.8201,10.4213
21,0.00654854,33.8677,31.992,38.6439,34.9201,0,0.10689,0.056231,1.389973,0.668692,0.537885,0.228366,0.00214,0.001126,0.000757,0.000364,0.012244,0.005198,0.099315,0.011074,-0.044043,38.759,37.5,76.259,12.0974
22,0.00624721,32.4649,30.7504,36.8382,33.5327,0,0.10793,0.056737,1.451278,0.707436,0.529711,0.226079,0.00216,0.001136,0.00079,0.000385,0.012058,0.005146,0.090439,0.012091,-0.050336,31.8341,42.1053,73.9394,9.2659
23,0.00594097,34.5357,32.448,37.6313,35.4939,0,0.110482,0.058238,1.450586,0.706898,0.512847,0.217966,0.002211,0.001166,0.00079,0.000385,0.011674,0.004961,0.092282,0.0089,-0.045789,24.7528,47.3684,72.1212,8.4529
