epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,8.550434201736808,4.01651110034817,5.200097321021173,8.62460464924233,51.63660654642619,50.56902008331286,51.37448044132874,51.69800949004808
1,13.961255845023379,7.340245322515735,7.215699378732945,15.191906264821808,50.50100200400801,47.422620371134805,50.262495975005685,50.791902221169515
2,14.428857715430862,6.833577358800513,15.782803166233887,14.853528688311297,52.638610554442224,49.29952414363273,52.56417120092792,52.07785229765472
3,13.961255845023379,10.772406519688507,14.857718182349844,15.053011918509016,52.97261189044756,51.15304986031607,54.86350119478895,53.004366338428675
4,19.238476953907817,15.542685057214847,24.217769583273796,19.507085855198845,55.778223112892455,54.544774640731816,57.34903581393051,56.15686651676185
5,15.764863059452239,10.80623201955401,21.958060334134952,17.336866591469967,57.11422845691383,56.28996273990453,57.9182578698496,56.84056075220377
6,22.778891115564463,19.64947441546496,26.4869974380647,22.789584865167214,58.717434869739485,58.26892786444924,59.746038161559824,58.435290886870696
7,20.374081496325985,14.953679622763156,22.14941369250587,21.685169406011877,61.05544422177689,59.86479844194624,60.35903628635667,60.60639193248565
8,23.91449565798263,20.852149918675753,33.43958577273265,24.487743203959877,58.85103540414162,58.215385211413974,59.557960052516826,58.92680396574042
9,22.37808951235805,18.227403037875774,26.690197222574763,23.972145469316114,60.85504342017368,60.076594988927944,60.21121835625405,60.58139836092206
10,26.586506346025384,24.020490436631313,31.18299136747161,27.32708222157686,60.25384101536406,59.08118092332636,59.8814997140303,60.09815647668664
11,26.38610554442218,22.327744692183867,34.60821906128143,27.748601126244232,60.387441549766194,59.17157697157948,59.35188646738142,60.16142871279274
12,26.920507682030724,23.264366657744244,30.766955034852305,27.99551712980775,60.18704074816299,59.60080561106367,59.605848655797345,60.18948404160579
13,27.25450901803607,23.883326512321123,30.932466425166243,28.67445791133319,60.387441549766194,60.12033741983339,61.29489245080036,60.497334685109564
14,28.790915163660653,25.990086261317835,31.062181708642438,29.970187885485856,60.5878423513694,60.1105947853942,60.02442225671525,60.53509960834366
15,30.59452237808951,28.358434613753143,36.0327824076801,31.760476240994308,61.857047428189716,61.40277505359661,62.63298781980242,61.67045825874221
16,29.72611890447562,26.918556075310896,36.57701455893202,30.78877298415275,61.72344689378757,61.24980749502994,61.657560005074075,61.76708968542014
17,30.861723446893784,28.95611317543191,37.79431996379643,31.794360675507395,60.18704074816299,59.64682294749998,59.61354497755483,60.06312939432178
18,30.527722110888444,28.690571715508423,34.14487090304249,31.56994394210701,62.458249832999336,61.70622548119719,62.25654413133645,62.275117973106966
19,32.39812959251837,30.492725640269736,36.40777279703042,33.26296118992099,62.525050100200396,61.53422406968414,61.77193944101676,62.17248032623039
20,32.79893119572478,30.865382405529758,38.01630564844078,33.81608456737087,63.126252505010015,62.16678864291946,61.983410991317754,62.79425678014239
21,33.86773547094188,31.991974949338942,38.64388420556396,34.92005999932216,63.727454909819635,62.539698829083726,63.09803302318091,63.018407852947945
22,32.46492985971944,30.75036023016103,36.83817983911527,33.53273517781303,62.525050100200396,62.032617787635004,62.63351049822228,62.32162651672382
23,34.535738142952574,32.447998897212436,37.63127609885336,35.49385772975437,63.660654642618574,62.95387100617222,63.16088619770661,63.43644083069797
24,32.73213092852371,31.004349591752984,38.33391701726764,33.840221771666556,61.99064796259185,61.31124983008799,61.701139532992286,61.849943486257565
25,34.46893787575151,32.592409053651785,37.840734788698846,35.44686340025679,65.39746158984636,64.7661429512335,64.77690647509786,65.11706172013243
26,33.734134936539746,31.487491518235068,36.105762167001885,34.60228268859243,64.06145624582498,63.94053721723567,64.75927726047581,64.0866943431735
27,34.60253841015364,32.62909907149238,37.44619419754828,35.67113774061674,64.66265865063461,63.091312694826044,63.507283943327394,64.12473115945568
