epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,10.955243820975284,1.9747140276941602,1.0955243820975284,10.0,58.04943219772879,56.62264433397648,58.53458029874938,57.59502632157955
1,25.250501002004004,20.563417289445493,26.741627326338513,25.37075060838896,61.523046092184366,60.21295250921329,61.520379102390365,60.93292104871273
2,26.38610554442218,21.82720003604718,27.51915289212509,26.34055318169095,60.78824315297261,60.12524627623526,60.87269976652183,60.41128758531481
3,25.58450233800935,21.290253399773142,28.823375147008978,26.78835941120506,61.32264529058116,60.60447731647876,62.22325675264384,61.34377714479823
4,27.321309285237138,23.128928561228886,28.210674278394343,27.973798103962782,59.318637274549104,59.47937755478333,61.611234064884414,59.53751257401541
5,26.586506346025384,23.011769789080404,32.89770732087644,27.87126555413042,61.72344689378757,61.73141243742237,62.86987575232641,61.928169859403795
6,28.122912491649966,25.081186384804305,31.7732034743737,29.096196158216454,62.32464929859719,61.53400788919382,62.12576807149226,61.84862199043442
7,27.722110888443552,24.243045857329317,30.246245604150058,28.854906475992394,62.79225116900468,62.723755445025816,64.2924830942902,62.764508789854055
8,28.45691382765531,25.076979848091383,35.73054581700068,29.446649388777104,63.727454909819635,63.619394354858485,64.60212638689345,63.493952956116736
9,29.124916499666,25.233972568057066,36.93354306947255,30.314772191282056,66.5998663994656,66.11287330538312,66.9635588346489,66.3277746838848
10,29.926519706078825,26.163574414863728,36.57541108317248,30.949048144654164,63.727454909819635,63.65651755296524,64.68274971202963,63.8132309934379
11,29.72611890447562,26.8358268992836,35.34666947372955,30.756774519240786,64.06145624582498,63.836389022653236,65.46727313733011,64.15950154350345
12,29.124916499666,26.681974878280425,39.6737225781142,30.341073222481185,62.725450901803605,62.82507441928627,64.60914519449538,63.00086362879457
13,28.523714094856377,25.62232786764743,35.70778087605161,29.972465918358203,65.53106212424849,65.12686021957684,65.85586437140395,65.4559223517509
14,28.45691382765531,25.303307719568007,36.196420120114894,29.823054464276577,63.92785571142284,63.90578699101932,64.87556920980764,64.10576774308173
15,29.859719438877757,27.242643809143928,36.64347864483701,31.155304219917003,63.99465597862392,63.773089417229414,65.17021994643964,64.2017689066715
16,30.460921843687377,28.414888070913534,36.82191036847515,31.67330916037593,66.39946559786239,66.28860653224656,66.7314243554023,66.27582033588051
17,32.331329325317306,28.961959164946183,38.97999621080362,33.503752605108325,66.39946559786239,66.03817400133998,66.7719622503999,66.20170422099838
18,30.995323981295925,28.788722172949992,40.34966630338771,32.279973215352435,66.06546426185704,65.0620826542597,66.0341619480735,65.48321250052498
19,30.26052104208417,27.55613454872122,38.57640828697191,31.60792472378981,66.5998663994656,65.84200898520197,66.88413019106845,66.22065034200017
20,31.93052772211089,29.590560516521858,39.72926472926132,33.140933360614966,65.7314629258517,65.75332151905225,66.95379801101731,65.8425486397607
21,31.529726118904478,29.10185574986084,37.22417087994924,32.698660458443825,66.1990647962592,65.69042306733509,66.24083114409383,66.12899044074562
22,31.93052772211089,29.83722804858016,38.41944199968337,33.05865841696115,63.326653306613224,63.37866675749984,64.70062852923688,63.40581406834098
23,31.93052772211089,29.953554630867764,38.69049377624426,33.13961500307256,66.26586506346025,65.93005715968411,66.65094868791094,66.08566880840418
24,33.734134936539746,31.510377560863787,39.00603788708729,34.65303920469633,66.1990647962592,66.17436292092884,67.29149455273874,66.36594410791494
25,31.730126920507683,29.580621555337004,39.70049519459532,33.09496075843345,68.00267201068804,68.13504086390786,68.79286217706021,68.17388112935085
26,31.39612558450234,29.15636670022629,37.97704324763808,32.706624862551124,68.20307281229125,67.86887531490335,68.33669433715015,68.00446621447361
27,33.53373413493654,32.284566783654505,38.91734856222994,34.67771879918102,68.80427521710087,68.62884634827985,69.07997277717764,68.74250258748891
28,34.736138944555776,33.94472280688994,39.437307080731216,35.680433217840005,67.8690714762859,67.52846202275113,68.31142738787489,67.65286825771169
29,35.337341349365396,34.390854364913416,41.69870467290767,36.44822432526906,65.19706078824315,65.17340908076186,65.83650645196386,65.46496733572751
30,33.4001336005344,31.819368276002297,40.15399564546725,34.7503668361859,66.26586506346025,66.4711206810908,67.7633477998733,66.32487536776821
31,34.06813627254509,32.841638460511035,40.492910399607936,35.270077114201506,68.33667334669339,68.28430042962712,68.93098577393759,68.37832656468376
32,35.671342685370746,34.73723315793437,42.2425935881374,36.815442058765605,67.00066800267201,66.78584932313942,67.66751934346196,66.94039075643451
33,36.138944555778224,35.0262277237172,42.02251176160572,37.31566906886966,67.93587174348697,67.646055088386,68.06521033083573,67.8232123811518
34,35.07014028056113,33.400043665975986,40.58500338426193,36.24622200496479,66.73346693386773,66.76608574517229,67.17282990193199,66.73602016141811
35,34.60253841015364,32.79909617990937,40.61353811177607,35.724912539860135,66.53306613226452,66.68867254308998,67.43213709127976,66.61605313876798
36,34.46893787575151,32.8863872408984,40.90788715308393,35.658097685952505,67.06746826987307,67.00094941765278,67.82609246093514,67.08379642741184
37,37.07414829659319,35.83434282102653,41.621708410627285,38.13131162463131,67.33466933867736,67.44297763399815,68.0352700221516,67.50930373575285
38,37.00734802939212,35.47995464610025,41.39944922561171,38.070008838542115,68.93787575150301,68.9788052961522,69.74011738816135,68.96253807359565
39,34.535738142952574,33.31573575129576,38.474535323434786,35.7997152695036,66.73346693386773,66.61256937433059,67.08038826139828,66.81221596721142
40,34.60253841015364,33.200977508353986,39.65677003350105,35.91728412817961,66.33266533066133,66.28714038726494,66.76477856996028,66.45174722967423
41,38.142952571810284,37.1300447009995,41.98215649844664,39.11654991340633,66.66666666666666,66.48488337394014,66.95604330887923,66.79241560041834
42,38.142952571810284,37.07675178743628,42.913566523594,39.18220517663955,68.80427521710087,68.53368957915413,68.82161618005182,68.7454732086964
43,37.34134936539746,35.94839231425063,40.74054723760487,38.45591056034666,67.6686706746827,67.6289146661589,68.08155859950207,67.8993581209241
44,37.27454909819639,35.91204982930331,41.299820005252755,38.40927222846336,69.13827655310621,69.07602335098846,69.66207083362586,69.3260129805316
45,37.20774883099532,36.23240508156431,41.419594817666464,38.213725124295415,67.06746826987307,67.01921133813715,67.73048463316681,67.1509056169749
46,37.94255177020708,36.71769772112565,42.07393165966928,38.91400029089876,69.00467601870407,68.63536096749155,69.14462078353483,68.83535104354199
47,38.5437541750167,37.48441368721836,42.157803204263544,39.538856478385945,67.26786907147628,66.85459986898461,67.34807006915045,67.20451324225635
48,38.07615230460922,36.91981478726056,42.48544794106069,39.08760667005981,69.8062792251169,69.75607525085937,70.20771859241742,69.82617340562216
49,38.41015364061457,37.170493039584024,42.057167991144595,39.35463976735404,68.00267201068804,67.78007484186952,68.32635868172937,67.9230224290983
