round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,14.0281,7.3903,7.2299,15.2585,0,0.149084,0.11935,2.050409,0.881586,0.608494,0.252486,0.002984,0.002389,0.001116,0.00048,0.013851,0.005747,0.397523,0.090983,0.04717,69.7842,0.0,69.7842,17.9887
2,0.00999014,14.4957,6.9882,12.8945,14.9232,0,0.139234,0.105634,1.191213,0.578692,0.763795,0.300448,0.002787,0.002114,0.000649,0.000315,0.017386,0.006839,0.508525,0.059045,0.041447,66.9065,0.0,66.9065,19.3954
3,0.00996061,15.7649,12.5083,15.1268,16.8039,0,0.152417,0.110439,1.157605,0.519739,0.969208,0.47276,0.003051,0.002211,0.00063,0.000283,0.022062,0.010761,0.553003,0.152744,0.116381,66.1871,0.0,66.1871,17.1854
4,0.00991152,19.1049,15.0882,27.9448,19.7249,0,0.151827,0.112046,0.979581,0.558297,0.840981,0.381472,0.003039,0.002243,0.000533,0.000304,0.019143,0.008683,0.647812,0.071282,-0.002106,37.1212,25.0,62.1212,11.9482
5,0.00984307,16.3661,11.9675,19.7586,17.8132,0,0.131957,0.087096,1.017127,0.48051,0.901079,0.419695,0.002641,0.001743,0.000554,0.000262,0.020511,0.009553,0.555779,0.114246,0.021216,67.6259,0.0,67.6259,19.4549
6,0.00975553,23.4469,20.6579,29.6495,24.1082,0,0.130621,0.098983,0.999667,0.527652,0.819311,0.334236,0.002615,0.001981,0.000544,0.000287,0.01865,0.007608,0.626701,0.065119,-0.04327,42.6259,25.0,67.6259,11.9104
7,0.00964923,21.6433,17.1248,26.0512,22.8424,0,0.110184,0.085788,1.049669,0.508189,0.831308,0.358038,0.002205,0.001717,0.000572,0.000277,0.018923,0.00815,0.515632,0.086919,-0.023018,30.1259,37.5,67.6259,10.1354
8,0.00952461,24.6493,21.367,29.3633,25.5575,0,0.11728,0.095944,1.04887,0.537878,0.784946,0.316741,0.002347,0.00192,0.000571,0.000293,0.017867,0.00721,0.598036,0.055686,-0.053416,30.8453,37.5,68.3453,8.931
9,0.00938215,24.9833,21.2475,34.1924,26.3804,0,0.095232,0.063014,1.080413,0.530636,0.78993,0.328425,0.001906,0.001261,0.000588,0.000289,0.017981,0.007476,0.539879,0.067498,-0.038342,48.3813,25.0,73.3813,11.7971
10,0.00922242,27.3213,24.3396,32.3237,28.1881,0,0.089196,0.055872,1.125009,0.560913,0.758476,0.309704,0.001785,0.001118,0.000613,0.000305,0.017265,0.00705,0.444695,0.043744,-0.045118,47.6619,25.0,72.6619,13.0173
11,0.00904604,26.7201,23.1444,31.0221,27.8479,0,0.07916,0.042896,1.13825,0.54874,0.725414,0.303197,0.001584,0.000859,0.00062,0.000299,0.016512,0.006902,0.311793,0.038367,-0.042746,48.3813,25.0,73.3813,13.0903
12,0.00885371,27.9893,24.4386,32.5143,29.0971,0,0.086662,0.045431,1.17267,0.560827,0.677323,0.279188,0.001735,0.000909,0.000638,0.000305,0.015418,0.006355,0.247707,0.030255,-0.046158,44.0647,25.0,69.0647,12.9851
13,0.0086462,28.6573,26.184,31.2352,29.81,0,0.081835,0.039699,1.213835,0.584056,0.644635,0.267071,0.001638,0.000795,0.000661,0.000318,0.014674,0.006079,0.226044,0.026214,-0.046782,47.6619,25.0,72.6619,12.5219
14,0.00842431,29.5925,26.9674,32.7321,30.7234,0,0.08901,0.040692,1.289607,0.625309,0.614718,0.258168,0.001782,0.000814,0.000702,0.00034,0.013993,0.005877,0.135673,0.022055,-0.046447,49.8201,25.0,74.8201,14.7383
15,0.00818893,30.1269,27.6424,34.2389,31.0911,0,0.089985,0.041246,1.29639,0.619573,0.611784,0.254361,0.001801,0.000826,0.000706,0.000337,0.013926,0.00579,0.18738,0.016289,-0.039006,46.223,25.0,71.223,13.1344
16,0.00794099,30.3941,27.4661,33.5967,31.5098,0,0.089771,0.042313,1.333013,0.63873,0.567165,0.239145,0.001797,0.000847,0.000726,0.000348,0.01291,0.005444,0.110173,0.019333,-0.042237,35.8333,37.5,73.3333,11.7762
17,0.00768145,31.5297,29.4548,40.3821,32.3772,0,0.101312,0.053535,1.466295,0.804255,0.561359,0.232142,0.002028,0.001072,0.000798,0.000438,0.012778,0.005284,0.118608,0.015501,-0.047804,39.4169,36.8421,76.259,12.4844
18,0.00741136,31.3293,29.6209,35.6091,32.321,0,0.093668,0.043388,1.385675,0.677202,0.536911,0.225795,0.001875,0.000868,0.000754,0.000369,0.012221,0.00514,0.101757,0.008848,-0.042602,37.3201,37.5,74.8201,10.5303
19,0.00713177,31.7301,29.5447,35.1576,32.646,0,0.099397,0.04687,1.436029,0.680836,0.529322,0.218962,0.00199,0.000938,0.000782,0.000371,0.012049,0.004984,0.113276,0.015839,-0.042196,50.5396,25.0,75.5396,13.9275
20,0.00684378,33.1997,31.2844,35.7273,34.1469,0,0.096218,0.046926,1.463996,0.719103,0.512135,0.214963,0.001926,0.000939,0.000797,0.000392,0.011658,0.004893,0.112707,0.010015,-0.053163,26.7323,47.3684,74.1007,7.7225
21,0.00654854,34.8697,32.5341,39.6084,35.8839,0,0.09662,0.046505,1.470958,0.71751,0.505205,0.212225,0.001934,0.000931,0.000801,0.000391,0.0115,0.004831,0.101316,0.007961,-0.039132,27.6783,50.7389,78.4173,8.4867
22,0.00624721,32.1977,29.8686,36.3522,33.3201,0,0.10023,0.048714,1.51635,0.746383,0.498442,0.210694,0.002006,0.000975,0.000826,0.000406,0.011346,0.004796,0.105463,0.008755,-0.054542,22.3684,52.6316,75.0,7.4553
