round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,12.1576,3.8016,2.455,11.2948,0,0.158231,0.123668,2.624506,1.11408,0.616252,0.261813,0.003167,0.002475,0.001429,0.000607,0.014027,0.00596,0.281109,0.034026,0.016983,70.5036,0.0,70.5036,17.8269
2,0.00999014,13.4937,5.1791,5.1003,14.0387,0,0.150931,0.126122,1.252394,0.65266,0.844223,0.385181,0.003021,0.002524,0.000682,0.000355,0.019217,0.008768,0.461155,0.07169,0.080806,69.0647,0.0,69.0647,20.508
3,0.00996061,16.9673,11.0999,9.7073,17.4707,0,0.197642,0.117668,1.170746,0.522059,1.147355,0.66226,0.003956,0.002355,0.000637,0.000284,0.026117,0.015075,0.62442,0.178993,0.153643,64.7482,0.0,64.7482,19.2082
4,0.00991152,17.9025,9.2274,11.871,17.6783,0,0.181909,0.141468,0.910002,0.567555,0.933894,0.535688,0.003641,0.002832,0.000495,0.000309,0.021258,0.012194,0.668633,0.089377,0.029821,30.1259,37.5,67.6259,9.2226
5,0.00984307,15.0301,9.2929,10.6145,16.5776,0,0.199305,0.126948,0.926106,0.449106,1.12169,0.582498,0.003989,0.002541,0.000504,0.000245,0.025533,0.013259,0.71002,0.134578,0.123717,69.7842,0.0,69.7842,19.1012
6,0.00975553,19.4389,14.7019,21.3979,19.7592,0,0.157448,0.124194,0.899595,0.463837,0.923658,0.419615,0.003151,0.002486,0.00049,0.000253,0.021025,0.009552,0.700732,0.105245,-0.028832,58.0036,12.5,70.5036,15.2368
7,0.00964923,18.9713,14.0219,23.2632,20.3993,0,0.13622,0.07882,0.948952,0.434997,0.959907,0.428262,0.002727,0.001578,0.000517,0.000237,0.02185,0.009748,0.618897,0.09554,0.011286,71.223,0.0,71.223,19.1899
8,0.00952461,23.3801,18.1536,23.5895,24.4333,0,0.077101,0.040472,0.925314,0.451523,0.839088,0.368291,0.001543,0.00081,0.000504,0.000246,0.0191,0.008383,0.518045,0.055057,-0.047211,41.3101,26.3158,67.6259,12.9214
9,0.00938215,21.6433,16.5792,30.541,23.1096,0,0.073455,0.038673,0.959043,0.443013,0.79219,0.346959,0.00147,0.000774,0.000522,0.000241,0.018032,0.007898,0.384167,0.064662,-0.039247,43.9872,26.3158,70.303,13.6332
10,0.00922242,25.0501,19.9917,32.5222,26.3329,0,0.075625,0.040069,0.954653,0.436783,0.749568,0.325606,0.001514,0.000802,0.00052,0.000238,0.017062,0.007412,0.326568,0.047087,-0.046807,46.9424,25.0,71.9424,14.0628
11,0.00904604,26.9873,22.2241,29.7828,28.2462,0,0.082096,0.049142,1.00806,0.456726,0.718154,0.315188,0.001643,0.000984,0.000549,0.000249,0.016347,0.007174,0.30319,0.054572,-0.044208,50.5396,25.0,75.5396,15.0957
12,0.00885371,26.5865,22.2531,31.483,27.8443,0,0.077074,0.050241,1.020547,0.461964,0.672255,0.295823,0.001543,0.001006,0.000556,0.000252,0.015302,0.006734,0.201322,0.033081,-0.053825,30.7838,36.8421,67.6259,10.331
13,0.0086462,27.9893,24.0849,32.6773,29.141,0,0.088912,0.052151,1.041826,0.468454,0.672694,0.295893,0.00178,0.001044,0.000567,0.000255,0.015312,0.006735,0.191682,0.029055,-0.041867,42.8788,25.0,67.8788,14.2706
14,0.00842431,28.6573,24.3992,36.7624,29.8743,0,0.084372,0.057938,1.052973,0.466071,0.631364,0.280745,0.001689,0.00116,0.000573,0.000254,0.014371,0.00639,0.152443,0.044646,-0.048697,35.1003,36.8421,71.9424,11.7456
15,0.00818893,29.4589,25.5221,35.7894,30.6764,0,0.092307,0.061513,1.071728,0.481299,0.619791,0.268604,0.001848,0.001231,0.000584,0.000262,0.014108,0.006114,0.098353,0.028966,-0.04977,49.8201,25.0,74.8201,13.9701
16,0.00794099,29.8597,26.0062,33.7485,30.8452,0,0.091029,0.063865,1.068796,0.469874,0.599278,0.264162,0.001822,0.001278,0.000582,0.000256,0.013641,0.006013,0.09219,0.025741,-0.051122,47.6619,25.0,72.6619,14.996
17,0.00768145,31.6633,28.7329,33.5018,32.693,0,0.095242,0.066909,1.1057,0.489771,0.580597,0.258039,0.001906,0.001339,0.000602,0.000267,0.013216,0.005874,0.086672,0.021127,-0.050169,45.9091,25.0,70.9091,14.8952
18,0.00741136,31.6633,28.1918,32.9675,32.7177,0,0.092864,0.061869,1.094387,0.475777,0.566145,0.24399,0.001859,0.001238,0.000596,0.000259,0.012887,0.005554,0.050892,0.029296,-0.045912,42.5218,31.5789,74.1007,12.7971
19,0.00713177,31.1289,27.6167,35.0219,32.1134,0,0.104002,0.074258,1.11284,0.491728,0.556867,0.24308,0.002082,0.001486,0.000606,0.000268,0.012676,0.005533,0.04183,0.014028,-0.051323,38.0396,37.5,75.5396,10.6288
20,0.00684378,31.7969,28.4729,33.778,32.9183,0,0.105564,0.081577,1.131334,0.499027,0.566758,0.251251,0.002113,0.001633,0.000616,0.000272,0.012901,0.005719,0.085639,0.022017,-0.049753,39.6441,31.5789,71.223,12.1862
