round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,16.7669,7.779,5.4748,16.4475,0,0.118501,0.071427,2.293736,0.497316,0.756682,0.16275,0.002372,0.00143,0.001249,0.000271,0.017224,0.003705,0.456495,0.058975,-0.010567,55.7078,44.2922,100.0,18.7991
2,0.00999014,14.0949,8.6801,7.4649,14.4593,0,0.120101,0.065522,1.562923,0.466271,1.005395,0.337975,0.002404,0.001311,0.000851,0.000254,0.022885,0.007693,0.497777,0.040423,0.017012,61.236,38.764,100.0,18.5436
3,0.00996061,18.8377,10.1726,8.9719,18.4091,0,0.153889,0.081239,1.408473,0.441934,1.30729,0.515018,0.00308,0.001626,0.000767,0.000241,0.029757,0.011723,0.682214,0.088222,0.133078,53.9326,46.0674,100.0,17.4275
4,0.00991152,16.9673,8.2949,10.8227,17.7386,0,0.129895,0.07981,1.314291,0.405616,1.299312,0.555946,0.0026,0.001597,0.000716,0.000221,0.029576,0.012655,0.625399,0.07292,0.053944,48.8764,51.1236,100.0,16.451
5,0.00984307,20.9753,13.6513,23.3118,21.5307,0,0.114648,0.062264,1.351937,0.444304,1.286139,0.448335,0.002295,0.001246,0.000736,0.000242,0.029276,0.010205,0.550336,0.056624,0.04784,53.3708,46.6292,100.0,16.3062
6,0.00975553,20.0401,12.3691,13.5203,20.3064,0,0.095944,0.047766,1.252476,0.363288,1.195286,0.424682,0.00192,0.000956,0.000682,0.000198,0.027208,0.009667,0.493447,0.039166,-0.011512,46.5753,53.4247,100.0,15.703
7,0.00964923,21.9773,14.3582,17.2395,22.1804,0,0.095806,0.039903,1.319896,0.427643,1.223326,0.423918,0.001918,0.000799,0.000719,0.000233,0.027846,0.009649,0.487545,0.034119,-0.029089,45.5056,54.4944,100.0,13.8043
8,0.00952461,22.5785,14.4554,14.1712,22.5991,0,0.08678,0.04152,1.213604,0.308338,1.125804,0.278741,0.001737,0.000831,0.000661,0.000168,0.025626,0.006345,0.487297,0.034387,-0.029749,54.7945,45.2055,100.0,16.6935
9,0.00938215,24.1149,16.8647,19.8094,24.0814,0,0.093265,0.040318,1.275674,0.390615,1.270984,0.492917,0.001867,0.000807,0.000695,0.000213,0.028931,0.01122,0.461126,0.034133,-0.039879,46.0674,53.9326,100.0,14.123
10,0.00922242,21.9773,13.5867,15.0374,22.0118,0,0.085993,0.041385,1.238486,0.348403,1.142294,0.227961,0.001721,0.000828,0.000674,0.00019,0.026002,0.005189,0.478087,0.035322,-0.037417,44.9438,55.0562,100.0,13.994
