epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,8.3500334001336,6.235364881307498,6.071522075713718,8.247021046084686,67.80227120908484,66.35988422962498,70.78168104563275,68.19189690847985
1,16.76686706746827,7.779010086140012,5.474757906632377,16.447540050173963,69.20507682030728,67.935656787791,70.97379787267232,69.61107630151714
2,14.094856379425519,8.680148439439701,7.4649181128347415,14.459318604859895,69.47227788911155,68.85781207221797,71.13599017547135,69.77154105324333
3,18.837675350701403,10.172597817933342,8.97191216540279,18.409148473450937,70.94188376753507,70.58606788361969,72.47293176941649,71.41117047338668
4,16.967267869071474,8.294868475868364,10.822725416020166,17.738556361926832,71.60988643954576,71.46145131391299,72.13913189587579,71.83732688924962
5,20.975283901135604,13.651323377939775,23.311752843011767,21.53068903806559,72.74549098196393,72.68876423920321,73.5765833076308,73.07718053711622
6,20.04008016032064,12.369092196829143,13.52030560942541,20.306425616780697,75.08350033400134,74.77150867157538,75.64605864781397,75.15787086296048
7,21.977287909151634,14.358185370417411,17.239530174259237,22.18044526688592,72.07748830995324,71.2227251462932,73.21973270528437,72.33383586274536
8,22.578490313961254,14.455389840916661,14.171181710898562,22.59906333683766,76.15230460921843,75.47774112620121,77.37464364437807,76.26254403116806
9,24.11489645958584,16.86472913517971,19.809446627382112,24.081353100984494,75.48430193720776,75.21629740651665,75.72496858439297,75.49052587171002
10,21.977287909151634,13.586730815825415,15.037384044873228,22.011766642481184,76.35270541082164,76.30683272771155,76.5104792589982,76.47023332656102
11,24.71609886439546,21.229062566595097,25.06756670286581,24.807749104529165,74.54909819639278,74.69909375715831,76.05282562287863,74.9126067613201
12,23.112892451569806,15.855297462161477,22.121294407728133,23.213386254783337,76.55310621242485,76.05792907945683,77.29582136539915,76.78278767214908
13,28.256513026052104,25.901164020423117,26.966049816454618,28.441269256222483,75.21710086840348,74.55211616406973,78.30870280298396,75.5366235158249
14,27.25450901803607,21.25701943464562,30.767348227603865,27.15076761388869,76.35270541082164,76.29060543777213,76.26017055427525,76.48445569560056
15,30.995323981295925,29.076590575427357,29.001021421462802,31.031152283298347,77.22110888443554,77.32107274055438,77.80107870705906,77.50588067291979
16,28.390113560454246,23.9311634820698,36.739991364849814,28.500497262914458,77.0875083500334,76.80081556224522,77.69958519547521,77.1703232106244
17,33.199732798931194,31.378566908524704,34.52410533815826,33.10582561093697,77.9559118236473,77.97742002464358,78.45396344797057,78.31312358150318
18,28.857715430861724,24.76928687732172,34.00505127841746,28.8328278321757,78.89111556446225,79.00313065529942,79.4728164409516,79.1012650728721
19,32.39812959251837,30.122376952418044,33.52823984751114,32.50726017384116,76.95390781563127,76.61162549544302,77.3726495969557,76.9693434044465
20,28.790915163660653,24.632848997346386,33.887565511383876,28.59123653933112,78.22311289245157,78.27050930953905,78.73526557334479,78.2120619708537
21,31.062124248496993,28.611143598397824,33.76037006939699,31.070413454423374,77.35470941883767,76.97372204255052,78.0982338306757,77.43880513550934
22,30.26052104208417,25.4451769886055,34.289340803597916,30.004866716888767,77.15430861723446,77.0753346215453,78.83676963519225,77.4627528910941
23,30.928523714094858,28.22298343669693,32.778081039729734,31.1699480694286,78.02271209084837,77.63436574512413,78.85354949757661,77.97190289647146
24,31.262525050100198,28.038891432034095,34.43117095420539,30.99719662787283,78.75751503006012,78.02460020720099,79.70688695060255,78.84927277182219
25,32.39812959251837,30.643836023300814,33.58440406449424,32.51072103195901,78.69071476285905,78.74651333804825,79.3480256928181,78.94855019461988
26,31.663326653306612,28.128798542554577,30.791707931722872,31.31960288896157,78.8243152972612,78.8410609705112,79.53537507444992,79.12011508039211
27,34.20173680694723,31.934313853882344,35.94100853375252,34.52483224082753,80.36072144288578,80.40724935556753,80.90956069267008,80.5674794845235
28,33.46693386773547,30.3053160299362,33.45020714335683,33.120156540101824,78.8243152972612,78.86490379405802,79.2399881125017,78.91183480280274
29,33.53373413493654,32.46290906366647,34.95238332066173,33.66358372334527,80.09352037408149,80.0101639832051,80.12570615497874,80.33562744523121
30,32.79893119572478,30.04192342949431,35.36474674036666,32.59562233672414,78.02271209084837,77.43400463042992,79.04257062267995,78.29960948757353
