round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,vim_tiny,cifar10,0.3,0,base.patch_embed,0.989916
1,0,1,vim_tiny,cifar10,0.3,1,base.layers.0.mixer,0.919627
1,0,1,vim_tiny,cifar10,0.3,2,base.layers.1.mixer,0.847877
1,0,1,vim_tiny,cifar10,0.3,3,base.layers.2.mixer,0.900622
1,0,1,vim_tiny,cifar10,0.3,4,base.layers.3.mixer,0.725953
1,0,1,vim_tiny,cifar10,0.3,5,base.layers.4.mixer,0.893793
1,0,1,vim_tiny,cifar10,0.3,6,base.layers.5.mixer,0.989201
1,0,1,vim_tiny,cifar10,0.3,7,base.layers.6.mixer,0.980338
1,0,1,vim_tiny,cifar10,0.3,8,base.layers.7.mixer,0.976074
1,0,1,vim_tiny,cifar10,0.3,9,base.layers.8.mixer,0.971509
1,0,1,vim_tiny,cifar10,0.3,10,base.layers.9.mixer,0.983160
1,0,1,vim_tiny,cifar10,0.3,11,base.layers.10.mixer,0.977239
1,0,1,vim_tiny,cifar10,0.3,12,base.layers.11.mixer,0.984416
1,0,1,vim_tiny,cifar10,0.3,13,classifier,0.791031
1,0,2,vim_tiny,cifar10,0.3,0,base.patch_embed,0.998853
1,0,2,vim_tiny,cifar10,0.3,1,base.layers.0.mixer,0.965297
1,0,2,vim_tiny,cifar10,0.3,2,base.layers.1.mixer,0.947844
1,0,2,vim_tiny,cifar10,0.3,3,base.layers.2.mixer,0.958231
1,0,2,vim_tiny,cifar10,0.3,4,base.layers.3.mixer,0.720826
1,0,2,vim_tiny,cifar10,0.3,5,base.layers.4.mixer,0.710195
1,0,2,vim_tiny,cifar10,0.3,6,base.layers.5.mixer,0.993749
1,0,2,vim_tiny,cifar10,0.3,7,base.layers.6.mixer,0.989764
1,0,2,vim_tiny,cifar10,0.3,8,base.layers.7.mixer,0.995026
1,0,2,vim_tiny,cifar10,0.3,9,base.layers.8.mixer,0.983370
1,0,2,vim_tiny,cifar10,0.3,10,base.layers.9.mixer,0.984445
1,0,2,vim_tiny,cifar10,0.3,11,base.layers.10.mixer,0.994609
1,0,2,vim_tiny,cifar10,0.3,12,base.layers.11.mixer,0.944017
1,0,2,vim_tiny,cifar10,0.3,13,classifier,0.564858
1,0,3,vim_tiny,cifar10,0.3,0,base.patch_embed,0.966471
1,0,3,vim_tiny,cifar10,0.3,1,base.layers.0.mixer,0.908478
1,0,3,vim_tiny,cifar10,0.3,2,base.layers.1.mixer,0.866941
1,0,3,vim_tiny,cifar10,0.3,3,base.layers.2.mixer,0.905741
1,0,3,vim_tiny,cifar10,0.3,4,base.layers.3.mixer,0.425230
1,0,3,vim_tiny,cifar10,0.3,5,base.layers.4.mixer,0.937783
1,0,3,vim_tiny,cifar10,0.3,6,base.layers.5.mixer,0.980303
1,0,3,vim_tiny,cifar10,0.3,7,base.layers.6.mixer,0.978235
1,0,3,vim_tiny,cifar10,0.3,8,base.layers.7.mixer,0.981363
1,0,3,vim_tiny,cifar10,0.3,9,base.layers.8.mixer,0.937505
1,0,3,vim_tiny,cifar10,0.3,10,base.layers.9.mixer,0.985474
1,0,3,vim_tiny,cifar10,0.3,11,base.layers.10.mixer,0.968439
1,0,3,vim_tiny,cifar10,0.3,12,base.layers.11.mixer,0.953648
1,0,3,vim_tiny,cifar10,0.3,13,classifier,0.674338
1,0,4,vim_tiny,cifar10,0.3,0,base.patch_embed,0.993741
1,0,4,vim_tiny,cifar10,0.3,1,base.layers.0.mixer,0.991328
1,0,4,vim_tiny,cifar10,0.3,2,base.layers.1.mixer,0.962287
1,0,4,vim_tiny,cifar10,0.3,3,base.layers.2.mixer,0.977315
1,0,4,vim_tiny,cifar10,0.3,4,base.layers.3.mixer,0.969745
1,0,4,vim_tiny,cifar10,0.3,5,base.layers.4.mixer,0.952568
1,0,4,vim_tiny,cifar10,0.3,6,base.layers.5.mixer,0.993695
1,0,4,vim_tiny,cifar10,0.3,7,base.layers.6.mixer,0.989648
1,0,4,vim_tiny,cifar10,0.3,8,base.layers.7.mixer,0.992092
1,0,4,vim_tiny,cifar10,0.3,9,base.layers.8.mixer,0.968351
1,0,4,vim_tiny,cifar10,0.3,10,base.layers.9.mixer,0.977988
1,0,4,vim_tiny,cifar10,0.3,11,base.layers.10.mixer,0.992085
1,0,4,vim_tiny,cifar10,0.3,12,base.layers.11.mixer,0.942184
1,0,4,vim_tiny,cifar10,0.3,13,classifier,0.743359
1,0,5,vim_tiny,cifar10,0.3,0,base.patch_embed,0.988745
1,0,5,vim_tiny,cifar10,0.3,1,base.layers.0.mixer,0.885482
1,0,5,vim_tiny,cifar10,0.3,2,base.layers.1.mixer,0.929343
1,0,5,vim_tiny,cifar10,0.3,3,base.layers.2.mixer,0.970290
1,0,5,vim_tiny,cifar10,0.3,4,base.layers.3.mixer,0.667302
1,0,5,vim_tiny,cifar10,0.3,5,base.layers.4.mixer,0.962745
1,0,5,vim_tiny,cifar10,0.3,6,base.layers.5.mixer,0.990719
1,0,5,vim_tiny,cifar10,0.3,7,base.layers.6.mixer,0.984277
1,0,5,vim_tiny,cifar10,0.3,8,base.layers.7.mixer,0.977643
1,0,5,vim_tiny,cifar10,0.3,9,base.layers.8.mixer,0.953548
1,0,5,vim_tiny,cifar10,0.3,10,base.layers.9.mixer,0.971520
1,0,5,vim_tiny,cifar10,0.3,11,base.layers.10.mixer,0.991465
1,0,5,vim_tiny,cifar10,0.3,12,base.layers.11.mixer,0.956707
1,0,5,vim_tiny,cifar10,0.3,13,classifier,0.853375
1,0,6,vim_tiny,cifar10,0.3,0,base.patch_embed,0.997509
1,0,6,vim_tiny,cifar10,0.3,1,base.layers.0.mixer,0.882504
1,0,6,vim_tiny,cifar10,0.3,2,base.layers.1.mixer,0.979686
1,0,6,vim_tiny,cifar10,0.3,3,base.layers.2.mixer,0.945640
1,0,6,vim_tiny,cifar10,0.3,4,base.layers.3.mixer,0.859665
1,0,6,vim_tiny,cifar10,0.3,5,base.layers.4.mixer,0.925569
1,0,6,vim_tiny,cifar10,0.3,6,base.layers.5.mixer,0.993158
1,0,6,vim_tiny,cifar10,0.3,7,base.layers.6.mixer,0.981003
1,0,6,vim_tiny,cifar10,0.3,8,base.layers.7.mixer,0.960270
1,0,6,vim_tiny,cifar10,0.3,9,base.layers.8.mixer,0.947779
1,0,6,vim_tiny,cifar10,0.3,10,base.layers.9.mixer,0.981233
1,0,6,vim_tiny,cifar10,0.3,11,base.layers.10.mixer,0.982207
1,0,6,vim_tiny,cifar10,0.3,12,base.layers.11.mixer,0.953717
1,0,6,vim_tiny,cifar10,0.3,13,classifier,0.668347
1,0,7,vim_tiny,cifar10,0.3,0,base.patch_embed,0.997011
1,0,7,vim_tiny,cifar10,0.3,1,base.layers.0.mixer,0.972282
1,0,7,vim_tiny,cifar10,0.3,2,base.layers.1.mixer,0.912108
1,0,7,vim_tiny,cifar10,0.3,3,base.layers.2.mixer,0.954544
1,0,7,vim_tiny,cifar10,0.3,4,base.layers.3.mixer,0.795533
1,0,7,vim_tiny,cifar10,0.3,5,base.layers.4.mixer,0.932091
1,0,7,vim_tiny,cifar10,0.3,6,base.layers.5.mixer,0.985419
1,0,7,vim_tiny,cifar10,0.3,7,base.layers.6.mixer,0.984609
1,0,7,vim_tiny,cifar10,0.3,8,base.layers.7.mixer,0.993586
1,0,7,vim_tiny,cifar10,0.3,9,base.layers.8.mixer,0.990261
1,0,7,vim_tiny,cifar10,0.3,10,base.layers.9.mixer,0.990115
1,0,7,vim_tiny,cifar10,0.3,11,base.layers.10.mixer,0.994267
1,0,7,vim_tiny,cifar10,0.3,12,base.layers.11.mixer,0.988921
1,0,7,vim_tiny,cifar10,0.3,13,classifier,0.617908
1,0,8,vim_tiny,cifar10,0.3,0,base.patch_embed,0.997435
1,0,8,vim_tiny,cifar10,0.3,1,base.layers.0.mixer,0.989677
1,0,8,vim_tiny,cifar10,0.3,2,base.layers.1.mixer,0.949106
1,0,8,vim_tiny,cifar10,0.3,3,base.layers.2.mixer,0.986639
1,0,8,vim_tiny,cifar10,0.3,4,base.layers.3.mixer,0.950504
1,0,8,vim_tiny,cifar10,0.3,5,base.layers.4.mixer,0.894268
1,0,8,vim_tiny,cifar10,0.3,6,base.layers.5.mixer,0.973254
1,0,8,vim_tiny,cifar10,0.3,7,base.layers.6.mixer,0.977963
1,0,8,vim_tiny,cifar10,0.3,8,base.layers.7.mixer,0.967067
1,0,8,vim_tiny,cifar10,0.3,9,base.layers.8.mixer,0.968715
1,0,8,vim_tiny,cifar10,0.3,10,base.layers.9.mixer,0.985737
1,0,8,vim_tiny,cifar10,0.3,11,base.layers.10.mixer,0.978441
1,0,8,vim_tiny,cifar10,0.3,12,base.layers.11.mixer,0.952214
1,0,8,vim_tiny,cifar10,0.3,13,classifier,0.527966
1,0,9,vim_tiny,cifar10,0.3,0,base.patch_embed,0.997047
1,0,9,vim_tiny,cifar10,0.3,1,base.layers.0.mixer,0.937842
1,0,9,vim_tiny,cifar10,0.3,2,base.layers.1.mixer,0.908057
1,0,9,vim_tiny,cifar10,0.3,3,base.layers.2.mixer,0.949258
1,0,9,vim_tiny,cifar10,0.3,4,base.layers.3.mixer,0.692384
1,0,9,vim_tiny,cifar10,0.3,5,base.layers.4.mixer,0.968580
1,0,9,vim_tiny,cifar10,0.3,6,base.layers.5.mixer,0.958799
1,0,9,vim_tiny,cifar10,0.3,7,base.layers.6.mixer,0.914876
1,0,9,vim_tiny,cifar10,0.3,8,base.layers.7.mixer,0.918277
1,0,9,vim_tiny,cifar10,0.3,9,base.layers.8.mixer,0.935740
1,0,9,vim_tiny,cifar10,0.3,10,base.layers.9.mixer,0.940042
1,0,9,vim_tiny,cifar10,0.3,11,base.layers.10.mixer,0.980795
1,0,9,vim_tiny,cifar10,0.3,12,base.layers.11.mixer,0.932435
1,0,9,vim_tiny,cifar10,0.3,13,classifier,0.445027
1,1,2,vim_tiny,cifar10,0.3,0,base.patch_embed,0.985270
1,1,2,vim_tiny,cifar10,0.3,1,base.layers.0.mixer,0.963608
1,1,2,vim_tiny,cifar10,0.3,2,base.layers.1.mixer,0.828758
1,1,2,vim_tiny,cifar10,0.3,3,base.layers.2.mixer,0.903235
1,1,2,vim_tiny,cifar10,0.3,4,base.layers.3.mixer,0.973377
1,1,2,vim_tiny,cifar10,0.3,5,base.layers.4.mixer,0.835124
1,1,2,vim_tiny,cifar10,0.3,6,base.layers.5.mixer,0.989313
1,1,2,vim_tiny,cifar10,0.3,7,base.layers.6.mixer,0.975672
1,1,2,vim_tiny,cifar10,0.3,8,base.layers.7.mixer,0.981116
1,1,2,vim_tiny,cifar10,0.3,9,base.layers.8.mixer,0.983752
1,1,2,vim_tiny,cifar10,0.3,10,base.layers.9.mixer,0.979110
1,1,2,vim_tiny,cifar10,0.3,11,base.layers.10.mixer,0.977011
1,1,2,vim_tiny,cifar10,0.3,12,base.layers.11.mixer,0.976278
1,1,2,vim_tiny,cifar10,0.3,13,classifier,0.420614
1,1,3,vim_tiny,cifar10,0.3,0,base.patch_embed,0.982831
1,1,3,vim_tiny,cifar10,0.3,1,base.layers.0.mixer,0.957874
1,1,3,vim_tiny,cifar10,0.3,2,base.layers.1.mixer,0.835505
1,1,3,vim_tiny,cifar10,0.3,3,base.layers.2.mixer,0.852243
1,1,3,vim_tiny,cifar10,0.3,4,base.layers.3.mixer,0.675470
1,1,3,vim_tiny,cifar10,0.3,5,base.layers.4.mixer,0.917543
1,1,3,vim_tiny,cifar10,0.3,6,base.layers.5.mixer,0.989051
1,1,3,vim_tiny,cifar10,0.3,7,base.layers.6.mixer,0.978235
1,1,3,vim_tiny,cifar10,0.3,8,base.layers.7.mixer,0.990641
1,1,3,vim_tiny,cifar10,0.3,9,base.layers.8.mixer,0.985964
1,1,3,vim_tiny,cifar10,0.3,10,base.layers.9.mixer,0.992256
1,1,3,vim_tiny,cifar10,0.3,11,base.layers.10.mixer,0.984516
1,1,3,vim_tiny,cifar10,0.3,12,base.layers.11.mixer,0.980063
1,1,3,vim_tiny,cifar10,0.3,13,classifier,0.777279
1,1,4,vim_tiny,cifar10,0.3,0,base.patch_embed,0.998907
1,1,4,vim_tiny,cifar10,0.3,1,base.layers.0.mixer,0.896103
1,1,4,vim_tiny,cifar10,0.3,2,base.layers.1.mixer,0.851665
1,1,4,vim_tiny,cifar10,0.3,3,base.layers.2.mixer,0.925949
1,1,4,vim_tiny,cifar10,0.3,4,base.layers.3.mixer,0.603900
1,1,4,vim_tiny,cifar10,0.3,5,base.layers.4.mixer,0.943909
1,1,4,vim_tiny,cifar10,0.3,6,base.layers.5.mixer,0.992022
1,1,4,vim_tiny,cifar10,0.3,7,base.layers.6.mixer,0.989507
1,1,4,vim_tiny,cifar10,0.3,8,base.layers.7.mixer,0.989720
1,1,4,vim_tiny,cifar10,0.3,9,base.layers.8.mixer,0.996933
1,1,4,vim_tiny,cifar10,0.3,10,base.layers.9.mixer,0.992802
1,1,4,vim_tiny,cifar10,0.3,11,base.layers.10.mixer,0.984092
1,1,4,vim_tiny,cifar10,0.3,12,base.layers.11.mixer,0.979438
1,1,4,vim_tiny,cifar10,0.3,13,classifier,0.852981
1,1,5,vim_tiny,cifar10,0.3,0,base.patch_embed,0.991100
1,1,5,vim_tiny,cifar10,0.3,1,base.layers.0.mixer,0.911295
1,1,5,vim_tiny,cifar10,0.3,2,base.layers.1.mixer,0.892987
1,1,5,vim_tiny,cifar10,0.3,3,base.layers.2.mixer,0.906113
1,1,5,vim_tiny,cifar10,0.3,4,base.layers.3.mixer,0.851234
1,1,5,vim_tiny,cifar10,0.3,5,base.layers.4.mixer,0.896531
1,1,5,vim_tiny,cifar10,0.3,6,base.layers.5.mixer,0.994156
1,1,5,vim_tiny,cifar10,0.3,7,base.layers.6.mixer,0.991007
1,1,5,vim_tiny,cifar10,0.3,8,base.layers.7.mixer,0.990811
1,1,5,vim_tiny,cifar10,0.3,9,base.layers.8.mixer,0.991363
1,1,5,vim_tiny,cifar10,0.3,10,base.layers.9.mixer,0.989935
1,1,5,vim_tiny,cifar10,0.3,11,base.layers.10.mixer,0.982481
1,1,5,vim_tiny,cifar10,0.3,12,base.layers.11.mixer,0.988319
1,1,5,vim_tiny,cifar10,0.3,13,classifier,0.888196
1,1,6,vim_tiny,cifar10,0.3,0,base.patch_embed,0.992162
1,1,6,vim_tiny,cifar10,0.3,1,base.layers.0.mixer,0.850377
