epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,8.884435537742151,4.124740302321765,10.927481808971171,8.6699308468548,50.43420173680695,48.943836174158974,50.24748568905964,50.15603978718162
1,16.299265197060787,9.425102834420935,12.889276211237966,17.144667389765708,51.77020708082832,50.47551940570902,53.674402653470366,51.19241606584972
2,20.64128256513026,13.189596189369729,9.863982027948115,20.59090379945598,53.44021376085505,52.05230441219918,53.554108623552885,53.36801413581659
3,22.044088176352705,16.385016085177917,18.724785124801688,22.49693092920487,55.243820975283896,53.95584837080758,55.42981163188507,54.75451296804539
4,23.380093520374082,17.62273267155246,23.18369834180839,23.709722940813794,54.843019372077485,53.170655733856584,54.948906933101284,54.73747833322352
5,24.448897795591183,19.483378702916035,24.351560549455815,25.02531177064686,54.90981963927856,53.68904834039371,54.79739900863009,54.363572673588045
6,27.054108216432866,23.888715934024564,26.863026359113956,27.6169664082759,55.11022044088176,54.57497758795057,55.51509269561763,54.72398167088181
7,27.655310621242485,22.954386169281722,27.186531929500056,28.316208235304675,57.44822979291917,56.82112345062396,57.90575763863471,57.319630524633006
8,29.392117568470272,25.82597841954282,27.24051473723249,29.63472074744875,59.385437541750164,58.624996759801185,59.83839937289677,59.15209881388299
9,29.926519706078825,25.780680506896935,29.939574113023266,30.472029264679655,58.249832999332,57.845127029810115,58.5042460347459,58.150378214396234
10,33.4001336005344,30.55681520575897,34.03084450313539,34.089224296400474,60.45424181696727,59.917477287787115,61.440000905180916,60.04614844285868
11,31.863727454909817,28.532870059319343,29.41742891459262,32.419569454442424,60.320641282565134,59.8613193652694,60.761681708258685,60.29438205749445
12,33.734134936539746,30.443573109159605,31.91795499605424,34.4997808825071,57.31462925851704,56.66748712538158,58.28356393387212,57.21881015534574
13,34.00133600534402,31.09549475271352,30.450248377341154,34.72495161466062,58.85103540414162,58.05323447700523,59.262755373348575,58.843404502129125
14,33.80093520374082,31.44148765415855,32.77513822634134,34.60150162152791,61.05544422177689,60.57027097599548,61.207067115157386,60.83621397238752
15,35.80494321977288,33.382257416613726,36.25019809346453,36.46742968920012,58.98463593854375,58.78471240634322,59.548256316932616,58.988431346240844
16,34.2685370741483,32.228090159698205,34.33725184038866,35.11126994744659,60.45424181696727,60.26031605697382,60.94241141852964,60.38936091492522
17,35.60454241816967,33.451187128711844,34.72914067914192,36.28469436877923,60.988643954575814,60.68101653533915,61.58168447154072,61.02469925589169
18,36.27254509018036,34.091329429593046,36.291304120594134,36.90397270691413,61.99064796259185,61.74723776847896,62.42907156206818,61.823408204519716
19,36.07214428857716,34.07952774822242,35.437624257115885,36.91130608664804,63.19305277221109,62.88869092855439,63.902904424804255,63.03091316360321
