round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,16.3661,8.8479,9.111,16.602,0,0.181496,0.127125,2.23242,0.289447,0.691437,0.120059,0.003633,0.002545,0.001215,0.000158,0.015739,0.002733,0.631385,0.22283,0.23432,43.9066,26.3636,70.2703,10.78
2,0.00999014,18.6373,12.2954,13.7646,18.5521,0,0.164343,0.120338,1.111836,0.357293,0.702118,0.198589,0.003289,0.002409,0.000605,0.000195,0.015982,0.00452,0.858821,0.131665,0.080676,51.1548,21.8182,72.973,14.0449
3,0.00996061,18.9713,14.7499,22.42,18.8053,0,0.150359,0.094562,0.998556,0.267064,0.766393,0.155451,0.00301,0.001893,0.000544,0.000145,0.017445,0.003538,0.871582,0.120172,0.061933,33.061,37.2093,70.2703,10.4542
4,0.00991152,21.0421,16.8874,22.2127,21.1072,0,0.172939,0.119494,1.000847,0.328192,0.799005,0.215431,0.003462,0.002392,0.000545,0.000179,0.018187,0.004904,0.892966,0.114522,-0.009043,51.1057,27.2727,78.3784,13.9463
5,0.00984307,21.1757,19.1126,27.2758,21.2535,0,0.153797,0.097524,1.035459,0.350898,0.816916,0.164862,0.003078,0.001952,0.000564,0.000191,0.018595,0.003753,0.892554,0.100792,-0.004197,38.5328,37.1429,75.6757,10.8655
6,0.00975553,23.5137,20.2977,22.5019,23.7135,0,0.129573,0.078865,1.098229,0.400821,0.84192,0.162698,0.002594,0.001579,0.000598,0.000218,0.019164,0.003703,0.865068,0.114193,-0.014874,41.39,34.2857,75.6757,12.611
7,0.00964923,24.7829,21.2268,29.5055,24.9449,0,0.113042,0.063926,1.178219,0.384853,0.840872,0.160593,0.002263,0.00128,0.000642,0.00021,0.01914,0.003656,0.813523,0.113554,-0.008226,33.8417,36.4286,70.2703,9.7084
8,0.00952461,25.3173,21.5676,30.5557,25.4797,0,0.100227,0.046711,1.23743,0.402912,0.812571,0.147367,0.002006,0.000935,0.000674,0.000219,0.018496,0.003354,0.748975,0.083225,-0.017617,39.6757,36.0,75.6757,12.2969
9,0.00938215,28.0561,24.867,34.5935,28.2396,0,0.096158,0.040861,1.275558,0.385604,0.814013,0.135977,0.001925,0.000818,0.000695,0.00021,0.018529,0.003095,0.65066,0.091629,-0.001588,31.1548,41.8182,72.973,9.5534
10,0.00922242,30.3941,27.9534,36.6989,30.4461,0,0.089142,0.040207,1.325571,0.38879,0.768987,0.135487,0.001784,0.000805,0.000722,0.000212,0.017504,0.003084,0.45109,0.064882,-0.006805,37.8185,37.8571,75.6757,11.0678
11,0.00904604,31.1289,28.9958,37.3146,31.2789,0,0.091926,0.039628,1.370311,0.413172,0.754545,0.140039,0.00184,0.000793,0.000746,0.000225,0.017175,0.003188,0.394081,0.055225,-0.011414,28.4521,41.8182,70.2703,9.4136
12,0.00885371,31.4629,29.808,37.3587,31.4626,0,0.095829,0.036384,1.412913,0.412313,0.720531,0.123394,0.001918,0.000728,0.000769,0.000224,0.016401,0.002809,0.214817,0.046054,-0.013748,36.39,39.2857,75.6757,10.6959
13,0.0086462,34.5357,33.2868,38.4296,34.5944,0,0.103656,0.045497,1.452859,0.418376,0.701234,0.127167,0.002075,0.000911,0.000791,0.000228,0.015962,0.002895,0.135923,0.039754,-0.015708,30.2211,45.4545,75.6757,9.8659
14,0.00842431,34.3353,32.6671,38.6364,34.309,0,0.102691,0.045368,1.511515,0.41563,0.669024,0.120721,0.002055,0.000908,0.000823,0.000226,0.015229,0.002748,0.14487,0.034821,-0.024134,26.6585,40.9091,67.5676,8.0687
15,0.00818893,34.7361,33.0191,40.0866,34.8505,0,0.10722,0.049987,1.545607,0.456796,0.660737,0.131885,0.002146,0.001001,0.000842,0.000249,0.01504,0.003002,0.094576,0.026637,-0.022866,33.8821,39.0909,72.973,10.1109
16,0.00794099,36.2725,34.9851,39.4194,36.318,0,0.108229,0.048646,1.584828,0.43667,0.65532,0.113119,0.002166,0.000974,0.000863,0.000238,0.014917,0.002575,0.146527,0.03011,-0.021925,30.2457,42.7273,72.973,9.6295
17,0.00768145,36.6065,35.6518,40.0782,36.6134,0,0.114304,0.052187,1.632192,0.475798,0.640992,0.108903,0.002288,0.001045,0.000889,0.000259,0.014591,0.002479,0.114612,0.024684,-0.016008,24.026,44.5455,68.5714,8.6088
18,0.00741136,36.4061,35.456,40.1791,36.3957,0,0.119574,0.054851,1.677006,0.498874,0.627723,0.115216,0.002393,0.001098,0.000913,0.000272,0.014289,0.002623,0.090284,0.016261,-0.025095,28.5662,44.4068,72.973,10.1
19,0.00713177,37.2077,35.7271,39.2885,37.2735,0,0.117674,0.051902,1.706221,0.48731,0.618545,0.110265,0.002355,0.001039,0.000929,0.000265,0.01408,0.00251,0.058752,0.019136,-0.018642,31.2781,41.6949,72.973,9.4192
20,0.00684378,37.6086,36.366,41.2061,37.5858,0,0.124013,0.055039,1.793069,0.517797,0.605179,0.122421,0.002482,0.001102,0.000976,0.000282,0.013775,0.002787,0.041118,0.019366,-0.02223,26.6093,46.3636,72.973,8.4997
21,0.00654854,37.5418,36.6249,39.5292,37.5116,0,0.124895,0.056825,1.816191,0.543893,0.597,0.108026,0.0025,0.001137,0.000989,0.000296,0.013589,0.002459,0.10508,0.014675,-0.020893,25.7002,47.2727,72.973,7.8401
22,0.00624721,37.0741,35.8809,41.4986,37.1405,0,0.125306,0.052699,1.848715,0.546104,0.59005,0.103086,0.002508,0.001055,0.001007,0.000297,0.013431,0.002346,0.076788,0.015827,-0.019264,25.7248,44.5455,70.2703,7.4237
23,0.00594097,37.5418,36.2868,40.7138,37.5239,0,0.126729,0.055763,1.895611,0.569678,0.587235,0.107063,0.002537,0.001116,0.001032,0.00031,0.013367,0.002437,0.066923,0.010126,-0.036182,15.8757,47.4576,63.3333,5.05
24,0.00563104,38.2098,37.1526,40.2424,38.1644,0,0.135365,0.062266,1.935831,0.595436,0.589423,0.105267,0.002709,0.001246,0.001054,0.000324,0.013417,0.002396,0.063865,0.010231,-0.020812,31.4896,44.186,75.6757,10.4838
25,0.00531864,38.477,37.898,41.6424,38.4934,0,0.133438,0.060241,1.986308,0.615891,0.582509,0.107528,0.002671,0.001206,0.001081,0.000335,0.013259,0.002448,0.039251,0.009202,-0.025323,27.6616,42.6087,70.2703,8.3183
26,0.005005,38.2766,37.5812,41.3473,38.2347,0,0.134882,0.06075,2.011761,0.622199,0.593054,0.113343,0.0027,0.001216,0.001095,0.000339,0.013499,0.00258,0.069535,0.015516,-0.019263,22.9975,47.2727,70.2703,7.5775
27,0.00469136,38.6774,37.6015,41.2068,38.627,0,0.13933,0.064288,2.064589,0.62325,0.577194,0.10181,0.002789,0.001287,0.001124,0.000339,0.013138,0.002317,0.081425,0.014771,-0.016159,24.8157,45.4545,70.2703,8.5728
28,0.00437896,37.809,37.0934,40.5777,37.8013,0,0.139291,0.062966,2.052284,0.642898,0.568559,0.104798,0.002788,0.00126,0.001117,0.00035,0.012942,0.002385,0.041892,0.010477,-0.02432,25.0529,45.2174,70.2703,8.6623
29,0.00406903,39.0782,38.6029,41.8602,39.0717,0,0.142791,0.062985,2.169096,0.685605,0.574454,0.10507,0.002858,0.001261,0.001181,0.000373,0.013076,0.002392,0.060373,0.00694,-0.021757,24.0476,46.4286,70.4762,9.0073
30,0.00376279,38.7442,38.2804,41.4715,38.6818,0,0.139286,0.057086,2.181912,0.643624,0.56685,0.100906,0.002788,0.001143,0.001188,0.00035,0.012903,0.002297,0.080769,0.012621,-0.017435,26.6093,46.3636,72.973,8.1852
31,0.00346146,39.2118,38.0801,41.5778,39.1422,0,0.141235,0.066438,2.196737,0.679659,0.555899,0.106208,0.002827,0.00133,0.001196,0.00037,0.012654,0.002418,0.070021,0.007463,-0.018495,24.7054,43.3898,68.0952,9.4887
