round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,16.3661,8.8479,9.111,16.602,0,0.181496,0.127125,2.23242,0.289447,0.691437,0.120059,0.003633,0.002545,0.001215,0.000158,0.015739,0.002733,0.631385,0.22283,0.23432,43.9066,26.3636,70.2703,10.78
2,0.00999014,18.6373,12.2954,13.7646,18.5521,0,0.164343,0.120338,1.111835,0.357293,0.702118,0.198589,0.003289,0.002409,0.000605,0.000195,0.015982,0.00452,0.858821,0.131665,0.080676,51.1548,21.8182,72.973,14.0449
3,0.00996061,18.9713,15.1926,23.1979,18.8241,0,0.150359,0.094562,0.998555,0.267064,0.766393,0.155451,0.00301,0.001893,0.000544,0.000145,0.017445,0.003538,0.871582,0.120172,0.061933,33.061,37.2093,70.2703,10.4542
4,0.00991152,20.7749,16.5651,23.7731,20.9113,0,0.171734,0.118111,1.008111,0.329212,0.801326,0.212607,0.003437,0.002364,0.000549,0.000179,0.01824,0.004839,0.893906,0.110114,-0.007932,52.0147,26.3636,78.3784,13.9032
5,0.00984307,21.3761,19.0416,26.1073,21.4413,0,0.153749,0.096234,1.024654,0.348442,0.818839,0.166299,0.003077,0.001926,0.000558,0.00019,0.018639,0.003785,0.894097,0.102734,-0.00173,39.2471,36.4286,75.6757,10.9824
6,0.00975553,23.8477,20.7726,22.7387,24.0492,0,0.131255,0.079356,1.100125,0.40128,0.84199,0.163879,0.002627,0.001588,0.000599,0.000218,0.019166,0.00373,0.87074,0.111895,-0.015038,37.8185,37.8571,75.6757,12.1918
7,0.00964923,24.5157,20.8052,29.0274,24.6727,0,0.112065,0.062883,1.179478,0.385804,0.841191,0.160635,0.002243,0.001259,0.000642,0.00021,0.019148,0.003656,0.810672,0.113279,-0.008356,33.9066,36.3636,70.2703,10.1192
8,0.00952461,25.9185,22.2208,34.3076,26.074,0,0.100598,0.048707,1.249477,0.411732,0.812287,0.145432,0.002014,0.000975,0.00068,0.000224,0.01849,0.00331,0.731281,0.081321,-0.016256,37.6757,38.0,75.6757,11.9962
9,0.00938215,28.6573,25.867,36.5784,28.8078,0,0.096885,0.042501,1.295603,0.393885,0.815613,0.138474,0.001939,0.000851,0.000705,0.000214,0.018565,0.003152,0.640284,0.087749,-0.000593,31.1125,41.8605,72.973,9.6989
10,0.00922242,29.7929,27.2557,36.6757,29.8224,0,0.087827,0.041607,1.350431,0.406249,0.774206,0.140744,0.001758,0.000833,0.000735,0.000221,0.017623,0.003204,0.44196,0.062753,-0.009229,35.6757,40.0,75.6757,11.2218
