epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,8.617234468937877,3.845731934614184,7.787384734093323,8.788166225666224,43.687374749499,42.49741518437017,43.276107499186786,43.7554368839787
1,16.366065464261855,8.847929403076153,9.11099453776439,16.602021734484424,43.219772879091515,42.17527818068613,42.482710866900405,43.07016078155094
2,18.637274549098194,12.295373934070245,13.764621452478984,18.552060679848942,45.49098196392786,43.96534093054119,44.986769662400036,45.4248832907732
3,18.97127588510354,15.192594373907781,23.197923016063708,18.824055239578925,42.55177020708083,42.619266766663486,44.62000804978153,42.67493637012056
4,20.7748830995324,16.56512160083255,23.773054456979096,20.911261246627568,47.29458917835671,46.157498293338904,48.023649584586146,47.17502104597789
5,21.37608550434202,19.041581145552374,26.107300939742885,21.44125579572844,48.22979291917168,47.44566797915491,48.40632224656601,48.220519050149655
6,23.847695390781563,20.7725881689183,22.738651326709387,24.049231018231982,49.36539746158984,49.070355790895235,49.28075142991247,49.3341851007483
7,24.51569806279225,20.805168273647407,29.027352854754007,24.672749668607686,50.43420173680695,50.27528280406525,51.5379945184854,50.53068519475548
8,25.918503674014698,22.220833587973182,34.30760365373054,26.073968498776452,53.039412157648634,52.87442057180798,53.2621721554604,53.03246694136361
9,28.65731462925852,25.866991308880806,36.57835098598948,28.80775517756094,52.83901135604543,52.216311925375855,53.12410353771364,52.77716754369124
10,29.792919171676687,27.255677119830573,36.675693748480214,29.822381602047383,52.90581162324649,52.6769457460314,53.02668109549546,52.93672589497498
11,30.460921843687377,28.306184291653647,37.76324957907177,30.70437070483885,54.90981963927856,54.432884179768415,54.59623572205474,54.86124338698588
12,31.39612558450234,29.548245212434495,37.84825211875774,31.35651275948427,54.90981963927856,54.79207511322117,55.30300111538951,54.89629763817325
13,34.936539746158985,33.73827929101459,38.49101173619467,34.9411326464498,55.177020708082836,54.93567896769371,55.86356140446345,55.083876372948325
14,34.20173680694723,32.50796383905163,39.211639581984805,34.130159031682474,53.77421509686039,53.64861344092442,54.12818876521441,53.93830460049187
15,34.736138944555776,32.775055167995696,38.33473074095337,34.83716473744972,57.44822979291917,57.11900404141383,57.18955923563407,57.43848765365085
16,35.20374081496326,33.798290176241544,38.49895243620024,35.19655528794674,56.312625250501,56.383233113551476,56.77308058705716,56.35707851615401
17,36.27254509018036,35.53468198048249,39.59329294700727,36.22336426159524,56.51302605210421,56.085801511966906,56.176155474754495,56.49642057517074
18,35.87174348697395,34.6589247742697,38.204471012021656,35.837200645601115,55.11022044088176,54.68362372987616,54.89807722021274,55.11063815239358
19,37.27454909819639,35.74313112035731,39.17174639783322,37.28371278908832,56.312625250501,56.03508666814664,56.570497073283,56.15498774690797
20,37.4749498997996,36.294503361057544,40.08263984462178,37.38077670782018,54.843019372077485,54.57195582159267,55.02190610010862,55.04927374042433
21,37.34134936539746,36.2403988078813,40.40563530123408,37.292946560202836,55.978623914495664,56.004168405001145,57.239449159998365,56.03595456432967
22,37.80895123580494,36.6567155813041,40.04898870283973,37.82819754494374,55.31062124248497,55.16119303258278,55.44900916643405,55.47855223335263
23,37.140948563794254,35.69917110869284,40.862152897904146,37.125505801127304,56.24582498329993,56.12301154557543,56.50035350530719,56.25267432790035
24,37.87575150300601,36.963424778345654,39.626048888218264,37.77259853480222,55.243820975283896,55.294047395769084,56.13830853579992,55.32661236918186
25,39.34535738142952,38.582941896350434,42.07069711786854,39.3562401209885,55.577822311289246,55.50741928589373,55.57860417371055,55.59657397906943
26,38.7441549766199,37.69314849683669,40.9553535122379,38.71499361297526,54.70941883767535,54.70251027535886,55.44241219166957,54.711117763716274
27,37.94255177020708,37.04070720993005,40.056003292840444,37.834627692935626,56.312625250501,56.40684078175781,56.7308291706792,56.36015472404341
28,38.5437541750167,37.90840795852905,41.88833483732498,38.427542983229564,55.91182364729459,55.88241710042296,56.427195711903565,55.889040180183734
29,39.011356045424186,38.26066013266069,41.311509037969515,38.977091806836775,56.24582498329993,56.41245187485774,56.939387165371215,56.359576782216294
30,39.14495657982632,38.71725222506506,41.69018289653329,39.075730950716924,56.312625250501,56.201666581225076,56.17923060790558,56.3763780468177
31,39.21175684702739,38.39940984144287,41.79103196380483,39.20091033362735,57.64863059452237,57.443476748141634,57.55154122001229,57.72977502072685
32,39.4121576486306,38.91845486336468,41.35544206315842,39.298630760060405,55.71142284569138,55.84887951344844,56.873852063013786,55.80345544623678
33,39.67935871743487,38.80454329756369,42.62926455381173,39.667423400903566,57.44822979291917,57.1255642287398,57.04293387354894,57.40043168076738
34,39.278557114228455,38.86093550822264,40.76901224341978,39.12387102488683,58.249832999332,58.36157341402545,58.734754472676265,58.44723374375148
35,40.14696058784235,39.60617258793568,41.74831905659309,40.085757631055785,57.84903139612558,57.91744773084615,58.759184482416735,57.867898196044074
36,39.54575818303273,39.21033072535995,42.67709556277953,39.46187565029668,57.11422845691383,57.10770080249834,57.438387591253345,57.14515069571466
