round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,16.2325,8.6658,7.1941,16.4982,0,0.187331,0.1308,2.970491,0.346303,0.667956,0.11772,0.00375,0.002618,0.001617,0.000189,0.015204,0.00268,0.548954,0.230792,0.200938,48.4521,21.8182,70.2703,11.92
2,0.00999014,16.0321,7.8385,15.5153,15.9698,0,0.168433,0.120114,1.176587,0.360167,0.698838,0.212368,0.003371,0.002404,0.000641,0.000196,0.015907,0.004834,0.833004,0.155377,0.117341,39.8649,25.0,64.8649,11.03
3,0.00996061,19.6393,14.726,23.8905,19.8108,0,0.167758,0.096166,0.998222,0.242247,0.794575,0.209541,0.003358,0.001925,0.000544,0.000132,0.018087,0.00477,0.904008,0.158568,0.115717,29.4103,35.4545,64.8649,9.4599
4,0.00991152,20.1069,14.973,24.716,20.2308,0,0.184337,0.134214,0.956769,0.309464,0.78016,0.227481,0.00369,0.002686,0.000521,0.000168,0.017758,0.005178,0.88725,0.133102,-0.010942,48.4275,24.5455,72.973,13.0319
5,0.00984307,21.9773,19.7809,28.8665,22.0532,0,0.177876,0.10605,0.992212,0.317707,0.817396,0.185541,0.00356,0.002123,0.00054,0.000173,0.018606,0.004223,0.93224,0.140064,-0.001241,35.9846,34.2857,70.2703,9.5003
6,0.00975553,24.1817,21.464,22.5576,24.4056,0,0.138373,0.08353,1.064975,0.373191,0.834071,0.171585,0.00277,0.001672,0.00058,0.000203,0.018986,0.003906,0.893806,0.134751,-0.023818,38.5328,37.1429,75.6757,11.9823
7,0.00964923,24.7161,20.559,28.9639,24.9655,0,0.101838,0.046928,1.147168,0.359694,0.833569,0.154851,0.002038,0.000939,0.000625,0.000196,0.018974,0.003525,0.813284,0.125658,-0.007037,28.4767,39.0909,67.5676,8.6928
8,0.00952461,27.5885,23.5131,29.208,27.5362,0,0.090912,0.035194,1.233194,0.36332,0.796164,0.145352,0.00182,0.000704,0.000671,0.000198,0.018123,0.003309,0.66802,0.094708,-0.019628,41.2355,37.1429,78.3784,12.2844
9,0.00938215,29.5925,26.6036,34.3317,29.8278,0,0.085085,0.028772,1.269619,0.385657,0.773578,0.148848,0.001703,0.000576,0.000691,0.00021,0.017609,0.003388,0.539641,0.093074,-0.012398,30.8301,42.1429,72.973,10.0695
10,0.00922242,30.3273,28.2284,34.3136,30.3608,0,0.08934,0.030137,1.314495,0.394488,0.743308,0.138245,0.001788,0.000603,0.000716,0.000215,0.01692,0.003147,0.382991,0.076631,-0.008106,28.8095,42.1429,70.9524,9.8121
11,0.00904604,30.9285,28.4167,36.7743,31.1698,0,0.089962,0.033994,1.343376,0.408528,0.725278,0.150753,0.001801,0.00068,0.000731,0.000222,0.016509,0.003432,0.310598,0.054177,-0.018161,35.6757,40.0,75.6757,10.1711
12,0.00885371,32.1309,30.1667,36.5276,32.1684,0,0.100847,0.037167,1.397843,0.400088,0.711864,0.126047,0.002019,0.000744,0.000761,0.000218,0.016204,0.002869,0.246783,0.055425,-0.008293,31.39,44.2857,75.6757,10.2376
13,0.0086462,32.7321,30.6587,35.7847,32.9585,0,0.099297,0.03763,1.450659,0.438917,0.686601,0.138442,0.001988,0.000753,0.00079,0.000239,0.015629,0.003151,0.177983,0.040225,-0.019706,34.9001,43.4783,78.3784,10.7336
14,0.00842431,33.1997,31.4815,37.8146,33.2458,0,0.102492,0.038566,1.4801,0.429274,0.661301,0.146781,0.002051,0.000772,0.000806,0.000234,0.015053,0.003341,0.1719,0.028043,-0.028532,36.5602,41.8182,78.3784,10.7731
15,0.00818893,32.8657,30.7758,37.1038,33.1716,0,0.11402,0.047063,1.554214,0.479739,0.667694,0.141073,0.002282,0.000942,0.000846,0.000261,0.015198,0.003211,0.112767,0.034378,-0.019346,32.6248,43.0508,75.6757,10.417
16,0.00794099,34.7361,33.5433,37.8802,34.9227,0,0.125626,0.051774,1.782404,0.802587,0.673829,0.119022,0.002515,0.001036,0.00097,0.000437,0.015338,0.002709,0.121405,0.037625,-0.014536,32.9484,42.7273,75.6757,10.4021
17,0.00768145,35.7381,34.8219,40.2288,35.8447,0,0.119227,0.04945,1.617577,0.477847,0.635696,0.115358,0.002386,0.00099,0.000881,0.00026,0.01447,0.002626,0.09786,0.027865,-0.023936,30.4583,45.2174,75.6757,9.5199
18,0.00741136,37.3413,36.5391,39.6078,37.4352,0,0.121246,0.050578,1.672373,0.517895,0.629797,0.119879,0.002427,0.001012,0.000911,0.000282,0.014336,0.002729,0.100504,0.024583,-0.02871,32.8185,42.8571,75.6757,10.7368
19,0.00713177,35.6713,33.8185,38.9104,35.8581,0,0.122309,0.049616,1.705452,0.541293,0.611801,0.126968,0.002448,0.000993,0.000929,0.000295,0.013926,0.00289,0.051397,0.020394,-0.017847,39.0472,42.0339,81.0811,11.1958
20,0.00684378,36.6065,35.7983,39.4983,36.716,0,0.13919,0.056601,1.78058,0.534743,0.617188,0.119661,0.002786,0.001133,0.000969,0.000291,0.014049,0.002724,0.055462,0.026918,-0.017998,35.3668,45.7143,81.0811,9.8973
21,0.00654854,36.6065,35.5183,39.5309,36.7453,0,0.133218,0.054098,1.771658,0.545923,0.610401,0.113432,0.002666,0.001083,0.000965,0.000297,0.013894,0.002582,0.034598,0.018898,-0.022313,36.5602,41.8182,78.3784,10.9894
22,0.00624721,36.9405,35.8308,40.0867,37.0383,0,0.138862,0.057783,1.881025,0.562745,0.591273,0.096219,0.002779,0.001157,0.001024,0.000306,0.013459,0.00219,0.061066,0.020365,-0.020674,30.2211,45.4545,75.6757,8.7968
23,0.00594097,35.6713,34.1669,39.1245,35.8568,0,0.137484,0.052378,1.926604,0.58497,0.592183,0.108129,0.002752,0.001048,0.001049,0.000318,0.01348,0.002461,0.074204,0.014789,-0.019873,29.5831,43.3898,72.973,9.5952
24,0.00563104,36.8069,35.8709,39.5525,36.8489,0,0.146491,0.058454,1.90467,0.593533,0.589454,0.111045,0.002932,0.00117,0.001037,0.000323,0.013417,0.002528,0.070016,0.023127,-0.005721,31.2597,47.1186,78.3784,8.8776
25,0.00531864,37.809,37.3461,40.655,37.834,0,0.141214,0.059414,1.9739,0.612443,0.574453,0.11372,0.002827,0.001189,0.001075,0.000333,0.013076,0.002589,0.057432,0.010433,-0.033964,31.39,44.2857,75.6757,10.0076
26,0.005005,37.8758,36.6773,39.7121,38.0234,0,0.146283,0.055488,1.977083,0.627475,0.575838,0.107688,0.002928,0.001111,0.001076,0.000342,0.013108,0.002451,0.038732,0.011624,-0.013218,31.4219,46.9565,78.3784,9.7467
