round,client_i,client_j,model_name,dataset,alpha,layer_index,layer_name,cka_diagonal
1,0,1,vim_tiny,cifar10,0.3,0,base.patch_embed,0.978734
1,0,1,vim_tiny,cifar10,0.3,1,base.layers.0.mixer,0.874148
1,0,1,vim_tiny,cifar10,0.3,2,base.layers.1.mixer,0.926188
1,0,1,vim_tiny,cifar10,0.3,3,base.layers.2.mixer,0.912417
1,0,1,vim_tiny,cifar10,0.3,4,base.layers.3.mixer,0.602719
1,0,1,vim_tiny,cifar10,0.3,5,base.layers.4.mixer,0.713056
1,0,1,vim_tiny,cifar10,0.3,6,base.layers.5.mixer,0.980254
1,0,1,vim_tiny,cifar10,0.3,7,base.layers.6.mixer,0.985041
1,0,1,vim_tiny,cifar10,0.3,8,base.layers.7.mixer,0.992768
1,0,1,vim_tiny,cifar10,0.3,9,base.layers.8.mixer,0.981459
1,0,1,vim_tiny,cifar10,0.3,10,base.layers.9.mixer,0.993214
1,0,1,vim_tiny,cifar10,0.3,11,base.layers.10.mixer,0.994261
1,0,1,vim_tiny,cifar10,0.3,12,base.layers.11.mixer,0.981792
1,0,1,vim_tiny,cifar10,0.3,13,classifier,0.725483
1,0,2,vim_tiny,cifar10,0.3,0,base.patch_embed,0.993116
1,0,2,vim_tiny,cifar10,0.3,1,base.layers.0.mixer,0.924368
1,0,2,vim_tiny,cifar10,0.3,2,base.layers.1.mixer,0.960086
1,0,2,vim_tiny,cifar10,0.3,3,base.layers.2.mixer,0.939053
1,0,2,vim_tiny,cifar10,0.3,4,base.layers.3.mixer,0.877016
1,0,2,vim_tiny,cifar10,0.3,5,base.layers.4.mixer,0.851518
1,0,2,vim_tiny,cifar10,0.3,6,base.layers.5.mixer,0.965085
1,0,2,vim_tiny,cifar10,0.3,7,base.layers.6.mixer,0.988288
1,0,2,vim_tiny,cifar10,0.3,8,base.layers.7.mixer,0.961916
1,0,2,vim_tiny,cifar10,0.3,9,base.layers.8.mixer,0.918635
1,0,2,vim_tiny,cifar10,0.3,10,base.layers.9.mixer,0.969047
1,0,2,vim_tiny,cifar10,0.3,11,base.layers.10.mixer,0.972813
1,0,2,vim_tiny,cifar10,0.3,12,base.layers.11.mixer,0.966520
1,0,2,vim_tiny,cifar10,0.3,13,classifier,0.758181
1,0,3,vim_tiny,cifar10,0.3,0,base.patch_embed,0.994669
1,0,3,vim_tiny,cifar10,0.3,1,base.layers.0.mixer,0.908196
1,0,3,vim_tiny,cifar10,0.3,2,base.layers.1.mixer,0.760488
1,0,3,vim_tiny,cifar10,0.3,3,base.layers.2.mixer,0.934944
1,0,3,vim_tiny,cifar10,0.3,4,base.layers.3.mixer,0.738188
1,0,3,vim_tiny,cifar10,0.3,5,base.layers.4.mixer,0.905686
1,0,3,vim_tiny,cifar10,0.3,6,base.layers.5.mixer,0.984228
1,0,3,vim_tiny,cifar10,0.3,7,base.layers.6.mixer,0.968826
1,0,3,vim_tiny,cifar10,0.3,8,base.layers.7.mixer,0.993703
1,0,3,vim_tiny,cifar10,0.3,9,base.layers.8.mixer,0.977379
1,0,3,vim_tiny,cifar10,0.3,10,base.layers.9.mixer,0.986117
1,0,3,vim_tiny,cifar10,0.3,11,base.layers.10.mixer,0.988451
1,0,3,vim_tiny,cifar10,0.3,12,base.layers.11.mixer,0.956911
1,0,3,vim_tiny,cifar10,0.3,13,classifier,0.553817
1,0,4,vim_tiny,cifar10,0.3,0,base.patch_embed,0.988419
1,0,4,vim_tiny,cifar10,0.3,1,base.layers.0.mixer,0.915140
1,0,4,vim_tiny,cifar10,0.3,2,base.layers.1.mixer,0.809424
1,0,4,vim_tiny,cifar10,0.3,3,base.layers.2.mixer,0.931623
1,0,4,vim_tiny,cifar10,0.3,4,base.layers.3.mixer,0.603217
1,0,4,vim_tiny,cifar10,0.3,5,base.layers.4.mixer,0.954341
1,0,4,vim_tiny,cifar10,0.3,6,base.layers.5.mixer,0.949009
1,0,4,vim_tiny,cifar10,0.3,7,base.layers.6.mixer,0.965860
1,0,4,vim_tiny,cifar10,0.3,8,base.layers.7.mixer,0.968566
1,0,4,vim_tiny,cifar10,0.3,9,base.layers.8.mixer,0.925700
1,0,4,vim_tiny,cifar10,0.3,10,base.layers.9.mixer,0.973218
1,0,4,vim_tiny,cifar10,0.3,11,base.layers.10.mixer,0.977917
1,0,4,vim_tiny,cifar10,0.3,12,base.layers.11.mixer,0.918826
