round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,drift_norm_norm_mean,drift_norm_norm_std,drift_feature_norm_mean,drift_feature_norm_std,drift_head_norm_mean,drift_head_norm_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
1,0.01,15.8317,8.0998,7.504,16.0287,0,0.180846,0.126318,2.8194,0.322405,0.452648,0.064382,0.00362,0.002528,0.001535,0.000176,0.010303,0.001466,0.518158,0.178224,0.158185,42.0885,28.1818,70.2703,10.914
2,0.00999014,16.4997,7.9755,7.8683,16.3119,0,0.168458,0.118617,1.179112,0.364794,0.476133,0.075329,0.003372,0.002374,0.000642,0.000199,0.010838,0.001715,0.812656,0.194352,0.136958,53.6873,19.2857,72.973,13.7883
3,0.00996061,19.5057,14.7559,16.8433,19.2081,0,0.156784,0.106088,0.914674,0.281728,0.499762,0.125745,0.003138,0.002123,0.000498,0.000153,0.011376,0.002862,0.895453,0.15297,0.037164,40.2457,32.7273,72.973,12.0164
4,0.00991152,20.9753,16.0507,23.1104,21.2323,0,0.170451,0.124207,0.902171,0.299474,0.521162,0.126116,0.003412,0.002486,0.000491,0.000163,0.011863,0.002871,0.885399,0.143659,-0.005987,43.8575,31.8182,75.6757,11.8858
5,0.00984307,21.3761,17.1721,31.9359,21.6069,0,0.158557,0.097055,0.955734,0.34101,0.545886,0.118916,0.003174,0.001943,0.00052,0.000186,0.012426,0.002707,0.88607,0.165032,-0.028698,40.8931,34.7826,75.6757,12.3075
6,0.00975553,25.3173,22.0825,22.586,25.3019,0,0.113931,0.064212,1.026819,0.349688,0.548635,0.129296,0.00228,0.001285,0.000559,0.00019,0.012488,0.002943,0.835347,0.154899,0.003978,46.2985,34.7826,81.0811,12.8913
7,0.00964923,26.6533,22.2461,27.2603,26.9727,0,0.11281,0.07831,1.087395,0.390558,0.541111,0.089934,0.002258,0.001567,0.000592,0.000213,0.012317,0.002047,0.737105,0.119894,-0.022647,39.2479,39.1304,78.3784,12.302
8,0.00952461,28.4569,25.0071,32.8425,28.4777,0,0.104195,0.060813,1.104944,0.362837,0.556105,0.091325,0.002086,0.001217,0.000602,0.000198,0.012658,0.002079,0.673894,0.112236,-0.015885,39.2875,39.0909,78.3784,12.6361
9,0.00938215,30.5277,27.2965,35.7357,30.7257,0,0.091731,0.054389,1.146887,0.342724,0.555291,0.084163,0.001836,0.001089,0.000624,0.000187,0.01264,0.001916,0.530707,0.095781,-0.019458,31.1548,41.8182,72.973,9.9209
10,0.00922242,32.7989,31.0209,37.0116,32.7547,0,0.080875,0.039597,1.165351,0.350029,0.547092,0.076443,0.001619,0.000793,0.000635,0.000191,0.012453,0.00174,0.459775,0.081739,-0.004095,38.3784,40.0,78.3784,11.5654
11,0.00904604,31.4629,28.6387,34.6501,31.6993,0,0.076319,0.038613,1.17017,0.340406,0.524612,0.058158,0.001528,0.000773,0.000637,0.000185,0.011942,0.001324,0.314752,0.056962,-0.024917,37.4693,40.9091,78.3784,10.1833
12,0.00885371,32.0641,29.4656,36.0264,32.103,0,0.072272,0.03037,1.215595,0.328082,0.514149,0.064845,0.001447,0.000608,0.000662,0.000179,0.011703,0.001476,0.239957,0.050238,-0.025946,29.312,46.3636,75.6757,9.8146
13,0.0086462,33.1329,30.734,35.7492,33.2433,0,0.074675,0.031988,1.252494,0.340065,0.503567,0.057857,0.001495,0.00064,0.000682,0.000185,0.011462,0.001317,0.212501,0.041869,-0.022608,39.6525,41.4286,81.0811,11.262
14,0.00842431,33.5337,31.1892,36.4068,33.6371,0,0.072997,0.033446,1.263166,0.349963,0.482715,0.055616,0.001461,0.000669,0.000688,0.000191,0.010988,0.001266,0.203829,0.037961,-0.026389,31.1548,41.8182,72.973,9.8214
15,0.00818893,32.9993,30.1459,35.0907,33.2662,0,0.074686,0.028905,1.303678,0.342323,0.488666,0.061143,0.001495,0.000579,0.00071,0.000186,0.011123,0.001392,0.180882,0.031928,-0.02432,29.3366,43.6364,72.973,9.3167
16,0.00794099,34.2685,32.3191,36.7362,34.2901,0,0.078996,0.032253,1.364315,0.341019,0.485131,0.04935,0.001581,0.000646,0.000743,0.000186,0.011043,0.001123,0.22982,0.03174,-0.026292,22.1347,48.1356,70.2703,7.697
17,0.00768145,35.2037,33.6195,38.5911,35.2829,0,0.076314,0.027452,1.378909,0.344755,0.468183,0.064271,0.001527,0.000549,0.000751,0.000188,0.010657,0.001463,0.181847,0.02631,-0.017276,36.0811,45.0,81.0811,10.9369
18,0.00741136,35.0033,32.9611,36.7502,35.0624,0,0.07959,0.031338,1.422094,0.368993,0.459715,0.059141,0.001593,0.000627,0.000774,0.000201,0.010464,0.001346,0.182838,0.027528,-0.024483,31.5444,41.4286,72.973,9.6336
19,0.00713177,36.8069,34.9344,39.013,36.7926,0,0.079088,0.030357,1.435487,0.367773,0.439541,0.052696,0.001583,0.000608,0.000782,0.0002,0.010005,0.001199,0.150187,0.025821,-0.026426,32.9238,45.4545,78.3784,10.208
20,0.00684378,38.3434,36.855,40.0542,38.236,0,0.079234,0.027772,1.487871,0.374463,0.446116,0.058831,0.001586,0.000556,0.00081,0.000204,0.010155,0.001339,0.17064,0.022819,-0.033161,32.6641,45.7143,78.3784,10.1465
21,0.00654854,36.6733,34.8793,39.2277,36.6744,0,0.080093,0.03015,1.504214,0.394296,0.442555,0.052148,0.001603,0.000603,0.000819,0.000215,0.010074,0.001187,0.177449,0.015689,-0.023996,32.9238,45.4545,78.3784,10.2216
22,0.00624721,36.2725,34.5457,38.9094,36.3987,0,0.08342,0.028489,1.560225,0.407944,0.443433,0.061548,0.00167,0.00057,0.000849,0.000222,0.010094,0.001401,0.142128,0.021178,-0.033337,29.6757,46.0,75.6757,9.2813
23,0.00594097,37.0073,34.8258,40.3417,36.8965,0,0.082533,0.029266,1.579984,0.403331,0.433487,0.059934,0.001652,0.000586,0.00086,0.00022,0.009867,0.001364,0.12576,0.014193,-0.026037,24.4391,45.0847,69.5238,8.7048
24,0.00563104,37.2745,35.4553,39.4883,37.2194,0,0.086946,0.028646,1.602732,0.404129,0.427352,0.051639,0.00174,0.000573,0.000873,0.00022,0.009728,0.001175,0.149202,0.023804,-0.006937,26.8385,48.8372,75.6757,8.5138
