epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,8.617234468937877,3.845731934614184,7.787384734093323,8.788166225666224,44.422177688710754,43.480218635571624,44.52944174286612,44.46065103435387
1,15.831663326653306,8.099797325348531,7.5039880530475696,16.028721465589545,44.22177688710755,43.1598234730999,44.15043105499252,44.12513518408051
2,16.499665998663996,7.975458489426937,7.868253856466262,16.31189375140988,44.68937875751503,43.491233024148315,43.58197206885307,44.65949792921621
3,19.505678022712093,14.755851118696334,16.843297866358803,19.20812545294972,44.68937875751503,44.45368727310165,46.00273295753407,44.955634266447156
4,20.975283901135604,16.05072723717093,23.110413367699174,21.23229776688608,47.56179024716099,45.81065592503289,48.71231056447415,47.63121662765587
5,21.37608550434202,17.172077320756724,31.935882932160396,21.606927949984005,49.164996659986635,48.713370112571425,50.27482369439807,49.130245722677905
6,25.31730126920508,22.082537555224,22.586023099852543,25.301877993494276,53.57381429525718,53.50900767370661,54.1803945515434,53.599249472964175
7,26.65330661322645,22.246135283742085,27.260299781771973,26.97270858717865,48.76419505678023,48.557695570098325,51.45695833066899,48.766375947258744
8,28.45691382765531,25.007142408735895,32.842545659787994,28.477660229188007,56.1122244488978,55.68363154195216,55.726818525969456,56.272153294039114
9,30.527722110888444,27.29653278205318,35.73574542641819,30.725651628764666,54.575818303273216,53.651478672372235,56.12420185625311,54.435741919395774
10,32.79893119572478,31.02086357107914,37.0116093878779,32.754670069431725,54.30861723446894,54.06255039128036,54.62514095810808,54.28477903493959
11,31.462925851703403,28.638660355119143,34.650076672474434,31.699348892293195,56.24582498329993,55.93152996460784,56.23120371557202,56.19158756178727
12,32.06412825651302,29.465608392404434,36.026403563704626,32.102976999949206,55.51102204408818,55.12295121473944,55.97983697258984,55.402316591777264
13,33.13293253173013,30.73398491398577,35.74924432037111,33.243267729309835,56.312625250501,56.01568635496286,56.252958982089986,56.35691896527577
14,33.53373413493654,31.18915680161968,36.40677790229287,33.63713690348161,54.90981963927856,54.71789054970514,55.75608091190074,55.11170344223355
15,32.99933199732799,30.1458807406562,35.09071488076722,33.26623714938993,55.778223112892455,55.252367608788035,55.62783574000733,55.788653042536865
16,34.2685370741483,32.31910550128543,36.7361728926269,34.29011054336527,57.71543086172345,57.45088452529791,57.65687838918054,57.771071961276135
17,35.20374081496326,33.619520258509645,38.591064364213445,35.28286215940815,53.17301269205077,51.7730551838898,53.37678141938328,53.29830294661
18,35.00334001336005,32.96108401199101,36.750171342645935,35.06243644254941,55.11022044088176,54.57552621112901,55.659193089235856,55.06825979419159
