epoch,accuracy_test_before,macro_f1_test_before,macro_precision_test_before,macro_recall_test_before,accuracy_test_after,macro_f1_test_after,macro_precision_test_after,macro_recall_test_after
0,8.617234468937877,3.845731934614184,7.787384734093323,8.788166225666224,43.687374749499,42.49741518437017,43.276107499186786,43.7554368839787
1,16.366065464261855,8.847929403076153,9.11099453776439,16.602021734484424,43.219772879091515,42.17527818068613,42.482710866900405,43.07016078155094
2,18.637274549098194,12.255403685857614,16.369055684048966,18.535000515740048,45.35738142952572,43.951984062756786,44.9500799669422,45.27759940722482
3,19.37207748830995,15.669077625812264,20.69557216155265,19.278285022881427,42.75217100868404,42.90222995694041,44.90542888292953,42.952793260506624
4,21.37608550434202,17.24099556344288,22.571450400935937,21.489596125509085,47.29458917835671,45.96219843355806,47.86018113039915,47.196934609028034
5,21.64328657314629,19.409025657876793,26.82692420336964,21.703156475117645,47.89579158316633,46.98972618419353,47.924690397175524,47.84535569299948
6,24.51569806279225,21.561148593978523,23.817270619864033,24.75707989009813,49.69939879759519,49.27660061141732,49.443052314176214,49.682958248312055
7,25.851703406813627,22.279451908987035,30.995927494142745,26.032822237364016,48.09619238476954,47.74741894287536,50.52030304875639,48.14112100126945
8,26.65330661322645,23.19404263959529,36.541275109444896,26.79010722914476,52.237808951235806,52.01052241284649,52.43406805777542,52.27451297853448
9,29.859719438877757,27.57947628553993,37.23419081516174,29.976369824903383,53.44021376085505,53.01049710931077,53.47758417746151,53.397630349917065
10,30.32732130928524,28.18767732180485,37.263031363162725,30.368176535693852,54.241816967267866,54.05270015259516,54.428160674072615,54.22084876597112
11,30.59452237808951,28.32388408265018,36.44102501150323,30.823079703211153,55.243820975283896,54.79562443879803,54.8088242101006,55.1567154490746
12,32.331329325317306,30.328746972091636,38.636640820296456,32.29775147953527,54.642618570474276,54.44941318063512,54.553291513308565,54.68836127611685
13,34.535738142952574,33.07968914143132,38.43449804918587,34.58015338548534,52.97261189044756,52.753053837742456,53.7169517004507,52.86068133632954
14,34.60253841015364,32.74575782708107,39.83081769774795,34.52022133464131,53.707414829659314,53.35144946209878,53.71430177604213,53.81119579163062
15,34.736138944555776,32.987945148639376,37.43625884635739,34.84639107255539,55.91182364729459,55.57972659419923,55.48388506006201,55.87091076731638
16,35.00334001336005,33.567620029689486,37.919370985373114,35.08858694074498,56.379425517702074,56.452224266805686,57.03784558074027,56.331771311059434
17,36.07214428857716,35.11280088409324,39.503984739498634,36.026871734256126,54.97661990647963,54.58444156265829,54.71912026879389,54.918522031707504
18,36.67334669338677,35.57852716486764,39.09211507651858,36.62487026861873,55.377421509686044,55.080122897160976,55.124532449532396,55.49008063314809
19,37.80895123580494,36.65518697611635,40.68601687203322,37.78091815751455,55.91182364729459,55.5850195357513,55.82259185755777,55.77506605733041
20,38.142952571810284,37.517387410903154,40.61476536865325,38.08592162363895,55.243820975283896,54.90020502345979,55.080161905908945,55.29167842781296
21,38.00935203740815,36.9511574291574,41.15856757681978,37.93038796890508,55.177020708082836,55.23584555640188,56.19141776537631,55.27837154538615
22,37.34134936539746,36.21508406035249,40.216761737086046,37.375607059146034,55.243820975283896,55.127665805417024,55.2712441037254,55.273844197970114
23,37.80895123580494,36.79446614013813,40.99973602670842,37.77255632736701,57.71543086172345,57.720619750700685,58.0279205779677,57.69895861550827
24,38.7441549766199,37.88639779458194,40.88382708608743,38.67766953841114,56.78022712090849,56.639277228564566,57.50694656889568,56.768475279356714
25,40.14696058784235,39.44951651334415,42.29544142815601,40.12616245047755,57.1810287241149,57.122438517163786,57.18425994059283,57.22395228628228
26,38.476953907815634,37.65982415480863,40.94286076879474,38.572400499814016,53.707414829659314,53.81817002447753,54.13491497662307,53.828309583078116
27,38.877755511022045,38.04817834379537,40.39866935712105,38.82304839145192,57.84903139612558,57.81681215836271,58.040095463568754,57.95687427982465
28,39.078156312625254,38.50869594034908,42.00735025542469,39.02683877108032,57.11422845691383,57.08201947560425,57.51981000733659,57.1562648559236
29,39.478957915831664,38.72116164190958,42.11236363894049,39.506387197866395,58.116232464929865,58.08874861069746,58.44758905591066,58.12270116767835
30,39.879759519038075,39.404549976122,42.02968985340756,39.875650980366025,56.379425517702074,56.29071470109894,56.39094063268504,56.39803433739296
31,39.21175684702739,38.53765952862951,41.07988326848513,39.17724635860351,56.446225784903135,56.39309310663678,56.85123230874659,56.53897772773744
32,39.74615898463594,39.3498829202283,42.02725324406639,39.70178285313278,56.24582498329993,56.24212359459047,56.8853732159992,56.34138506716059
33,39.81295925183701,39.20208269094051,42.26858606943238,39.84191754459115,57.1810287241149,56.8518319826519,57.14042942201212,57.16812599699226
34,39.81295925183701,39.34162176757515,40.95368360029005,39.6178624225987,56.446225784903135,56.59999827196231,57.01115711899364,56.576729741502405
35,39.879759519038075,39.2777878465362,41.755268213622934,39.918104309535536,57.51503006012024,57.60407194924024,58.272355093329566,57.472194455977444
36,38.81095524382098,38.195745607381696,41.666480315145,38.83939142966784,56.51302605210421,56.68239037138601,57.50885641034773,56.56051698167127
